$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$
1.099e-23 1.8106 5.1639e-13 5.1599e-13 5.1621e-13 4.0001e-16 1.0336e-20 8.4299e-35 1.7259e-36 8.2694e-37 1.7243e-54 3.258e-45 3.061e-35 1.4715e-27 2.2347e-26 5.2125e-69 3.4644e-54 1.3627e-41 1.4263e-31 1.634e-25 3.0675e-32 2.498e-22 6.3024e-19 4.6244e-22 1.222e-18 4.1662e-32 5.3707e-48 3.8466e-73 5.0651e-59 2.5142e-47 1.5339e-38 1.2291e-43
3.0271e-24 1.8106 5.1657e-13 5.1581e-13 9.8359e-13 7.6192e-16 1.9681e-20 4.4242e-35 9.0609e-37 4.343e-37 6.2602e-54 1.1824e-44 1.1106e-34 5.3368e-27 8.1019e-26 1.4357e-69 9.5456e-55 3.756e-42 3.9328e-32 4.507e-26 3.0686e-32 2.498e-22 6.3002e-19 8.8114e-22 2.3276e-18 7.9328e-32 1.0223e-47 1.0595e-73 1.3956e-59 6.9301e-48 4.2295e-39 3.3902e-44
8.3378e-25 1.8107 5.1692e-13 5.1546e-13 1.8741e-12 1.4508e-15 3.745e-20 2.3219e-35 4.7586e-37 2.2824e-37 2.2728e-53 4.29e-44 4.0265e-34 1.9337e-26 2.9336e-25 3.9545e-70 2.631e-55 1.0359e-42 1.0854e-32 1.2447e-26 3.0706e-32 2.498e-22 6.296e-19 1.6789e-21 4.4321e-18 1.5095e-31 1.9439e-47 2.9183e-74 3.8466e-60 1.9114e-48 1.1673e-39 9.3631e-45
2.2966e-25 1.8108 5.1758e-13 5.1481e-13 3.571e-12 2.7608e-15 7.1176e-20 1.2186e-35 2.5006e-37 1.2009e-37 8.2516e-53 1.5555e-43 1.4582e-33 6.9936e-26 1.0597e-24 1.0892e-70 7.256e-56 2.8607e-43 3.0011e-33 3.446e-27 3.0746e-32 2.498e-22 6.288e-19 3.1991e-21 8.4343e-18 2.8689e-31 3.6898e-47 8.0381e-75 1.0609e-60 5.2781e-49 3.2275e-40 2.5921e-45
6.3256e-26 1.811 5.1883e-13 5.1357e-13 6.8042e-12 5.2478e-15 1.3496e-19 6.3955e-36 1.3155e-37 6.3331e-38 2.9958e-52 5.6339e-43 5.2684e-33 2.5207e-25 3.8101e-24 3.0002e-71 2.0034e-56 7.9175e-44 8.3264e-34 9.5838e-28 3.082e-32 2.498e-22 6.2728e-19 6.0955e-21 1.6032e-17 5.4401e-31 6.9798e-47 2.214e-75 2.9291e-61 1.4608e-49 8.9544e-41 7.209e-46
1.7423e-26 1.8113 5.2121e-13 5.1122e-13 1.2965e-11 9.9536e-15 2.5482e-19 3.3565e-36 6.9359e-38 3.3543e-38 1.0877e-51 2.0361e-42 1.8953e-32 9.027e-25 1.3582e-23 8.2636e-72 5.5435e-57 2.2008e-44 2.3251e-34 2.6885e-28 3.0961e-32 2.498e-22 6.2442e-19 1.1614e-20 3.0408e-17 1.0271e-30 1.3118e-46 6.0982e-76 8.1047e-62 4.0606e-50 2.5005e-41 2.0223e-46
4.799e-27 1.812 5.2571e-13 5.0685e-13 2.4703e-11 1.8803e-14 4.7726e-19 1.7616e-36 3.6715e-38 1.7909e-38 3.9488e-51 7.3289e-42 6.7638e-32 3.1939e-24 4.7645e-23 2.2761e-72 1.5401e-57 6.1671e-45 6.5715e-35 7.6641e-29 3.1229e-32 2.498e-22 6.1907e-19 2.213e-20 5.7444e-17 1.9237e-30 2.4359e-46 1.6797e-76 2.2516e-62 1.1379e-50 7.0672e-42 5.7651e-47
1.3218e-27 1.8132 5.3418e-13 4.9881e-13 4.7069e-11 3.526e-14 8.8077e-19 9.245e-37 1.9579e-38 9.7045e-39 1.4336e-50 2.6186e-41 2.3784e-31 1.1053e-23 1.6226e-22 6.2693e-73 4.3103e-58 1.7538e-45 1.899e-35 2.2504e-29 3.1732e-32 2.498e-22 6.0925e-19 4.2167e-20 1.0772e-16 3.5501e-30 4.4241e-46 4.6265e-77 6.3018e-63 3.2359e-51 2.0422e-42 1.6928e-47
3.6408e-28 1.8155 5.4996e-13 4.845e-13 8.9686e-11 6.5257e-14 1.5833e-18 4.852e-37 1.0579e-38 5.3985e-39 5.2049e-50 9.2343e-41 8.1465e-31 3.6772e-23 5.2436e-22 1.7268e-73 1.2223e-58 5.1203e-46 5.7078e-36 6.9638e-30 3.2669e-32 2.498e-22 5.9177e-19 8.0345e-20 1.9936e-16 6.3819e-30 7.7247e-46 1.2743e-77 1.787e-63 9.4472e-52 6.1383e-43 5.2383e-48
1.0028e-28 1.8194 5.7883e-13 4.6033e-13 1.7089e-10 1.1814e-13 2.7234e-18 2.5464e-37 5.8438e-39 3.1386e-39 1.8897e-49 3.1853e-40 2.6699e-30 1.145e-22 1.5513e-21 4.7563e-74 3.5434e-59 1.5623e-46 1.833e-36 2.3538e-30 3.4384e-32 2.498e-22 5.6225e-19 1.5309e-19 3.6091e-16 1.0977e-29 1.2624e-45 3.51e-78 5.1806e-64 2.8825e-52 1.9713e-43 1.7706e-48
2.7621e-29 1.826 6.302e-13 4.2281e-13 3.2561e-10 2.0675e-13 4.3776e-18 1.3364e-37 3.3391e-39 1.9525e-39 6.8607e-49 1.0622e-39 8.1776e-30 3.2212e-22 4.0085e-21 1.3101e-74 1.0626e-59 5.1009e-47 6.5158e-37 9.1095e-31 3.7436e-32 2.498e-22 5.1642e-19 2.917e-19 6.3163e-16 1.7645e-29 1.8639e-45 9.6678e-79 1.5536e-64 9.4113e-53 7.0072e-44 6.8523e-49
7.608e-30 1.8361 7.1798e-13 3.7112e-13 6.2043e-10 3.4579e-13 6.4264e-18 7.0139e-38 1.9965e-39 1.3301e-39 2.4908e-48 3.3849e-39 2.2874e-29 7.9087e-22 8.6385e-21 3.6084e-75 3.3345e-60 1.8236e-47 2.6539e-37 4.2271e-31 4.265e-32 2.498e-22 4.5329e-19 5.5581e-19 1.0564e-15 2.5903e-29 2.4016e-45 2.6629e-79 4.8751e-65 3.3646e-53 2.854e-44 3.1797e-49
2.0955e-30 1.8502 8.6079e-13 3.0955e-13 1.1822e-09 5.4955e-13 8.5188e-18 3.681e-38 1.2562e-39 1.0034e-39 9.0431e-48 1.025e-38 5.7775e-29 1.6661e-21 1.5179e-20 9.9389e-76 1.1011e-60 7.2199e-48 1.2597e-37 2.4056e-31 5.1133e-32 2.498e-22 3.7808e-19 1.059e-18 1.6789e-15 3.4337e-29 2.6554e-45 7.3346e-80 1.6099e-65 1.3321e-53 1.3547e-44 1.8095e-49
5.7719e-31 1.868 1.0819e-12 2.4628e-13 2.2525e-09 8.3309e-13 1.0275e-17 1.9319e-38 8.2868e-40 8.3191e-40 3.2832e-47 2.9608e-38 1.3277e-28 3.0464e-21 2.2081e-20 2.7376e-76 3.8121e-61 3.1417e-48 6.8897e-38 1.6537e-31 6.427e-32 2.498e-22 3.0081e-19 2.0179e-18 2.5451e-15 4.1414e-29 2.5481e-45 2.0202e-80 5.5734e-66 5.7965e-54 7.4094e-45 1.2439e-49
1.5898e-31 1.8885 1.4104e-12 1.8892e-13 4.2919e-09 1.2177e-12 1.1521e-17 1.0139e-38 5.6694e-40 7.4192e-40 1.192e-46 8.2461e-38 2.8367e-28 4.9929e-21 2.7762e-20 7.5403e-77 1.3688e-61 1.4705e-48 4.2037e-38 1.3153e-31 8.378e-32 2.498e-22 2.3075e-19 3.8449e-18 3.7201e-15 4.6437e-29 2.1918e-45 5.5645e-81 2.0012e-66 2.7131e-54 4.5208e-45 9.8938e-50
4.3789e-32 1.911 1.8839e-12 1.4144e-13 8.1779e-09 1.7371e-12 1.2304e-17 5.3212e-39 3.9743e-40 6.9469e-40 4.3276e-46 2.2414e-37 5.7725e-28 7.6066e-21 3.1665e-20 2.0769e-77 5.0357e-62 7.2261e-49 2.7593e-38 1.1532e-31 1.1191e-31 2.498e-22 1.7276e-19 7.3261e-18 5.3068e-15 4.9594e-29 1.7524e-45 1.5327e-81 7.3624e-67 1.3332e-54 2.9674e-45 8.6743e-50
1.2061e-32 1.9346 2.5536e-12 1.0434e-13 1.5582e-08 2.4418e-12 1.2759e-17 2.7927e-39 2.8273e-40 6.6991e-40 1.5712e-45 6.0032e-37 1.1406e-27 1.1088e-20 3.4052e-20 5.7206e-78 1.8801e-62 3.6571e-49 1.8929e-38 1.0723e-31 1.5169e-31 2.498e-22 1.2745e-19 1.3959e-17 7.4596e-15 5.1429e-29 1.3407e-45 4.2216e-82 2.7488e-67 6.7475e-55 2.0357e-45 8.0663e-50
3.3221e-33 1.9588 3.4905e-12 7.6337e-14 2.969e-08 3.4037e-12 1.3012e-17 1.4656e-39 2.0283e-40 6.569e-40 5.7042e-45 1.5945e-36 2.2163e-27 1.5762e-20 3.5414e-20 1.5757e-78 7.0786e-63 1.8821e-49 1.3316e-38 1.0311e-31 2.0735e-31 2.498e-22 9.3239e-20 2.6598e-17 1.0398e-14 5.2447e-29 1.0002e-45 1.1628e-82 1.0349e-67 3.4725e-55 1.432e-45 7.7561e-50
9.1505e-34 1.9834 4.7931e-12 5.5592e-14 5.6572e-08 4.723e-12 1.3148e-17 7.6921e-40 1.4617e-40 6.5007e-40 2.071e-44 4.2158e-36 4.2674e-27 2.2102e-20 3.6162e-20 4.34e-79 2.6773e-63 9.7748e-50 9.4964e-39 1.0098e-31 2.8472e-31 2.498e-22 6.7901e-20 5.068e-17 1.4429e-14 5.2998e-29 7.3606e-46 3.2027e-83 3.9143e-68 1.8035e-55 1.0213e-45 7.5957e-50
2.5204e-34 2.0082 6.5979e-12 4.0385e-14 1.0779e-07 6.5375e-12 1.3221e-17 4.037e-40 1.056e-40 6.4649e-40 7.5188e-44 1.1119e-35 8.1762e-27 3.0762e-20 3.6564e-20 1.1954e-79 1.0151e-63 5.1017e-50 6.8228e-39 9.9867e-32 3.9193e-31 2.498e-22 4.9326e-20 9.6567e-17 1.9972e-14 5.3292e-29 5.3768e-46 8.8216e-84 1.4841e-68 9.4129e-56 7.3375e-46 7.5122e-50
6.9421e-35 2.0331 9.0943e-12 2.9299e-14 2.0539e-07 9.0373e-12 1.326e-17 2.1187e-40 7.6391e-41 6.4461e-40 2.7297e-43 2.9287e-35 1.5624e-26 4.2649e-20 3.6778e-20 3.2926e-80 3.8539e-64 2.6697e-50 4.9212e-39 9.9287e-32 5.4022e-31 2.498e-22 3.5786e-20 1.84e-16 2.7609e-14 5.3447e-29 3.9122e-46 2.4298e-84 5.6346e-69 4.9257e-56 5.2924e-46 7.4685e-50
1.9121e-35 2.058 1.2544e-11 2.1242e-14 3.9135e-07 1.2484e-11 1.328e-17 1.1119e-40 5.5299e-41 6.4362e-40 9.9106e-43 7.7088e-35 2.9817e-26 5.9007e-20 3.6891e-20 9.069e-81 1.4642e-64 1.399e-50 3.557e-39 9.8983e-32 7.4513e-31 2.498e-22 2.5945e-20 3.5059e-16 3.814e-14 5.3529e-29 2.8407e-46 6.6926e-85 2.1407e-69 2.5812e-56 3.8253e-46 7.4456e-50
