$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$
6.9226e-07 1.6353 5.3906e-14 4.9429e-12 2.0568e-21 1.5268e-23 3.7793e-27 2.1157e-26 4.5217e-29 2.2617e-30 2.7374e-71 4.9548e-61 4.4595e-50 2.0536e-41 2.9876e-39 3.2833e-52 2.278e-38 9.3538e-27 1.022e-17 1.2222e-12 3.2022e-33 2.498e-22 6.0374e-18 1.8426e-30 4.6643e-26 1.5233e-38 1.8811e-53 2.423e-56 3.3305e-43 1.7258e-32 1.0991e-24 9.1939e-31
1.9067e-07 1.6552 6.9661e-14 3.825e-12 3.919e-21 2.2512e-23 4.3122e-27 1.1104e-26 3.0667e-29 1.9822e-30 9.9385e-71 1.392e-60 9.6952e-50 3.4549e-41 3.8895e-39 9.0435e-53 8.1083e-39 4.3024e-27 6.075e-18 9.3883e-13 4.1381e-33 2.498e-22 4.6719e-18 3.5109e-30 6.8774e-26 1.7381e-38 1.6609e-53 6.6738e-57 1.1855e-43 7.9382e-33 6.5332e-25 7.062e-31
5.2519e-08 1.675 8.993e-14 2.9629e-12 7.4674e-21 3.3227e-23 4.9301e-27 5.8275e-27 2.0777e-29 1.7337e-30 3.6082e-70 3.9148e-60 2.112e-49 5.83e-41 5.084e-39 2.4909e-53 2.8832e-39 1.975e-27 3.6001e-18 7.1824e-13 5.3421e-33 2.498e-22 3.6189e-18 6.6896e-30 1.0151e-25 1.9872e-38 1.4709e-53 1.8382e-57 4.2153e-44 3.644e-33 3.8716e-25 5.4027e-31
1.4466e-08 1.6947 1.159e-13 2.299e-12 1.4228e-20 4.9124e-23 5.6557e-27 3.0584e-27 1.4053e-29 1.5113e-30 1.31e-69 1.1028e-59 4.6166e-49 9.888e-41 6.6906e-39 6.861e-54 1.0235e-39 9.0354e-28 2.1226e-18 5.4577e-13 6.8848e-33 2.498e-22 2.808e-18 1.2746e-29 1.5007e-25 2.2796e-38 1.3093e-53 5.0632e-58 1.4963e-44 1.6671e-33 2.2827e-25 4.1054e-31
3.9844e-09 1.7142 1.4894e-13 1.789e-12 2.7111e-20 7.2836e-23 6.5252e-27 1.6051e-27 9.4783e-30 1.3099e-30 4.7561e-69 3.1156e-59 1.0149e-48 1.6915e-40 8.9061e-39 1.8898e-54 3.6227e-40 4.1101e-28 1.2408e-18 4.1e-13 8.8477e-33 2.498e-22 2.1851e-18 2.4287e-29 2.2251e-25 2.6301e-38 1.1755e-53 1.3946e-58 5.2965e-45 7.5833e-34 1.3344e-25 3.0841e-31
1.0975e-09 1.7332 1.9048e-13 1.3988e-12 5.1657e-20 1.0852e-22 7.6019e-27 8.424e-28 6.3617e-30 1.1244e-30 1.7267e-68 8.8448e-59 2.2529e-48 2.936e-40 1.2088e-38 5.2052e-55 1.2761e-40 1.8516e-28 7.1488e-19 3.0209e-13 1.1315e-32 2.498e-22 1.7086e-18 4.6277e-29 3.3152e-25 3.0641e-38 1.0708e-53 3.8412e-59 1.8657e-45 3.4162e-34 7.688e-26 2.2724e-31
3.0228e-10 1.7517 2.4159e-13 1.1029e-12 9.8428e-20 1.6303e-22 9.0041e-27 4.4211e-28 4.2347e-30 9.4928e-31 6.269e-68 2.5318e-58 5.0844e-48 5.2243e-40 1.6958e-38 1.4337e-55 4.4581e-41 8.204e-29 4.0175e-19 2.1533e-13 1.4351e-32 2.498e-22 1.3471e-18 8.8176e-29 4.9804e-25 3.6293e-38 1e-53 1.058e-59 6.5179e-46 1.5137e-34 4.3205e-26 1.6197e-31
8.3261e-11 1.769 3.0209e-13 8.8203e-13 1.8755e-19 2.4842e-22 1.0973e-26 2.3203e-28 2.779e-30 7.7895e-31 2.276e-67 7.3511e-58 1.1806e-47 9.7017e-40 2.5186e-38 3.949e-56 1.5354e-41 3.5331e-29 2.1634e-19 1.4499e-13 1.7945e-32 2.498e-22 1.0773e-18 1.6801e-28 7.5894e-25 4.4229e-38 9.7463e-54 2.9142e-60 2.2448e-46 6.5187e-35 2.3266e-26 1.0906e-31
2.2933e-11 1.7844 3.6863e-13 7.2282e-13 3.5735e-19 3.8791e-22 1.4041e-26 1.2177e-28 1.7797e-30 6.0874e-31 8.2632e-67 2.1871e-57 2.8786e-47 1.9385e-39 4.1239e-38 1.0877e-56 5.1606e-42 1.4491e-29 1.0827e-19 8.8546e-14 2.1898e-32 2.498e-22 8.8286e-19 3.2013e-28 1.1851e-24 5.6596e-38 1.022e-53 8.0268e-61 7.545e-47 2.6736e-35 1.1644e-26 6.6606e-32
6.3167e-12 1.7968 4.3219e-13 6.1652e-13 6.809e-19 6.3042e-22 1.9464e-26 6.391e-29 1.0951e-30 4.3915e-31 3e-66 6.7728e-57 7.6031e-47 4.367e-39 7.9241e-38 2.9959e-57 1.6665e-42 5.4863e-30 4.8062e-20 4.6082e-14 2.5673e-32 2.498e-22 7.5303e-19 6.0998e-28 1.9259e-24 7.8453e-38 1.2084e-53 2.2109e-61 2.4365e-47 1.0123e-35 5.1687e-27 3.4663e-32
