$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$
1.0982e-16 1.8064 2.4703e-18 2.4976e-18 3.2071e-31 0 5.8757e-41 1.1728e-39 8.5183e-42 2.9802e-42 1.7826e-102 5.7991e-91 4.991e-79 3.4958e-74 1.097e-74 2.1025e-78 1.4954e-59 2.7175e-43 3.6368e-30 6.8115e-21
1.5876e-17 1.8066 2.4819e-18 2.4859e-18 8.4351e-31 0 1.531e-40 4.459e-40 3.2539e-42 1.1437e-42 1.2331e-101 3.9929e-90 3.4205e-78 2.3846e-73 7.448e-74 3.0392e-79 2.1718e-60 3.9652e-44 5.3316e-31 1.0032e-21
2.2949e-18 1.8066 2.4836e-18 2.4842e-18 2.2186e-30 0 4.0212e-40 1.6953e-40 1.238e-42 4.3546e-43 8.5305e-101 2.7603e-89 2.363e-77 1.6462e-72 5.1381e-73 4.3934e-80 3.1416e-61 5.7399e-45 7.7231e-32 1.4543e-22
3.3175e-19 1.8066 2.4839e-18 2.4839e-18 5.8352e-30 0 1.0574e-39 6.4457e-41 4.7074e-43 1.656e-43 5.9012e-100 1.9093e-88 1.6343e-76 1.1385e-71 3.553e-72 6.351e-81 4.5419e-62 8.299e-46 1.1168e-32 2.1031e-23
4.7956e-20 1.8066 2.4839e-18 2.4839e-18 1.5347e-29 0 2.7811e-39 2.4507e-41 1.7898e-43 6.2962e-44 4.0823e-99 1.3208e-87 1.1305e-75 7.8752e-71 2.4577e-71 9.1807e-82 6.5656e-63 1.1997e-46 1.6144e-33 3.0403e-24
6.9323e-21 1.8066 2.4839e-18 2.4839e-18 4.0366e-29 0 7.3148e-39 9.3177e-42 6.8049e-44 2.3939e-44 2.824e-98 9.1368e-87 7.8207e-75 5.4478e-70 1.7002e-70 1.3271e-82 9.4911e-64 1.7343e-47 2.3337e-34 4.395e-25
1.0021e-21 1.8066 2.4839e-18 2.4839e-18 1.0617e-28 0 1.9239e-38 3.5426e-42 2.5873e-44 9.1016e-45 1.9536e-97 6.3206e-86 5.4101e-74 3.7686e-69 1.1761e-69 1.9184e-83 1.372e-64 2.507e-48 3.3736e-35 6.3532e-26
1.4486e-22 1.8066 2.4839e-18 2.4839e-18 2.7924e-28 0 5.0602e-38 1.3469e-42 9.837e-45 3.4605e-45 1.3514e-96 4.3724e-85 3.7426e-73 2.607e-68 8.1361e-69 2.7732e-84 1.9833e-65 3.624e-49 4.8767e-36 9.184e-27
2.0941e-23 1.8066 2.4839e-18 2.4839e-18 7.3445e-28 0 1.3309e-37 5.1211e-43 3.7401e-45 1.3157e-45 9.3488e-96 3.0247e-84 2.589e-72 1.8035e-67 5.6283e-68 4.0089e-85 2.867e-66 5.2387e-50 7.0496e-37 1.3276e-27
3.0271e-24 1.8066 2.4839e-18 2.4839e-18 1.9317e-27 0 3.5005e-37 1.9471e-43 1.422e-45 5.0024e-46 6.4672e-95 2.0924e-83 1.791e-71 1.2476e-66 3.8935e-67 5.7951e-86 4.1444e-67 7.5729e-51 1.0191e-37 1.9191e-28
4.3759e-25 1.8066 2.4839e-18 2.4839e-18 5.0807e-27 0 9.2068e-37 7.4029e-44 5.4065e-46 1.9019e-46 4.4738e-94 1.4475e-82 1.239e-70 8.6305e-66 2.6934e-66 8.3771e-87 5.991e-68 1.0947e-51 1.4731e-38 2.7742e-29
6.3256e-26 1.8066 2.4839e-18 2.4839e-18 1.3363e-26 0 2.4215e-36 2.8146e-44 2.0556e-46 7.2312e-47 3.0949e-93 1.0013e-81 8.5708e-70 5.9704e-65 1.8632e-65 1.211e-87 8.6603e-69 1.5825e-52 2.1295e-39 4.0103e-30
9.144e-27 1.8066 2.4839e-18 2.4839e-18 3.5147e-26 0 6.369e-36 1.0701e-44 7.8154e-47 2.7494e-47 2.141e-92 6.9269e-81 5.9291e-69 4.1301e-64 1.2889e-64 1.7505e-88 1.2519e-69 2.2875e-53 3.0783e-40 5.7971e-31
1.3218e-27 1.8066 2.4839e-18 2.4839e-18 9.2442e-26 0 1.6752e-35 4.0687e-45 2.9715e-47 1.0453e-47 1.4811e-91 4.7918e-80 4.1016e-68 2.8571e-63 8.9165e-64 2.5305e-89 1.8097e-70 3.3068e-54 4.4499e-41 8.3801e-32
1.9108e-28 1.8066 2.4839e-18 2.4839e-18 2.4314e-25 0 4.4059e-35 1.5469e-45 1.1298e-47 3.9744e-48 1.0246e-90 3.3148e-79 2.8374e-67 1.9765e-62 6.1682e-63 3.658e-90 2.616e-71 4.7802e-55 6.4325e-42 1.2114e-32
2.7621e-29 1.8066 2.4839e-18 2.4839e-18 6.3949e-25 0 1.1588e-34 5.8815e-46 4.2954e-48 1.5111e-48 7.0876e-90 2.2931e-78 1.9628e-66 1.3673e-61 4.267e-62 5.2878e-91 3.7817e-72 6.91e-56 9.2986e-43 1.7512e-33
