$\mu_e$ elements 600K 900K 1200K
0.19349 Co 6.645e-16 ? ? 
0.33451 Co ? 1.6182e-10 ?
0.50866 Co ? ? 6.3248e-08
0.99834 Cr 1.1537e-22 ? ?
1.0702 Cr ? 1.2277e-14 ? 
1.1529 Cr ? ? 1.2455e-10 
0.29384 Cu 9.5426e-17 ? ?
0.54808 Cu ? 1.0305e-11 ?
0.82595 Cu ? ? 2.9409e-09
1.7946 F 4.6765e-24 ? ?  
1.907 F ? 1.952e-17 ?    
2.0238 F ? ? 6.5564e-14  
!0.18648 In 7.6109e-16 ? ?
!0.33027 In ? 1.709e-10 ? 
!0.49552 In ? ? 7.1816e-08
0.60574 Mn 2.2898e-19 ? ?
0.65065 Mn ? 2.7462e-12 ?
0.7309 Mn ? ? 7.3731e-09 
1.5971 Mo 1.1274e-27 ? ? 
1.6335 Mo ? 8.6172e-18 ? 
1.6365 Mo ? ? 1.1632e-12 
1.7946 Nb 4.6777e-24 ? ? 
1.9072 Nb ? 1.9675e-17 ? 
2.0251 Nb ? ? 6.6503e-14 
0.62051 Ni 1.7209e-19 ? ?
0.69272 Ni ? 1.5964e-12 ?
0.77843 Ni ? ? 4.6565e-09
1.0326 Pd 5.948e-23 ? ?  
1.1044 Pd ? 7.8988e-15 ? 
1.1871 Pd ? ? 8.9497e-11 
0.35914 Rh 2.6983e-17 ? ?
0.44077 Rh ? 4.1112e-11 ?
0.55528 Rh ? ? 4.0294e-08
1.4731 Sb 1.1872e-26 ? ? 
1.5922 Sb ? 1.4666e-17 ? 
1.7197 Sb ? ? 5.2237e-13 
!1.7946 Ta 4.6786e-24 ? ? 
!1.9074 Ta ? 1.9832e-17 ? 
!2.0266 Ta ? ? 6.7708e-14 
1.2982 Ti 3.4969e-25 ? ? 
1.37 Ti ? 2.5731e-16 ?   
1.4525 Ti ? ? 6.8725e-12 
1.3913 V 5.7779e-26 ? ?  
1.3913 V ? 1.9566e-16 ?  
1.3916 V ? ? 1.2391e-11  
1.7945 W 4.6476e-24 ? ?  
1.9045 W ? 1.7741e-17 ?  
2.0145 W ? ? 5.997e-14   
0.19555 Zn 6.3864e-16 ? ?
0.38042 Zn ? 8.9516e-11 ?
0.57704 Zn ? ? 3.2647e-08
1.3481 Zr 1.3308e-25 ? ? 
1.42 Zr ? 1.3513e-16 ?   
1.5024 Zr ? ? 4.2441e-12 
1.4731 Sn 1.19e-26 ? ?  
1.59 Sn ? 1.47e-17 ?
1.7197 Sn ? ? 5.19e-13
