$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Mn_{i}^{\times}$ $Mn_{i}^{\bullet}$ $Mn_{i}^{\bullet\bullet}$ $Mn_{i}^{\bullet\bullet\bullet}$ $Mn_{i}^{\bullet\bullet\bullet\bullet}$ $Mn_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Mn_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $Mn_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet\bullet}$ $Mn_{Sn}^{\times}$ $Mn_{Sn}^{\bullet}$ $Mn_{Sn}^{\bullet\bullet}$ $Mn_{Sn}^{\bullet\bullet\bullet}$ $Mn_{Sn}^{'}$ $Mn_{Sn}^{''}$ $Mn_{Sn}^{'''}$ $Mn_{Sn}^{''''}$
1 0.59967 1.5414e-23 3.4136e-08 3.3609e-39 9.6871e-35 2.8729e-29 1.1191e-31 2.4392e-44 3.7518e-55 1.831e-118 4.2417e-97 2.5573e-75 3.8146e-61 1.636e-52 2.7651e-63 1.4086e-54 9.1028e-49 2.4062e-46 6.9161e-48 1.3901e-52 5.3623e-33 1.8204e-19 7.2821e-53 4.094e-39 3.7094e-48 3.522e-60 1.7398e-69 4.6381e-61 3.1318e-56 1.5976e-55 2.597e-73 1.6505e-67 9.977e-51 1.2343e-38 5.8555e-34 5.6389e-43 1.5754e-55 2.4768e-69 3.5668e-86 0.009982 8.9611e-06 2.6502e-15 1.8783e-28 8.9953e-06 4.0662e-22 8.042e-44 3.9474e-70
0.020896 0.59967 1.5414e-23 3.4136e-08 2.325e-38 6.7013e-34 1.9874e-28 1.6177e-32 3.5261e-45 5.4235e-56 8.7623e-117 2.0299e-95 1.2238e-73 1.8255e-59 7.8291e-51 5.7781e-65 2.9435e-56 1.9022e-50 5.028e-48 1.4452e-49 1.3901e-52 5.3623e-33 1.8204e-19 5.0375e-52 2.8321e-38 2.566e-47 2.4364e-59 3.6357e-71 9.692e-63 6.5445e-58 3.3385e-57 5.4267e-75 7.8987e-66 4.7745e-49 5.9066e-37 2.8021e-32 2.6985e-41 7.5391e-54 1.1853e-67 1.7069e-84 0.009982 8.9611e-06 2.6502e-15 1.8783e-28 8.9953e-06 4.0662e-22 8.042e-44 3.9474e-70
0.00043666 0.59967 1.5414e-23 3.4136e-08 1.6084e-37 4.6358e-33 1.3748e-27 2.3385e-33 5.0971e-46 7.8399e-57 4.1932e-115 9.7139e-94 5.8565e-72 8.7358e-58 3.7466e-49 1.2074e-66 6.1509e-58 3.9749e-52 1.0507e-49 3.02e-51 1.3901e-52 5.3623e-33 1.8204e-19 3.4848e-51 1.9592e-37 1.7751e-46 1.6855e-58 7.5973e-73 2.0253e-64 1.3676e-59 6.9763e-59 1.134e-76 3.7799e-64 2.2848e-47 2.8266e-35 1.341e-30 1.2914e-39 3.6078e-52 5.6721e-66 8.1683e-83 0.009982 8.9611e-06 2.6502e-15 1.8783e-28 8.9953e-06 4.0662e-22 8.042e-44 3.9474e-70
9.1247e-06 0.59967 1.5414e-23 3.4136e-08 1.1126e-36 3.2069e-32 9.5107e-27 3.3805e-34 7.3682e-47 1.1333e-57 2.0066e-113 4.6486e-92 2.8026e-70 4.1805e-56 1.7929e-47 2.5231e-68 1.2853e-59 8.3061e-54 2.1956e-51 6.3108e-53 1.3901e-52 5.3623e-33 1.8204e-19 2.4107e-50 1.3553e-36 1.228e-45 1.1659e-57 1.5876e-74 4.2321e-66 2.8577e-61 1.4578e-60 2.3696e-78 1.8089e-62 1.0934e-45 1.3527e-33 6.4172e-29 6.1798e-38 1.7265e-50 2.7144e-64 3.9089e-81 0.009982 8.9611e-06 2.6502e-15 1.8783e-28 8.9953e-06 4.0662e-22 8.042e-44 3.9474e-70
1.9067e-07 0.59967 1.5414e-23 3.4136e-08 7.6969e-36 2.2184e-31 6.5793e-26 4.8867e-35 1.0651e-47 1.6383e-58 9.6028e-112 2.2246e-90 1.3412e-68 2.0006e-54 8.5801e-46 5.2724e-70 2.6859e-61 1.7357e-55 4.588e-53 1.3187e-54 1.3901e-52 5.3623e-33 1.8204e-19 1.6677e-49 9.3756e-36 8.4948e-45 8.0657e-57 3.3174e-76 8.8437e-68 5.9716e-63 3.0463e-62 4.9517e-80 8.6564e-61 5.2325e-44 6.4731e-32 3.0709e-27 2.9574e-36 8.2623e-49 1.299e-62 1.8706e-79 0.009982 8.9611e-06 2.6502e-15 1.8783e-28 8.9953e-06 4.0662e-22 8.042e-44 3.9474e-70
3.9844e-09 0.59967 1.5414e-23 3.4136e-08 5.3245e-35 1.5347e-30 4.5514e-25 7.064e-36 1.5397e-48 2.3682e-59 4.5954e-110 1.0646e-88 6.4183e-67 9.5737e-53 4.106e-44 1.1017e-71 5.6125e-63 3.627e-57 9.5872e-55 2.7557e-56 1.3901e-52 5.3623e-33 1.8204e-19 1.1536e-48 6.4858e-35 5.8765e-44 5.5796e-56 6.9323e-78 1.848e-69 1.2479e-64 6.3656e-64 1.0347e-81 4.1425e-59 2.504e-42 3.0977e-30 1.4696e-25 1.4152e-34 3.9539e-47 6.2162e-61 8.9518e-78 0.009982 8.9611e-06 2.6502e-15 1.8783e-28 8.9953e-06 4.0662e-22 8.042e-44 3.9474e-70
8.3261e-11 0.59967 1.5414e-23 3.4136e-08 3.6833e-34 1.0616e-29 3.1485e-24 1.0212e-36 2.2257e-49 3.4234e-60 2.1991e-108 5.0945e-87 3.0715e-65 4.5815e-51 1.9649e-42 2.3023e-73 1.1728e-64 7.5791e-59 2.0034e-56 5.7584e-58 1.3901e-52 5.3623e-33 1.8204e-19 7.9806e-48 4.4867e-34 4.0652e-43 3.8598e-55 1.4486e-79 3.8617e-71 2.6076e-66 1.3302e-65 2.1622e-83 1.9824e-57 1.1983e-40 1.4824e-28 7.0327e-24 6.7726e-33 1.8921e-45 2.9748e-59 4.2839e-76 0.009982 8.9611e-06 2.6502e-15 1.8783e-28 8.9953e-06 4.0662e-22 8.042e-44 3.9474e-70
1.7399e-12 0.59967 1.5414e-23 3.4136e-08 2.548e-33 7.3441e-29 2.178e-23 1.4761e-37 3.2174e-50 4.9488e-61 1.0524e-106 2.438e-85 1.4699e-63 2.1925e-49 9.4032e-41 4.8109e-75 2.4508e-66 1.5838e-60 4.1864e-58 1.2033e-59 1.3901e-52 5.3623e-33 1.8204e-19 5.5207e-47 3.1038e-33 2.8122e-42 2.6701e-54 3.0271e-81 8.0696e-73 5.449e-68 2.7796e-67 4.5183e-85 9.4867e-56 5.7344e-39 7.0941e-27 3.3655e-22 3.241e-31 9.0548e-44 1.4236e-57 2.05e-74 0.009982 8.9611e-06 2.6502e-15 1.8783e-28 8.9953e-06 4.0662e-22 8.042e-44 3.9474e-70
3.6357e-14 0.59967 1.5414e-23 3.4136e-08 1.7627e-32 5.0804e-28 1.5067e-22 2.1338e-38 4.651e-51 7.1537e-62 5.0362e-105 1.1667e-83 7.034e-62 1.0492e-47 4.4999e-39 1.0053e-76 5.1213e-68 3.3095e-62 8.7481e-60 2.5145e-61 1.3901e-52 5.3623e-33 1.8204e-19 3.8191e-46 2.1471e-32 1.9454e-41 1.8471e-53 6.3255e-83 1.6863e-74 1.1386e-69 5.8085e-69 9.4417e-87 4.5398e-54 2.7442e-37 3.3949e-25 1.6106e-20 1.551e-29 4.3332e-42 6.8125e-56 9.8105e-73 0.009982 8.9611e-06 2.6502e-15 1.8783e-28 8.9953e-06 4.0662e-22 8.042e-44 3.9474e-70
7.5973e-16 0.59967 1.5414e-23 3.4136e-08 1.2194e-31 3.5145e-27 1.0423e-21 3.0846e-39 6.7233e-52 1.0341e-62 2.4101e-103 5.5832e-82 3.3661e-60 5.021e-46 2.1534e-37 2.1007e-78 1.0702e-69 6.9157e-64 1.828e-61 5.2544e-63 1.3901e-52 5.3623e-33 1.8204e-19 2.6419e-45 1.4853e-31 1.3458e-40 1.2778e-52 1.3218e-84 3.5237e-76 2.3794e-71 1.2138e-70 1.973e-88 2.1725e-52 1.3132e-35 1.6246e-23 7.7073e-19 7.4223e-28 2.0736e-40 3.2601e-54 4.6948e-71 0.009982 8.9611e-06 2.6502e-15 1.8783e-28 8.9953e-06 4.0662e-22 8.042e-44 3.9474e-70
1.5876e-17 0.59967 1.5414e-23 3.4136e-08 8.4352e-31 2.4312e-26 7.2104e-21 4.459e-40 9.719e-53 1.4949e-63 1.1533e-101 2.6718e-80 1.6108e-58 2.4028e-44 1.0305e-35 4.3898e-80 2.2363e-71 1.4451e-65 3.82e-63 1.098e-64 1.3901e-52 5.3623e-33 1.8204e-19 1.8276e-44 1.0275e-30 9.3096e-40 8.8394e-52 2.7621e-86 7.3633e-78 4.972e-73 2.5364e-72 4.1228e-90 1.0397e-50 6.2844e-34 7.7745e-22 3.6883e-17 3.5519e-26 9.9234e-39 1.5601e-52 2.2467e-69 0.009982 8.9611e-06 2.6502e-15 1.8783e-28 8.9953e-06 4.0662e-22 8.042e-44 3.9474e-70
3.3175e-19 0.59967 1.5414e-23 3.4136e-08 5.8352e-30 1.6819e-25 4.9879e-20 6.4457e-41 1.4049e-53 2.1609e-64 5.5193e-100 1.2786e-78 7.7087e-57 1.1499e-42 4.9315e-34 9.1732e-82 4.673e-73 3.0198e-67 7.9824e-65 2.2944e-66 1.3901e-52 5.3623e-33 1.8204e-19 1.2643e-43 7.1079e-30 6.4402e-39 6.1149e-51 5.7719e-88 1.5387e-79 1.039e-74 5.3001e-74 8.6153e-92 4.9753e-49 3.0074e-32 3.7205e-20 1.765e-15 1.6998e-24 4.7488e-37 7.466e-51 1.0752e-67 0.009982 8.9611e-06 2.6502e-15 1.8783e-28 8.9953e-06 4.0662e-22 8.042e-44 3.9474e-70
6.9323e-21 0.59967 1.5414e-23 3.4136e-08 4.0367e-29 1.1635e-24 3.4505e-19 9.3177e-42 2.0309e-54 3.1238e-65 2.6413e-98 6.1187e-77 3.689e-55 5.5026e-41 2.36e-32 1.9169e-83 9.765e-75 6.3104e-69 1.668e-66 4.7945e-68 1.3901e-52 5.3623e-33 1.8204e-19 8.7461e-43 4.9171e-29 4.4551e-38 4.2301e-50 1.2061e-89 3.2153e-81 2.1711e-76 1.1075e-75 1.8003e-93 2.3809e-47 1.4392e-30 1.7804e-18 8.4466e-14 8.1342e-23 2.2726e-35 3.5728e-49 5.1451e-66 0.009982 8.9611e-06 2.6502e-15 1.8783e-28 8.9953e-06 4.0662e-22 8.042e-44 3.9474e-70
1.4486e-22 0.59967 1.5414e-23 3.4136e-08 2.7924e-28 8.0485e-24 2.387e-18 1.3469e-42 2.9358e-55 4.5156e-66 1.264e-96 2.9281e-75 1.7654e-53 2.6333e-39 1.1294e-30 4.0056e-85 2.0405e-76 1.3187e-70 3.4856e-68 1.0019e-69 1.3901e-52 5.3623e-33 1.8204e-19 6.0503e-42 3.4015e-28 3.0819e-37 2.9263e-49 2.5204e-91 6.7188e-83 4.5369e-78 2.3144e-77 3.762e-95 1.1394e-45 6.8873e-29 8.5203e-17 4.0421e-12 3.8926e-21 1.0875e-33 1.7098e-47 2.4622e-64 0.009982 8.9611e-06 2.6502e-15 1.8783e-28 8.9953e-06 4.0662e-22 8.042e-44 3.9474e-70
3.0271e-24 0.59967 1.5414e-23 3.4135e-08 1.9317e-27 5.5676e-23 1.6511e-17 1.9471e-43 4.244e-56 6.528e-67 6.0487e-95 1.4012e-73 8.4476e-52 1.26e-37 5.4039e-29 8.3703e-87 4.2641e-78 2.7557e-72 7.2844e-70 2.0939e-71 1.3901e-52 5.3623e-33 1.8203e-19 4.1854e-41 2.353e-27 2.1319e-36 2.0241e-48 5.2667e-93 1.404e-84 9.481e-80 4.8367e-79 7.8622e-97 5.4526e-44 3.2958e-27 4.0771e-15 1.9342e-10 1.8626e-19 5.2035e-32 8.1805e-46 1.178e-62 0.009982 8.9609e-06 2.6501e-15 1.8781e-28 8.9956e-06 4.0664e-22 8.0428e-44 3.9479e-70
6.3256e-26 0.59975 1.5438e-23 3.4083e-08 1.3363e-26 3.8457e-22 1.1388e-16 2.8146e-44 6.1443e-57 9.4651e-68 2.8946e-93 6.6953e-72 4.0304e-50 6.0027e-36 2.5705e-27 1.7491e-88 8.924e-80 5.7758e-74 1.5291e-71 4.4018e-73 1.3922e-52 5.3623e-33 1.8176e-19 2.8954e-40 1.6253e-26 1.4703e-35 1.3939e-47 1.1006e-94 2.9384e-86 1.9872e-81 1.0153e-80 1.6528e-98 2.6093e-42 1.5748e-25 1.9452e-13 9.2143e-09 8.8599e-18 2.4715e-30 3.8796e-44 5.5784e-61 0.009982 8.9474e-06 2.6421e-15 1.8696e-28 9.0091e-06 4.0787e-22 8.0792e-44 3.9717e-70
1.3218e-27 0.60284 1.639e-23 3.2103e-08 9.2443e-26 2.5058e-21 6.9888e-16 4.0687e-45 9.4299e-58 1.5423e-68 1.3852e-91 3.0179e-70 1.7111e-48 2.4003e-34 9.6815e-26 3.655e-90 1.9798e-81 1.3605e-75 3.8239e-73 1.1687e-74 1.4781e-52 5.3623e-33 1.712e-19 2.0029e-39 1.059e-25 9.0236e-35 8.0575e-47 2.2998e-96 6.519e-88 4.6807e-83 2.5389e-82 4.3884e-100 1.2487e-40 7.0983e-24 8.2584e-12 3.6846e-07 3.337e-16 8.7676e-29 1.2963e-42 1.7556e-59 0.009982 8.4274e-06 2.3439e-15 1.5623e-28 9.5649e-06 4.5975e-22 9.6686e-44 5.0464e-70
2.7621e-29 0.62978 2.7597e-23 1.9066e-08 6.395e-25 1.0295e-20 1.7053e-15 5.8816e-46 2.2953e-58 6.3208e-69 6.6289e-90 8.5771e-69 2.8882e-47 2.4062e-33 5.764e-25 7.6377e-92 6.9661e-83 8.0599e-77 3.8145e-74 1.963e-75 2.4888e-52 5.3623e-33 1.0167e-19 1.3856e-38 4.3508e-25 2.2017e-34 1.1676e-46 4.8057e-98 2.2937e-89 2.773e-84 2.5327e-83 7.371e-101 5.9737e-39 2.0168e-22 1.3935e-10 3.6925e-06 1.9861e-15 3.0991e-28 2.7213e-42 2.1888e-59 0.0099789 5.0035e-06 8.2649e-16 3.2716e-29 1.61e-05 1.303e-21 4.6141e-43 4.055e-69
