$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Nb_{i}^{\times}$ $Nb_{i}^{\bullet}$ $Nb_{i}^{\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Nb_{Sn}^{\times}$ $Nb_{Sn}^{\bullet}$ $Nb_{Sn}^{'}$ $Nb_{Sn}^{''}$ $Nb_{Sn}^{'''}$ $Nb_{Sn}^{''''}$
1 1.8663 6.7167e-13 7.8338e-19 3.3609e-39 2.2231e-45 1.513e-50 1.1191e-31 1.0629e-33 7.1239e-34 1.831e-118 9.7342e-108 1.3468e-96 4.6103e-93 4.5376e-95 2.7651e-63 6.138e-44 1.7284e-27 1.9909e-14 2.4936e-05 6.0573e-42 5.3623e-33 4.1776e-30 7.2821e-53 9.3952e-50 1.9535e-69 4.2567e-92 1.7398e-69 2.0211e-50 5.9468e-35 1.3219e-23 9.3632e-31 5.1291e-124 1.3407e-113 1.5234e-106 5.98e-104 9.4916e-109 9.4234e-115 2.5648e-07 9.9744e-05 5.4724e-15 1.4962e-26 2.5797e-42 3.3164e-62
0.020896 1.9162 1.7648e-12 2.9815e-19 2.325e-38 5.8531e-45 1.5162e-50 1.6177e-32 4.037e-34 7.1091e-34 8.7623e-117 1.773e-106 9.3363e-96 1.2164e-92 4.5565e-95 5.7781e-65 3.37e-45 2.4934e-28 7.5458e-15 2.4832e-05 1.5915e-41 5.3623e-33 1.59e-30 5.0375e-52 2.4737e-49 1.9576e-69 1.6235e-92 3.6357e-71 1.1096e-51 8.5785e-36 5.0102e-24 9.3243e-31 6.4223e-122 6.3893e-112 2.7631e-105 4.1282e-103 2.4938e-108 9.4234e-115 6.7108e-07 9.9329e-05 3.7621e-14 2.7026e-25 1.2243e-40 4.1352e-60
0.00043666 1.9661 4.629e-12 1.1367e-19 1.6084e-37 1.5436e-44 1.5244e-50 2.3385e-33 1.5307e-34 7.0707e-34 4.1932e-115 3.2346e-105 6.4937e-95 3.2253e-92 4.6062e-95 1.2074e-66 1.8472e-46 3.5849e-29 2.8458e-15 2.4565e-05 4.1746e-41 5.3623e-33 6.0617e-31 3.4848e-51 6.5237e-49 1.9682e-69 6.2229e-93 7.5973e-73 6.0822e-53 1.2334e-36 1.8895e-24 9.2238e-31 7.9748e-120 3.0246e-110 4.9867e-104 2.8403e-102 6.5414e-108 9.4234e-115 1.7413e-06 9.8259e-05 2.5605e-13 4.8249e-24 5.7332e-39 5.0795e-58
9.1247e-06 2.0157 1.2091e-11 4.3517e-20 1.1126e-36 4.0882e-44 1.5457e-50 3.3805e-34 5.7798e-35 6.9735e-34 2.0066e-113 5.9261e-104 4.5548e-94 8.6612e-92 4.7355e-95 2.5231e-68 1.0082e-47 5.1109e-30 1.0597e-15 2.3894e-05 1.0904e-40 5.3623e-33 2.3207e-31 2.4107e-50 1.7278e-48 1.9957e-69 2.4156e-93 1.5876e-74 3.3198e-54 1.7584e-37 7.0364e-25 8.972e-31 9.6961e-118 1.4079e-108 8.8868e-103 1.9379e-101 1.7086e-107 9.4234e-115 4.4242e-06 9.5576e-05 1.6993e-12 8.3637e-23 2.5958e-37 6.0073e-56
1.9067e-07 2.0649 3.1267e-11 1.6828e-20 7.6969e-36 1.0936e-43 1.599e-50 4.8867e-35 2.1606e-35 6.741e-34 9.6028e-112 1.0967e-102 3.2595e-93 2.3969e-91 5.0677e-95 5.2724e-70 5.4482e-49 7.1418e-31 3.8294e-16 2.2327e-05 2.8197e-40 5.3623e-33 8.9742e-32 1.6677e-49 4.622e-48 2.0645e-69 9.6635e-94 3.3174e-76 1.7939e-55 2.4572e-38 2.5426e-25 8.3837e-31 1.1212e-115 6.2958e-107 1.5367e-101 1.2959e-100 4.4184e-107 9.4234e-115 1.0691e-05 8.9309e-05 1.0618e-11 1.3515e-21 1.0847e-35 6.4912e-54
3.9844e-09 2.1129 7.9176e-11 6.6455e-21 5.3245e-35 2.9877e-43 1.725e-50 7.064e-36 7.9089e-36 6.2486e-34 4.5954e-110 2.0725e-101 2.4325e-92 7.0638e-91 5.8979e-95 1.1017e-71 2.883e-50 9.5698e-32 1.2994e-16 1.9185e-05 7.1404e-40 5.3623e-33 3.5439e-32 1.1536e-48 1.2626e-47 2.2272e-69 4.1168e-94 6.9323e-78 9.4926e-57 3.2925e-39 8.6275e-26 7.2037e-31 1.1675e-113 2.5888e-105 2.4954e-100 8.3097e-100 1.1189e-106 9.4234e-115 2.3261e-05 7.6739e-05 5.8505e-11 1.8856e-20 3.8324e-34 5.8076e-52
8.3261e-11 2.1592 1.9368e-10 2.7167e-21 3.6833e-34 8.4488e-43 1.9941e-50 1.0212e-36 2.7967e-36 5.4052e-34 2.1991e-108 4.0544e-100 1.9453e-91 2.3093e-90 7.882e-95 2.3023e-73 1.4737e-51 1.1967e-32 3.9746e-17 1.4355e-05 1.7467e-39 5.3623e-33 1.4487e-32 7.9806e-48 3.5707e-47 2.5747e-69 1.9455e-94 1.4486e-79 4.8524e-58 4.1171e-40 2.639e-26 5.3903e-31 1.0227e-111 9.2701e-104 3.6528e-99 4.9725e-99 2.737e-106 9.4234e-115 4.2578e-05 5.7422e-05 2.6196e-10 2.0654e-19 1.0269e-32 3.8066e-50
1.7399e-12 2.2033 4.548e-10 1.1569e-21 2.548e-33 2.4891e-42 2.5019e-50 1.4761e-37 9.4932e-37 4.3083e-34 1.0524e-106 8.2627e-99 1.6884e-90 8.5355e-90 1.2407e-94 4.8109e-75 7.2311e-53 1.3788e-33 1.0753e-17 9.1199e-06 4.1015e-39 5.3623e-33 6.1697e-33 5.5207e-47 1.0519e-46 3.2303e-69 1.0395e-94 3.0271e-81 2.381e-59 4.7437e-41 7.14e-27 3.4244e-31 7.3008e-110 2.8184e-102 4.7295e-98 2.7418e-98 6.4271e-106 9.4237e-115 6.3518e-05 3.6481e-05 9.1766e-10 1.6989e-18 1.9834e-31 1.7264e-48
3.6357e-14 2.2457 1.0318e-09 5.0994e-22 1.7627e-32 7.5894e-42 3.3624e-50 2.1338e-38 3.1134e-37 3.2057e-34 5.0362e-105 1.7429e-97 1.5697e-89 3.4977e-89 2.2409e-94 1.0053e-76 3.4282e-54 1.483e-34 2.6242e-18 5.0492e-06 9.3054e-39 5.3623e-33 2.7194e-33 3.8191e-46 3.2074e-46 4.3413e-69 6.1577e-95 6.3255e-83 1.1288e-60 5.1024e-42 1.7424e-27 1.8959e-31 4.3892e-108 7.4683e-101 5.5239e-97 1.4115e-97 1.4584e-105 9.4251e-115 7.9797e-05 2.02e-05 2.6155e-09 1.0986e-17 2.9098e-30 5.7465e-47
7.5973e-16 2.2869 2.2895e-09 2.2982e-22 1.2194e-31 2.3661e-41 4.7242e-50 3.0846e-39 9.9865e-38 2.2816e-34 2.4101e-103 3.7588e-96 1.5257e-88 1.5321e-88 4.4238e-94 2.1007e-78 1.5896e-55 1.5258e-35 5.9908e-19 2.5577e-06 2.0648e-38 5.3623e-33 1.2256e-33 2.6419e-45 9.9996e-46 6.0996e-69 3.8991e-95 1.3218e-84 5.234e-62 5.2496e-43 3.9777e-28 9.604e-32 2.3625e-106 1.8117e-99 6.039e-96 6.9544e-97 3.2382e-105 9.4315e-115 8.9754e-05 1.024e-05 6.5278e-09 6.0839e-17 3.5756e-29 1.5668e-45
