$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Zr_{i}^{\times}$ $Zr_{i}^{\bullet}$ $Zr_{i}^{\bullet\bullet}$ $Zr_{i}^{\bullet\bullet\bullet}$ $Zr_{i}^{\bullet\bullet\bullet\bullet}$ $Zr_{Sn}^{\times}$ $Zr_{Sn}^{'}$ $Zr_{Sn}^{''}$ $Zr_{Sn}^{'''}$ $Zr_{Sn}^{''''}$
3.9844e-09 1.4871 2.5813e-09 6.8621e-09 1.2989e-15 4.1353e-17 4.2232e-18 2.9863e-20 7.4344e-23 1.5548e-24 4.8028e-51 4.3351e-44 6.3124e-37 1.4458e-33 5.6149e-33 2.0952e-40 2.5217e-32 1.0809e-25 9.3713e-21 8.4722e-18 8.8912e-23 1.0356e-16 1.1316e-13 1.9119e-22 2.6883e-19 1.5175e-27 2.773e-37 1.662e-43 1.447e-35 2.005e-29 2.4148e-25 1.6417e-30 4.5184e-55 4.4419e-49 4.1619e-44 2.1441e-41 1.0219e-40 9.9996e-05 4.2809e-09 1.8757e-16 1.2305e-26 8.9042e-39
5.7597e-10 1.4871 2.5813e-09 6.8621e-09 3.4162e-15 1.0876e-16 1.1108e-17 1.1354e-20 2.8266e-23 5.9113e-25 3.3224e-50 2.9989e-43 4.3667e-36 1.0001e-32 3.8843e-32 3.0287e-41 3.6452e-33 1.5626e-26 1.3547e-21 1.2247e-18 8.8912e-23 1.0356e-16 1.1316e-13 5.0285e-22 7.0707e-19 3.9913e-27 7.2935e-37 2.4025e-44 2.0917e-36 2.8984e-30 3.4907e-26 2.3732e-31 3.1257e-54 3.0728e-48 2.8791e-43 1.4832e-40 7.0694e-40 9.9996e-05 4.2809e-09 1.8757e-16 1.2305e-26 8.9042e-39
8.3261e-11 1.4871 2.5813e-09 6.8621e-09 8.9852e-15 2.8607e-16 2.9215e-17 4.3169e-21 1.0747e-23 2.2475e-25 2.2984e-49 2.0745e-42 3.0208e-35 6.9187e-32 2.687e-31 4.3782e-42 5.2694e-34 2.2588e-27 1.9583e-22 1.7704e-19 8.8912e-23 1.0356e-16 1.1316e-13 1.3226e-21 1.8597e-18 1.0498e-26 1.9183e-36 3.4729e-45 3.0237e-37 4.1898e-31 5.046e-27 3.4306e-32 2.1623e-53 2.1256e-47 1.9917e-42 1.026e-39 4.8904e-39 9.9996e-05 4.2809e-09 1.8757e-16 1.2305e-26 8.9042e-39
1.2036e-11 1.4871 2.5813e-09 6.8621e-09 2.3632e-14 7.524e-16 7.6841e-17 1.6413e-21 4.0861e-24 8.5452e-26 1.59e-48 1.4351e-41 2.0897e-34 4.7862e-31 1.8588e-30 6.329e-43 7.6172e-35 3.2652e-28 2.8308e-23 2.5592e-20 8.8912e-23 1.0356e-16 1.1316e-13 3.4786e-21 4.8913e-18 2.7611e-26 5.0454e-36 5.0203e-46 4.3709e-38 6.0565e-32 7.2944e-28 4.9591e-33 1.4958e-52 1.4705e-46 1.3778e-41 7.0978e-39 3.383e-38 9.9996e-05 4.2809e-09 1.8757e-16 1.2305e-26 8.9042e-39
1.7399e-12 1.4871 2.5813e-09 6.8621e-09 6.2157e-14 1.9789e-15 2.021e-16 6.2403e-22 1.5535e-24 3.2489e-26 1.0999e-47 9.9277e-41 1.4456e-33 3.311e-30 1.2859e-29 9.1489e-44 1.1011e-35 4.7201e-29 4.0921e-24 3.6995e-21 8.8912e-23 1.0356e-16 1.1316e-13 9.1493e-21 1.2865e-17 7.2621e-26 1.327e-35 7.2572e-47 6.3184e-39 8.7551e-33 1.0544e-28 7.1687e-34 1.0348e-51 1.0172e-45 9.5311e-41 4.9101e-38 2.3403e-37 9.9996e-05 4.2809e-09 1.8757e-16 1.2305e-26 8.9042e-39
2.5151e-13 1.4871 2.5813e-09 6.8621e-09 1.6348e-13 5.2049e-15 5.3156e-16 2.3726e-22 5.9066e-25 1.2353e-26 7.6087e-47 6.8677e-40 1e-32 2.2904e-29 8.8953e-29 1.3225e-44 1.5917e-36 6.8232e-30 5.9154e-25 5.3479e-22 8.8912e-23 1.0356e-16 1.1316e-13 2.4064e-20 3.3837e-17 1.91e-25 3.4903e-35 1.0491e-47 9.1336e-40 1.2656e-33 1.5243e-29 1.0363e-34 7.1582e-51 7.0369e-45 6.5934e-40 3.3967e-37 1.619e-36 9.9996e-05 4.2809e-09 1.8757e-16 1.2305e-26 8.9042e-39
3.6357e-14 1.4871 2.5813e-09 6.8621e-09 4.2998e-13 1.369e-14 1.3981e-15 9.0208e-23 2.2457e-25 4.6965e-27 5.2635e-46 4.7509e-39 6.9179e-32 1.5844e-28 6.1535e-28 1.9118e-45 2.3009e-37 9.8633e-31 8.5511e-26 7.7307e-23 8.8912e-23 1.0356e-16 1.1316e-13 6.3292e-20 8.8996e-17 5.0237e-25 9.18e-35 1.5165e-48 1.3203e-40 1.8295e-34 2.2034e-30 1.498e-35 4.9519e-50 4.8679e-44 4.5611e-39 2.3497e-36 1.1199e-35 9.9996e-05 4.2809e-09 1.8757e-16 1.2305e-26 8.9042e-39
5.2556e-15 1.4871 2.5813e-09 6.8621e-09 1.1309e-12 3.6006e-14 3.6772e-15 3.4297e-23 8.5384e-26 1.7857e-27 3.6411e-45 3.2865e-38 4.7856e-31 1.0961e-27 4.2568e-27 2.7636e-46 3.3262e-38 1.4258e-31 1.2361e-26 1.1175e-23 8.8912e-23 1.0356e-16 1.1315e-13 1.6647e-19 2.3407e-16 1.3213e-24 2.4145e-34 2.1922e-49 1.9086e-41 2.6447e-35 3.1852e-31 2.1655e-36 3.4256e-49 3.3675e-43 3.1552e-38 1.6255e-35 7.7474e-35 9.9996e-05 4.2809e-09 1.8757e-16 1.2305e-26 8.9043e-39
7.5973e-16 1.4871 2.5814e-09 6.862e-09 2.9745e-12 9.4701e-14 9.6715e-15 1.304e-23 3.2464e-26 6.7892e-28 2.5188e-44 2.2735e-37 3.3105e-30 7.5822e-27 2.9447e-26 3.995e-47 4.8082e-39 2.0611e-32 1.7869e-27 1.6155e-24 8.8912e-23 1.0356e-16 1.1315e-13 4.3784e-19 6.1564e-16 3.4752e-24 6.3503e-34 3.169e-50 2.759e-42 3.8231e-36 4.6045e-32 3.1304e-37 2.3697e-48 2.3295e-42 2.1827e-37 1.1244e-34 5.3593e-34 9.9996e-05 4.2809e-09 1.8757e-16 1.2305e-26 8.9045e-39
1.0982e-16 1.4871 2.5814e-09 6.8619e-09 7.8234e-12 2.4908e-13 2.5437e-14 4.9579e-24 1.2343e-26 2.5814e-28 1.7425e-43 1.5727e-36 2.2901e-29 5.245e-26 2.0369e-25 5.775e-48 6.9507e-40 2.9796e-33 2.5832e-28 2.3354e-25 8.8914e-23 1.0356e-16 1.1315e-13 1.1516e-18 1.6192e-15 9.1401e-24 1.6702e-33 4.5809e-51 3.9884e-43 5.5267e-37 6.6563e-33 4.5255e-38 1.6393e-47 1.6115e-41 1.5099e-36 7.7782e-34 3.7072e-33 9.9996e-05 4.281e-09 1.8757e-16 1.2306e-26 8.905e-39
