$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Ni_{i}^{\times}$ $Ni_{i}^{\bullet}$ $Ni_{i}^{\bullet\bullet}$ $Ni_{i}^{\bullet\bullet\bullet}$ $Ni_{i}^{\bullet\bullet\bullet\bullet}$ $Ni_{Sn}^{\times}$ $Ni_{Sn}^{'}$ $Ni_{Sn}^{''}$ $Ni_{Sn}^{'''}$ $Ni_{Sn}^{''''}$
1 0.62947 2.7432e-23 1.9181e-08 3.3609e-39 5.4432e-35 9.0707e-30 1.1191e-31 4.3411e-44 1.1883e-54 1.831e-118 2.3834e-97 8.0743e-76 6.7674e-62 1.6309e-53 2.7651e-63 2.5069e-54 2.8831e-48 1.3563e-45 6.938e-47 2.4739e-52 5.3623e-33 1.0229e-19 7.2821e-53 2.3004e-39 1.1712e-48 6.2483e-61 1.7398e-69 8.2543e-61 9.9194e-56 9.0054e-55 2.6052e-72 8.5993e-47 3.8078e-33 6.5796e-25 3.027e-28 1.8447e-37 9.9981e-05 1.9181e-08 2.6316e-20 1.3118e-38 1.0518e-61
0.020896 0.62947 2.7432e-23 1.9181e-08 2.325e-38 3.7654e-34 6.2748e-29 1.6177e-32 6.2753e-45 1.7178e-55 8.7623e-117 1.1406e-95 3.8639e-74 3.2385e-60 7.8045e-52 5.7781e-65 5.2385e-56 6.0247e-50 2.8342e-47 1.4498e-48 2.4739e-52 5.3623e-33 1.0229e-19 5.0375e-52 1.5914e-38 8.1017e-48 4.3224e-60 3.6357e-71 1.7249e-62 2.0728e-57 1.8818e-56 5.4439e-74 4.1152e-45 1.8222e-31 3.1486e-23 1.4485e-26 8.8277e-36 9.9981e-05 1.9181e-08 2.6316e-20 1.3118e-38 1.0518e-61
0.00043666 0.62947 2.7432e-23 1.9181e-08 1.6084e-37 2.6048e-33 4.3408e-28 2.3385e-33 9.0713e-46 2.4831e-56 4.1932e-115 5.4582e-94 1.8491e-72 1.5498e-58 3.7348e-50 1.2074e-66 1.0947e-57 1.2589e-51 5.9224e-49 3.0296e-50 2.4739e-52 5.3623e-33 1.0229e-19 3.4848e-51 1.1009e-37 5.6046e-47 2.9901e-59 7.5973e-73 3.6044e-64 4.3314e-59 3.9323e-58 1.1376e-75 1.9693e-43 8.7202e-30 1.5068e-21 6.932e-25 4.2245e-34 9.9981e-05 1.9181e-08 2.6316e-20 1.3118e-38 1.0518e-61
9.1247e-06 0.62947 2.7432e-23 1.9181e-08 1.1126e-36 1.8019e-32 3.0028e-27 3.3805e-34 1.3113e-46 3.5895e-57 2.0066e-113 2.612e-92 8.8488e-71 7.4165e-57 1.7873e-48 2.5231e-68 2.2875e-59 2.6308e-53 1.2376e-50 6.3307e-52 2.4739e-52 5.3623e-33 1.0229e-19 2.4107e-50 7.6154e-37 3.8771e-46 2.0685e-58 1.5876e-74 7.5318e-66 9.0512e-61 8.2172e-60 2.3771e-77 9.4242e-42 4.173e-28 7.2107e-20 3.3173e-23 2.0216e-32 9.9981e-05 1.9181e-08 2.6316e-20 1.3118e-38 1.0518e-61
1.9067e-07 0.62947 2.7432e-23 1.9181e-08 7.6969e-36 1.2465e-31 2.0773e-26 4.8867e-35 1.8956e-47 5.1889e-58 9.6028e-112 1.25e-90 4.2346e-69 3.5492e-55 8.5531e-47 5.2724e-70 4.78e-61 5.4974e-55 2.5861e-52 1.3229e-53 2.4739e-52 5.3623e-33 1.0229e-19 1.6677e-49 5.2681e-36 2.6821e-45 1.4309e-57 3.3174e-76 1.5739e-67 1.8914e-62 1.7171e-61 4.9674e-79 4.5099e-40 1.997e-26 3.4507e-18 1.5875e-21 9.6745e-31 9.9981e-05 1.9181e-08 2.6316e-20 1.3118e-38 1.0518e-61
3.9844e-09 0.62947 2.7432e-23 1.9181e-08 5.3245e-35 8.6232e-31 1.437e-25 7.064e-36 2.7402e-48 7.5008e-59 4.5954e-110 5.9818e-89 2.0265e-67 1.6985e-53 4.0931e-45 1.1017e-71 9.9885e-63 1.1488e-56 5.4041e-54 2.7644e-55 2.4739e-52 5.3623e-33 1.0229e-19 1.1536e-48 3.6443e-35 1.8554e-44 9.8987e-57 6.9323e-78 3.2889e-69 3.9523e-64 3.5881e-63 1.038e-80 2.1582e-38 9.5566e-25 1.6513e-16 7.5969e-20 4.6297e-29 9.9981e-05 1.9181e-08 2.6316e-20 1.3118e-38 1.0518e-61
8.3261e-11 0.62947 2.7432e-23 1.9181e-08 3.6833e-34 5.9653e-30 9.9407e-25 1.0212e-36 3.9611e-49 1.0843e-59 2.1991e-108 2.8626e-87 9.6976e-66 8.1279e-52 1.9587e-43 2.3023e-73 2.0872e-64 2.4005e-58 1.1293e-55 5.7766e-57 2.4739e-52 5.3623e-33 1.0229e-19 7.9806e-48 2.5211e-34 1.2835e-43 6.8476e-56 1.4486e-79 6.8726e-71 8.259e-66 7.498e-65 2.1691e-82 1.0328e-36 4.5733e-23 7.9024e-15 3.6355e-18 2.2155e-27 9.9981e-05 1.9181e-08 2.6316e-20 1.3118e-38 1.0518e-61
1.7399e-12 0.62947 2.7432e-23 1.918e-08 2.548e-33 4.1265e-29 6.8765e-24 1.4761e-37 5.7261e-50 1.5675e-60 1.0524e-106 1.3699e-85 4.6406e-64 3.8894e-50 9.3728e-42 4.8109e-75 4.3617e-66 5.0164e-60 2.3599e-57 1.2072e-58 2.474e-52 5.3623e-33 1.0229e-19 5.5207e-47 1.744e-33 8.8785e-43 4.7367e-55 3.0271e-81 1.4362e-72 1.7259e-67 1.5669e-66 4.533e-84 4.9425e-35 2.1885e-21 3.7815e-13 1.7397e-16 1.0602e-25 9.9981e-05 1.9181e-08 2.6317e-20 1.3119e-38 1.0519e-61
3.6357e-14 0.62952 2.7458e-23 1.9163e-08 1.7627e-32 2.852e-28 4.7482e-23 2.1338e-38 8.2851e-51 2.2701e-61 5.0362e-105 6.5494e-84 2.2167e-62 1.8561e-48 4.4688e-40 1.0053e-76 9.1228e-68 1.0502e-61 4.945e-59 2.532e-60 2.4762e-52 5.3623e-33 1.0219e-19 3.8191e-46 1.2053e-32 6.1306e-42 3.2677e-54 6.3255e-83 3.0038e-74 3.6132e-69 3.2834e-68 9.5073e-86 2.3652e-33 1.0463e-19 1.8063e-11 8.3021e-15 5.0547e-24 9.9981e-05 1.9199e-08 2.6366e-20 1.3155e-38 1.0558e-61
7.5973e-16 0.63162 2.8596e-23 1.84e-08 1.2194e-31 1.8944e-27 3.0283e-22 3.0846e-39 1.2473e-51 3.5593e-62 2.4101e-103 3.0094e-82 9.7799e-61 7.8632e-47 1.8178e-38 2.1007e-78 1.9854e-69 2.3803e-63 1.1673e-60 6.2246e-62 2.5789e-52 5.3623e-33 9.8123e-20 2.6419e-45 8.006e-32 3.91e-41 2.0011e-53 1.3218e-84 6.5373e-76 8.1894e-71 7.7505e-70 2.3373e-87 1.1319e-31 4.8078e-18 7.9693e-10 3.517e-13 2.0561e-22 9.9979e-05 1.9995e-08 2.8597e-20 1.486e-38 1.2421e-61
