$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Ti_{i}^{\times}$ $Ti_{i}^{\bullet}$ $Ti_{i}^{\bullet\bullet}$ $Ti_{i}^{\bullet\bullet\bullet}$ $Ti_{i}^{\bullet\bullet\bullet\bullet}$ $Ti_{Sn}^{\times}$ $Ti_{Sn}^{'}$ $Ti_{Sn}^{''}$ $Ti_{Sn}^{'''}$ $Ti_{Sn}^{''''}$
1 1.1881 1.35e-18 3.8977e-13 3.3609e-39 1.1061e-39 3.7455e-39 1.1191e-31 2.1363e-39 2.8777e-45 1.831e-118 4.8432e-102 3.3341e-85 5.6784e-76 2.7808e-72 2.7651e-63 1.2337e-49 6.9821e-39 1.6164e-31 4.069e-28 1.2174e-47 5.3623e-33 2.0786e-24 7.2821e-53 4.6745e-44 4.836e-58 5.2429e-75 1.7398e-69 4.062e-56 2.4022e-46 1.0732e-40 1.5279e-53 8.1375e-106 8.7307e-91 1.443e-80 2.0278e-75 1.3301e-72 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
0.020896 1.1881 1.35e-18 3.8977e-13 2.325e-38 7.6516e-39 2.591e-38 1.6177e-32 3.0881e-40 4.16e-46 8.7623e-117 2.3177e-100 1.5955e-83 2.7174e-74 1.3307e-70 5.7781e-65 2.5779e-51 1.459e-40 3.3777e-33 8.5028e-30 1.2174e-47 5.3623e-33 2.0786e-24 5.0375e-52 3.2337e-43 3.3454e-57 3.6269e-74 3.6357e-71 8.4882e-58 5.0198e-48 2.2427e-42 3.1927e-55 3.8942e-104 4.1781e-89 6.9054e-79 9.7039e-74 6.3654e-71 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
0.00043666 1.1881 1.35e-18 3.8977e-13 1.6084e-37 5.2932e-38 1.7924e-37 2.3385e-33 4.4641e-41 6.0135e-47 4.1932e-115 1.1091e-98 7.6354e-82 1.3004e-72 6.3682e-69 1.2074e-66 5.387e-53 3.0488e-42 7.0582e-35 1.7768e-31 1.2174e-47 5.3623e-33 2.0786e-24 3.4848e-51 2.237e-42 2.3143e-56 2.509e-73 7.5973e-73 1.7737e-59 1.049e-49 4.6864e-44 6.6717e-57 1.8636e-102 1.9994e-87 3.3046e-77 4.6438e-72 3.0462e-69 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
9.1247e-06 1.1881 1.35e-18 3.8977e-13 1.1126e-36 3.6617e-37 1.2399e-36 3.3805e-34 6.4531e-42 8.6929e-48 2.0066e-113 5.3078e-97 3.6539e-80 6.2231e-71 3.0475e-67 2.5231e-68 1.1257e-54 6.371e-44 1.4749e-36 3.7129e-33 1.2174e-47 5.3623e-33 2.0786e-24 2.4107e-50 1.5475e-41 1.6009e-55 1.7356e-72 1.5876e-74 3.7065e-61 2.192e-51 9.793e-46 1.3941e-58 8.918e-101 9.5682e-86 1.5814e-75 2.2223e-70 1.4577e-67 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
1.9067e-07 1.1881 1.35e-18 3.8977e-13 7.6969e-36 2.533e-36 8.5776e-36 4.8867e-35 9.3284e-43 1.2566e-48 9.6028e-112 2.54e-95 1.7486e-78 2.9781e-69 1.4584e-65 5.2724e-70 2.3523e-56 1.3313e-45 3.082e-38 7.7586e-35 1.2174e-47 5.3623e-33 2.0786e-24 1.6677e-49 1.0705e-40 1.1075e-54 1.2007e-71 3.3174e-76 7.7453e-63 4.5804e-53 2.0464e-47 2.9133e-60 4.2677e-99 4.5789e-84 7.5678e-74 1.0635e-68 6.976e-66 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
3.9844e-09 1.1881 1.35e-18 3.8977e-13 5.3245e-35 1.7523e-35 5.9337e-35 7.064e-36 1.3485e-43 1.8165e-49 4.5954e-110 1.2155e-93 8.3678e-77 1.4252e-67 6.979e-64 1.1017e-71 4.9154e-58 2.782e-47 6.4404e-40 1.6213e-36 1.2174e-47 5.3623e-33 2.0786e-24 1.1536e-48 7.4055e-40 7.6613e-54 8.3059e-71 6.9323e-78 1.6185e-64 9.5715e-55 4.2762e-49 6.0877e-62 2.0423e-97 2.1912e-82 3.6215e-72 5.0893e-67 3.3384e-64 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
8.3261e-11 1.1881 1.35e-18 3.8977e-13 3.6833e-34 1.2122e-34 4.1048e-34 1.0212e-36 1.9493e-44 2.6259e-50 2.1991e-108 5.8169e-92 4.0044e-75 6.8201e-66 3.3398e-62 2.3023e-73 1.0272e-59 5.8134e-49 1.3458e-41 3.3879e-38 1.2174e-47 5.3623e-33 2.0786e-24 7.9806e-48 5.1229e-39 5.2999e-53 5.7458e-70 1.4486e-79 3.3821e-66 2.0001e-56 8.9358e-51 1.2721e-63 9.7735e-96 1.0486e-80 1.7331e-70 2.4355e-65 1.5976e-62 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
1.7399e-12 1.1881 1.35e-18 3.8977e-13 2.548e-33 8.3855e-34 2.8396e-33 1.4761e-37 2.8178e-45 3.7958e-51 1.0524e-106 2.7837e-90 1.9163e-73 3.2637e-64 1.5983e-60 4.8109e-75 2.1464e-61 1.2148e-50 2.8123e-43 7.0795e-40 1.2174e-47 5.3623e-33 2.0786e-24 5.5207e-47 3.5439e-38 3.6663e-52 3.9748e-69 3.0271e-81 7.0674e-68 4.1795e-58 1.8673e-52 2.6583e-65 4.6771e-94 5.0181e-79 8.2937e-69 1.1655e-63 7.6452e-61 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
3.6357e-14 1.1881 1.35e-18 3.8977e-13 1.7627e-32 5.8009e-33 1.9643e-32 2.1338e-38 4.0734e-46 5.4871e-52 5.0362e-105 1.3321e-88 9.1704e-72 1.5619e-62 7.6485e-59 1.0053e-76 4.4852e-63 2.5385e-52 5.8767e-45 1.4794e-41 1.2174e-47 5.3623e-33 2.0786e-24 3.8191e-46 2.4516e-37 2.5363e-51 2.7496e-68 6.3255e-83 1.4768e-69 8.7337e-60 3.902e-54 5.5549e-67 2.2382e-92 2.4014e-77 3.9689e-67 5.5774e-62 3.6586e-59 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
7.5973e-16 1.1881 1.35e-18 3.8977e-13 1.2194e-31 4.0129e-32 1.3589e-31 3.0846e-39 5.8883e-47 7.932e-53 2.4101e-103 6.3749e-87 4.3885e-70 7.4743e-61 3.6602e-57 2.1007e-78 9.3725e-65 5.3046e-54 1.228e-46 3.0914e-43 1.2174e-47 5.3623e-33 2.0786e-24 2.6419e-45 1.6959e-36 1.7545e-50 1.9021e-67 1.3218e-84 3.0861e-71 1.825e-61 8.1537e-56 1.1608e-68 1.0711e-90 1.1492e-75 1.8993e-65 2.6691e-60 1.7508e-57 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
1.5876e-17 1.1881 1.35e-18 3.8977e-13 8.4352e-31 2.776e-31 9.4004e-31 4.459e-40 8.5119e-48 1.1466e-53 1.1533e-101 3.0507e-85 2.1001e-68 3.5768e-59 1.7516e-55 4.3898e-80 1.9585e-66 1.1085e-55 2.5661e-48 6.4599e-45 1.2174e-47 5.3623e-33 2.0786e-24 1.8276e-44 1.1732e-35 1.2137e-49 1.3158e-66 2.7621e-86 6.4488e-73 3.8137e-63 1.7038e-57 2.4256e-70 5.1257e-89 5.4994e-74 9.0892e-64 1.2773e-58 8.3785e-56 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
3.3175e-19 1.1881 1.35e-18 3.8977e-13 5.8352e-30 1.9204e-30 6.5029e-30 6.4457e-41 1.2304e-48 1.6575e-54 5.5193e-100 1.4599e-83 1.005e-66 1.7117e-57 8.3821e-54 9.1732e-82 4.0926e-68 2.3163e-57 5.3623e-50 1.3499e-46 1.2174e-47 5.3623e-33 2.0786e-24 1.2643e-43 8.1159e-35 8.3962e-49 9.1026e-66 5.7719e-88 1.3476e-74 7.9693e-65 3.5604e-59 5.0687e-72 2.4529e-87 2.6317e-72 4.3496e-62 6.1124e-57 4.0095e-54 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
6.9323e-21 1.1881 1.35e-18 3.8977e-13 4.0367e-29 1.3285e-29 4.4985e-29 9.3177e-42 1.7787e-49 2.396e-55 2.6413e-98 6.9864e-82 4.8094e-65 8.1912e-56 4.0113e-52 1.9169e-83 8.5522e-70 4.8403e-59 1.1205e-51 2.8208e-48 1.2174e-47 5.3623e-33 2.0786e-24 8.7461e-43 5.6143e-34 5.8083e-48 6.2969e-65 1.2061e-89 2.8159e-76 1.6653e-66 7.44e-61 1.0592e-73 1.1738e-85 1.2594e-70 2.0815e-60 2.9251e-55 1.9188e-52 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
1.4486e-22 1.1881 1.35e-18 3.8977e-13 2.7924e-28 9.1899e-29 3.112e-28 1.3469e-42 2.5712e-50 3.4636e-56 1.264e-96 3.3433e-80 2.3016e-63 3.9199e-54 1.9196e-50 4.0056e-85 1.7871e-71 1.0114e-60 2.3415e-53 5.8945e-50 1.2174e-47 5.3623e-33 2.0786e-24 6.0503e-42 3.8838e-33 4.018e-47 4.3561e-64 2.5204e-91 5.8843e-78 3.4799e-68 1.5547e-62 2.2133e-75 5.6174e-84 6.0269e-69 9.9611e-59 1.3998e-53 9.1822e-51 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
3.0271e-24 1.1881 1.35e-18 3.8977e-13 1.9317e-27 6.3573e-28 2.1528e-27 1.9471e-43 3.7168e-51 5.0069e-57 6.0487e-95 1.6e-78 1.1014e-61 1.8759e-52 9.1862e-49 8.3703e-87 3.7344e-73 2.1136e-62 4.893e-55 1.2317e-51 1.2174e-47 5.3623e-33 2.0786e-24 4.1854e-41 2.6867e-32 2.7795e-46 3.0134e-63 5.2667e-93 1.2296e-79 7.2718e-70 3.2488e-64 4.625e-77 2.6882e-82 2.8842e-67 4.7669e-57 6.6988e-52 4.3941e-49 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
6.3256e-26 1.1881 1.35e-18 3.8977e-13 1.3363e-26 4.3978e-27 1.4892e-26 2.8146e-44 5.3729e-52 7.2377e-58 2.8946e-93 7.6566e-77 5.2708e-60 8.977e-51 4.396e-47 1.7491e-88 7.8036e-75 4.4166e-64 1.0225e-56 2.5739e-53 1.2174e-47 5.3623e-33 2.0786e-24 2.8954e-40 1.8586e-31 1.9228e-45 2.0846e-62 1.1006e-94 2.5695e-81 1.5195e-71 6.7888e-66 9.6647e-79 1.2864e-80 1.3802e-65 2.2812e-55 3.2057e-50 2.1028e-47 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
1.3218e-27 1.1881 1.35e-18 3.8977e-13 9.2443e-26 3.0423e-26 1.0302e-25 4.0687e-45 7.7669e-53 1.0463e-58 1.3852e-91 3.664e-75 2.5223e-58 4.2959e-49 2.1037e-45 3.655e-90 1.6307e-76 9.2292e-66 2.1366e-58 5.3785e-55 1.2174e-47 5.3623e-33 2.0786e-24 2.0029e-39 1.2857e-30 1.3301e-44 1.4421e-61 2.2998e-96 5.3693e-83 3.1753e-73 1.4186e-67 2.0196e-80 6.1562e-79 6.6051e-64 1.0917e-53 1.5341e-48 1.0063e-45 0.01 3.8977e-13 4.1906e-29 3.8289e-49 3.2006e-73
