$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Nb_{i}^{\times}$ $Nb_{i}^{\bullet}$ $Nb_{i}^{\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Nb_{Sn}^{\times}$ $Nb_{Sn}^{\bullet}$ $Nb_{Sn}^{'}$ $Nb_{Sn}^{''}$ $Nb_{Sn}^{'''}$ $Nb_{Sn}^{''''}$
3.9844e-09 2.2054 2.6835e-06 6.5996e-12 1.2989e-15 3.9771e-20 3.9064e-24 2.9863e-20 7.7301e-20 1.6809e-18 4.8028e-51 4.1693e-47 5.8388e-43 1.2862e-42 4.804e-45 2.0952e-40 2.6219e-29 1.1686e-19 1.0534e-11 9.9024e-06 9.2448e-20 1.0356e-16 1.0883e-16 1.9119e-22 2.5855e-22 1.4037e-33 2.4669e-46 1.662e-43 1.5045e-32 2.1676e-23 2.7145e-16 1.9188e-18 9.0889e-55 5.5325e-51 7.0213e-49 5.2375e-49 7.856e-53 2.9471e-57 5.7263e-05 4.2515e-05 2.2216e-07 9.7572e-12 3.4029e-18 1.0248e-26
5.7597e-10 2.247 4.0131e-06 4.4127e-12 3.4162e-15 6.9942e-20 4.5934e-24 1.1354e-20 4.3956e-20 1.4295e-18 3.3224e-50 1.9285e-46 1.8058e-42 2.6596e-42 6.6423e-45 3.0287e-41 5.6685e-30 3.7786e-20 5.0942e-12 7.1618e-06 1.3826e-19 1.0356e-16 7.2766e-17 5.0285e-22 4.5469e-22 1.6505e-33 1.9395e-46 2.4025e-44 3.2527e-33 7.0088e-24 1.3127e-16 1.3878e-18 7.3091e-54 2.9748e-50 2.5243e-48 1.259e-48 1.2627e-52 3.1673e-57 6.6567e-05 3.3046e-05 3.8625e-07 2.5371e-11 1.3233e-17 5.9603e-26
8.3261e-11 2.2861 5.8533e-06 3.0251e-12 8.9852e-15 1.2611e-19 5.6776e-24 4.3169e-21 2.4379e-20 1.1565e-18 2.2984e-49 9.1453e-46 5.8705e-42 5.9273e-42 1.0148e-44 4.3782e-42 1.1953e-30 1.1623e-20 2.2858e-12 4.6877e-06 2.0169e-19 1.0356e-16 4.9883e-17 1.3226e-21 8.1983e-22 2.0401e-33 1.6434e-46 3.4729e-45 6.8589e-34 2.1559e-24 5.89e-17 9.0836e-19 5.6315e-53 1.5712e-49 9.1402e-48 3.1252e-48 2.1487e-52 3.6947e-57 7.4141e-05 2.5232e-05 6.2754e-07 6.0129e-11 4.575e-17 3.0058e-25
1.2036e-11 2.3206 8.1712e-06 2.1666e-12 2.3632e-14 2.3756e-19 7.6603e-24 1.6413e-21 1.2941e-20 8.5717e-19 1.59e-48 4.5312e-45 2.0832e-41 1.5065e-41 1.8473e-44 6.329e-43 2.4125e-31 3.2754e-21 8.9936e-13 2.5751e-06 2.816e-19 1.0356e-16 3.5727e-17 3.4786e-21 1.5444e-21 2.7525e-33 1.5881e-46 5.0203e-46 1.3843e-34 6.0754e-25 2.3174e-17 4.99e-19 4.185e-52 8.363e-49 3.4843e-47 8.5327e-48 4.2017e-52 5.1747e-57 7.9645e-05 1.9413e-05 9.4124e-07 1.2592e-10 1.3377e-16 1.2271e-24
1.7399e-12 2.3463 1.0479e-05 1.6892e-12 6.2157e-14 4.8713e-19 1.2246e-23 6.2403e-22 6.3111e-21 5.3618e-19 1.0999e-47 2.4438e-44 8.7595e-41 4.9385e-41 4.7213e-44 9.1489e-44 4.4732e-32 7.7897e-22 2.7435e-13 1.0076e-06 3.612e-19 1.0356e-16 2.7854e-17 9.1493e-21 3.1668e-21 4.4004e-33 1.9794e-46 7.2572e-47 2.5668e-35 1.4449e-25 7.0693e-18 1.9525e-19 3.0161e-51 4.6989e-48 1.5263e-46 2.9141e-47 1.1187e-51 1.0742e-56 8.2974e-05 1.5768e-05 1.2577e-06 2.1582e-10 2.9408e-16 3.4602e-24
2.5151e-13 2.3588 1.1821e-05 1.4973e-12 1.6348e-13 1.1357e-18 2.5307e-23 2.3726e-22 2.7071e-21 2.5946e-19 7.6087e-47 1.4985e-43 4.761e-40 2.3793e-40 2.0162e-43 1.3225e-44 7.295e-33 1.4332e-22 5.6945e-14 2.3594e-07 4.0749e-19 1.0356e-16 2.469e-17 2.4064e-20 7.383e-21 9.0934e-33 3.6257e-46 1.0491e-47 4.186e-36 2.6584e-26 1.4673e-18 4.572e-20 2.121e-50 2.929e-47 8.4334e-46 1.4272e-46 4.8567e-51 4.1335e-56 8.4349e-05 1.4208e-05 1.4425e-06 2.7924e-10 4.2926e-16 5.6981e-24
3.6357e-14 2.362 1.2187e-05 1.4523e-12 4.2998e-13 2.8973e-18 6.2625e-23 9.0208e-23 1.0611e-21 1.0485e-19 5.2635e-46 1.0055e-42 3.0987e-39 1.5021e-39 1.2347e-42 1.9118e-45 1.0872e-33 2.202e-23 9.02e-15 3.853e-08 4.201e-19 1.0356e-16 2.3949e-17 6.3292e-20 1.8835e-20 2.2503e-32 8.7028e-46 1.5165e-48 6.2384e-37 4.0844e-27 2.3242e-19 7.4661e-21 1.4729e-49 1.9729e-46 5.51e-45 9.0448e-46 2.9855e-50 2.4646e-55 8.4673e-05 1.3834e-05 1.4928e-06 2.9793e-10 4.7217e-16 6.4616e-24
5.2556e-15 2.3625 1.2249e-05 1.445e-12 1.1309e-12 7.5821e-18 1.6306e-22 3.4297e-23 4.0548e-22 4.0269e-20 3.6411e-45 6.9207e-42 2.1221e-38 1.0235e-38 8.3701e-42 2.7636e-46 1.5795e-34 3.2154e-24 1.3238e-15 5.6834e-09 4.2223e-19 1.0356e-16 2.3828e-17 1.6647e-19 4.929e-20 5.859e-32 2.2545e-45 2.1922e-49 9.0637e-38 5.9642e-28 3.4112e-20 1.1013e-21 1.0195e-48 1.3588e-45 3.7757e-44 6.1666e-45 2.0252e-49 1.6635e-54 8.4725e-05 1.3773e-05 1.5013e-06 3.0114e-10 4.7968e-16 6.5977e-24
7.5973e-16 2.3626 1.2258e-05 1.4439e-12 2.9745e-12 1.9927e-17 4.2822e-22 1.304e-23 1.5428e-22 1.5334e-20 2.5188e-44 4.7839e-41 1.4658e-37 7.0642e-38 5.7729e-41 3.995e-47 2.285e-35 4.6551e-25 1.918e-16 8.2404e-10 4.2255e-19 1.0356e-16 2.381e-17 4.3784e-19 1.2954e-19 1.5387e-31 5.9165e-45 3.169e-50 1.3112e-38 8.6345e-29 4.9421e-21 1.5968e-22 7.0534e-48 9.3935e-45 2.6082e-43 4.2567e-44 1.3969e-48 1.1465e-53 8.4733e-05 1.3764e-05 1.5026e-06 3.0162e-10 4.808e-16 6.618e-24
1.0982e-16 2.3626 1.2259e-05 1.4438e-12 7.8234e-12 5.2406e-17 1.1261e-21 4.9579e-24 5.8664e-23 5.8311e-21 1.7425e-43 3.309e-40 1.0138e-36 4.8852e-37 3.9918e-40 5.775e-48 3.3035e-36 6.7306e-26 2.7734e-17 1.1917e-10 4.2259e-19 1.0356e-16 2.3807e-17 1.1516e-18 3.4069e-19 4.0462e-31 1.5556e-44 4.5809e-51 1.8956e-39 1.2484e-29 7.1465e-22 2.3092e-23 4.8794e-47 6.4976e-44 1.8039e-42 2.9438e-43 9.6595e-48 7.9273e-53 8.4734e-05 1.3763e-05 1.5027e-06 3.0169e-10 4.8096e-16 6.621e-24
