$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Cu_{i}^{\times}$ $Cu_{i}^{\bullet}$ $Cu_{i}^{\bullet\bullet}$ $Cu_{i}^{\bullet\bullet\bullet}$ $Cu_{Sn}^{'}$ $Cu_{Sn}^{''}$ $Cu_{Sn}^{'''}$ $Cu_{Sn}^{''''}$
1 0.30072 2.6878e-14 0.00064826 8.1987e-20 2.5069e-16 2.4588e-12 4.731e-16 1.2264e-23 2.6705e-30 1.9136e-59 1.6589e-47 2.3198e-35 5.1028e-27 1.9033e-21 5.2584e-32 6.5898e-29 2.9413e-27 2.6552e-27 2.4994e-29 9.2579e-28 1.0356e-16 1.0867e-08 1.2068e-26 1.6297e-18 8.8351e-22 1.5505e-26 4.1711e-35 3.7813e-32 5.4557e-31 6.8418e-32 4.8433e-42 2.4006e-13 9.8317e-05 0.0030196 2.6438e-05 0.0068463 9.4061e-06 3.596e-14 4.4652e-26
0.14456 0.36598 5.0523e-14 0.00034751 2.1564e-19 3.5077e-16 1.8303e-12 1.7987e-16 8.7645e-24 3.5875e-30 1.3238e-58 6.1049e-47 4.5419e-35 5.3149e-27 1.0546e-21 7.6014e-33 1.7906e-29 1.5023e-27 2.5492e-27 4.5107e-29 1.7402e-27 1.0356e-16 5.7813e-09 3.1741e-26 2.2803e-18 6.5767e-22 6.1402e-27 6.0296e-36 1.0275e-32 2.7866e-31 6.5688e-32 8.7407e-42 8.6476e-13 0.00018842 0.0030785 1.4339e-05 0.0067014 1.7307e-05 1.2437e-13 2.9029e-25
0.020896 0.43243 9.6061e-14 0.00018354 5.6716e-19 4.8523e-16 1.3316e-12 6.8389e-17 6.3359e-24 4.9309e-30 9.1577e-58 2.2212e-46 8.6912e-35 5.3491e-27 5.5824e-22 1.0988e-33 4.9215e-30 7.8509e-28 2.5329e-27 8.5216e-29 3.3088e-27 1.0356e-16 3.0407e-09 8.3484e-26 3.1544e-18 4.7849e-22 2.3496e-27 8.7162e-37 2.824e-33 1.4562e-31 6.5268e-32 1.6513e-41 3.0844e-12 0.00035345 0.0030374 7.4409e-06 0.0065695 3.2258e-05 4.4076e-13 1.9561e-24
0.0030207 0.49997 1.846e-13 9.5723e-05 1.4917e-18 6.6413e-16 9.4844e-13 2.6002e-17 4.6292e-24 6.9231e-30 6.3351e-57 7.9959e-46 1.6281e-34 5.2145e-27 2.8319e-22 1.5884e-34 1.3671e-30 4.1909e-28 2.5983e-27 1.6798e-28 6.3583e-27 1.0356e-16 1.5823e-09 2.1958e-25 4.3174e-18 3.408e-22 8.7083e-28 1.26e-37 7.8449e-34 7.7736e-32 6.6953e-32 3.2551e-41 1.0824e-11 0.00064545 0.0028864 3.6796e-06 0.0064041 6.0429e-05 1.5866e-12 1.3531e-23
0.00043666 0.56891 3.5952e-13 4.9208e-05 3.9235e-18 8.9689e-16 6.5766e-13 9.8861e-18 3.4278e-24 9.9841e-30 4.3824e-56 2.8401e-45 2.9693e-34 4.883e-27 1.3616e-22 2.2962e-35 3.849e-31 2.2979e-28 2.7747e-27 3.4937e-28 1.2383e-26 1.0356e-16 8.1245e-10 5.7752e-25 5.8306e-18 2.3631e-22 3.1005e-28 1.8214e-38 2.2086e-34 4.2624e-32 7.1497e-32 6.7699e-41 3.6954e-11 0.0011315 0.002598 1.7006e-06 0.0061556 0.00011312 5.7847e-12 9.6081e-23
6.3122e-05 0.63984 7.1389e-13 2.4797e-05 1.0319e-17 1.188e-15 4.387e-13 3.7587e-18 2.5879e-24 1.4967e-29 3.0316e-55 9.8944e-45 5.2096e-34 4.3144e-27 6.0587e-23 3.3192e-36 1.1048e-31 1.3098e-28 3.1404e-27 7.8516e-28 2.4589e-26 1.0356e-16 4.0915e-10 1.519e-24 7.723e-18 1.5763e-22 1.0416e-28 2.6329e-39 6.3396e-35 2.4294e-32 8.092e-32 1.5215e-40 1.2075e-10 0.001862 0.002153 7.0974e-07 0.0057736 0.00021069 2.1393e-11 7.0557e-22
9.1247e-06 0.71348 1.4551e-12 1.217e-05 2.7142e-17 1.533e-15 2.7773e-13 1.4291e-18 2.0055e-24 2.3642e-29 2.0972e-54 3.3581e-44 8.6746e-34 3.5246e-27 2.4283e-23 4.7982e-37 3.2553e-32 7.8659e-29 3.8441e-27 1.959e-27 5.0119e-26 1.0356e-16 2.0074e-10 3.9951e-24 9.9657e-18 9.9796e-23 3.2351e-29 3.8061e-40 1.8679e-35 1.459e-32 9.9053e-32 3.7961e-40 3.7046e-10 0.0028026 0.0015899 2.5714e-07 0.005219 0.00038819 8.0341e-11 5.4009e-21
1.319e-06 0.78978 3.0434e-12 5.8193e-06 7.1387e-17 1.9277e-15 1.6698e-13 5.4335e-19 1.5948e-24 3.9324e-29 1.4508e-53 1.1107e-43 1.3717e-33 2.6647e-27 8.7775e-24 6.9361e-38 9.8423e-33 4.9743e-29 5.0846e-27 5.4196e-27 1.0483e-25 1.0356e-16 9.5974e-11 1.0508e-23 1.2532e-17 5.9999e-23 9.2992e-30 5.5019e-41 5.6477e-36 9.2267e-33 1.3102e-31 1.0502e-39 1.0504e-09 0.0037992 0.0010305 7.9681e-08 0.0044742 0.00069604 3.0131e-10 4.2365e-20
1.9067e-07 0.86707 6.426e-12 2.7563e-06 1.8776e-16 2.4013e-15 9.8512e-14 2.0658e-19 1.2803e-24 6.6654e-29 1.0036e-52 3.6389e-43 2.1285e-33 1.9583e-27 3.0551e-24 1.0027e-38 3.0041e-33 3.2057e-29 6.9186e-27 1.5571e-26 2.2134e-25 1.0356e-16 4.5455e-11 2.7637e-23 1.5611e-17 3.5398e-23 2.5984e-30 7.9533e-42 1.7238e-36 5.9462e-33 1.7828e-31 3.0172e-39 2.732e-09 0.0046801 0.00060122 2.2017e-08 0.0035519 0.0011667 1.0664e-09 3.1658e-19
2.7563e-08 0.94282 1.3368e-11 1.325e-06 4.9383e-16 3.0359e-15 5.9867e-14 7.8544e-20 1.0127e-24 1.0968e-28 6.9427e-52 1.21e-42 3.4022e-33 1.5046e-27 1.1283e-24 1.4494e-39 9.0341e-34 2.0056e-29 9.0049e-27 4.2161e-26 4.6047e-25 1.0356e-16 2.1849e-11 7.269e-23 1.9736e-17 2.1512e-23 7.5903e-31 1.1497e-42 5.184e-37 3.7201e-33 2.3204e-31 8.1698e-39 6.5256e-09 0.0053734 0.0003318 5.8408e-09 0.0025514 0.0017435 3.3152e-09 2.0475e-18
