$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $W_{i}^{\times}$ $W_{i}^{\bullet}$ $W_{i}^{\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $W_{Sn}^{\times}$ $W_{Sn}^{\bullet}$ $W_{Sn}^{\bullet\bullet}$ $W_{Sn}^{'}$ $W_{Sn}^{''}$ $W_{Sn}^{'''}$ $W_{Sn}^{''''}$
1 1.8441 8.1517e-08 2.1729e-10 8.1987e-20 8.2657e-23 2.6731e-25 4.731e-16 3.7194e-17 2.4564e-17 1.9136e-59 5.4696e-54 2.522e-48 1.8291e-46 2.2495e-47 5.2584e-32 1.9986e-22 2.7055e-14 7.4073e-08 0.0021148 2.8078e-21 1.0356e-16 3.5832e-15 1.2068e-26 5.3735e-25 9.6051e-35 5.5579e-46 4.1711e-35 1.1468e-25 5.0184e-18 1.9087e-12 4.0979e-16 4.2165e-60 1.3359e-55 7.0135e-53 2.4555e-52 1.3504e-54 1.8237e-59 3.7415e-66 0.0015482 0.0084422 8.9135e-06 6.4937e-07 2.0481e-12 4.087e-20 8.2064e-30
0.14456 1.8918 1.2934e-07 1.3695e-10 2.1564e-19 1.3702e-22 2.7928e-25 1.7987e-16 2.2437e-17 2.3511e-17 1.3238e-58 2.3847e-53 6.9303e-48 3.1679e-46 2.4554e-47 7.6014e-33 4.584e-23 9.8457e-15 4.2769e-08 0.0019374 4.455e-21 1.0356e-16 2.2583e-15 3.1741e-26 8.9076e-25 1.0035e-34 3.6598e-46 6.0296e-36 2.6304e-26 1.8262e-18 1.1021e-12 3.7541e-16 4.2436e-59 8.4737e-55 2.8039e-52 6.1872e-52 2.1446e-54 1.8254e-59 2.3603e-66 0.0022525 0.0077409 5.1512e-06 1.499e-06 7.5012e-12 2.3749e-19 7.5662e-29
0.020896 1.9387 2.0345e-07 8.7065e-11 5.6716e-19 2.2911e-22 2.9687e-25 6.8389e-17 1.3419e-17 2.2118e-17 9.1577e-58 1.0488e-52 1.9376e-47 5.6307e-46 2.7746e-47 1.0988e-33 1.0423e-23 3.5215e-15 2.4062e-08 0.0017145 7.0076e-21 1.0356e-16 1.4357e-15 8.3484e-26 1.4894e-24 1.0667e-34 2.4733e-46 8.7162e-37 5.981e-27 6.5319e-19 6.2003e-13 3.3223e-16 4.0897e-58 5.1917e-54 1.0921e-51 1.5321e-51 3.376e-54 1.8268e-59 1.5017e-66 0.003138 0.0068558 2.9004e-06 3.2848e-06 2.5857e-11 1.2877e-18 6.4531e-28
0.0030207 1.9845 3.1681e-07 5.5911e-11 1.4917e-18 3.8696e-22 3.22e-25 2.6002e-17 7.9448e-18 2.0392e-17 6.3351e-57 4.659e-52 5.5275e-47 1.0315e-45 3.264e-47 1.5884e-34 2.3463e-24 1.2344e-15 1.3135e-08 0.0014574 1.0912e-20 1.0356e-16 9.2196e-16 2.1958e-25 2.5156e-24 1.157e-34 1.7226e-46 1.26e-37 1.3464e-27 2.2897e-19 3.3846e-13 2.8241e-16 3.7488e-57 3.056e-53 4.1282e-51 3.7189e-51 5.2624e-54 1.8286e-59 9.6529e-67 0.004158 0.0058337 1.5848e-06 6.7778e-06 8.3082e-11 6.4432e-18 5.0281e-27
0.00043666 2.0292 4.8808e-07 3.6291e-11 3.9235e-18 6.6062e-22 3.5681e-25 9.8861e-18 4.6537e-18 1.8403e-17 4.3824e-56 2.092e-51 1.611e-46 1.9514e-45 4.008e-47 2.2962e-35 5.2255e-25 4.2355e-16 6.9433e-09 0.0011869 1.6812e-20 1.0356e-16 5.9843e-16 5.7752e-25 4.2947e-24 1.2821e-34 1.239e-46 1.8214e-38 2.9985e-28 7.8563e-20 1.7891e-13 2.2999e-16 3.2597e-56 1.7248e-52 1.5123e-50 8.8432e-51 8.1224e-54 1.832e-59 6.277e-67 0.0052265 0.0047596 8.3929e-07 1.3125e-05 2.4787e-10 2.9616e-17 3.5606e-26
6.3122e-05 2.0728 7.4405e-07 2.3805e-11 1.0319e-17 1.1398e-21 4.0381e-25 3.7587e-18 2.6974e-18 1.6261e-17 3.0316e-55 9.4928e-51 4.7953e-46 3.8101e-45 5.1334e-47 3.3192e-36 1.1516e-25 1.4229e-16 3.556e-09 0.0009267 2.563e-20 1.0356e-16 3.9255e-16 1.519e-24 7.4095e-24 1.451e-34 9.1982e-47 2.6329e-39 6.6078e-29 2.6393e-20 9.163e-14 1.7957e-16 2.6944e-55 9.3522e-52 5.379e-50 2.0632e-50 1.2431e-53 1.8391e-59 4.1335e-67 0.0062451 0.0037306 4.3152e-07 2.3909e-05 6.8834e-10 1.2538e-16 2.2979e-25
9.1247e-06 2.1153 1.1231e-06 1.5771e-11 2.7142e-17 1.986e-21 4.6614e-25 1.4291e-18 1.548e-18 1.4086e-17 2.0972e-54 4.3505e-50 1.4559e-45 7.6638e-45 6.8405e-47 4.7982e-37 2.5127e-26 4.6866e-17 1.7679e-09 0.00069543 3.8687e-20 1.0356e-16 2.6006e-16 3.9951e-24 1.2911e-23 1.675e-34 7.0344e-47 3.8061e-40 1.4418e-29 8.693e-21 4.5555e-14 1.3476e-16 2.1295e-54 4.8968e-51 1.8659e-49 4.7413e-50 1.8925e-53 1.8549e-59 2.762e-67 0.0071349 0.0028236 2.1638e-07 4.1232e-05 1.7918e-09 4.9264e-16 1.3629e-24
1.319e-06 2.1569 1.6791e-06 1.0548e-11 7.1387e-17 3.4937e-21 5.4846e-25 5.4335e-19 8.7998e-19 1.1972e-17 1.4508e-53 2.0129e-49 4.5055e-45 1.5862e-44 9.4697e-47 6.9361e-38 5.4307e-27 1.5144e-17 8.5414e-10 0.00050235 5.7841e-20 1.0356e-16 1.7394e-16 1.0508e-23 2.2712e-23 1.9707e-34 5.5357e-47 5.5019e-41 3.1162e-30 2.8091e-21 2.2009e-14 9.7343e-17 1.6215e-53 2.4938e-50 6.3555e-49 1.0802e-49 2.8836e-53 1.8904e-59 1.8827e-67 0.0078533 0.0020787 1.0654e-07 6.7855e-05 4.4087e-09 1.8123e-15 7.4963e-24
1.9067e-07 2.1974 2.484e-06 7.1297e-12 1.8776e-16 6.2109e-21 6.5904e-25 2.0658e-19 4.9499e-19 9.9633e-18 1.0036e-52 9.412e-49 1.424e-44 3.3886e-44 1.3673e-46 1.0027e-38 1.1614e-27 4.7918e-18 3.9984e-10 0.00034791 8.5575e-20 1.0356e-16 1.1757e-16 2.7637e-23 4.0377e-23 2.3681e-34 4.4961e-47 7.9533e-42 6.6646e-31 8.8882e-22 1.0303e-14 6.7416e-17 1.1985e-52 1.2459e-49 2.1462e-48 2.4655e-49 4.449e-53 1.9714e-59 1.327e-67 0.0083914 0.0015013 5.201e-08 0.00010727 1.0311e-08 6.2709e-15 3.8375e-23
2.7563e-08 2.2364 3.6208e-06 4.8909e-12 4.9383e-16 1.1206e-20 8.157e-25 7.8544e-20 2.7435e-19 8.0497e-18 6.9427e-52 4.4665e-48 4.6355e-44 7.5672e-44 2.0947e-46 1.4494e-39 2.4475e-28 1.472e-18 1.7905e-10 0.0002271 1.2475e-19 1.0356e-16 8.0651e-17 7.269e-23 7.285e-23 2.931e-34 3.8174e-47 1.1497e-42 1.4044e-31 2.7303e-22 4.6136e-15 4.4007e-17 8.6568e-52 6.1733e-49 7.2949e-48 5.7487e-49 7.116e-53 2.1631e-59 9.9885e-68 0.0087614 0.0010753 2.5554e-08 0.00016326 2.2878e-08 2.0282e-14 1.8093e-22
