$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Co_{i}^{\times}$ $Co_{i}^{\bullet}$ $Co_{i}^{\bullet\bullet}$ $Co_{i}^{\bullet\bullet\bullet}$ $Co_{i}^{\bullet\bullet\bullet\bullet}$ $Co_{Sn}^{\times}$ $Co_{Sn}^{'}$ $Co_{Sn}^{''}$ $Co_{Sn}^{'''}$ $Co_{Sn}^{''''}$
3.9844e-09 0.55984 3.2936e-13 5.3708e-05 1.2989e-15 3.241e-13 2.5942e-10 2.9863e-20 9.4857e-27 2.5311e-32 4.8028e-51 3.3976e-40 3.8775e-29 6.9604e-22 2.1186e-17 2.0952e-40 3.2174e-36 1.7597e-33 1.9466e-32 2.2454e-33 1.1344e-26 1.0356e-16 8.8685e-10 1.9119e-22 2.107e-15 9.3215e-20 1.335e-25 1.662e-43 1.8462e-39 3.2641e-37 5.0159e-37 4.351e-46 8.5228e-25 4.9774e-16 1.1694e-09 1.1286e-05 5.6387e-11 1.1437e-06 8.7569e-05 4.5677e-13 5.2424e-24 1.1269e-36
5.7597e-10 0.60008 4.8601e-13 3.6413e-05 3.4162e-15 5.7768e-13 3.1335e-10 1.1354e-20 5.3219e-27 2.0955e-32 3.3224e-50 1.5928e-39 1.2318e-28 1.4985e-21 3.0911e-17 3.0287e-41 6.8631e-37 5.5391e-34 9.0415e-33 1.539e-33 1.674e-26 1.0356e-16 6.01e-10 5.0285e-22 3.7554e-15 1.1259e-19 1.0928e-25 2.4025e-44 3.9382e-40 1.0274e-37 2.3298e-37 2.9822e-46 3.812e-24 1.5087e-15 2.402e-09 1.571e-05 5.3192e-11 7.395e-07 8.3548e-05 6.4307e-13 1.0891e-23 3.4547e-36
8.3261e-11 0.64431 7.4542e-13 2.3749e-05 8.9852e-15 9.9063e-13 3.5035e-10 4.3169e-21 3.1034e-27 1.8742e-32 2.2984e-49 7.184e-39 3.6225e-28 2.8732e-21 3.8642e-17 4.3782e-42 1.5216e-37 1.8836e-34 4.7156e-33 1.2311e-33 2.5675e-26 1.0356e-16 3.9185e-10 1.3226e-21 6.44e-15 1.2589e-19 7.9662e-26 3.4729e-45 8.7315e-41 3.4938e-38 1.2151e-37 2.3855e-46 1.6584e-23 4.2793e-15 4.4422e-09 1.8943e-05 4.1818e-11 4.6507e-07 8.0588e-05 9.5136e-13 2.4712e-23 1.2023e-35
1.2036e-11 0.69082 1.1688e-12 1.5149e-05 2.3632e-14 1.6617e-12 3.7478e-10 1.6413e-21 1.8502e-27 1.752e-32 1.59e-48 3.1694e-38 1.0192e-27 5.1555e-21 4.422e-17 6.329e-43 3.4491e-38 6.6946e-35 2.628e-33 1.0758e-33 4.0259e-26 1.0356e-16 2.499e-10 3.4786e-21 1.0802e-14 1.3467e-19 5.4348e-26 5.0203e-46 1.9791e-41 1.2418e-38 6.7718e-38 2.0846e-46 7.1333e-23 1.1739e-14 7.7713e-09 2.1134e-05 2.9755e-11 2.8916e-07 7.8569e-05 1.4544e-12 5.9237e-23 4.5189e-35
1.7399e-12 0.73869 1.857e-12 9.5365e-06 6.2157e-14 2.7509e-12 3.9053e-10 6.2403e-22 1.1176e-27 1.6814e-32 1.0999e-47 1.38e-37 2.7933e-27 8.8934e-21 4.8012e-17 9.1489e-44 7.9213e-39 2.4427e-35 1.5235e-33 9.9081e-34 6.3962e-26 1.0356e-16 1.5729e-10 9.1493e-21 1.7883e-14 1.4033e-19 3.5645e-26 7.2572e-47 4.5454e-42 4.5309e-39 3.9256e-38 1.9199e-46 3.0537e-22 3.163e-14 1.318e-08 2.2561e-05 1.9993e-11 1.7895e-07 7.7247e-05 2.2718e-12 1.4701e-22 1.7817e-34
2.5151e-13 0.78739 2.9739e-12 5.9554e-06 1.6348e-13 4.5178e-12 4.0049e-10 2.3726e-22 6.8049e-28 1.6395e-32 7.6087e-47 5.9611e-37 7.5343e-27 1.4979e-20 5.0493e-17 1.3225e-44 1.8338e-39 9.0563e-36 9.0455e-34 9.4213e-34 1.0243e-25 1.0356e-16 9.8218e-11 2.4064e-20 2.937e-14 1.4391e-19 2.2825e-26 1.0491e-47 1.0523e-42 1.6798e-39 2.3308e-38 1.8256e-46 1.3046e-21 8.438e-14 2.1955e-08 2.3467e-05 1.2985e-11 1.1051e-07 7.6401e-05 3.5983e-12 3.729e-22 7.238e-34
3.6357e-14 0.8366 4.786e-12 3.7007e-06 4.2998e-13 7.3835e-12 4.067e-10 9.0208e-23 4.1638e-28 1.6145e-32 5.2635e-46 2.5624e-36 2.0124e-26 2.4859e-20 5.2071e-17 1.9118e-45 4.2662e-40 3.3907e-36 5.4503e-34 9.1358e-34 1.6485e-25 1.0356e-16 6.103e-11 6.3292e-20 4.8e-14 1.4614e-19 1.4403e-26 1.5165e-48 2.448e-43 6.2893e-40 1.4044e-38 1.7703e-46 5.5686e-21 2.2379e-13 3.6182e-08 2.403e-05 8.2623e-12 6.8188e-08 7.5865e-05 5.7504e-12 9.5905e-22 2.9958e-33
5.2556e-15 0.88612 7.7259e-12 2.2926e-06 1.1309e-12 1.203e-11 4.1049e-10 3.4297e-23 2.5556e-28 1.5996e-32 3.6411e-45 1.0981e-35 5.3422e-26 4.0881e-20 5.3047e-17 2.7636e-46 9.9552e-41 1.2772e-36 3.3142e-34 8.9677e-34 2.6611e-25 1.0356e-16 3.7807e-11 1.6647e-19 7.8207e-14 1.475e-19 9.0054e-27 2.1922e-49 5.7125e-44 2.3691e-40 8.54e-39 1.7377e-46 2.3757e-20 5.9146e-13 5.9237e-08 2.4372e-05 5.191e-12 4.2053e-08 7.5527e-05 9.2413e-12 2.488e-21 1.2546e-32
7.5973e-16 0.93584 1.2496e-11 1.4175e-06 2.9745e-12 1.9563e-11 4.1272e-10 1.304e-23 1.5715e-28 1.591e-32 2.5188e-44 4.6965e-35 1.4127e-25 6.684e-20 5.3624e-17 3.995e-47 2.3276e-41 4.8299e-37 2.0271e-34 8.8712e-34 4.3041e-25 1.0356e-16 2.3375e-11 4.3784e-19 1.2718e-13 1.483e-19 5.5981e-27 3.169e-50 1.3356e-44 8.9589e-41 5.2232e-39 1.719e-46 1.0132e-19 1.5596e-12 9.6575e-08 2.4567e-05 3.2352e-12 2.5926e-08 7.5311e-05 1.4904e-11 6.4899e-21 5.293e-32
1.0982e-16 0.98569 2.0237e-11 8.7528e-07 7.8234e-12 3.1772e-11 4.1389e-10 4.9579e-24 9.6764e-29 1.5865e-32 1.7425e-43 2.0062e-34 3.7262e-25 1.0886e-19 5.3929e-17 5.775e-48 5.449e-42 1.8312e-37 1.2446e-34 8.821e-34 6.9704e-25 1.0356e-16 1.4434e-11 1.1516e-18 2.0655e-13 1.4872e-19 3.4665e-27 4.5809e-51 3.1267e-45 3.3966e-41 3.207e-39 1.7093e-46 4.3198e-19 4.1058e-12 1.5699e-07 2.4659e-05 2.0052e-12 1.5978e-08 7.5168e-05 2.4091e-11 1.6989e-20 2.2439e-31
