$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Rh_{i}^{\times}$ $Rh_{i}^{\bullet}$ $Rh_{i}^{\bullet\bullet}$ $Rh_{i}^{\bullet\bullet\bullet}$ $Rh_{i}^{\bullet\bullet\bullet\bullet}$ $Rh_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Rh_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $Rh_{Sn}^{\times}$ $Rh_{Sn}^{\bullet}$ $Rh_{Sn}^{\bullet\bullet}$ $Rh_{Sn}^{'}$ $Rh_{Sn}^{''}$ $Rh_{Sn}^{'''}$ $Rh_{Sn}^{''''}$
1 0.36783 1.7399e-25 3.0233e-06 3.3609e-39 8.5819e-33 2.2548e-25 1.1191e-31 2.7534e-46 4.7803e-59 1.831e-118 3.7578e-95 2.0071e-71 2.6523e-55 1.0077e-44 2.7651e-63 1.59e-56 1.1598e-52 3.4606e-52 1.1228e-55 1.5691e-54 5.3623e-33 1.6127e-17 7.2821e-53 3.6269e-37 2.9113e-44 2.4488e-54 1.7398e-69 5.2354e-63 3.9904e-60 2.2978e-61 4.216e-81 1.1945e-67 2.9177e-51 2.6642e-39 2.4964e-27 3.5532e-35 3.0152e-46 3.0801e-60 9.6904e-05 3.6455e-08 1.0545e-15 3.0598e-06 4.2342e-25 6.4782e-50 2.5524e-80
0.020896 0.36783 1.7399e-25 3.0233e-06 2.325e-38 5.9367e-32 1.5598e-24 1.6177e-32 3.9801e-47 6.9103e-60 8.7623e-117 1.7983e-93 9.605e-70 1.2692e-53 4.8225e-43 5.7781e-65 3.3226e-58 2.4236e-54 7.2315e-54 2.3463e-57 1.5691e-54 5.3623e-33 1.6127e-17 5.0375e-52 2.509e-36 2.0139e-43 1.694e-53 3.6357e-71 1.094e-64 8.3386e-62 4.8015e-63 8.81e-83 5.7161e-66 1.3962e-49 1.2749e-37 1.1946e-25 1.7004e-33 1.4429e-44 1.474e-58 9.6904e-05 3.6455e-08 1.0545e-15 3.0598e-06 4.2342e-25 6.4782e-50 2.5524e-80
0.00043666 0.36783 1.7399e-25 3.0233e-06 1.6084e-37 4.1069e-31 1.079e-23 2.3385e-33 5.7536e-48 9.9892e-61 4.1932e-115 8.6057e-92 4.5964e-68 6.074e-52 2.3078e-41 1.2074e-66 6.943e-60 5.0646e-56 1.5111e-55 4.9029e-59 1.5691e-54 5.3623e-33 1.6127e-17 3.4848e-51 1.7356e-35 1.3932e-42 1.1719e-52 7.5973e-73 2.2861e-66 1.7425e-63 1.0033e-64 1.841e-84 2.7355e-64 6.6817e-48 6.1012e-36 5.717e-24 8.1371e-32 6.9051e-43 7.0538e-57 9.6904e-05 3.6455e-08 1.0545e-15 3.0598e-06 4.2342e-25 6.4782e-50 2.5524e-80
9.1247e-06 0.36783 1.7399e-25 3.0233e-06 1.1126e-36 2.841e-30 7.4644e-23 3.3805e-34 8.3171e-49 1.444e-61 2.0066e-113 4.1182e-90 2.1996e-66 2.9067e-50 1.1044e-39 2.5231e-68 1.4508e-61 1.0583e-57 3.1577e-57 1.0245e-60 1.5691e-54 5.3623e-33 1.6127e-17 2.4107e-50 1.2007e-34 9.6376e-42 8.1068e-52 1.5876e-74 4.7771e-68 3.6412e-65 2.0966e-66 3.847e-86 1.3091e-62 3.1975e-46 2.9197e-34 2.7358e-22 3.894e-30 3.3044e-41 3.3756e-55 9.6904e-05 3.6455e-08 1.0545e-15 3.0598e-06 4.2342e-25 6.4782e-50 2.5524e-80
1.9067e-07 0.36783 1.7399e-25 3.0233e-06 7.6969e-36 1.9653e-29 5.1637e-22 4.8867e-35 1.2023e-49 2.0874e-62 9.6028e-112 1.9708e-88 1.0526e-64 1.391e-48 5.2851e-38 5.2724e-70 3.0317e-63 2.2115e-59 6.5986e-59 2.1409e-62 1.5691e-54 5.3623e-33 1.6127e-17 1.6677e-49 8.3059e-34 6.667e-41 5.6081e-51 3.3174e-76 9.9826e-70 7.6088e-67 4.3813e-68 8.0389e-88 6.2645e-61 1.5302e-44 1.3972e-32 1.3092e-20 1.8635e-28 1.5813e-39 1.6154e-53 9.6904e-05 3.6455e-08 1.0545e-15 3.0598e-06 4.2342e-25 6.4782e-50 2.5524e-80
3.9844e-09 0.36783 1.7399e-25 3.0233e-06 5.3245e-35 1.3596e-28 3.5721e-21 7.064e-36 1.738e-50 3.0175e-63 4.5954e-110 9.4311e-87 5.0373e-63 6.6566e-47 2.5292e-36 1.1017e-71 6.3353e-65 4.6213e-61 1.3789e-60 4.4737e-64 1.5691e-54 5.3623e-33 1.6127e-17 1.1536e-48 5.7458e-33 4.6121e-40 3.8795e-50 6.9323e-78 2.086e-71 1.59e-68 9.1553e-70 1.6798e-89 2.9978e-59 7.3226e-43 6.6865e-31 6.2653e-19 8.9176e-27 7.5675e-38 7.7304e-52 9.6904e-05 3.6455e-08 1.0545e-15 3.0598e-06 4.2342e-25 6.4782e-50 2.5524e-80
8.3261e-11 0.36783 1.7399e-25 3.0233e-06 3.6833e-34 9.4051e-28 2.4711e-20 1.0212e-36 2.5124e-51 4.3619e-64 2.1991e-108 4.5133e-85 2.4106e-61 3.1855e-45 1.2103e-34 2.3023e-73 1.3239e-66 9.6569e-63 2.8813e-62 9.3485e-66 1.5691e-54 5.3623e-33 1.6127e-17 7.9806e-48 3.9748e-32 3.1905e-39 2.6837e-49 1.4486e-79 4.359e-73 3.3225e-70 1.9131e-71 3.5103e-91 1.4346e-57 3.5042e-41 3.1998e-29 2.9983e-17 4.2675e-25 3.6214e-36 3.6994e-50 9.6904e-05 3.6455e-08 1.0545e-15 3.0598e-06 4.2342e-25 6.4782e-50 2.5524e-80
1.7399e-12 0.36783 1.7399e-25 3.0233e-06 2.548e-33 6.5062e-27 1.7094e-19 1.4761e-37 3.6318e-52 6.3055e-65 1.0524e-106 2.1598e-83 1.1536e-59 1.5244e-43 5.7921e-33 4.8109e-75 2.7664e-68 2.0179e-64 6.021e-64 1.9535e-67 1.5691e-54 5.3623e-33 1.6127e-17 5.5207e-47 2.7497e-31 2.2071e-38 1.8565e-48 3.0271e-81 9.1088e-75 6.9428e-72 3.9978e-73 7.3353e-93 6.8654e-56 1.677e-39 1.5313e-27 1.4348e-15 2.0422e-23 1.733e-34 1.7703e-48 9.6904e-05 3.6455e-08 1.0545e-15 3.0598e-06 4.2342e-25 6.4782e-50 2.5524e-80
3.6357e-14 0.36783 1.7399e-25 3.0233e-06 1.7627e-32 4.5008e-26 1.1825e-18 2.1338e-38 5.25e-53 9.1149e-66 5.0362e-105 1.0336e-81 5.5205e-58 7.2951e-42 2.7718e-31 1.0053e-76 5.7808e-70 4.2168e-66 1.2582e-65 4.0822e-69 1.5691e-54 5.3623e-33 1.6127e-17 3.8191e-46 1.9021e-30 1.5268e-37 1.2843e-47 6.3255e-83 1.9034e-76 1.4508e-73 8.354e-75 1.5328e-94 3.2854e-54 8.0251e-38 7.3278e-26 6.8663e-14 9.773e-22 8.2933e-33 8.4719e-47 9.6904e-05 3.6455e-08 1.0545e-15 3.0598e-06 4.2342e-25 6.4782e-50 2.5524e-80
7.5973e-16 0.36783 1.7399e-25 3.0233e-06 1.2194e-31 3.1135e-25 8.1804e-18 3.0846e-39 7.5892e-54 1.3176e-66 2.4101e-103 4.9462e-80 2.6418e-56 3.4911e-40 1.3264e-29 2.1007e-78 1.208e-71 8.8117e-68 2.6292e-67 8.5304e-71 1.5691e-54 5.3623e-33 1.6127e-17 2.6419e-45 1.3158e-29 1.0562e-36 8.8844e-47 1.3218e-84 3.9775e-78 3.0317e-75 1.7457e-76 3.2031e-96 1.5722e-52 3.8404e-36 3.5067e-24 3.2859e-12 4.6768e-20 3.9687e-31 4.0542e-45 9.6904e-05 3.6455e-08 1.0545e-15 3.0598e-06 4.2342e-25 6.4783e-50 2.5524e-80
