$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Zn_{i}^{\times}$ $Zn_{i}^{\bullet}$ $Zn_{i}^{\bullet\bullet}$ $Zn_{Sn}^{''}$ $Zn_{Sn}^{'''}$ $Zn_{Sn}^{''''}$
1 0.1841 4.9811e-27 0.00010466 3.3609e-39 2.9977e-31 2.7511e-22 1.1191e-31 7.8825e-48 3.918e-62 1.831e-118 1.3126e-93 2.4489e-68 1.1304e-50 1.5002e-38 2.7651e-63 4.552e-58 9.506e-56 8.12e-57 7.5424e-62 4.4921e-56 5.3623e-33 5.6332e-16 7.2821e-53 1.2669e-35 3.552e-41 1.0437e-49 1.7398e-69 1.4988e-64 3.2706e-63 5.3915e-66 2.8321e-87 2.8992e-40 1.3064e-18 0.0049738 0.0050262 6.2533e-24 6.0067e-51
0.020896 0.23402 1.308e-26 4.0084e-05 2.325e-38 7.8971e-31 2.76e-22 1.6177e-32 2.9921e-48 3.9053e-62 8.7623e-117 2.3921e-92 1.6995e-67 2.9875e-50 1.5099e-38 5.7781e-65 2.4978e-59 1.3697e-56 3.0724e-57 7.4938e-62 1.1796e-55 5.3623e-33 2.1452e-16 5.0375e-52 3.3375e-35 3.5635e-41 3.9873e-50 3.6357e-71 8.2244e-66 4.7126e-64 2.04e-66 2.8139e-87 2.0056e-39 3.4415e-18 0.00499 0.00501 1.6368e-23 4.1286e-50
0.00043666 0.28399 3.4381e-26 1.5283e-05 1.6084e-37 2.0783e-30 2.7634e-22 2.3385e-33 1.1369e-48 3.9005e-62 4.1932e-115 4.355e-91 1.1772e-66 7.8721e-50 1.5137e-38 1.2074e-66 1.372e-60 1.9776e-57 1.166e-57 7.4753e-62 3.1006e-55 5.3623e-33 8.1614e-17 3.4848e-51 8.7835e-35 3.5679e-41 1.5188e-50 7.5973e-73 4.5174e-67 6.8038e-65 7.7417e-67 2.8069e-87 1.3874e-38 9.0574e-18 0.0049962 0.0050038 4.297e-23 2.849e-49
9.1247e-06 0.33398 9.0406e-26 5.8171e-06 1.1126e-36 5.4677e-30 2.7647e-22 3.3805e-34 4.3216e-49 3.8987e-62 2.0066e-113 7.9257e-90 8.1471e-66 2.072e-49 1.5151e-38 2.5231e-68 7.5386e-62 2.8573e-58 4.4299e-58 7.4682e-62 8.1531e-55 5.3623e-33 3.1037e-17 2.4107e-50 2.3107e-34 3.5696e-41 5.7787e-51 1.5876e-74 2.4822e-68 9.8307e-66 2.9413e-67 2.8042e-87 9.5979e-38 2.3828e-17 0.0049985 0.0050015 1.1294e-22 1.969e-48
1.9067e-07 0.38397 2.3776e-25 2.2126e-06 7.6969e-36 1.4382e-29 2.7652e-22 4.8867e-35 1.643e-49 3.898e-62 9.6028e-112 1.4422e-88 5.637e-65 5.451e-49 1.5156e-38 5.2724e-70 4.1429e-63 4.1297e-59 1.6838e-58 7.4655e-62 2.1442e-54 5.3623e-33 1.1802e-17 1.6677e-49 6.0782e-34 3.5703e-41 2.1977e-51 3.3174e-76 1.3641e-69 1.4208e-66 1.118e-67 2.8032e-87 6.6395e-37 6.2677e-17 0.0049994 0.0050006 2.9696e-22 1.3616e-47
3.9844e-09 0.43397 6.2533e-25 8.4137e-07 5.3245e-35 3.7829e-29 2.7654e-22 7.064e-36 6.2464e-50 3.8977e-62 4.5954e-110 2.6241e-87 3.8998e-64 1.4339e-48 1.5158e-38 1.1017e-71 2.2769e-64 5.9693e-60 6.4013e-59 7.4645e-62 5.6394e-54 5.3623e-33 4.4872e-18 1.1536e-48 1.5987e-33 3.5705e-41 8.3566e-52 6.9323e-78 7.4972e-71 2.0538e-67 4.2503e-68 2.8028e-87 4.5931e-36 1.6486e-16 0.0049998 0.0050002 7.8098e-22 9.4179e-47
8.3261e-11 0.48397 1.6447e-24 3.1991e-07 3.6833e-34 9.9496e-29 2.7655e-22 1.0212e-36 2.3749e-50 3.8976e-62 2.1991e-108 4.7745e-86 2.6978e-63 3.7714e-48 1.5159e-38 2.3023e-73 1.2514e-65 8.6288e-61 2.4337e-59 7.4641e-62 1.4832e-53 5.3623e-33 1.7061e-18 7.9806e-48 4.2049e-33 3.5706e-41 3.1774e-52 1.4486e-79 4.1205e-72 2.9688e-68 1.6159e-68 2.8027e-87 3.1773e-35 4.336e-16 0.0049999 0.0050001 2.054e-21 6.5147e-46
1.7399e-12 0.53397 4.3258e-24 1.2164e-07 2.548e-33 2.6169e-28 2.7655e-22 1.4761e-37 9.0294e-51 3.8975e-62 1.0524e-106 8.6872e-85 1.8663e-62 9.9196e-48 1.5159e-38 4.8109e-75 6.8778e-67 1.2473e-61 9.253e-60 7.4639e-62 3.9011e-53 5.3623e-33 6.4866e-19 5.5207e-47 1.106e-32 3.5707e-41 1.2081e-52 3.0271e-81 2.2646e-73 4.2915e-69 6.1437e-69 2.8026e-87 2.198e-34 1.1404e-15 0.005 0.005 5.4023e-21 4.5066e-45
3.6357e-14 0.58397 1.1377e-23 4.6247e-08 1.7627e-32 6.8829e-28 2.7655e-22 2.1338e-38 3.433e-51 3.8975e-62 5.0362e-105 1.5806e-83 1.2911e-61 2.609e-47 1.516e-38 1.0053e-76 3.7801e-68 1.8031e-62 3.518e-60 7.4639e-62 1.026e-52 5.3623e-33 2.4663e-19 3.8191e-46 2.9089e-32 3.5707e-41 4.5932e-53 6.3255e-83 1.2447e-74 6.2036e-70 2.3359e-69 2.8026e-87 1.5205e-33 2.9996e-15 0.005 0.005 1.4209e-20 3.1175e-44
7.5973e-16 0.63397 2.9924e-23 1.7583e-08 1.2194e-31 1.8103e-27 2.7655e-22 3.0846e-39 1.3052e-51 3.8975e-62 2.4101e-103 2.8759e-82 8.9312e-61 6.8621e-47 1.516e-38 2.1007e-78 2.0776e-69 2.6065e-63 1.3376e-60 7.4638e-62 2.6987e-52 5.3623e-33 9.3769e-20 2.6419e-45 7.6508e-32 3.5707e-41 1.7463e-53 1.3218e-84 6.8408e-76 8.9677e-71 8.8811e-70 2.8026e-87 1.0519e-32 7.8893e-15 0.005 0.005 3.7371e-20 2.1566e-43
