$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Nb_{i}^{\times}$ $Nb_{i}^{\bullet}$ $Nb_{i}^{\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Nb_{Sn}^{\times}$ $Nb_{Sn}^{\bullet}$ $Nb_{Sn}^{'}$ $Nb_{Sn}^{''}$ $Nb_{Sn}^{'''}$ $Nb_{Sn}^{''''}$
1 1.9258 2.1211e-12 2.4807e-19 3.3609e-39 7.0397e-46 1.5172e-51 1.1191e-31 3.3566e-33 7.1043e-33 1.831e-118 3.0825e-108 1.3505e-97 1.4639e-94 4.5627e-97 2.7651e-63 1.9383e-43 1.7237e-26 6.2697e-13 0.0024799 1.9128e-41 5.3623e-33 1.3229e-30 7.2821e-53 2.9751e-50 1.9589e-70 1.3517e-93 1.7398e-69 6.3823e-50 5.9304e-34 4.1629e-22 9.3117e-29 1.6108e-121 1.3333e-111 4.7975e-105 5.9635e-103 2.9974e-108 9.4234e-115 8.0549e-05 0.0099195 5.4273e-12 4.686e-23 2.5514e-38 1.0358e-57
0.020896 1.9756 5.5607e-12 9.4623e-20 2.325e-38 1.8576e-45 1.5271e-51 1.6177e-32 1.272e-33 7.0584e-33 8.7623e-117 5.6267e-107 9.4035e-97 3.8881e-94 4.6223e-97 5.7781e-65 1.0619e-44 2.4756e-27 2.3607e-13 0.0024479 5.0148e-41 5.3623e-33 5.0461e-31 5.0375e-52 7.8505e-50 1.9717e-70 5.1893e-94 3.6357e-71 3.4964e-51 8.5173e-35 1.5674e-22 9.1916e-29 1.9949e-119 6.2984e-110 8.6443e-104 4.0987e-102 7.858e-108 9.4234e-115 0.00020845 0.0097916 3.6821e-11 8.3346e-22 1.1897e-36 1.2662e-55
0.00043666 2.0252 1.4505e-11 3.6274e-20 1.6084e-37 4.9261e-45 1.5525e-51 2.3385e-33 4.7967e-34 6.9429e-33 4.1932e-115 1.0322e-105 6.6132e-96 1.0482e-93 4.7773e-97 1.2074e-66 5.7883e-46 3.5201e-28 8.7562e-14 0.0023685 1.3081e-40 5.3623e-33 1.9344e-31 3.4848e-51 2.0819e-49 2.0045e-70 2.0224e-94 7.5973e-73 1.9059e-52 1.2111e-35 5.8139e-23 8.8934e-29 2.4094e-117 2.9163e-108 1.5344e-102 2.789e-101 2.0498e-107 9.4234e-115 0.00052611 0.0094739 2.4242e-10 1.4314e-20 5.3298e-35 1.4797e-53
9.1247e-06 2.0741 3.7398e-11 1.4069e-20 1.1126e-36 1.3217e-44 1.6156e-51 3.3805e-34 1.7877e-34 6.6715e-33 2.0066e-113 1.916e-104 4.761e-95 2.927e-93 5.174e-97 2.5231e-68 3.1185e-47 4.8895e-29 3.1358e-14 0.0021869 3.3727e-40 5.3623e-33 7.5029e-32 2.4107e-50 5.586e-49 2.086e-70 8.1634e-95 1.5876e-74 1.0268e-53 1.6823e-36 2.0821e-23 8.2116e-29 2.7449e-115 1.2886e-106 2.6297e-101 1.8539e-100 5.2849e-107 9.4234e-115 0.0012524 0.0087476 1.4879e-09 2.2651e-19 2.1745e-33 1.5565e-51
1.9067e-07 2.1219 9.4174e-11 5.5872e-21 7.6969e-36 3.631e-44 1.7626e-51 4.8867e-35 6.5075e-35 6.1154e-33 9.6028e-112 3.6411e-103 3.593e-94 8.7721e-93 6.1578e-97 5.2724e-70 1.641e-48 6.479e-30 1.0463e-14 0.0018375 8.4929e-40 5.3623e-33 2.9795e-32 1.6677e-49 1.5345e-48 2.2757e-70 3.5366e-95 3.3174e-76 5.4032e-55 2.2291e-37 6.9474e-24 6.8997e-29 2.7793e-113 5.1814e-105 4.199e-100 1.1756e-99 1.3308e-106 9.4234e-115 0.00265 0.00735 7.9275e-09 3.0391e-18 7.3466e-32 1.3242e-49
3.9844e-09 2.1677 2.286e-10 2.3017e-21 5.3245e-35 1.0348e-43 2.0692e-51 7.064e-36 2.2835e-35 5.209e-33 4.5954e-110 7.1781e-102 2.918e-93 2.9348e-92 8.4871e-97 1.1017e-71 8.3238e-50 7.9776e-31 3.1274e-15 0.0013332 2.0616e-39 5.3623e-33 1.2274e-32 1.1536e-48 4.3732e-48 2.6717e-70 1.7104e-95 6.9323e-78 2.7408e-56 2.7447e-38 2.0765e-24 5.006e-29 2.3425e-111 1.799e-103 6.0061e-99 6.9271e-99 3.2305e-106 9.4234e-115 0.0046672 0.0053328 3.3892e-08 3.1539e-17 1.8507e-30 8.0976e-48
8.3261e-11 2.2115 5.3285e-10 9.8747e-22 3.6833e-34 3.0711e-43 2.6347e-51 1.0212e-36 7.6941e-36 4.091e-33 2.1991e-108 1.4737e-100 2.5702e-92 1.109e-91 1.3759e-96 2.3023e-73 4.0543e-51 9.0571e-32 8.2762e-16 0.00082234 4.8054e-39 5.3623e-33 5.266e-33 7.9806e-48 1.2979e-47 3.4018e-70 9.3434e-96 1.4486e-79 1.335e-57 3.1161e-39 5.4951e-25 3.0878e-29 1.6117e-109 5.3105e-102 7.6062e-98 3.7637e-98 7.5301e-106 9.4237e-115 0.0067104 0.0032895 1.1358e-07 2.4637e-16 3.3698e-29 3.4367e-46
1.7399e-12 2.2536 1.2027e-09 4.375e-22 2.548e-33 9.4124e-43 3.5776e-51 1.4761e-37 2.5104e-36 3.0128e-33 1.0524e-106 3.1246e-99 2.4144e-91 4.6156e-91 2.537e-96 4.8109e-75 1.9122e-52 9.6419e-33 1.9886e-16 0.00044599 1.0846e-38 5.3623e-33 2.3331e-33 5.5207e-47 3.9779e-47 4.6192e-70 5.6211e-96 3.0271e-81 6.2963e-59 3.3173e-40 1.3204e-25 1.6747e-29 9.4428e-108 1.3785e-100 8.7474e-97 1.9177e-97 1.6999e-105 9.425e-115 0.0082154 0.0017843 3.1387e-07 1.5366e-15 4.7439e-28 1.092e-44
3.6357e-14 2.2946 2.6608e-09 1.9775e-22 1.7627e-32 2.9431e-42 5.0564e-51 2.1338e-38 8.0286e-37 2.1317e-33 5.0362e-105 6.7586e-98 2.3605e-90 2.0397e-90 5.0678e-96 1.0053e-76 8.8404e-54 9.8618e-34 4.4999e-17 0.00022327 2.3996e-38 5.3623e-33 1.0546e-33 3.8191e-46 1.2438e-46 6.5285e-70 3.5909e-96 6.3255e-83 2.9109e-60 3.393e-41 2.9878e-26 8.3837e-30 5.0084e-106 3.3047e-99 9.4788e-96 9.3926e-97 3.7633e-105 9.4315e-115 0.0091054 0.00089386 7.6962e-07 8.3359e-15 5.6935e-27 2.8995e-43
7.5973e-16 2.3351 5.8213e-09 9.0386e-23 1.2194e-31 9.3058e-42 7.3076e-51 3.0846e-39 2.5392e-37 1.475e-33 2.4101e-103 1.4783e-96 2.36e-89 9.321e-90 1.0585e-95 2.1007e-78 4.0417e-55 9.864e-35 9.8472e-18 0.0001069 5.2499e-38 5.3623e-33 4.8201e-34 2.6419e-45 3.9328e-46 9.4352e-70 2.3721e-96 1.3218e-84 1.3308e-61 3.3937e-42 6.5383e-27 4.0138e-30 2.5188e-104 7.5964e-98 9.959e-95 4.5106e-96 8.2605e-105 9.4625e-115 0.0095689 0.00042936 1.7695e-06 4.1932e-14 6.2659e-26 6.9814e-42
