$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Cr_{i}^{\times}$ $Cr_{i}^{\bullet}$ $Cr_{i}^{\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $Cr_{Sn}^{\times}$ $Cr_{Sn}^{\bullet}$ $Cr_{Sn}^{\bullet\bullet}$ $Cr_{Sn}^{'}$ $Cr_{Sn}^{''}$ $Cr_{Sn}^{'''}$ $Cr_{Sn}^{''''}$
1 0.89636 4.7867e-21 1.0992e-10 3.3609e-39 3.1194e-37 2.9791e-34 1.1191e-31 7.5748e-42 3.6181e-50 1.831e-118 1.3659e-99 2.6519e-80 1.2738e-68 1.7592e-62 2.7651e-63 4.3743e-52 8.7783e-44 7.2058e-39 6.4319e-38 4.3168e-50 5.3623e-33 5.862e-22 7.2821e-53 1.3183e-41 3.8465e-53 1.1761e-67 1.7398e-69 1.4403e-58 3.0202e-51 4.7844e-48 2.4151e-63 2.3508e-79 4.1397e-63 8.6703e-53 6.2096e-52 7.5546e-57 8.677e-71 3.2468e-92 0.01 4.1306e-11 1.6629e-22 1.5123e-10 4.9585e-28 2.0657e-42 5.6936e-65
0.020896 0.89636 4.7867e-21 1.0992e-10 2.325e-38 2.1579e-36 2.0609e-33 1.6177e-32 1.095e-42 5.2301e-51 8.7623e-117 6.5366e-98 1.269e-78 6.0957e-67 8.4186e-61 5.7781e-65 9.1407e-54 1.8344e-45 1.5058e-40 1.344e-39 4.3168e-50 5.3623e-33 5.862e-22 5.0375e-52 9.1199e-41 2.6609e-52 8.1358e-67 3.6357e-71 3.0097e-60 6.3112e-53 9.9978e-50 5.0467e-65 1.125e-77 1.9811e-61 4.1492e-51 2.9716e-50 3.6153e-55 4.1524e-69 1.5538e-90 0.01 4.1306e-11 1.6629e-22 1.5123e-10 4.9585e-28 2.0657e-42 5.6936e-65
0.00043666 0.89636 4.7867e-21 1.0992e-10 1.6084e-37 1.4928e-35 1.4257e-32 2.3385e-33 1.5829e-43 7.5605e-52 4.1932e-115 3.1281e-96 6.073e-77 2.9171e-65 4.0287e-59 1.2074e-66 1.9101e-55 3.8332e-47 3.1465e-42 2.8086e-41 4.3168e-50 5.3623e-33 5.862e-22 3.4848e-51 6.3089e-40 1.8407e-51 5.6281e-66 7.5973e-73 6.2893e-62 1.3188e-54 2.0892e-51 1.0546e-66 5.3836e-76 9.4803e-60 1.9856e-49 1.4221e-48 1.7301e-53 1.9871e-67 7.4355e-89 0.01 4.1306e-11 1.6629e-22 1.5123e-10 4.9585e-28 2.0657e-42 5.6936e-65
9.1247e-06 0.89636 4.7867e-21 1.0992e-10 1.1126e-36 1.0327e-34 9.8623e-32 3.3805e-34 2.2881e-44 1.0929e-52 2.0066e-113 1.4969e-94 2.9062e-75 1.396e-63 1.9279e-57 2.5231e-68 3.9914e-57 8.01e-49 6.5751e-44 5.8689e-43 4.3168e-50 5.3623e-33 5.862e-22 2.4107e-50 4.3643e-39 1.2734e-50 3.8934e-65 1.5876e-74 1.3142e-63 2.7559e-56 4.3657e-53 2.2037e-68 2.5763e-74 4.5368e-58 9.502e-48 6.8053e-47 8.2793e-52 9.5093e-66 3.5583e-87 0.01 4.1306e-11 1.6629e-22 1.5123e-10 4.9585e-28 2.0657e-42 5.6936e-65
1.9067e-07 0.89636 4.7867e-21 1.0992e-10 7.6969e-36 7.1438e-34 6.8225e-31 4.8867e-35 3.3076e-45 1.5799e-53 9.6028e-112 7.1636e-93 1.3908e-73 6.6804e-62 9.2262e-56 5.2724e-70 8.3407e-59 1.6738e-50 1.374e-45 1.2264e-44 4.3168e-50 5.3623e-33 5.862e-22 1.6677e-49 3.0191e-38 8.8088e-50 2.6933e-64 3.3174e-76 2.7463e-65 5.7588e-58 9.1227e-55 4.605e-70 1.2329e-72 2.1711e-56 4.5472e-46 3.2567e-45 3.9621e-50 4.5507e-64 1.7028e-85 0.01 4.1306e-11 1.6629e-22 1.5123e-10 4.9585e-28 2.0657e-42 5.6936e-65
3.9844e-09 0.89636 4.7867e-21 1.0992e-10 5.3245e-35 4.9419e-33 4.7196e-30 7.064e-36 4.7814e-46 2.2838e-54 4.5954e-110 3.4281e-91 6.6556e-72 3.1969e-60 4.4152e-54 1.1017e-71 1.7429e-60 3.4977e-52 2.8711e-47 2.5627e-46 4.3168e-50 5.3623e-33 5.862e-22 1.1536e-48 2.0885e-37 6.0937e-49 1.8632e-63 6.9323e-78 5.7388e-67 1.2034e-59 1.9063e-56 9.6229e-72 5.9e-71 1.039e-54 2.176e-44 1.5585e-43 1.896e-48 2.1777e-62 8.1488e-84 0.01 4.1306e-11 1.6629e-22 1.5123e-10 4.9585e-28 2.0657e-42 5.6936e-65
8.3261e-11 0.89636 4.7867e-21 1.0992e-10 3.6833e-34 3.4187e-32 3.2649e-29 1.0212e-36 6.9118e-47 3.3014e-55 2.1991e-108 1.6405e-89 3.185e-70 1.5299e-58 2.1129e-52 2.3023e-73 3.6421e-62 7.3089e-54 5.9996e-49 5.3552e-48 4.3168e-50 5.3623e-33 5.862e-22 7.9806e-48 1.4448e-36 4.2154e-48 1.2889e-62 1.4486e-79 1.1992e-68 2.5146e-61 3.9836e-58 2.0108e-73 2.8235e-69 4.972e-53 1.0413e-42 7.458e-42 9.0735e-47 1.0421e-60 3.8996e-82 0.01 4.1306e-11 1.6629e-22 1.5123e-10 4.9585e-28 2.0657e-42 5.6936e-65
1.7399e-12 0.89636 4.7867e-21 1.0992e-10 2.548e-33 2.3649e-31 2.2586e-28 1.4761e-37 9.9914e-48 4.7724e-56 1.0524e-106 7.8507e-88 1.5242e-68 7.3212e-57 1.0111e-50 4.8109e-75 7.6106e-64 1.5273e-55 1.2537e-50 1.1191e-49 4.3168e-50 5.3623e-33 5.862e-22 5.5207e-47 9.9947e-36 2.9161e-47 8.9162e-62 3.0271e-81 2.5059e-70 5.2547e-63 8.3242e-60 4.2019e-75 1.3512e-67 2.3793e-51 4.9833e-41 3.569e-40 4.3421e-45 4.9872e-59 1.8661e-80 0.01 4.1306e-11 1.6629e-22 1.5123e-10 4.9585e-28 2.0657e-42 5.6936e-65
3.6357e-14 0.89636 4.7867e-21 1.0992e-10 1.7627e-32 1.636e-30 1.5624e-27 2.1338e-38 1.4443e-48 6.8987e-57 5.0362e-105 3.7569e-86 7.294e-67 3.5035e-55 4.8387e-49 1.0053e-76 1.5904e-65 3.1915e-57 2.6198e-52 2.3384e-51 4.3168e-50 5.3623e-33 5.862e-22 3.8191e-46 6.9141e-35 2.0173e-46 6.168e-61 6.3255e-83 5.2365e-72 1.0981e-64 1.7395e-61 8.7806e-77 6.466e-66 1.1386e-49 2.3848e-39 1.708e-38 2.0779e-43 2.3866e-57 8.9304e-79 0.01 4.1306e-11 1.6629e-22 1.5123e-10 4.9585e-28 2.0657e-42 5.6936e-65
7.5973e-16 0.89636 4.7867e-21 1.0992e-10 1.2194e-31 1.1317e-29 1.0808e-26 3.0846e-39 2.0879e-49 9.9725e-58 2.4101e-103 1.7979e-84 3.4905e-65 1.6766e-53 2.3155e-47 2.1007e-78 3.3233e-67 6.6692e-59 5.4745e-54 4.8865e-53 4.3168e-50 5.3623e-33 5.862e-22 2.6419e-45 4.783e-34 1.3955e-45 4.2668e-60 1.3218e-84 1.0943e-73 2.2945e-66 3.6349e-63 1.8348e-78 3.0943e-64 5.4489e-48 1.1412e-37 8.1734e-37 9.9438e-42 1.1421e-55 4.2736e-77 0.01 4.1306e-11 1.6629e-22 1.5123e-10 4.9585e-28 2.0657e-42 5.6936e-65
