$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Ti_{i}^{\times}$ $Ti_{i}^{\bullet}$ $Ti_{i}^{\bullet\bullet}$ $Ti_{i}^{\bullet\bullet\bullet}$ $Ti_{i}^{\bullet\bullet\bullet\bullet}$ $Ti_{Sn}^{\times}$ $Ti_{Sn}^{'}$ $Ti_{Sn}^{''}$ $Ti_{Sn}^{'''}$ $Ti_{Sn}^{''''}$
1 1.4427 1.681e-09 1.0537e-08 8.1987e-20 4.0084e-21 6.2862e-22 4.731e-16 7.6698e-19 1.0445e-20 1.9136e-59 2.6524e-52 5.9309e-45 2.0859e-41 1.244e-40 5.2584e-32 4.1214e-24 1.1505e-17 6.4953e-13 3.824e-10 5.79e-23 1.0356e-16 1.7376e-13 1.2068e-26 2.6058e-23 2.2588e-31 6.3383e-41 4.1711e-35 2.3649e-27 2.134e-21 1.6737e-17 7.4099e-23 4.0339e-56 1.1261e-49 1.2338e-45 3.9415e-44 8.6033e-44 9.9993e-05 7.3251e-09 8.9123e-16 9.9961e-25 1.0724e-35
0.14456 1.4493 1.7918e-09 9.8856e-09 2.1564e-19 9.8904e-21 1.4551e-21 1.7987e-16 3.1084e-19 4.5124e-21 1.3238e-58 1.7214e-51 3.6109e-44 1.1914e-40 6.6658e-40 7.6014e-33 6.3505e-25 1.8897e-18 1.1372e-13 7.1365e-11 6.1718e-23 1.0356e-16 1.6301e-13 3.1741e-26 6.4297e-23 5.2286e-31 1.3764e-40 6.0296e-36 3.6441e-28 3.5051e-22 2.9303e-18 1.3829e-23 2.7905e-55 7.3079e-49 7.5114e-45 2.2513e-43 4.6099e-43 9.9992e-05 7.8081e-09 1.0126e-15 1.2107e-24 1.3845e-35
0.020896 1.4506 1.8143e-09 9.7633e-09 5.6716e-19 2.5692e-20 3.7332e-21 6.8389e-17 1.1966e-19 1.7589e-21 9.1577e-58 1.1761e-50 2.4365e-43 7.94e-40 4.3874e-39 1.0988e-33 9.295e-26 2.8004e-19 1.7064e-14 1.0843e-11 6.2491e-23 1.0356e-16 1.61e-13 8.3484e-26 1.6702e-22 1.3414e-30 3.4876e-40 8.7162e-37 5.3336e-29 5.1944e-23 4.397e-19 2.101e-24 1.9304e-54 4.9929e-48 5.0685e-44 1.5003e-42 3.0342e-42 9.9992e-05 7.9058e-09 1.0382e-15 1.2567e-24 1.4551e-35
0.0030207 1.4508 1.8177e-09 9.7448e-09 1.4917e-18 6.7445e-20 9.7815e-21 2.6002e-17 4.5583e-20 6.7129e-22 6.3351e-57 8.1202e-50 1.6791e-42 5.4614e-39 3.0121e-38 1.5884e-34 1.3462e-26 4.0636e-20 2.4808e-15 1.5793e-12 6.261e-23 1.0356e-16 1.6069e-13 2.1958e-25 4.3845e-22 3.5147e-30 9.1207e-40 1.26e-37 7.7248e-30 7.5375e-24 6.3926e-20 3.0604e-25 1.3354e-53 3.4474e-47 3.4929e-43 1.032e-41 2.083e-41 9.9992e-05 7.9209e-09 1.0421e-15 1.2639e-24 1.4662e-35
0.00043666 1.4508 1.8182e-09 9.7421e-09 3.9235e-18 1.7734e-19 2.5713e-20 9.8861e-18 1.7336e-20 2.5537e-22 4.3824e-56 5.6158e-49 1.1609e-41 3.7749e-38 2.0813e-37 2.2962e-35 1.9466e-27 5.8775e-21 3.5892e-16 2.2856e-13 6.2627e-23 1.0356e-16 1.6065e-13 5.7752e-25 1.1529e-21 9.2392e-30 2.3969e-39 1.8214e-38 1.117e-30 1.0902e-24 9.2485e-21 4.4289e-26 9.238e-53 2.3841e-46 2.415e-42 7.1329e-41 1.4394e-40 9.9992e-05 7.9231e-09 1.0427e-15 1.265e-24 1.4679e-35
6.3122e-05 1.4508 1.8183e-09 9.7417e-09 1.0319e-17 4.6642e-19 6.7623e-20 3.7587e-18 6.5914e-21 9.71e-23 3.0316e-55 3.8847e-48 8.0303e-41 2.6111e-37 1.4396e-36 3.3192e-36 2.814e-28 8.497e-22 5.189e-17 3.3045e-14 6.263e-23 1.0356e-16 1.6064e-13 1.519e-24 3.0321e-21 2.4298e-29 6.3034e-39 2.6329e-39 1.6147e-31 1.5761e-25 1.3371e-21 6.4033e-27 6.3906e-52 1.6492e-45 1.6705e-41 4.9337e-40 9.9557e-40 9.9992e-05 7.9234e-09 1.0428e-15 1.2651e-24 1.4681e-35
9.1247e-06 1.4508 1.8183e-09 9.7416e-09 2.7142e-17 1.2267e-18 1.7786e-19 1.4291e-18 2.5061e-21 3.6918e-23 2.0972e-54 2.6873e-47 5.5551e-40 1.8062e-36 9.9584e-36 4.7982e-37 4.0678e-29 1.2283e-22 7.5012e-18 4.7769e-15 6.263e-23 1.0356e-16 1.6064e-13 3.9951e-24 7.975e-21 6.3908e-29 1.6579e-38 3.8061e-40 2.3342e-32 2.2783e-26 1.9329e-22 9.2566e-28 4.4208e-51 1.1409e-44 1.1556e-40 3.413e-39 6.8869e-39 9.9992e-05 7.9234e-09 1.0428e-15 1.2651e-24 1.4681e-35
1.319e-06 1.4508 1.8183e-09 9.7416e-09 7.1387e-17 3.2265e-18 4.6779e-19 5.4335e-19 9.5284e-22 1.4037e-23 1.4508e-53 1.859e-46 3.8428e-39 1.2495e-35 6.889e-35 6.9361e-38 5.8803e-30 1.7756e-23 1.0843e-18 6.9054e-16 6.263e-23 1.0356e-16 1.6064e-13 1.0508e-23 2.0975e-20 1.6809e-28 4.3605e-38 5.5019e-41 3.3742e-33 3.2935e-27 2.7941e-23 1.3381e-28 3.0582e-50 7.8923e-44 7.9939e-40 2.361e-38 4.7642e-38 9.9992e-05 7.9234e-09 1.0428e-15 1.2652e-24 1.4681e-35
1.9067e-07 1.4508 1.8183e-09 9.7416e-09 1.8776e-16 8.4862e-18 1.2304e-18 2.0658e-19 3.6227e-22 5.3368e-24 1.0036e-52 1.286e-45 2.6584e-38 8.6436e-35 4.7656e-34 1.0027e-38 8.5004e-31 2.5667e-24 1.5675e-19 9.9822e-17 6.263e-23 1.0356e-16 1.6064e-13 2.7637e-23 5.5168e-20 4.421e-28 1.1469e-37 7.9533e-42 4.8777e-34 4.7609e-28 4.0391e-24 1.9343e-29 2.1156e-49 5.4597e-43 5.53e-39 1.6333e-37 3.2957e-37 9.9992e-05 7.9234e-09 1.0428e-15 1.2652e-24 1.4681e-35
2.7563e-08 1.4508 1.8183e-09 9.7416e-09 4.9383e-16 2.232e-17 3.236e-18 7.8544e-20 1.3774e-22 2.0291e-24 6.9427e-52 8.8962e-45 1.839e-37 5.9794e-34 3.2967e-33 1.4494e-39 1.2288e-31 3.7104e-25 2.2659e-20 1.443e-17 6.263e-23 1.0356e-16 1.6064e-13 7.269e-23 1.451e-19 1.1628e-27 3.0164e-37 1.1497e-42 7.051e-35 6.8822e-29 5.8387e-25 2.7962e-30 1.4635e-48 3.7768e-42 3.8255e-38 1.1299e-36 2.2799e-36 9.9992e-05 7.9234e-09 1.0428e-15 1.2652e-24 1.4681e-35
