$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Pd_{i}^{\times}$ $Pd_{i}^{\bullet}$ $Pd_{i}^{\bullet\bullet}$ $Pd_{i}^{\bullet\bullet\bullet}$ $Pd_{i}^{\bullet\bullet\bullet\bullet}$ $Pd_{Sn}^{\times}$ $Pd_{Sn}^{'}$ $Pd_{Sn}^{''}$ $Pd_{Sn}^{'''}$ $Pd_{Sn}^{''''}$
3.9844e-09 0.95784 1.5459e-11 1.1458e-06 1.2989e-15 6.9049e-15 1.1775e-13 2.9863e-20 4.4524e-25 5.5764e-29 4.8028e-51 7.2385e-42 1.76e-32 6.7307e-27 4.3648e-24 2.0952e-40 1.5102e-34 3.877e-30 2.013e-27 1.0899e-26 5.3248e-25 1.0356e-16 1.8894e-11 1.9119e-22 4.4888e-17 4.231e-23 1.291e-30 1.662e-43 8.6657e-38 7.1913e-34 5.187e-32 2.1119e-39 3.4144e-21 3.4259e-17 5.0428e-15 3.5744e-17 7.5396e-21 0.0099989 1.1458e-06 3.7172e-13 8.2241e-22 1.7281e-32
5.7597e-10 0.95784 1.5459e-11 1.1458e-06 3.4162e-15 1.8161e-14 3.097e-13 1.1354e-20 1.6928e-25 2.1202e-29 3.3224e-50 5.0074e-41 1.2175e-31 4.6561e-26 3.0194e-23 3.0287e-41 2.1831e-35 5.6044e-31 2.9099e-28 1.5755e-27 5.3248e-25 1.0356e-16 1.8894e-11 5.0285e-22 1.1806e-16 1.1128e-22 3.3955e-30 2.4025e-44 1.2527e-38 1.0395e-34 7.4981e-33 3.0529e-40 2.362e-20 2.3699e-16 3.4885e-14 2.4727e-16 5.2157e-20 0.0099989 1.1458e-06 3.7172e-13 8.2241e-22 1.7281e-32
8.3261e-11 0.95784 1.5459e-11 1.1458e-06 8.9852e-15 4.7766e-14 8.1455e-13 4.3169e-21 6.4362e-26 8.0611e-30 2.2984e-49 3.464e-40 8.4223e-31 3.221e-25 2.0888e-22 4.3782e-42 3.1558e-36 8.1016e-32 4.2064e-29 2.2775e-28 5.3248e-25 1.0356e-16 1.8894e-11 1.3226e-21 3.1053e-16 2.9269e-22 8.9306e-30 3.4729e-45 1.8108e-39 1.5027e-35 1.0839e-33 4.4132e-41 1.6339e-19 1.6394e-15 2.4132e-13 1.7105e-15 3.6081e-19 0.0099989 1.1458e-06 3.7172e-13 8.2241e-22 1.7281e-32
1.2036e-11 0.95784 1.5459e-11 1.1458e-06 2.3632e-14 1.2563e-13 2.1424e-12 1.6413e-21 2.4471e-26 3.0649e-30 1.59e-48 2.3963e-39 5.8263e-30 2.2282e-24 1.4449e-21 6.329e-43 4.5619e-37 1.1711e-32 6.0807e-30 3.2923e-29 5.3248e-25 1.0356e-16 1.8894e-11 3.4786e-21 8.1673e-16 7.6981e-22 2.3489e-29 5.0203e-46 2.6177e-40 2.1723e-36 1.5669e-34 6.3796e-42 1.1303e-18 1.1341e-14 1.6694e-12 1.1833e-14 2.4959e-18 0.0099989 1.1458e-06 3.7172e-13 8.2241e-22 1.7281e-32
1.7399e-12 0.95784 1.546e-11 1.1458e-06 6.2157e-14 3.3043e-13 5.6347e-12 6.2403e-22 9.3041e-27 1.1653e-30 1.0999e-47 1.6577e-38 4.0304e-29 1.5413e-23 9.9952e-21 9.1489e-44 6.5945e-38 1.693e-33 8.7903e-31 4.7594e-30 5.3249e-25 1.0356e-16 1.8894e-11 9.1493e-21 2.1481e-15 2.0247e-21 6.1777e-29 7.2572e-47 3.7841e-41 3.1403e-37 2.2651e-35 9.2225e-43 7.8192e-18 7.8454e-14 1.1548e-11 8.1853e-14 1.7265e-17 0.0099989 1.1458e-06 3.7173e-13 8.2244e-22 1.7282e-32
2.5151e-13 0.95785 1.5461e-11 1.1457e-06 1.6348e-13 8.6902e-13 1.4818e-11 2.3726e-22 3.5377e-27 4.4312e-31 7.6087e-47 1.1466e-37 2.7877e-28 1.066e-22 6.9125e-20 1.3225e-44 9.5335e-39 2.4477e-34 1.271e-31 6.8819e-31 5.3253e-25 1.0356e-16 1.8893e-11 2.4064e-20 5.6495e-15 5.3245e-21 1.6245e-28 1.0491e-47 5.4705e-42 4.5401e-38 3.275e-36 1.3335e-43 5.4091e-17 5.4269e-13 7.9876e-11 5.6612e-13 1.194e-16 0.0099989 1.1459e-06 3.7178e-13 8.2261e-22 1.7287e-32
3.6357e-14 0.9579 1.5467e-11 1.1452e-06 4.2998e-13 2.2847e-12 3.8939e-11 9.0208e-23 1.3456e-27 1.6863e-31 5.2635e-46 7.9287e-37 1.9268e-27 7.3648e-22 4.7735e-19 1.9118e-45 1.3787e-39 3.5414e-35 1.8397e-32 9.9657e-32 5.3276e-25 1.0356e-16 1.8884e-11 6.3292e-20 1.4852e-14 1.3992e-20 4.267e-28 1.5165e-48 7.9114e-43 6.5687e-39 4.7404e-37 1.9311e-44 3.7419e-16 3.7525e-12 5.5208e-10 3.9111e-12 8.2455e-16 0.0099989 1.1464e-06 3.7211e-13 8.237e-22 1.7317e-32
5.2556e-15 0.9582 1.5513e-11 1.1418e-06 1.1309e-12 5.9914e-12 1.0182e-10 3.4297e-23 5.1312e-28 6.4489e-32 3.6411e-45 5.4688e-36 1.3251e-26 5.0502e-21 3.2637e-18 2.7636e-46 1.9989e-40 5.1493e-36 2.6828e-33 1.4576e-32 5.3432e-25 1.0356e-16 1.8829e-11 1.6647e-19 3.895e-14 3.6586e-20 1.1125e-27 2.1922e-49 1.147e-43 9.5513e-40 6.913e-38 2.8244e-45 2.5885e-15 2.5883e-11 3.7968e-09 2.6819e-11 5.6376e-15 0.0099988 1.1497e-06 3.7429e-13 8.3097e-22 1.7521e-32
7.5973e-16 0.96018 1.5813e-11 1.1202e-06 2.9745e-12 1.546e-11 2.5774e-10 1.304e-23 1.9886e-28 2.5476e-32 2.5188e-44 3.7114e-35 8.8222e-26 3.2986e-20 2.0913e-17 3.995e-47 2.9454e-41 7.7343e-37 4.1075e-34 2.2747e-33 5.4465e-25 1.0356e-16 1.8472e-11 4.3784e-19 1.005e-13 9.2611e-20 2.7626e-27 3.169e-50 1.6901e-44 1.4346e-40 1.0584e-38 4.4079e-46 1.7907e-14 1.7565e-10 2.5278e-08 1.7517e-10 3.6124e-14 0.0099988 1.172e-06 3.8891e-13 8.801e-22 1.8916e-32
1.0982e-16 0.97087 1.7534e-11 1.0102e-06 7.8234e-12 3.6669e-11 5.5131e-10 4.9579e-24 8.3841e-29 1.191e-32 1.7425e-43 2.3154e-34 4.9634e-25 1.6736e-19 9.5686e-17 5.775e-48 4.7213e-42 1.3747e-37 8.0957e-35 4.9715e-34 6.0395e-25 1.0356e-16 1.6658e-11 1.1516e-18 2.3838e-13 1.981e-19 5.3292e-27 4.5809e-51 2.7091e-45 2.5499e-41 2.0861e-39 9.6337e-47 1.2387e-13 1.0958e-09 1.4221e-07 8.8873e-10 1.6528e-13 0.0099986 1.2995e-06 4.7818e-13 1.1999e-21 2.8598e-32
1.5876e-17 1.0039 2.4124e-11 7.3424e-07 2.0577e-11 7.0099e-11 7.6603e-10 1.885e-24 4.3857e-29 8.5717e-33 1.2054e-42 1.1642e-33 1.8139e-24 4.4454e-19 1.8473e-16 8.3481e-49 9.3899e-43 3.7617e-38 3.0479e-35 2.5751e-34 8.3094e-25 1.0356e-16 1.2108e-11 3.0288e-18 4.5571e-13 2.7525e-19 5.382e-27 6.622e-52 5.3881e-46 6.9775e-42 7.8536e-40 4.99e-47 8.5683e-13 5.5092e-09 5.1967e-07 2.3605e-09 3.1906e-13 0.0099977 1.7878e-06 9.0509e-13 3.1248e-21 1.0246e-31
2.2949e-18 1.0577 4.0603e-11 4.3626e-07 5.412e-11 1.0955e-10 7.1125e-10 7.167e-25 2.8065e-29 9.2318e-33 8.3385e-42 4.785e-33 4.4297e-24 6.4501e-19 1.5926e-16 1.2068e-49 2.2845e-43 1.5404e-38 2.1006e-35 2.987e-34 1.3985e-24 1.0356e-16 7.1939e-12 7.9663e-18 7.1215e-13 2.5557e-19 2.9691e-27 9.5725e-53 1.3109e-46 2.8572e-42 5.4126e-40 5.7881e-47 5.9261e-12 2.2639e-08 1.2688e-06 3.4243e-09 2.7501e-13 0.0099957 3.0083e-06 2.5634e-12 1.4895e-20 8.2204e-31
3.3175e-19 1.1207 7.4639e-11 2.3732e-07 1.4234e-10 1.5673e-10 5.5359e-10 2.7249e-25 1.9615e-29 1.1861e-32 5.7684e-41 1.8007e-32 9.0681e-24 7.1829e-19 9.6477e-17 1.7445e-50 6.0708e-44 7.5246e-39 1.8863e-35 4.9308e-34 2.5709e-24 1.0356e-16 3.9134e-12 2.0953e-17 1.0189e-12 1.9892e-19 1.2571e-27 1.3838e-53 3.4835e-47 1.3957e-42 4.8605e-40 9.5546e-47 4.098e-11 8.5163e-08 2.5965e-06 3.8119e-09 1.6654e-13 0.0099919 5.528e-06 8.6589e-12 9.2492e-20 9.3835e-30
4.7956e-20 1.1867 1.4133e-10 1.2533e-07 3.7439e-10 2.177e-10 4.0607e-10 1.036e-25 1.4122e-29 1.617e-32 3.9904e-40 6.5783e-32 1.7495e-23 7.3184e-19 5.1911e-17 2.5217e-51 1.6617e-44 3.9002e-39 1.8513e-35 9.1639e-34 4.8681e-24 1.0356e-16 2.0667e-12 5.5109e-17 1.4153e-12 1.4591e-19 4.8698e-28 2.0003e-54 9.5354e-48 7.2343e-43 4.7705e-40 1.7757e-46 2.8328e-10 3.1089e-07 5.0057e-06 3.8809e-09 8.9541e-14 0.0099845 1.046e-05 3.1025e-11 6.2753e-19 1.2055e-28
6.9323e-21 1.254 2.709e-10 6.5386e-08 9.847e-10 2.9873e-10 2.907e-10 3.939e-26 1.0291e-29 2.2587e-32 2.7605e-39 2.3742e-31 3.2941e-23 7.189e-19 2.6604e-17 3.6453e-52 4.6044e-45 2.0714e-39 1.8847e-35 1.7881e-33 9.3311e-24 1.0356e-16 1.0782e-12 1.4494e-16 1.942e-12 1.0446e-19 1.8188e-28 2.8916e-55 2.6421e-48 3.8421e-43 4.8563e-40 3.465e-46 1.9569e-09 1.1205e-06 9.4119e-06 3.807e-09 4.5825e-14 0.0099706 2.0021e-05 1.1383e-10 4.413e-18 1.625e-27
1.0021e-21 1.3223 5.246e-10 3.3765e-08 2.5899e-09 4.0573e-10 2.0389e-10 1.4976e-26 7.5773e-30 3.2205e-32 1.9096e-38 8.4812e-31 6.0767e-23 6.8483e-19 1.3087e-17 5.2695e-53 1.2889e-45 1.1229e-39 1.9784e-35 3.635e-33 1.807e-23 1.0356e-16 5.5678e-13 3.8123e-16 2.6376e-12 7.3262e-20 6.5874e-29 4.18e-56 7.396e-49 2.0828e-43 5.0979e-40 7.0437e-46 1.3501e-08 3.992e-06 1.7316e-05 3.6169e-09 2.2482e-14 0.009944 3.8668e-05 4.2571e-10 3.1961e-17 2.2791e-26
1.4486e-22 1.3922 1.0315e-09 1.7172e-08 6.8119e-09 5.4272e-10 1.387e-10 5.6941e-27 5.6647e-30 4.7341e-32 1.321e-37 2.9838e-30 1.0873e-22 6.2316e-19 6.0563e-18 7.6175e-54 3.6636e-46 6.2757e-40 2.1742e-35 7.8547e-33 3.553e-23 1.0356e-16 2.8316e-13 1.0027e-15 3.5282e-12 4.9839e-20 2.279e-29 6.0424e-57 2.1022e-49 1.1641e-43 5.6024e-40 1.5221e-45 9.2923e-08 1.3973e-05 3.0825e-05 3.2745e-09 1.0351e-14 0.0098935 7.5647e-05 1.6376e-09 2.4175e-16 3.3895e-25
2.0941e-23 1.4648 2.0815e-09 8.5099e-09 1.7916e-08 7.074e-10 8.9593e-11 2.1649e-27 4.346e-30 7.3289e-32 9.1384e-37 1.0229e-29 1.8472e-22 5.2467e-19 2.527e-18 1.1012e-54 1.0687e-46 3.6939e-40 2.5823e-35 1.8825e-32 7.1695e-23 1.0356e-16 1.4033e-13 2.6372e-15 4.5987e-12 3.2193e-20 7.2955e-30 8.7347e-58 6.1322e-50 6.8517e-44 6.6541e-40 3.6479e-45 6.3654e-07 4.7435e-05 5.1859e-05 2.73e-09 4.2769e-15 0.009797 0.00015116 6.6028e-09 1.9669e-15 5.5648e-24
3.0271e-24 1.5417 4.3792e-09 4.0449e-09 4.7123e-08 8.8435e-10 5.3237e-11 8.2312e-28 3.4764e-30 1.2334e-31 6.3217e-36 3.3634e-29 2.8869e-22 3.8975e-19 8.9223e-19 1.5918e-55 3.2501e-47 2.3636e-40 3.4763e-35 5.3317e-32 1.5084e-22 1.0356e-16 6.6699e-14 6.9363e-15 5.7491e-12 1.9129e-20 2.0605e-30 1.2626e-58 1.865e-50 4.3841e-44 8.9577e-40 1.0332e-44 4.3188e-06 0.00015297 7.9489e-05 1.989e-09 1.4811e-15 0.0096086 0.0003119 2.8664e-08 1.7965e-14 1.0693e-22
4.3759e-25 0 1.467e-15 0.0095844 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6.3256e-26 0 1.467e-15 0.0095844 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9.144e-27 0 1.467e-15 0.0095844 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.3218e-27 0 1.467e-15 0.0095844 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.9108e-28 0 1.467e-15 0.0095844 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2.7621e-29 0 1.467e-15 0.0095844 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3.9929e-30 0 1.467e-15 0.0095844 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5.7719e-31 0 1.467e-15 0.0095844 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
