$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Pd_{i}^{\times}$ $Pd_{i}^{\bullet}$ $Pd_{i}^{\bullet\bullet}$ $Pd_{i}^{\bullet\bullet\bullet}$ $Pd_{i}^{\bullet\bullet\bullet\bullet}$ $Pd_{Sn}^{\times}$ $Pd_{Sn}^{'}$ $Pd_{Sn}^{''}$ $Pd_{Sn}^{'''}$ $Pd_{Sn}^{''''}$
1 0.95784 1.5459e-11 1.1458e-06 8.1987e-20 4.3586e-19 7.4326e-18 4.731e-16 7.0536e-21 8.8343e-25 1.9136e-59 2.8841e-50 7.0125e-41 2.6818e-35 1.7391e-32 5.2584e-32 3.7902e-26 9.7303e-22 5.0521e-19 2.7353e-18 5.3248e-25 1.0356e-16 1.8894e-11 1.2068e-26 2.8335e-21 2.6707e-27 8.1489e-35 4.1711e-35 2.1749e-29 1.8048e-25 1.3018e-23 5.3004e-31 1.3604e-29 1.365e-25 2.0093e-23 1.4242e-25 3.0041e-29 0.0099989 1.1458e-06 3.7172e-13 8.2241e-22 1.7281e-32
0.14456 0.95784 1.5459e-11 1.1458e-06 2.1564e-19 1.1464e-18 1.9549e-17 1.7987e-16 2.6818e-21 3.3589e-25 1.3238e-58 1.9952e-49 4.851e-40 1.8552e-34 1.2031e-31 7.6014e-33 5.479e-27 1.4066e-22 7.3031e-20 3.9541e-19 5.3248e-25 1.0356e-16 1.8894e-11 3.1741e-26 7.4525e-21 7.0244e-27 2.1433e-34 6.0296e-36 3.1439e-30 2.609e-26 1.8818e-24 7.6621e-32 9.4111e-29 9.4428e-25 1.39e-22 9.8522e-25 2.0782e-28 0.0099989 1.1458e-06 3.7172e-13 8.2241e-22 1.7281e-32
0.020896 0.95784 1.5459e-11 1.1458e-06 5.6716e-19 3.0151e-18 5.1416e-17 6.8389e-17 1.0196e-21 1.2771e-25 9.1577e-58 1.3802e-48 3.3558e-39 1.2834e-33 8.3226e-31 1.0988e-33 7.9202e-28 2.0333e-23 1.0557e-20 5.7159e-20 5.3248e-25 1.0356e-16 1.8894e-11 8.3484e-26 1.9601e-20 1.8475e-26 5.6372e-34 8.7162e-37 4.5448e-31 3.7715e-27 2.7203e-25 1.1076e-32 6.5103e-28 6.5322e-24 9.6154e-22 6.8155e-24 1.4376e-27 0.0099989 1.1458e-06 3.7172e-13 8.2241e-22 1.7281e-32
0.0030207 0.95784 1.5459e-11 1.1458e-06 1.4917e-18 7.9303e-18 1.3523e-16 2.6002e-17 3.8767e-22 4.8554e-26 6.3351e-57 9.5478e-48 2.3215e-38 8.8781e-33 5.7573e-30 1.5884e-34 1.1449e-28 2.9393e-24 1.5261e-21 8.2627e-21 5.3248e-25 1.0356e-16 1.8894e-11 2.1958e-25 5.1554e-20 4.8593e-26 1.4827e-33 1.26e-37 6.5697e-32 5.4519e-28 3.9324e-26 1.6011e-33 4.5037e-27 4.5188e-23 6.6517e-21 4.7148e-23 9.945e-27 0.0099989 1.1458e-06 3.7172e-13 8.2241e-22 1.7281e-32
0.00043666 0.95784 1.5459e-11 1.1458e-06 3.9235e-18 2.0858e-17 3.5568e-16 9.8861e-18 1.474e-22 1.8461e-26 4.3824e-56 6.6049e-47 1.6059e-37 6.1416e-32 3.9828e-29 2.2962e-35 1.6551e-29 4.2489e-25 2.2061e-22 1.1944e-21 5.3248e-25 1.0356e-16 1.8894e-11 5.7752e-25 1.356e-19 1.2781e-25 3.8997e-33 1.8214e-38 9.497e-33 7.8811e-29 5.6845e-27 2.3145e-34 3.1155e-26 3.126e-22 4.6014e-20 3.2615e-22 6.8797e-26 0.0099989 1.1458e-06 3.7172e-13 8.2241e-22 1.7281e-32
6.3122e-05 0.95784 1.5459e-11 1.1458e-06 1.0319e-17 5.4859e-17 9.3551e-16 3.7587e-18 5.6041e-23 7.0188e-27 3.0316e-55 4.5691e-46 1.1109e-36 4.2486e-31 2.7552e-28 3.3192e-36 2.3925e-30 6.142e-26 3.189e-23 1.7266e-22 5.3248e-25 1.0356e-16 1.8894e-11 1.519e-24 3.5664e-19 3.3615e-25 1.0257e-32 2.6329e-39 1.3728e-33 1.1393e-29 8.2173e-28 3.3458e-35 2.1552e-25 2.1625e-21 3.1832e-19 2.2562e-21 4.7592e-25 0.0099989 1.1458e-06 3.7172e-13 8.2241e-22 1.7281e-32
9.1247e-06 0.95784 1.5459e-11 1.1458e-06 2.7142e-17 1.4429e-16 2.4605e-15 1.4291e-18 2.1307e-23 2.6686e-27 2.0972e-54 3.1608e-45 7.6851e-36 2.9391e-30 1.9059e-27 4.7982e-37 3.4585e-31 8.8787e-27 4.6099e-24 2.4959e-23 5.3248e-25 1.0356e-16 1.8894e-11 3.9951e-24 9.3801e-19 8.8413e-25 2.6977e-32 3.8061e-40 1.9845e-34 1.6469e-30 1.1879e-28 4.8365e-36 1.4909e-24 1.4959e-20 2.202e-18 1.5608e-20 3.2923e-24 0.0099989 1.1458e-06 3.7172e-13 8.2241e-22 1.7281e-32
1.319e-06 0.95784 1.5459e-11 1.1458e-06 7.1387e-17 3.795e-16 6.4716e-15 5.4335e-19 8.101e-24 1.0146e-27 1.4508e-53 2.1865e-44 5.3163e-35 2.0332e-29 1.3185e-26 6.9361e-38 4.9994e-32 1.2835e-27 6.6639e-25 3.608e-24 5.3248e-25 1.0356e-16 1.8894e-11 1.0508e-23 2.4671e-18 2.3254e-24 7.0953e-32 5.5019e-41 2.8688e-35 2.3807e-31 1.7171e-29 6.9915e-37 1.0314e-23 1.0349e-19 1.5233e-17 1.0797e-19 2.2775e-23 0.0099989 1.1458e-06 3.7172e-13 8.2241e-22 1.7281e-32
1.9067e-07 0.95784 1.5459e-11 1.1458e-06 1.8776e-16 9.9815e-16 1.7021e-14 2.0658e-19 3.08e-24 3.8576e-28 1.0036e-52 1.5126e-43 3.6777e-34 1.4065e-28 9.1209e-26 1.0027e-38 7.227e-33 1.8553e-28 9.6331e-26 5.2156e-25 5.3248e-25 1.0356e-16 1.8894e-11 2.7637e-23 6.4889e-18 6.1162e-24 1.8662e-31 7.9533e-42 4.147e-36 3.4414e-32 2.4822e-30 1.0107e-37 7.1348e-23 7.1588e-19 1.0538e-16 7.4692e-19 1.5755e-22 0.0099989 1.1458e-06 3.7172e-13 8.2241e-22 1.7281e-32
2.7563e-08 0.95784 1.5459e-11 1.1458e-06 4.9383e-16 2.6253e-15 4.4769e-14 7.8544e-20 1.1711e-24 1.4667e-28 6.9427e-52 1.0464e-42 2.5441e-33 9.7297e-28 6.3096e-25 1.4494e-39 1.0447e-33 2.682e-29 1.3925e-26 7.5395e-26 5.3248e-25 1.0356e-16 1.8894e-11 7.269e-23 1.7067e-17 1.6086e-23 4.9083e-31 1.1497e-42 5.9947e-37 4.9747e-33 3.5882e-31 1.461e-38 4.9357e-22 4.9523e-18 7.2897e-16 5.167e-18 1.0899e-21 0.0099989 1.1458e-06 3.7172e-13 8.2241e-22 1.7281e-32
