$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Mo_{i}^{\times}$ $Mo_{i}^{\bullet}$ $Mo_{i}^{\bullet\bullet}$ $Mo_{i}^{\bullet\bullet\bullet}$ $Mo_{i}^{\bullet\bullet\bullet\bullet}$ $Mo_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Mo_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $Mo_{Sn}^{\times}$ $Mo_{Sn}^{\bullet}$ $Mo_{Sn}^{\bullet\bullet}$ $Mo_{Sn}^{'}$ $Mo_{Sn}^{''}$ $Mo_{Sn}^{'''}$ $Mo_{Sn}^{''''}$
1 1.5404 4.3223e-09 4.0981e-09 8.1987e-20 1.5589e-21 9.5077e-23 4.731e-16 1.9722e-18 6.9061e-20 1.9136e-59 1.0315e-52 8.9703e-46 1.227e-42 2.8458e-42 5.2584e-32 1.0597e-23 7.6066e-17 1.1042e-11 1.6716e-08 1.4888e-22 1.0356e-16 6.7577e-14 1.2068e-26 1.0134e-23 3.4164e-32 3.7283e-42 4.1711e-35 6.0809e-27 1.4109e-20 2.8454e-16 3.2392e-21 9.0467e-55 3.8656e-49 2.2443e-46 6.4964e-48 8.6035e-49 5.9169e-57 8.0938e-65 9.9907e-05 8.0053e-08 2.8684e-11 1.2989e-08 1.8072e-15 2.2655e-24 1.2081e-34
0.14456 1.5746 6.0191e-09 2.9429e-09 2.1564e-19 2.9443e-21 1.2896e-22 1.7987e-16 1.0442e-18 5.0918e-20 1.3238e-58 5.1244e-52 3.2e-45 3.1432e-42 5.2352e-42 7.6014e-33 2.1332e-24 2.1323e-17 4.3105e-12 9.0867e-09 2.0732e-22 1.0356e-16 4.8528e-14 3.1741e-26 1.9141e-23 4.6337e-32 3.6313e-42 6.0296e-36 1.2241e-27 3.9551e-21 1.1107e-16 1.7608e-21 6.2594e-54 1.9207e-48 8.0074e-46 1.6645e-47 1.583e-48 7.8179e-57 7.6796e-65 9.9924e-05 5.7497e-08 1.4794e-11 1.8091e-08 3.505e-15 6.1188e-24 4.5438e-34
0.020896 1.6019 7.8337e-09 2.2612e-09 5.6716e-19 5.9501e-21 2.0024e-22 6.8389e-17 5.1669e-19 3.2792e-20 9.1577e-58 2.7237e-51 1.3069e-44 9.8632e-42 1.2622e-41 1.0988e-33 4.0135e-25 5.2211e-18 1.3737e-12 3.7688e-09 2.6983e-22 1.0356e-16 3.7286e-14 8.3484e-26 3.8681e-23 7.195e-32 4.3323e-42 8.7162e-37 2.303e-28 9.6844e-22 3.5397e-17 7.3031e-22 4.3304e-53 1.021e-47 3.2705e-45 5.2235e-47 3.8169e-48 1.4484e-56 1.0932e-64 9.9932e-05 4.4181e-08 8.7347e-12 2.3547e-08 5.9376e-15 1.349e-23 1.3038e-33
0.0030207 1.6169 9.0578e-09 1.9556e-09 1.4917e-18 1.3535e-20 3.9393e-22 2.6002e-17 2.2714e-19 1.6668e-20 6.3351e-57 1.6296e-50 6.7623e-44 4.4139e-41 4.8853e-41 1.5884e-34 6.7082e-26 1.009e-18 3.0696e-13 9.7376e-10 3.1199e-22 1.0356e-16 3.2248e-14 2.1958e-25 8.7989e-23 1.4155e-31 7.3714e-42 1.26e-37 3.8493e-29 1.8716e-22 7.9096e-18 1.8869e-22 2.9957e-52 6.1084e-47 1.6923e-44 2.3376e-46 1.4773e-47 4.8484e-56 3.1648e-64 9.9935e-05 3.8212e-08 6.5336e-12 2.7227e-08 7.9382e-15 2.0854e-23 2.3304e-33
0.00043666 1.6212 9.4487e-09 1.8747e-09 3.9235e-18 3.4126e-20 9.5213e-22 9.8861e-18 9.0088e-20 6.8963e-21 4.3824e-56 1.0806e-49 4.2989e-43 2.6899e-40 2.854e-40 2.2962e-35 1.0116e-26 1.5872e-19 5.037e-14 1.6668e-10 3.2545e-22 1.0356e-16 3.0913e-14 5.7752e-25 2.2185e-22 3.4212e-31 1.708e-41 1.8214e-38 5.8046e-30 2.9441e-23 1.2979e-18 3.2299e-23 2.0724e-51 4.0508e-46 1.0758e-43 1.4246e-45 8.6305e-47 2.7152e-55 1.6991e-63 9.9935e-05 3.6631e-08 6.0042e-12 2.8402e-08 8.6383e-15 2.3672e-23 2.7596e-33
6.3122e-05 1.622 9.5192e-09 1.8608e-09 1.0319e-17 8.9092e-20 2.4673e-21 3.7587e-18 3.4508e-20 2.6613e-21 3.0316e-55 7.4203e-49 2.93e-42 1.8198e-39 1.9165e-39 3.3192e-36 1.4732e-27 2.3288e-20 7.4454e-15 2.4822e-11 3.2788e-22 1.0356e-16 3.0684e-14 1.519e-24 5.7918e-22 8.8657e-31 4.3931e-41 2.6329e-39 8.4534e-31 4.3196e-24 1.9185e-19 4.8099e-24 1.4336e-50 2.7815e-45 7.3325e-43 9.6376e-45 5.7955e-46 1.8098e-54 1.1241e-62 9.9935e-05 3.636e-08 5.9156e-12 2.8614e-08 8.7677e-15 2.4206e-23 2.8429e-33
9.1247e-06 1.6221 9.5298e-09 1.8587e-09 2.7142e-17 2.3407e-19 6.475e-21 1.4291e-18 1.3135e-20 1.0141e-21 2.0972e-54 5.1274e-48 2.0224e-41 1.2547e-38 1.3199e-38 4.7982e-37 2.132e-28 3.3739e-21 1.0799e-15 3.6042e-12 3.2825e-22 1.0356e-16 3.065e-14 3.9951e-24 1.5216e-21 2.3266e-30 1.1516e-40 3.8061e-40 1.2234e-31 6.2582e-25 2.7826e-20 6.984e-25 9.9173e-50 1.922e-44 5.0611e-42 6.6448e-44 3.9914e-45 1.245e-53 7.7246e-62 9.9935e-05 3.6319e-08 5.9025e-12 2.8646e-08 8.7872e-15 2.4287e-23 2.8555e-33
1.319e-06 1.6221 9.5313e-09 1.8584e-09 7.1387e-17 6.1553e-19 1.7025e-20 5.4335e-19 4.9946e-21 3.8568e-22 1.4508e-53 3.5465e-47 1.3986e-40 8.6752e-38 9.1247e-38 6.9361e-38 3.0824e-29 4.8788e-22 1.5618e-16 5.2134e-13 3.283e-22 1.0356e-16 3.0645e-14 1.0508e-23 4.0015e-21 6.1174e-30 3.0275e-40 5.5019e-41 1.7687e-32 9.0495e-26 4.0244e-21 1.0102e-25 6.8605e-49 1.3294e-43 3.5e-41 4.5945e-43 2.7593e-44 8.6059e-53 5.3385e-61 9.9935e-05 3.6313e-08 5.9006e-12 2.865e-08 8.79e-15 2.4299e-23 2.8574e-33
1.9067e-07 1.6222 9.5315e-09 1.8584e-09 1.8776e-16 1.6189e-18 4.4776e-20 2.0658e-19 1.899e-21 1.4665e-22 1.0036e-52 2.4533e-46 9.6745e-40 6.0009e-37 6.3116e-37 1.0027e-38 4.4559e-30 7.0529e-23 2.2578e-17 7.5371e-14 3.2831e-22 1.0356e-16 3.0645e-14 2.7637e-23 1.0524e-20 1.6089e-29 7.9622e-40 7.9533e-42 2.5569e-33 1.3082e-26 5.8179e-22 1.4605e-26 4.7459e-48 9.1961e-43 2.4211e-40 3.1781e-42 1.9087e-43 5.9526e-52 3.6925e-60 9.9935e-05 3.6313e-08 5.9003e-12 2.8651e-08 8.7904e-15 2.43e-23 2.8576e-33
2.7563e-08 1.6222 9.5316e-09 1.8584e-09 4.9383e-16 4.258e-18 1.1777e-19 7.8544e-20 7.2202e-22 5.5756e-23 6.9427e-52 1.6971e-45 6.6925e-39 4.1512e-36 4.3661e-36 1.4494e-39 6.4413e-31 1.0196e-23 3.2638e-18 1.0895e-14 3.2831e-22 1.0356e-16 3.0645e-14 7.269e-23 2.7681e-20 4.2316e-29 2.0942e-39 1.1497e-42 3.6961e-34 1.8911e-27 8.4102e-23 2.1113e-27 3.2831e-47 6.3616e-42 1.6748e-39 2.1985e-41 1.3203e-42 4.1178e-51 2.5543e-59 9.9935e-05 3.6312e-08 5.9002e-12 2.8651e-08 8.7905e-15 2.4301e-23 2.8577e-33
