$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Zr_{i}^{\times}$ $Zr_{i}^{\bullet}$ $Zr_{i}^{\bullet\bullet}$ $Zr_{i}^{\bullet\bullet\bullet}$ $Zr_{i}^{\bullet\bullet\bullet\bullet}$ $Zr_{Sn}^{\times}$ $Zr_{Sn}^{'}$ $Zr_{Sn}^{''}$ $Zr_{Sn}^{'''}$ $Zr_{Sn}^{''''}$
1 1.238 3.5472e-18 1.4833e-13 3.3609e-39 4.2094e-40 5.4247e-40 1.1191e-31 5.6134e-39 1.987e-44 1.831e-118 1.8432e-102 4.8288e-86 3.1299e-77 5.833e-74 2.7651e-63 3.2416e-49 4.8209e-38 2.9326e-30 1.9398e-26 3.199e-47 5.3623e-33 7.9103e-25 7.2821e-53 1.779e-44 7.0041e-59 2.8898e-76 1.7398e-69 1.0674e-55 1.6586e-45 1.9471e-39 7.2839e-52 1.6208e-120 1.9353e-106 2.0993e-94 6.8839e-87 1.9323e-83 0.01 1.4833e-13 2.3046e-30 8.0275e-53 3.402e-79
0.020896 1.238 3.5472e-18 1.4833e-13 2.325e-38 2.9119e-39 3.7527e-39 1.6177e-32 8.1145e-40 2.8723e-45 8.7623e-117 8.8205e-101 2.3108e-84 1.4978e-75 2.7914e-72 5.7781e-65 6.7739e-51 1.0074e-39 6.1281e-32 4.0535e-28 3.199e-47 5.3623e-33 7.9103e-25 5.0375e-52 1.2306e-43 4.8452e-58 1.9991e-75 3.6357e-71 2.2304e-57 3.466e-47 4.0689e-41 1.5221e-53 7.7561e-119 9.2613e-105 1.0046e-92 3.2943e-85 9.2469e-82 0.01 1.4833e-13 2.3046e-30 8.0275e-53 3.402e-79
0.00043666 1.238 3.5472e-18 1.4833e-13 1.6084e-37 2.0144e-38 2.596e-38 2.3385e-33 1.173e-40 4.152e-46 4.1932e-115 4.221e-99 1.1058e-82 7.1677e-74 1.3358e-70 1.2074e-66 1.4155e-52 2.1051e-41 1.2805e-33 8.4705e-30 3.199e-47 5.3623e-33 7.9103e-25 3.4848e-51 8.5133e-43 3.3518e-57 1.3829e-74 7.5973e-73 4.6608e-59 7.2426e-49 8.5025e-43 3.1806e-55 3.7117e-117 4.432e-103 4.8076e-91 1.5765e-83 4.4251e-80 0.01 1.4833e-13 2.3046e-30 8.0275e-53 3.402e-79
9.1247e-06 1.238 3.5472e-18 1.4833e-13 1.1126e-36 1.3935e-37 1.7958e-37 3.3805e-34 1.6957e-41 6.002e-47 2.0066e-113 2.02e-97 5.292e-81 3.4301e-72 6.3925e-69 2.5231e-68 2.9579e-54 4.3989e-43 2.6759e-35 1.77e-31 3.199e-47 5.3623e-33 7.9103e-25 2.4107e-50 5.8893e-42 2.3187e-56 9.5666e-74 1.5876e-74 9.7394e-61 1.5135e-50 1.7767e-44 6.6463e-57 1.7762e-115 2.1209e-101 2.3007e-89 7.5442e-82 2.1176e-78 0.01 1.4833e-13 2.3046e-30 8.0275e-53 3.402e-79
1.9067e-07 1.238 3.5472e-18 1.4833e-13 7.6969e-36 9.6399e-37 1.2423e-36 4.8867e-35 2.4512e-42 8.6763e-48 9.6028e-112 9.6666e-96 2.5325e-79 1.6415e-70 3.0591e-67 5.2724e-70 6.181e-56 9.1922e-45 5.5917e-37 3.6988e-33 3.199e-47 5.3623e-33 7.9103e-25 1.6677e-49 4.074e-41 1.604e-55 6.6179e-73 3.3174e-76 2.0352e-62 3.1626e-52 3.7127e-46 1.3888e-58 8.5001e-114 1.015e-99 1.101e-87 3.6103e-80 1.0134e-76 0.01 1.4833e-13 2.3046e-30 8.0275e-53 3.402e-79
3.9844e-09 1.238 3.5472e-18 1.4833e-13 5.3245e-35 6.6686e-36 8.5939e-36 7.064e-36 3.5433e-43 1.2542e-48 4.5954e-110 4.6259e-94 1.2119e-77 7.8552e-69 1.4639e-65 1.1017e-71 1.2916e-57 1.9208e-46 1.1685e-38 7.7291e-35 3.199e-47 5.3623e-33 7.9103e-25 1.1536e-48 2.8183e-40 1.1096e-54 4.5781e-72 6.9323e-78 4.2528e-64 6.6087e-54 7.7583e-48 2.9022e-60 4.0677e-112 4.8571e-98 5.2687e-86 1.7277e-78 4.8496e-75 0.01 1.4833e-13 2.3046e-30 8.0275e-53 3.402e-79
8.3261e-11 1.238 3.5472e-18 1.4833e-13 3.6833e-34 4.6132e-35 5.9451e-35 1.0212e-36 5.1221e-44 1.813e-49 2.1991e-108 2.2137e-92 5.7996e-76 3.7591e-67 7.0057e-64 2.3023e-73 2.699e-59 4.0139e-48 2.4417e-40 1.6151e-36 3.199e-47 5.3623e-33 7.9103e-25 7.9806e-48 1.9496e-39 7.6759e-54 3.167e-71 1.4486e-79 8.8869e-66 1.381e-55 1.6212e-49 6.0646e-62 1.9466e-110 2.3244e-96 2.5213e-84 8.2679e-77 2.3208e-73 0.01 1.4833e-13 2.3046e-30 8.0275e-53 3.402e-79
1.7399e-12 1.238 3.5472e-18 1.4833e-13 2.548e-33 3.1913e-34 4.1126e-34 1.4761e-37 7.4043e-45 2.6209e-50 1.0524e-106 1.0594e-90 2.7754e-74 1.7989e-65 3.3526e-62 4.8109e-75 5.64e-61 8.3876e-50 5.1023e-42 3.375e-38 3.199e-47 5.3623e-33 7.9103e-25 5.5207e-47 1.3487e-38 5.31e-53 2.1908e-70 3.0271e-81 1.8571e-67 2.8858e-57 3.3878e-51 1.2673e-63 9.3154e-109 1.1123e-94 1.2066e-82 3.9566e-75 1.1106e-71 0.01 1.4833e-13 2.3046e-30 8.0275e-53 3.402e-79
3.6357e-14 1.238 3.5472e-18 1.4833e-13 1.7627e-32 2.2076e-33 2.845e-33 2.1338e-38 1.0703e-45 3.7886e-51 5.0362e-105 5.0697e-89 1.3282e-72 8.6087e-64 1.6044e-60 1.0053e-76 1.1786e-62 1.7527e-51 1.0662e-43 7.0526e-40 3.199e-47 5.3623e-33 7.9103e-25 3.8191e-46 9.3299e-38 3.6733e-52 1.5156e-69 6.3255e-83 3.8806e-69 6.0303e-59 7.0792e-53 2.6482e-65 4.4579e-107 5.323e-93 5.7741e-81 1.8934e-73 5.3148e-70 0.01 1.4833e-13 2.3046e-30 8.0275e-53 3.402e-79
7.5973e-16 1.238 3.5472e-18 1.4833e-13 1.2194e-31 1.5272e-32 1.9681e-32 3.0846e-39 1.5472e-46 5.4767e-52 2.4101e-103 2.4261e-87 6.3559e-71 4.1197e-62 7.6777e-59 2.1007e-78 2.4628e-64 3.6626e-53 2.228e-45 1.4737e-41 3.199e-47 5.3623e-33 7.9103e-25 2.6419e-45 6.4542e-37 2.5411e-51 1.0484e-68 1.3218e-84 8.1091e-71 1.2601e-60 1.4793e-54 5.5338e-67 2.1333e-105 2.5473e-91 2.7632e-79 9.0609e-72 2.5434e-68 0.01 1.4833e-13 2.3046e-30 8.0275e-53 3.402e-79
1.5876e-17 1.238 3.5472e-18 1.4833e-13 8.4352e-31 1.0565e-31 1.3615e-31 4.459e-40 2.2366e-47 7.9169e-53 1.1533e-101 1.161e-85 3.0416e-69 1.9715e-60 3.6741e-57 4.3898e-80 5.1463e-66 7.6535e-55 4.6557e-47 3.0796e-43 3.199e-47 5.3623e-33 7.9103e-25 1.8276e-44 4.4648e-36 1.7579e-50 7.2527e-68 2.7621e-86 1.6945e-72 2.6332e-62 3.0912e-56 1.1564e-68 1.0209e-103 1.219e-89 1.3223e-77 4.3361e-70 1.2171e-66 0.01 1.4833e-13 2.3046e-30 8.0275e-53 3.402e-79
