$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Nb_{i}^{\times}$ $Nb_{i}^{\bullet}$ $Nb_{i}^{\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Nb_{Sn}^{\times}$ $Nb_{Sn}^{\bullet}$ $Nb_{Sn}^{'}$ $Nb_{Sn}^{''}$ $Nb_{Sn}^{'''}$ $Nb_{Sn}^{''''}$
1 1.8473 8.4125e-08 2.1056e-10 8.1987e-20 8.0095e-23 2.5099e-25 4.731e-16 3.8384e-17 2.6161e-17 1.9136e-59 5.3e-54 2.3681e-48 1.6642e-46 1.9833e-47 5.2584e-32 2.0625e-22 2.8814e-14 8.1412e-08 0.0023986 2.8976e-21 1.0356e-16 3.4721e-15 1.2068e-26 5.2069e-25 9.0188e-35 5.0569e-46 4.1711e-35 1.1835e-25 5.3446e-18 2.0978e-12 4.648e-16 2.5617e-62 4.9749e-57 2.0143e-53 4.7939e-52 2.2941e-54 2.7458e-57 0.00040505 0.0095949 4.9256e-08 6.7805e-14 7.412e-22 6.9963e-32
0.14456 1.8967 1.356e-07 1.3063e-10 2.1564e-19 1.3069e-22 2.5409e-25 1.7987e-16 2.3523e-17 2.5842e-17 1.3238e-58 2.2746e-53 6.3051e-48 2.7491e-46 2.0324e-47 7.6014e-33 4.8059e-23 1.0822e-14 4.9285e-08 0.0023406 4.6706e-21 1.0356e-16 2.1541e-15 3.1741e-26 8.4963e-25 9.1299e-35 3.176e-46 6.0296e-36 2.7577e-26 2.0073e-18 1.27e-12 4.5355e-16 2.7873e-61 3.3582e-56 8.4358e-53 1.2455e-51 3.6979e-54 2.7458e-57 0.0006371 0.0093628 1.2488e-07 2.7709e-13 4.8823e-21 7.4283e-31
0.020896 1.9457 2.1783e-07 8.1315e-11 5.6716e-19 2.1398e-22 2.5895e-25 6.8389e-17 1.4368e-17 2.5357e-17 9.1577e-58 9.795e-53 1.6901e-47 4.5871e-46 2.111e-47 1.0988e-33 1.116e-23 4.0372e-15 2.9537e-08 0.0022534 7.5032e-21 1.0356e-16 1.3409e-15 8.3484e-26 1.391e-24 9.3049e-35 2.0149e-46 8.7162e-37 6.404e-27 7.4885e-19 7.611e-13 4.3666e-16 2.9822e-60 2.2367e-55 3.4974e-52 3.2144e-51 5.9406e-54 2.7459e-57 0.00098539 0.0090143 3.1028e-07 1.106e-12 3.1306e-20 7.6518e-30
0.0030207 1.9942 3.4824e-07 5.0865e-11 1.4917e-18 3.5204e-22 2.665e-25 2.6002e-17 8.733e-18 2.4639e-17 6.3351e-57 4.2385e-52 4.5748e-47 7.7667e-46 2.2358e-47 1.5884e-34 2.5791e-24 1.4915e-15 1.7445e-08 0.0021277 1.1995e-20 1.0356e-16 8.3875e-16 2.1958e-25 2.2886e-24 9.5759e-35 1.2971e-46 1.26e-37 1.4799e-27 2.7666e-19 4.4951e-13 4.1229e-16 3.1142e-59 1.461e-54 1.429e-51 8.2157e-51 9.4977e-54 2.746e-57 0.0014875 0.0085118 7.4878e-07 4.2669e-12 1.9308e-19 7.5445e-29
0.00043666 2.0421 5.53e-07 3.203e-11 3.9235e-18 5.8306e-22 2.7794e-25 9.8861e-18 5.2728e-18 2.3624e-17 4.3824e-56 1.8464e-51 1.2549e-46 1.3416e-45 2.432e-47 2.2962e-35 5.9206e-25 5.4373e-16 1.0099e-08 0.001956 1.9048e-20 1.0356e-16 5.2817e-16 5.7752e-25 3.7905e-24 9.9873e-35 8.5186e-47 1.8214e-38 3.3973e-28 1.0085e-19 2.6023e-13 3.7903e-16 3.1456e-58 9.2929e-54 5.7238e-51 2.0722e-50 1.5085e-53 2.7465e-57 0.0021719 0.0078263 1.7362e-06 1.5712e-11 1.129e-18 7.0058e-28
6.3122e-05 2.089 8.7071e-07 2.0342e-11 1.0319e-17 9.7396e-22 2.9487e-25 3.7587e-18 3.1565e-18 2.2268e-17 3.0316e-55 8.1119e-51 3.5016e-46 2.3775e-45 2.7372e-47 3.3192e-36 1.3476e-25 1.9486e-16 5.6988e-09 0.0017379 2.9993e-20 1.0356e-16 3.3544e-16 1.519e-24 6.3316e-24 1.0595e-34 5.7396e-47 2.6329e-39 7.7327e-29 3.6145e-20 1.4685e-13 3.3677e-16 3.0455e-57 5.7141e-53 2.2352e-50 5.1394e-50 2.3761e-53 2.7475e-57 0.0030397 0.0069565 3.8261e-06 5.4516e-11 6.1684e-18 6.0266e-27
9.1247e-06 2.1349 1.3573e-06 1.3049e-11 2.7142e-17 1.6433e-21 3.1915e-25 1.4291e-18 1.8709e-18 2.0574e-17 2.0972e-54 3.5998e-50 9.9681e-46 4.3417e-45 3.2065e-47 4.7982e-37 3.0367e-26 6.8452e-17 3.1207e-09 0.0014836 4.6754e-20 1.0356e-16 2.1518e-16 3.9951e-24 1.0683e-23 1.1468e-34 3.9851e-47 3.8061e-40 1.7425e-29 1.2697e-20 8.0412e-14 2.8748e-16 2.806e-56 3.3773e-52 8.4749e-50 1.25e-49 3.7073e-53 2.75e-57 0.0040485 0.0059435 7.9437e-06 1.7644e-10 3.1121e-17 4.7399e-26
1.319e-06 2.1797 2.093e-06 8.4619e-12 7.1387e-17 2.8027e-21 3.5296e-25 5.4335e-19 1.0969e-18 1.8603e-17 1.4508e-53 1.6148e-49 2.8995e-45 8.1892e-45 3.9219e-47 6.9361e-38 6.7696e-27 2.3533e-17 1.6545e-09 0.001213 7.2102e-20 1.0356e-16 1.3954e-16 1.0508e-23 1.822e-23 1.2683e-34 2.8578e-47 5.5019e-41 3.8845e-30 4.365e-21 4.2632e-14 2.3504e-16 2.4525e-55 1.9141e-51 3.1146e-49 2.9789e-49 5.729e-53 2.7556e-57 0.0051151 0.0048694 1.5478e-05 5.3017e-10 1.4421e-16 3.3871e-25
1.9067e-07 2.2234 3.193e-06 5.5464e-12 1.8776e-16 4.8317e-21 3.9883e-25 2.0658e-19 6.3629e-19 1.6463e-17 1.0036e-52 7.3219e-49 8.6174e-45 1.5953e-44 5.0077e-47 1.0027e-38 1.493e-27 7.9181e-18 8.4931e-10 0.00094996 1.1e-19 1.0356e-16 9.146e-17 2.7637e-23 3.141e-23 1.4331e-34 2.1167e-47 7.9533e-42 8.5671e-31 1.4687e-21 2.1885e-14 1.8408e-16 2.0366e-54 1.0418e-50 1.1112e-48 6.966e-49 8.7812e-53 2.7685e-57 0.0061403 0.0038314 2.8346e-05 1.4814e-09 6.1474e-16 2.2029e-24
2.7563e-08 2.266 4.8209e-06 3.6731e-12 4.9383e-16 8.4159e-21 4.6006e-25 7.8544e-20 3.653e-19 1.4272e-17 6.9427e-52 3.3543e-48 2.6145e-44 3.2053e-44 6.6632e-47 1.4494e-39 3.2589e-28 2.6098e-18 4.2271e-10 0.00071393 1.6611e-19 1.0356e-16 6.0569e-17 7.269e-23 5.4711e-23 1.6531e-34 1.617e-47 1.1497e-42 1.87e-31 4.8409e-22 1.0892e-14 1.3834e-16 1.6156e-53 5.4733e-50 3.866e-48 1.605e-48 1.3399e-52 2.7975e-57 0.0070413 0.0029096 4.9084e-05 3.8733e-09 2.4271e-15 1.3133e-23
