$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Cu_{i}^{\times}$ $Cu_{i}^{\bullet}$ $Cu_{i}^{\bullet\bullet}$ $Cu_{i}^{\bullet\bullet\bullet}$ $Cu_{Sn}^{'}$ $Cu_{Sn}^{''}$ $Cu_{Sn}^{'''}$ $Cu_{Sn}^{''''}$
1 0.27725 3.0179e-26 1.7408e-05 3.3609e-39 4.9477e-32 7.4943e-24 1.1191e-31 4.7758e-47 1.4382e-60 1.831e-118 2.1664e-94 6.6711e-70 5.0823e-53 1.1133e-41 2.7651e-63 2.7579e-57 3.4895e-54 1.806e-54 1.0164e-58 2.7217e-55 5.3623e-33 9.2976e-17 7.2821e-53 2.091e-36 9.6763e-43 4.6925e-52 1.7398e-69 9.081e-64 1.2006e-61 1.1991e-63 3.8163e-84 7.0141e-26 1.8525e-08 2.7514e-05 3.321e-09 7.2464e-05 8.6871e-11 8.0636e-28 7.8965e-52
0.020896 0.34054 1.0263e-25 5.1243e-06 2.325e-38 1.0064e-31 4.4826e-24 1.6177e-32 2.3478e-47 2.4045e-60 8.7623e-117 3.0485e-93 2.7603e-69 6.1836e-53 3.9829e-42 5.7781e-65 1.9599e-58 8.4335e-55 1.4843e-54 2.8409e-58 9.2559e-55 5.3623e-33 2.7339e-17 5.0375e-52 4.2533e-36 5.7877e-43 8.2531e-53 3.6357e-71 6.4534e-65 2.9015e-62 9.8556e-64 1.0667e-83 9.3097e-25 7.23e-08 3.1576e-05 1.1207e-09 6.8351e-05 2.7866e-10 8.7966e-27 2.9295e-50
0.00043666 0.40628 3.6605e-25 1.4372e-06 1.6084e-37 1.9521e-31 2.4378e-24 2.3385e-33 1.2105e-47 4.4214e-60 4.1932e-115 4.0904e-92 1.0385e-68 6.5227e-53 1.178e-42 1.2074e-66 1.4607e-59 2.2417e-55 1.4072e-54 9.6052e-58 3.3011e-54 5.3623e-33 7.6655e-18 3.4848e-51 8.2499e-36 3.1476e-43 1.2585e-53 7.5973e-73 4.8096e-66 7.7125e-63 9.3432e-64 3.6067e-83 1.2255e-23 2.6685e-07 3.2676e-05 3.2518e-10 6.7056e-05 9.7503e-10 1.0977e-25 1.3039e-48
9.1247e-06 0.47286 1.3267e-24 3.9659e-07 1.1126e-36 3.7259e-31 1.2838e-24 3.3805e-34 6.3419e-48 8.3957e-60 2.0066e-113 5.4009e-91 3.7832e-68 6.5564e-53 3.267e-43 2.5231e-68 1.1063e-60 6.1532e-56 1.3999e-54 3.4634e-57 1.1964e-53 5.3623e-33 2.115e-18 2.4107e-50 1.5746e-35 1.6576e-43 1.8286e-54 1.5876e-74 3.6426e-67 2.117e-63 9.2952e-64 1.3005e-82 1.604e-22 9.637e-07 3.256e-05 8.9401e-11 6.6473e-05 3.5031e-09 1.4294e-24 6.1536e-47
1.9067e-07 0.54011 4.8709e-24 1.0802e-07 7.6969e-36 7.0203e-31 6.5886e-25 4.8867e-35 3.3658e-48 1.636e-59 9.6028e-112 7.0397e-90 1.3431e-67 6.3398e-53 8.6044e-44 5.2724e-70 8.4874e-62 1.7332e-56 1.4478e-54 1.315e-56 4.3927e-53 5.3623e-33 5.7607e-19 1.6677e-49 2.9669e-35 8.5068e-44 2.556e-55 3.3174e-76 2.7946e-68 5.9632e-64 9.6128e-64 4.9378e-82 2.0621e-21 3.3744e-06 3.1052e-05 2.3222e-11 6.5561e-05 1.2685e-08 1.9004e-23 3.0036e-45
3.9844e-09 0.60905 1.8481e-23 2.8471e-08 5.3245e-35 1.28e-30 3.166e-25 7.064e-36 1.8461e-48 3.4045e-59 4.5954e-110 8.8789e-89 4.4647e-67 5.5544e-53 1.9868e-44 1.1017e-71 6.7293e-63 5.214e-57 1.6525e-54 5.6949e-56 1.6667e-52 5.3623e-33 1.5183e-19 1.1536e-48 5.4094e-35 4.0878e-44 3.2372e-56 6.9323e-78 2.2157e-69 1.7939e-64 1.0972e-63 2.1384e-81 2.5e-20 1.0782e-05 2.6151e-05 5.1545e-12 6.302e-05 4.6265e-08 2.6298e-22 1.5771e-43
8.3261e-11 0.68313 7.7443e-23 6.7942e-09 3.6833e-34 2.113e-30 1.2473e-25 1.0212e-36 1.1183e-48 8.6417e-59 2.1991e-108 1.014e-87 1.2168e-66 3.6124e-53 3.0837e-45 2.3023e-73 5.8925e-64 1.9132e-57 2.5408e-54 3.6693e-55 6.9841e-52 5.3623e-33 3.6232e-20 7.9806e-48 8.9301e-35 1.6104e-44 3.0434e-57 1.4486e-79 1.9402e-70 6.5823e-65 1.687e-63 1.3778e-80 2.6048e-19 2.6809e-05 1.5517e-05 7.2988e-13 5.7497e-05 1.7688e-07 4.2131e-21 1.0587e-41
1.7399e-12 0.76785 3.9862e-22 1.32e-09 2.548e-33 2.8399e-30 3.2568e-26 1.4761e-37 8.3205e-49 3.3096e-58 1.0524e-106 9.4273e-87 2.1978e-66 1.2677e-53 2.1024e-46 4.8109e-75 6.3379e-65 1.0592e-57 7.2404e-54 5.382e-54 3.5949e-51 5.3623e-33 7.0392e-21 5.5207e-47 1.2002e-34 4.205e-45 1.5439e-58 3.0271e-81 2.0869e-71 3.6441e-65 4.8074e-63 2.0209e-79 2.1569e-18 4.313e-05 4.8499e-06 4.432e-14 5.1209e-05 8.1087e-07 9.9414e-20 1.2859e-39
3.6357e-14 0.85992 2.3655e-21 2.2244e-10 1.7627e-32 3.3105e-30 6.3977e-27 2.1338e-38 7.1375e-49 1.6848e-57 5.0362e-105 7.6024e-86 2.9867e-66 2.903e-54 8.1132e-48 1.0053e-76 7.8592e-66 7.7941e-58 3.1617e-53 1.3946e-52 2.1333e-50 5.3623e-33 1.1862e-21 3.8191e-46 1.3991e-34 8.2604e-46 5.1108e-60 6.3255e-83 2.5878e-72 2.6816e-65 2.0993e-62 5.2367e-78 1.5028e-17 5.0639e-05 9.5957e-07 1.4777e-15 4.4244e-05 4.1573e-06 3.0246e-18 2.3216e-37
7.5973e-16 0.94581 1.2456e-20 4.2243e-11 1.2194e-31 4.3492e-30 1.5962e-27 3.0846e-39 5.433e-49 6.7529e-57 2.4101e-103 6.9091e-85 5.1548e-66 9.515e-55 5.05e-49 2.1007e-78 8.6479e-67 4.516e-58 9.6464e-53 2.2406e-51 1.1233e-49 5.3623e-33 2.2527e-22 2.6419e-45 1.838e-34 2.0609e-46 2.4215e-61 1.3218e-84 2.8475e-73 1.5537e-65 6.4049e-62 8.4132e-77 8.8775e-17 5.6808e-05 2.0443e-07 5.9785e-17 2.8758e-05 1.4229e-05 5.4513e-17 2.2033e-35
1.5876e-17 1.0208 5.307e-20 9.9146e-12 8.4352e-31 7.0614e-30 6.0826e-28 4.459e-40 3.3462e-49 1.772e-56 1.1533e-101 7.7602e-84 1.3589e-65 5.8872e-55 7.3336e-50 4.3898e-80 7.6994e-68 1.7131e-58 1.5591e-52 1.5429e-50 4.786e-49 5.3623e-33 5.2873e-23 1.8276e-44 2.9843e-34 7.8535e-47 2.1658e-62 2.7621e-86 2.5352e-74 5.8939e-66 1.0352e-61 5.7934e-76 4.1673e-16 6.259e-05 5.2864e-08 3.6286e-18 1.2019e-05 2.5338e-05 4.1359e-16 7.1221e-34
3.3175e-19 1.09 2.0264e-19 2.5965e-12 5.8352e-30 1.2793e-29 2.8859e-28 6.4457e-41 1.847e-49 3.7349e-56 5.5193e-100 9.7256e-83 4.4601e-65 5.0605e-55 1.6509e-50 9.1732e-82 6.1435e-69 5.2194e-59 1.8138e-52 6.8539e-50 1.8275e-48 5.3623e-33 1.3847e-23 1.2643e-43 5.4066e-34 3.7262e-47 2.6911e-63 5.7719e-88 2.0228e-75 1.7957e-66 1.2043e-61 2.5736e-75 1.662e-15 6.5372e-05 1.446e-08 2.5994e-19 3.8248e-06 3.0788e-05 1.9189e-15 1.2618e-32
6.9323e-21 1.1574 7.4638e-19 7.0496e-13 4.0367e-29 2.4027e-29 1.4716e-28 9.3177e-42 9.8343e-50 7.3245e-56 2.6413e-98 1.2636e-81 1.5733e-64 4.8464e-55 4.2925e-51 1.9169e-83 4.7284e-70 1.4796e-59 1.8939e-52 2.636e-49 6.7311e-48 5.3623e-33 3.7594e-24 8.7461e-43 1.0154e-33 1.9e-47 3.7257e-64 1.2061e-89 1.5569e-76 5.0907e-67 1.2575e-61 9.8978e-75 6.2079e-15 6.6295e-05 3.9813e-09 1.9431e-20 1.0996e-06 3.2602e-05 7.4842e-15 1.8126e-31
1.4486e-22 1.2243 2.7207e-18 1.934e-13 2.7924e-28 4.5599e-29 7.6616e-29 1.3469e-42 5.182e-50 1.4068e-55 1.264e-96 1.6589e-80 5.6664e-64 4.7885e-55 1.1635e-51 4.0056e-85 3.6017e-71 4.1083e-60 1.9168e-52 9.7247e-49 2.4536e-47 5.3623e-33 1.0313e-24 6.0503e-42 1.9271e-33 9.8922e-48 5.3213e-65 2.5204e-91 1.1859e-77 1.4135e-67 1.2727e-61 3.6515e-74 2.272e-14 6.6563e-05 1.0966e-09 1.4683e-21 3.0654e-07 3.3129e-05 2.7723e-14 2.4474e-30
3.0271e-24 1.291 9.8886e-18 5.321e-14 1.9317e-27 8.6788e-29 4.0121e-29 1.9471e-43 2.7226e-50 2.6865e-55 6.0487e-95 2.1842e-79 2.0527e-63 4.7727e-55 3.1907e-52 8.3703e-87 2.7355e-72 1.1341e-60 1.9232e-52 3.5463e-48 8.9179e-47 5.3623e-33 2.8376e-25 4.1854e-41 3.6678e-33 5.1802e-48 7.6668e-66 5.2667e-93 9.0071e-79 3.9018e-68 1.2769e-61 1.3316e-73 8.2673e-14 6.6638e-05 3.0206e-10 1.1127e-22 8.4716e-08 3.3277e-05 1.0121e-13 3.2475e-29
6.3256e-26 1.3577 3.5912e-17 1.4652e-14 1.3363e-26 1.6532e-28 2.1043e-29 2.8146e-44 1.4293e-50 5.1221e-55 2.8946e-93 2.8781e-78 7.4479e-63 4.7683e-55 8.7776e-53 1.7491e-88 2.076e-73 3.1256e-61 1.9249e-52 1.2891e-47 3.2387e-46 5.3623e-33 7.8134e-26 2.8954e-40 6.9866e-33 2.717e-48 1.1073e-66 1.1006e-94 6.8354e-80 1.0754e-68 1.2781e-61 4.8404e-73 3.0033e-13 6.6659e-05 8.3199e-11 8.4393e-24 2.3355e-08 3.3318e-05 3.6801e-13 4.2884e-28
1.3218e-27 1.4244 1.3039e-16 4.0353e-15 9.2443e-26 3.1497e-28 1.1042e-29 4.0687e-45 7.502e-51 9.7613e-55 1.3852e-91 3.7934e-77 2.7035e-62 4.7671e-55 2.4169e-53 3.655e-90 1.5751e-74 8.6105e-62 1.9254e-52 4.6817e-47 1.1759e-45 5.3623e-33 2.1519e-26 2.0029e-39 1.3311e-32 1.4257e-48 1.6002e-67 2.2998e-96 5.1862e-81 2.9625e-69 1.2784e-61 1.7579e-72 1.0906e-12 6.6664e-05 2.2916e-11 6.402e-25 6.4346e-09 3.3329e-05 1.3367e-12 5.6555e-27
