$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Cr_{i}^{\times}$ $Cr_{i}^{\bullet}$ $Cr_{i}^{\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $Cr_{Sn}^{\times}$ $Cr_{Sn}^{\bullet}$ $Cr_{Sn}^{\bullet\bullet}$ $Cr_{Sn}^{'}$ $Cr_{Sn}^{''}$ $Cr_{Sn}^{'''}$ $Cr_{Sn}^{''''}$
1 1.0073 4.0886e-20 1.2869e-11 3.3609e-39 3.652e-38 4.0832e-36 1.1191e-31 6.4701e-41 2.6397e-48 1.831e-118 1.5991e-100 3.6347e-82 2.0439e-71 3.3048e-66 2.7651e-63 3.7364e-51 6.4047e-42 4.4906e-36 3.4238e-34 3.6872e-49 5.3623e-33 6.8629e-23 7.2821e-53 1.5434e-42 5.272e-55 1.8872e-70 1.7398e-69 1.2303e-57 2.2035e-49 2.9816e-45 1.2856e-59 2.3508e-81 4.8465e-66 1.1884e-56 9.9641e-57 1.4192e-62 1.9084e-77 8.36e-100 0.0001 4.8358e-14 2.2792e-26 1.2918e-11 3.6177e-28 1.2873e-41 3.0308e-63
0.020896 1.0073 4.0886e-20 1.2869e-11 2.325e-38 2.5264e-37 2.8247e-35 1.6177e-32 9.353e-42 3.8159e-49 8.7623e-117 7.6526e-99 1.7394e-80 9.7813e-70 1.5815e-64 5.7781e-65 7.8077e-53 1.3384e-43 9.3838e-38 7.1545e-36 3.6872e-49 5.3623e-33 6.8629e-23 5.0375e-52 1.0677e-41 3.6471e-54 1.3055e-69 3.6357e-71 2.5708e-59 4.6046e-51 6.2306e-47 2.6864e-61 1.125e-79 2.3193e-64 5.6869e-55 4.7683e-55 6.7916e-61 9.1324e-76 4.0007e-98 0.0001 4.8358e-14 2.2792e-26 1.2918e-11 3.6177e-28 1.2873e-41 3.0308e-63
0.00043666 1.0073 4.0886e-20 1.2869e-11 1.6084e-37 1.7477e-36 1.954e-34 2.3385e-33 1.352e-42 5.5161e-50 4.1932e-115 3.6621e-97 8.3238e-79 4.6808e-68 7.5683e-63 1.2074e-66 1.6315e-54 2.7967e-45 1.9609e-39 1.495e-37 3.6872e-49 5.3623e-33 6.8629e-23 3.4848e-51 7.386e-41 2.5229e-53 9.031e-69 7.5973e-73 5.3721e-61 9.622e-53 1.302e-48 5.6137e-63 5.3836e-78 1.1099e-62 2.7215e-53 2.2819e-53 3.2501e-59 4.3703e-74 1.9145e-96 0.0001 4.8358e-14 2.2792e-26 1.2918e-11 3.6177e-28 1.2873e-41 3.0308e-63
9.1247e-06 1.0073 4.0886e-20 1.2869e-11 1.1126e-36 1.209e-35 1.3517e-33 3.3805e-34 1.9544e-43 7.9739e-51 2.0066e-113 1.7525e-95 3.9833e-77 2.24e-66 3.6218e-61 2.5231e-68 3.4093e-56 5.8441e-47 4.0976e-41 3.1241e-39 3.6872e-49 5.3623e-33 6.8629e-23 2.4107e-50 5.1095e-40 1.7453e-52 6.2474e-68 1.5876e-74 1.1226e-62 2.0107e-54 2.7207e-50 1.1731e-64 2.5763e-76 5.3114e-61 1.3024e-51 1.092e-51 1.5553e-57 2.0914e-72 9.1619e-95 0.0001 4.8358e-14 2.2792e-26 1.2918e-11 3.6177e-28 1.2873e-41 3.0308e-63
1.9067e-07 1.0073 4.0886e-20 1.2869e-11 7.6969e-36 8.3635e-35 9.351e-33 4.8867e-35 2.8253e-44 1.1527e-51 9.6028e-112 8.3866e-94 1.9062e-75 1.072e-64 1.7332e-59 5.2724e-70 7.1243e-58 1.2212e-48 8.5625e-43 6.5283e-41 3.6872e-49 5.3623e-33 6.8629e-23 1.6677e-49 3.5346e-39 1.2073e-51 4.3218e-67 3.3174e-76 2.3458e-64 4.2016e-56 5.6853e-52 2.4513e-66 1.2329e-74 2.5418e-59 6.2324e-50 5.2257e-50 7.4431e-56 1.0008e-70 4.3844e-93 0.0001 4.8358e-14 2.2792e-26 1.2918e-11 3.6177e-28 1.2873e-41 3.0308e-63
3.9844e-09 1.0073 4.0886e-20 1.2869e-11 5.3245e-35 5.7856e-34 6.4688e-32 7.064e-36 4.0841e-45 1.6663e-52 4.5954e-110 4.0134e-92 9.1222e-74 5.1298e-63 8.2943e-58 1.1017e-71 1.4887e-59 2.5519e-50 1.7893e-44 1.3642e-42 3.6872e-49 5.3623e-33 6.8629e-23 1.1536e-48 2.4451e-38 8.3521e-51 2.9897e-66 6.9323e-78 4.9019e-66 8.7799e-58 1.188e-53 5.1224e-68 5.9e-73 1.2164e-57 2.9825e-48 2.5008e-48 3.5619e-54 4.7895e-69 2.0982e-91 0.0001 4.8358e-14 2.2792e-26 1.2918e-11 3.6177e-28 1.2873e-41 3.0308e-63
8.3261e-11 1.0073 4.0886e-20 1.2869e-11 3.6833e-34 4.0023e-33 4.4749e-31 1.0212e-36 5.9038e-46 2.4087e-53 2.1991e-108 1.9206e-90 4.3654e-72 2.4549e-61 3.9692e-56 2.3023e-73 3.1109e-61 5.3326e-52 3.7389e-46 2.8507e-44 3.6872e-49 5.3623e-33 6.8629e-23 7.9806e-48 1.6915e-37 5.7778e-50 2.0682e-65 1.4486e-79 1.0243e-67 1.8347e-59 2.4825e-55 1.0704e-69 2.8235e-71 5.8209e-56 1.4273e-46 1.1967e-46 1.7045e-52 2.292e-67 1.0041e-89 0.0001 4.8358e-14 2.2792e-26 1.2918e-11 3.6177e-28 1.2873e-41 3.0308e-63
1.7399e-12 1.0073 4.0886e-20 1.2869e-11 2.548e-33 2.7687e-32 3.0956e-30 1.4761e-37 8.5343e-47 3.4819e-54 1.0524e-106 9.1911e-89 2.0891e-70 1.1748e-59 1.8995e-54 4.8109e-75 6.5008e-63 1.1143e-53 7.813e-48 5.9569e-46 3.6872e-49 5.3623e-33 6.8629e-23 5.5207e-47 1.1701e-36 3.9969e-49 1.4307e-64 3.0271e-81 2.1405e-69 3.8338e-61 5.1876e-57 2.2368e-71 1.3512e-69 2.7856e-54 6.8302e-45 5.727e-45 8.157e-51 1.0968e-65 4.805e-88 0.0001 4.8358e-14 2.2792e-26 1.2918e-11 3.6177e-28 1.2873e-41 3.0308e-63
3.6357e-14 1.0073 4.0886e-20 1.2869e-11 1.7627e-32 1.9153e-31 2.1415e-29 2.1338e-38 1.2337e-47 5.0333e-55 5.0362e-105 4.3984e-87 9.9973e-69 5.6219e-58 9.0899e-53 1.0053e-76 1.3584e-64 2.3285e-55 1.6327e-49 1.2448e-47 3.6872e-49 5.3623e-33 6.8629e-23 3.8191e-46 8.0945e-36 2.7649e-48 9.8973e-64 6.3255e-83 4.4729e-71 8.0114e-63 1.084e-58 4.674e-73 6.466e-68 1.333e-52 3.2686e-43 2.7406e-43 3.9035e-49 5.2489e-64 2.2994e-86 0.0001 4.8358e-14 2.2792e-26 1.2918e-11 3.6177e-28 1.2873e-41 3.0308e-63
7.5973e-16 1.0073 4.0886e-20 1.2869e-11 1.2194e-31 1.325e-30 1.4814e-28 3.0846e-39 1.7834e-48 7.276e-56 2.4101e-103 2.1048e-85 4.7842e-67 2.6903e-56 4.35e-51 2.1007e-78 2.8386e-66 4.8658e-57 3.4117e-51 2.6011e-49 3.6872e-49 5.3623e-33 6.8629e-23 2.6419e-45 5.5996e-35 1.9127e-47 6.8467e-63 1.3218e-84 9.3467e-73 1.6741e-64 2.2653e-60 9.7671e-75 3.0943e-66 6.3792e-51 1.5642e-41 1.3115e-41 1.868e-47 2.5119e-62 1.1004e-84 0.0001 4.8358e-14 2.2792e-26 1.2918e-11 3.6177e-28 1.2873e-41 3.0308e-63
