$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Cu_{i}^{\times}$ $Cu_{i}^{\bullet}$ $Cu_{i}^{\bullet\bullet}$ $Cu_{i}^{\bullet\bullet\bullet}$ $Cu_{Sn}^{'}$ $Cu_{Sn}^{''}$ $Cu_{Sn}^{'''}$ $Cu_{Sn}^{''''}$
1 0.49507 1.7605e-13 0.00010036 8.1987e-20 3.8272e-17 5.7309e-14 4.731e-16 8.0328e-23 1.1457e-28 1.9136e-59 2.5325e-48 5.407e-37 1.8158e-29 1.0339e-24 5.2584e-32 4.3164e-28 1.262e-25 7.4618e-25 4.6009e-26 6.064e-27 1.0356e-16 1.6591e-09 1.2068e-26 2.4881e-19 2.0593e-23 5.5173e-29 4.1711e-35 2.4768e-31 2.3407e-29 1.9227e-29 8.9154e-39 5.2954e-16 3.311e-08 1.5525e-07 2.0752e-10 9.8921e-05 8.9022e-07 2.2292e-14 1.8131e-25
0.14456 0.49802 1.8114e-13 9.7544e-05 2.1564e-19 9.7835e-17 1.4238e-13 1.7987e-16 3.1424e-23 4.6116e-29 1.3238e-58 1.7027e-47 3.5332e-36 1.1532e-28 6.3822e-24 7.6014e-33 6.42e-29 1.9312e-26 1.1749e-25 7.4536e-27 6.2393e-27 1.0356e-16 1.6125e-09 3.1741e-26 6.3602e-19 5.1162e-23 1.3323e-28 6.0296e-36 3.6839e-32 3.5821e-30 3.0274e-30 1.4443e-39 3.5237e-15 2.1413e-07 9.7584e-07 1.2678e-09 9.7902e-05 9.0651e-07 2.3356e-14 1.9546e-25
0.020896 0.51146 2.0629e-13 8.568e-05 5.6716e-19 2.2596e-16 2.8876e-13 6.8389e-17 1.3606e-23 2.2739e-29 9.1577e-58 1.0343e-46 1.8846e-35 5.4014e-28 2.625e-23 1.0988e-33 1.0569e-29 3.6205e-27 2.5084e-26 1.8123e-27 7.1054e-27 1.0356e-16 1.4159e-09 8.3484e-26 1.4689e-18 1.0376e-22 2.3725e-28 8.7162e-37 6.0645e-33 6.7155e-31 6.4636e-31 3.5117e-40 2.0453e-14 1.0914e-06 4.3675e-06 4.9824e-09 9.355e-05 9.8645e-07 2.8944e-14 2.7584e-25
0.0030207 0.54435 2.8352e-13 6.2378e-05 1.4917e-18 4.3241e-16 4.0207e-13 2.6002e-17 7.1098e-24 1.6331e-29 6.3351e-57 5.2061e-46 6.902e-35 1.4393e-27 5.0892e-23 1.5884e-34 2.0997e-30 9.886e-28 9.4136e-27 9.3473e-28 9.7655e-27 1.0356e-16 1.0302e-09 2.1958e-25 2.8111e-18 1.4447e-22 2.4036e-28 1.26e-37 1.2049e-33 1.8337e-31 2.4257e-31 1.8113e-40 9.3122e-14 3.6156e-06 1.0527e-05 8.7379e-09 8.4622e-05 1.2264e-06 4.9455e-14 6.4778e-25
0.00043666 0.59364 4.5666e-13 3.875e-05 3.9235e-18 7.061e-16 4.0762e-13 9.8861e-18 4.354e-24 1.6109e-29 4.3824e-56 2.236e-45 1.8404e-34 2.3827e-27 5.2307e-23 2.2962e-35 4.889e-31 3.7075e-28 5.6864e-27 9.0945e-28 1.5729e-26 1.0356e-16 6.3962e-10 5.7752e-25 4.5903e-18 1.4647e-22 1.5129e-28 1.8214e-38 2.8054e-34 6.877e-32 1.4652e-31 1.7623e-40 3.5183e-13 8.4811e-06 1.5331e-05 7.9004e-09 7.4442e-05 1.7377e-06 1.1287e-13 2.3813e-24
6.3122e-05 0.65354 8.1502e-13 2.1722e-05 1.0319e-17 1.0406e-15 3.3658e-13 3.7587e-18 2.9545e-24 1.9509e-29 3.0316e-55 8.6667e-45 3.9969e-34 2.8994e-27 3.5664e-23 3.3192e-36 1.2613e-31 1.7071e-28 4.673e-27 1.3339e-27 2.8073e-26 1.0356e-16 3.5838e-10 1.519e-24 6.7647e-18 1.2094e-22 6.9995e-29 2.6329e-39 7.2377e-35 3.1665e-32 1.2041e-31 2.5847e-40 1.1897e-12 1.6069e-05 1.6276e-05 4.6994e-09 6.4945e-05 2.7057e-06 3.1365e-13 1.181e-23
9.1247e-06 0.72088 1.5631e-12 1.1329e-05 2.7142e-17 1.427e-15 2.4066e-13 1.4291e-18 2.1544e-24 2.7284e-29 2.0972e-54 3.126e-44 7.5168e-34 2.8431e-27 1.8234e-23 4.7982e-37 3.497e-32 9.0774e-29 4.7656e-27 2.6089e-27 5.3841e-26 1.0356e-16 1.8686e-10 3.9951e-24 9.2768e-18 8.6477e-23 2.6096e-29 3.8061e-40 2.0066e-35 1.6837e-32 1.228e-31 5.0555e-40 3.6893e-12 2.5981e-05 1.3721e-05 2.0656e-09 5.5835e-05 4.4613e-06 9.919e-13 7.1631e-23
1.319e-06 0.79358 3.1571e-12 5.6098e-06 7.1387e-17 1.8583e-15 1.5517e-13 5.4335e-19 1.6544e-24 4.2317e-29 1.4508e-53 1.0707e-43 1.2747e-33 2.387e-27 7.5797e-24 6.9361e-38 1.021e-32 5.353e-29 5.676e-27 6.2761e-27 1.0875e-25 1.0356e-16 9.2518e-11 1.0508e-23 1.208e-17 5.5755e-23 8.3302e-30 5.5019e-41 5.8587e-36 9.929e-33 1.4626e-31 1.2161e-39 1.0493e-11 3.6586e-05 9.5661e-06 7.1304e-10 4.6365e-05 7.4825e-06 3.3601e-12 4.9009e-22
1.9067e-07 0.86887 6.5394e-12 2.7085e-06 1.8776e-16 2.3597e-15 9.5126e-14 2.0658e-19 1.3029e-24 6.9026e-29 1.0036e-52 3.5758e-43 2.0553e-33 1.8582e-27 2.8487e-24 1.0027e-38 3.0571e-33 3.3198e-29 7.2913e-27 1.6699e-26 2.2524e-25 1.0356e-16 4.4667e-11 2.7637e-23 1.534e-17 3.4181e-23 2.4656e-30 7.9533e-42 1.7542e-36 6.1578e-33 1.8788e-31 3.2358e-39 2.7314e-11 4.5979e-05 5.8041e-06 2.0887e-10 3.6137e-05 1.208e-05 1.1236e-11 3.3944e-21
2.7563e-08 0.94364 1.3476e-11 1.3144e-06 4.9383e-16 3.0117e-15 5.8917e-14 7.8544e-20 1.0208e-24 1.1145e-28 6.9427e-52 1.2004e-42 3.3481e-33 1.4689e-27 1.0928e-24 1.4494e-39 9.1067e-34 2.0379e-29 9.2237e-27 4.3532e-26 4.6417e-25 1.0356e-16 2.1675e-11 7.269e-23 1.9579e-17 2.117e-23 7.4102e-31 1.1497e-42 5.2256e-37 3.7801e-33 2.3767e-31 8.4355e-39 6.5252e-11 5.3302e-05 3.2652e-06 5.702e-11 2.5717e-05 1.7715e-05 3.3955e-11 2.114e-20
3.9844e-09 1.0162 2.7178e-11 6.5175e-07 1.2989e-15 3.9277e-15 3.8098e-14 2.9863e-20 7.8274e-25 1.7235e-28 4.8028e-51 4.1174e-42 5.6945e-33 1.2388e-27 4.5694e-25 2.0952e-40 2.655e-34 1.1982e-29 1.0937e-26 1.0411e-25 9.3612e-25 1.0356e-16 1.0747e-11 1.9119e-22 2.5533e-17 1.369e-23 2.376e-31 1.662e-43 1.5235e-37 2.2226e-33 2.8183e-31 2.0173e-38 1.4454e-10 5.8543e-05 1.7782e-06 1.5397e-11 1.6607e-05 2.3072e-05 8.9187e-11 1.1198e-19
5.7597e-10 1.0865 5.3647e-11 3.3018e-07 3.4162e-15 5.2334e-15 2.5717e-14 1.1354e-20 5.8745e-25 2.5532e-28 3.3224e-50 1.443e-41 1.011e-32 1.1142e-27 2.0821e-25 3.0287e-41 7.5757e-35 6.749e-30 1.216e-26 2.2847e-25 1.8478e-24 1.0356e-16 5.4447e-12 5.0285e-22 3.4022e-17 9.2409e-24 8.1252e-32 2.4025e-44 4.3471e-38 1.2518e-33 3.1334e-31 4.4272e-38 3.0207e-10 6.1984e-05 9.5378e-07 4.1839e-12 9.9038e-06 2.7158e-05 2.0723e-10 5.1361e-19
8.3261e-11 1.1553 1.0431e-10 1.6982e-07 8.9852e-15 7.0794e-15 1.7892e-14 4.3169e-21 4.3427e-25 3.6699e-28 2.2984e-49 5.1339e-41 1.85e-32 1.0486e-27 1.0078e-25 4.3782e-42 2.1293e-35 3.6883e-30 1.2921e-26 4.7202e-25 3.5928e-24 1.0356e-16 2.8003e-12 1.3226e-21 4.6022e-17 6.4291e-24 2.9074e-32 3.4729e-45 1.2218e-38 6.8412e-34 3.3294e-31 9.1466e-38 6.0709e-10 6.4069e-05 5.0704e-07 1.1439e-12 5.5944e-06 2.9829e-05 4.4255e-10 2.1326e-18
1.2036e-11 1.2231 2.0097e-10 8.814e-08 2.3632e-14 9.6643e-15 1.2677e-14 1.6413e-21 3.1812e-25 5.1795e-28 1.59e-48 1.8433e-40 3.4476e-32 1.0143e-27 5.0595e-26 6.329e-43 5.9303e-36 1.9791e-30 1.3358e-26 9.4022e-25 6.9221e-24 1.0356e-16 1.4534e-12 3.4786e-21 6.2827e-17 4.5553e-24 1.0692e-32 5.0203e-46 3.4029e-39 3.671e-34 3.4422e-31 1.8219e-37 1.1914e-09 6.526e-05 2.6806e-07 3.139e-13 3.0578e-06 3.1412e-05 8.979e-10 8.3366e-18
1.7399e-12 1.2904 3.8521e-10 4.5983e-08 6.2157e-14 1.3261e-14 9.0753e-15 6.2403e-22 2.3183e-25 7.2352e-28 1.0999e-47 6.6526e-40 6.4914e-32 9.963e-28 2.5929e-26 9.1489e-44 1.6432e-36 1.0511e-30 1.3599e-26 1.8347e-24 1.3268e-23 1.0356e-16 7.5826e-13 9.1493e-21 8.6209e-17 3.261e-24 3.9932e-33 7.2572e-47 9.4289e-40 1.9497e-34 3.5042e-31 3.5552e-37 2.3066e-09 6.5915e-05 1.4126e-07 8.6294e-14 1.6403e-06 3.2299e-05 1.7697e-09 3.1494e-17
2.5151e-13 1.3574 7.3629e-10 2.4057e-08 1.6348e-13 1.8248e-14 6.5334e-15 2.3726e-22 1.6848e-25 1.005e-27 7.6087e-47 2.4077e-39 1.2291e-31 9.8695e-28 1.3438e-26 1.3225e-44 4.5402e-37 5.5514e-31 1.3728e-26 3.54e-24 2.5361e-23 1.0356e-16 3.967e-13 2.4064e-20 1.1863e-16 2.3476e-24 1.504e-33 1.0491e-47 2.6053e-40 1.0297e-34 3.5374e-31 6.8597e-37 4.4324e-09 6.6268e-05 7.4296e-08 2.3746e-14 8.7094e-07 3.2779e-05 3.4329e-09 1.1677e-16
