$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $V_{i}^{\times}$ $V_{i}^{\bullet}$ $V_{i}^{\bullet\bullet}$ $V_{i}^{\bullet\bullet\bullet}$ $V_{i}^{\bullet\bullet\bullet\bullet}$ $V_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{\bullet}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$
1 1.3916 1.0253e-09 1.7276e-08 8.1987e-20 6.5716e-21 1.6896e-21 4.731e-16 4.6783e-19 3.8862e-21 1.9136e-59 4.3485e-52 1.5941e-44 9.192e-41 8.9874e-40 5.2584e-32 2.5138e-24 4.2803e-18 1.474e-13 5.2931e-11 3.5317e-23 1.0356e-16 2.8488e-13 1.2068e-26 4.2721e-23 6.0712e-31 2.793e-40 4.1711e-35 1.4425e-27 7.9394e-22 3.7981e-18 1.0257e-23 7.4192e-50 3.0673e-43 1.015e-38 8.9157e-37 2.8396e-41 7.5084e-48 9.5153e-05 2.4154e-06 2.4314e-06 1.2791e-11 1.136e-19 1.4964e-30
0.14456 1.3916 1.0254e-09 1.7275e-08 2.1564e-19 1.7284e-20 4.4436e-21 1.7987e-16 1.7788e-19 1.4777e-21 1.3238e-58 3.0081e-51 1.1027e-43 6.358e-40 6.2163e-39 7.6014e-33 3.6341e-25 6.1879e-19 2.131e-14 7.6526e-12 3.5318e-23 1.0356e-16 2.8486e-13 3.1741e-26 1.1236e-22 1.5967e-30 7.3453e-40 6.0296e-36 2.0853e-28 1.1478e-22 5.491e-19 1.4829e-24 5.1324e-49 2.1218e-42 7.0208e-38 6.167e-36 1.964e-40 5.1931e-47 9.5153e-05 2.4153e-06 2.4315e-06 1.2792e-11 1.1361e-19 1.4966e-30
0.020896 1.3916 1.0254e-09 1.7275e-08 5.6716e-19 4.5458e-20 1.1687e-20 6.8389e-17 6.763e-20 5.6182e-22 9.1577e-58 2.0809e-50 7.628e-43 4.3982e-39 4.3002e-38 1.0988e-33 5.2533e-26 8.9451e-20 3.0805e-15 1.1063e-12 3.5318e-23 1.0356e-16 2.8486e-13 8.3484e-26 2.9552e-22 4.1996e-30 1.9319e-39 8.7162e-37 3.0144e-29 1.6592e-23 7.9378e-20 2.1437e-25 3.5505e-48 1.4678e-41 4.8568e-37 4.2661e-35 1.3586e-39 3.5924e-46 9.5153e-05 2.4153e-06 2.4315e-06 1.2792e-11 1.1361e-19 1.4967e-30
0.0030207 1.3916 1.0254e-09 1.7275e-08 1.4917e-18 1.1956e-19 3.074e-20 2.6002e-17 2.5713e-20 2.1361e-22 6.3351e-57 1.4395e-49 5.2768e-42 3.0426e-38 2.9747e-37 1.5884e-34 7.5939e-27 1.2931e-20 4.4531e-16 1.5992e-13 3.5318e-23 1.0356e-16 2.8486e-13 2.1958e-25 7.7727e-22 1.1045e-29 5.0812e-39 1.26e-37 4.3575e-30 2.3985e-24 1.1475e-20 3.0988e-26 2.4561e-47 1.0154e-40 3.3598e-36 2.9511e-34 9.3987e-39 2.4851e-45 9.5153e-05 2.4153e-06 2.4315e-06 1.2792e-11 1.1361e-19 1.4967e-30
0.00043666 1.3916 1.0254e-09 1.7275e-08 3.9235e-18 3.1447e-19 8.085e-20 9.8861e-18 9.7764e-21 8.1214e-23 4.3824e-56 9.9581e-49 3.6504e-41 2.1048e-37 2.0578e-36 2.2962e-35 1.0978e-27 1.8692e-21 6.4372e-17 2.3117e-14 3.5318e-23 1.0356e-16 2.8486e-13 5.7752e-25 2.0443e-21 2.9051e-29 1.3364e-38 1.8214e-38 6.2991e-31 3.4671e-25 1.6587e-21 4.4795e-27 1.6991e-46 7.0242e-40 2.3242e-35 2.0415e-33 6.5018e-38 1.7191e-44 9.5153e-05 2.4153e-06 2.4315e-06 1.2792e-11 1.1361e-19 1.4967e-30
6.3122e-05 1.3916 1.0254e-09 1.7275e-08 1.0319e-17 8.271e-19 2.1265e-19 3.7587e-18 3.717e-21 3.0878e-23 3.0316e-55 6.8887e-48 2.5252e-40 1.456e-36 1.4236e-35 3.3192e-36 1.5869e-28 2.7021e-22 9.3054e-18 3.3417e-15 3.5318e-23 1.0356e-16 2.8486e-13 1.519e-24 5.3769e-21 7.641e-29 3.515e-38 2.6329e-39 9.1057e-32 5.012e-26 2.3978e-22 6.4754e-28 1.1754e-45 4.8591e-39 1.6078e-34 1.4123e-32 4.4977e-37 1.1892e-43 9.5153e-05 2.4153e-06 2.4315e-06 1.2792e-11 1.1361e-19 1.4967e-30
9.1247e-06 1.3916 1.0254e-09 1.7275e-08 2.7142e-17 2.1754e-18 5.593e-19 1.4291e-18 1.4132e-21 1.174e-23 2.0972e-54 4.7654e-47 1.7469e-39 1.0072e-35 9.8478e-35 4.7982e-37 2.2939e-29 3.906e-23 1.3452e-18 4.8306e-16 3.5318e-23 1.0356e-16 2.8486e-13 3.9951e-24 1.4142e-20 2.0097e-28 9.2451e-38 3.8061e-40 1.3163e-32 7.2451e-27 3.4661e-23 9.3606e-29 8.1309e-45 3.3614e-38 1.1122e-33 9.7697e-32 3.1114e-36 8.2268e-43 9.5153e-05 2.4153e-06 2.4315e-06 1.2792e-11 1.1361e-19 1.4967e-30
1.319e-06 1.3916 1.0254e-09 1.7275e-08 7.1387e-17 5.7217e-18 1.471e-18 5.4335e-19 5.3732e-22 4.4636e-24 1.4508e-53 3.2966e-46 1.2084e-38 6.9678e-35 6.8124e-34 6.9361e-38 3.316e-30 5.6464e-24 1.9445e-19 6.983e-17 3.5318e-23 1.0356e-16 2.8486e-13 1.0508e-23 3.7196e-20 5.2858e-28 2.4316e-37 5.5019e-41 1.9028e-33 1.0473e-27 5.0105e-24 1.3531e-29 5.6247e-44 2.3253e-37 7.6942e-33 6.7584e-31 2.1524e-35 5.6911e-42 9.5153e-05 2.4153e-06 2.4315e-06 1.2792e-11 1.1361e-19 1.4967e-30
1.9067e-07 1.3916 1.0254e-09 1.7275e-08 1.8776e-16 1.5049e-17 3.8691e-18 2.0658e-19 2.0429e-22 1.6971e-24 1.0036e-52 2.2805e-45 8.3597e-38 4.8201e-34 4.7126e-33 1.0027e-38 4.7935e-31 8.1622e-25 2.8109e-20 1.0094e-17 3.5318e-23 1.0356e-16 2.8486e-13 2.7637e-23 9.7831e-20 1.3902e-27 6.3955e-37 7.9533e-42 2.7506e-34 1.514e-28 7.243e-25 1.956e-30 3.891e-43 1.6086e-36 5.3226e-32 4.6753e-30 1.489e-34 3.9369e-41 9.5153e-05 2.4153e-06 2.4315e-06 1.2792e-11 1.1361e-19 1.4967e-30
2.7563e-08 1.3916 1.0254e-09 1.7275e-08 4.9383e-16 3.9581e-17 1.0176e-17 7.8544e-20 7.7673e-23 6.4525e-25 6.9427e-52 1.5776e-44 5.783e-37 3.3344e-33 3.2601e-32 1.4494e-39 6.9293e-32 1.1799e-25 4.0633e-21 1.4592e-18 3.5318e-23 1.0356e-16 2.8486e-13 7.269e-23 2.5731e-19 3.6566e-27 1.6821e-36 1.1497e-42 3.9761e-35 2.1885e-29 1.047e-25 2.8276e-31 2.6917e-42 1.1128e-35 3.682e-31 3.2342e-29 1.03e-33 2.7235e-40 9.5153e-05 2.4153e-06 2.4315e-06 1.2792e-11 1.1361e-19 1.4967e-30
