$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $F_{i}^{'}$ $F_{i}^{\times}$ $F_{i}^{\bullet}$ $F_{O}^{\times}$ $F_{O}^{\bullet}$
1 1.7289 2.6754e-08 6.6207e-10 8.1987e-20 2.5185e-22 2.4815e-24 4.731e-16 1.2207e-17 2.646e-18 1.9136e-59 1.6665e-53 2.3413e-47 5.1738e-45 1.9387e-45 5.2584e-32 6.5595e-23 2.9144e-15 2.6188e-09 2.4538e-05 9.2154e-22 1.0356e-16 1.0917e-14 1.2068e-26 1.6372e-24 8.9168e-34 1.5721e-44 4.1711e-35 3.764e-26 5.4057e-19 6.7479e-14 4.7549e-18 3.9744e-08 2.6051e-13 9.3438e-20 1.7343e-06 9.8226e-05
0.14456 1.7786 4.3273e-08 4.0934e-10 2.1564e-19 4.0954e-22 2.495e-24 1.7987e-16 7.5068e-18 2.6318e-18 1.3238e-58 7.1277e-53 6.1913e-47 8.4589e-45 1.9597e-45 7.6014e-33 1.5337e-23 1.1021e-15 1.6017e-09 2.4275e-05 1.4905e-21 1.0356e-16 6.75e-15 3.1741e-26 2.6624e-24 8.9651e-34 9.7724e-45 6.0296e-36 8.8004e-27 2.0442e-19 4.1273e-14 4.7039e-18 3.9111e-08 1.585e-13 3.5149e-20 2.7753e-06 9.7186e-05
0.020896 1.8282 6.9878e-08 2.5349e-10 5.6716e-19 6.6704e-22 2.5165e-24 6.8389e-17 4.6089e-18 2.6092e-18 9.1577e-58 3.0534e-52 1.6425e-46 1.3896e-44 1.9936e-45 1.0988e-33 3.5801e-24 4.1544e-16 9.7499e-10 2.3861e-05 2.4069e-21 1.0356e-16 4.18e-15 8.3484e-26 4.3364e-24 9.0424e-34 6.1039e-45 8.7162e-37 2.0543e-27 7.7058e-20 2.5123e-14 4.6237e-18 3.8126e-08 9.5683e-14 1.314e-20 4.4064e-06 9.5555e-05
0.0030207 1.8775 1.1256e-07 1.5736e-10 1.4917e-18 1.0891e-21 2.5507e-24 2.6002e-17 2.8228e-18 2.5742e-18 6.3351e-57 1.3113e-51 4.3787e-46 2.2998e-44 2.0483e-45 1.5884e-34 8.3365e-25 1.5583e-16 5.8913e-10 2.3225e-05 3.8772e-21 1.0356e-16 2.5949e-15 2.1958e-25 7.0803e-24 9.1654e-34 3.8408e-45 1.26e-37 4.7836e-28 2.8905e-20 1.518e-14 4.5005e-18 3.6629e-08 5.7066e-14 4.8649e-21 6.9121e-06 9.3051e-05
0.00043666 1.9264 1.8066e-07 9.8049e-11 3.9235e-18 1.7849e-21 2.6045e-24 9.8861e-18 1.7225e-18 2.521e-18 4.3824e-56 5.652e-51 1.176e-45 3.8484e-44 2.1356e-45 2.2962e-35 1.9341e-25 5.8024e-17 3.5206e-10 2.2275e-05 6.2226e-21 1.0356e-16 1.6168e-15 5.7752e-25 1.1603e-23 9.3588e-34 2.4436e-45 1.8214e-38 1.1098e-28 1.0763e-20 9.0718e-15 4.3164e-18 3.4432e-08 3.3424e-14 1.7754e-21 1.0648e-05 8.9317e-05
6.3122e-05 1.9747 2.884e-07 6.1417e-11 1.0319e-17 2.9406e-21 2.6878e-24 3.7587e-18 1.0455e-18 2.4429e-18 3.0316e-55 2.4491e-50 3.1919e-45 6.5431e-44 2.2744e-45 3.3192e-36 4.4634e-26 2.1377e-17 2.0707e-10 2.0916e-05 9.934e-21 1.0356e-16 1.0128e-15 1.519e-24 1.9116e-23 9.6581e-34 1.5796e-45 2.6329e-39 2.5612e-29 3.9652e-21 5.3357e-15 4.053e-18 3.1373e-08 1.9077e-14 6.3473e-22 1.5984e-05 8.3984e-05
9.1247e-06 2.0224 4.571e-07 3.875e-11 2.7142e-17 4.8797e-21 2.8142e-24 1.4291e-18 6.3002e-19 2.3332e-18 2.0972e-54 1.069e-49 8.7898e-45 1.1368e-43 2.4933e-45 4.7982e-37 1.0226e-26 7.7628e-18 1.1918e-10 1.908e-05 1.5745e-20 1.0356e-16 6.3899e-16 3.9951e-24 3.1723e-23 1.0112e-33 1.0435e-45 3.8061e-40 5.8681e-30 1.4399e-21 3.071e-15 3.6972e-18 2.7403e-08 1.0513e-14 2.207e-22 2.3169e-05 7.6804e-05
1.319e-06 2.069 7.1782e-07 2.4675e-11 7.1387e-17 8.1727e-21 3.0013e-24 5.4335e-19 3.7617e-19 2.1877e-18 1.4508e-53 4.7088e-49 2.4656e-44 2.0306e-43 2.8359e-45 6.9361e-38 2.3215e-27 2.7674e-18 6.6722e-11 1.6775e-05 2.4726e-20 1.0356e-16 4.0689e-16 1.0508e-23 5.313e-23 1.0785e-33 7.0865e-46 5.5019e-41 1.3321e-30 5.1332e-22 1.7193e-15 3.2505e-18 2.2695e-08 5.5443e-15 7.4116e-23 3.2137e-05 6.784e-05
1.9067e-07 2.1146 1.115e-06 1.5886e-11 1.8776e-16 1.3839e-20 3.2717e-24 2.0658e-19 2.2216e-19 2.0069e-18 1.0036e-52 2.0971e-48 7.0691e-44 3.7482e-43 3.3699e-45 1.0027e-38 5.2127e-28 9.6523e-19 3.6148e-11 1.4116e-05 3.8407e-20 1.0356e-16 2.6195e-16 2.7637e-23 8.9963e-23 1.1756e-33 4.9732e-46 7.9533e-42 2.9911e-31 1.7904e-22 9.3145e-16 2.7354e-18 1.7677e-08 2.7801e-15 2.3925e-23 4.2384e-05 5.7599e-05
2.7563e-08 2.1589 1.7107e-06 1.0353e-11 4.9383e-16 2.3722e-20 3.6552e-24 7.8544e-20 1.296e-19 1.7964e-18 6.9427e-52 9.4549e-48 2.0772e-43 7.1781e-43 4.2061e-45 1.4494e-39 1.1562e-28 3.2849e-19 1.8875e-11 1.131e-05 5.893e-20 1.0356e-16 1.7073e-16 7.269e-23 1.5421e-22 1.3134e-33 3.6211e-46 1.1497e-42 6.6344e-32 6.093e-23 4.8637e-16 2.1916e-18 1.2901e-08 1.3223e-15 7.4169e-24 5.3024e-05 4.6963e-05
