$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $F_{i}^{'}$ $F_{i}^{\times}$ $F_{i}^{\bullet}$ $F_{O}^{\times}$ $F_{O}^{\bullet}$
3.9844e-09 2.2017 2.589e-06 6.8406e-12 1.2989e-15 4.1224e-20 4.1969e-24 2.9863e-20 7.4577e-20 1.5645e-18 4.8028e-51 4.3215e-47 6.273e-43 1.4323e-42 5.5451e-45 2.0952e-40 2.5296e-29 1.0877e-19 9.4597e-12 8.5789e-06 8.919e-20 1.0356e-16 1.128e-16 1.9119e-22 2.6799e-22 1.508e-33 2.7471e-46 1.662e-43 1.4515e-32 2.0176e-23 2.4375e-16 1.6624e-18 8.8312e-09 5.9809e-16 2.2165e-24 6.3078e-05 3.6913e-05
5.7597e-10 2.2428 3.8536e-06 4.5954e-12 3.4162e-15 7.2837e-20 4.9814e-24 1.1354e-20 4.2209e-20 1.3181e-18 3.3224e-50 2.0083e-46 1.9583e-42 3.0037e-42 7.812e-45 3.0287e-41 5.4433e-30 3.4843e-20 4.5108e-12 6.0895e-06 1.3277e-19 1.0356e-16 7.5777e-17 5.0285e-22 4.7351e-22 1.7899e-33 2.1904e-46 2.4025e-44 3.1234e-33 6.4629e-24 1.1623e-16 1.18e-18 5.6875e-09 2.5876e-16 6.4419e-25 7.1777e-05 2.8217e-05
8.3261e-11 2.2815 5.5985e-06 3.1628e-12 8.9852e-15 1.3185e-19 6.2063e-24 4.3169e-21 2.3317e-20 1.058e-18 2.2984e-49 9.5616e-46 6.4171e-42 6.7742e-42 1.2126e-44 4.3782e-42 1.1433e-30 1.0633e-20 2.0001e-12 3.9231e-06 1.9291e-19 1.0356e-16 5.2154e-17 1.3226e-21 8.5714e-22 2.2301e-33 1.8782e-46 3.4729e-45 6.5603e-34 1.9723e-24 5.1537e-17 7.602e-19 3.4451e-09 1.0787e-16 1.8483e-25 7.8702e-05 2.1294e-05
1.2036e-11 2.3156 7.7868e-06 2.2736e-12 2.3632e-14 2.4929e-19 8.4356e-24 1.6413e-21 1.2332e-20 7.7839e-19 1.59e-48 4.7549e-45 2.2941e-41 1.7409e-41 2.2402e-44 6.329e-43 2.299e-31 2.9743e-21 7.7827e-13 2.1235e-06 2.6835e-19 1.0356e-16 3.7492e-17 3.4786e-21 1.6206e-21 3.0311e-33 1.8352e-46 5.0203e-46 1.3192e-34 5.517e-25 2.0054e-17 4.1149e-19 1.9381e-09 4.3627e-17 5.3736e-26 8.3715e-05 1.6283e-05
1.7399e-12 2.3409 9.945e-06 1.78e-12 6.2157e-14 5.1332e-19 1.3598e-23 6.2403e-22 5.9892e-21 4.8287e-19 1.0999e-47 2.5751e-44 9.7265e-41 5.7785e-41 5.8212e-44 9.1489e-44 4.245e-32 7.0152e-22 2.3447e-13 8.172e-07 3.4277e-19 1.0356e-16 2.9351e-17 9.1493e-21 3.337e-21 4.8862e-33 2.316e-46 7.2572e-47 2.4359e-35 1.3012e-25 6.0417e-18 1.5835e-19 9.7576e-10 1.7195e-17 1.6581e-26 8.6784e-05 1.3215e-05
2.5151e-13 2.353 1.1177e-05 1.5837e-12 1.6348e-13 1.2012e-18 2.8312e-23 2.3726e-22 2.5594e-21 2.3193e-19 7.6087e-47 1.585e-43 5.3262e-40 2.8153e-40 2.5234e-43 1.3225e-44 6.8971e-33 1.2811e-22 4.8125e-14 1.8852e-07 3.8526e-19 1.0356e-16 2.6114e-17 2.4064e-20 7.809e-21 1.0173e-32 4.2902e-46 1.0491e-47 3.9577e-36 2.3762e-26 1.2401e-18 3.6531e-20 4.2315e-10 6.6344e-18 5.692e-27 8.8068e-05 1.1931e-05
3.6357e-14 2.356 1.1506e-05 1.5383e-12 4.2998e-13 3.0688e-18 7.0255e-23 9.0208e-23 1.0018e-21 9.3461e-20 5.2635e-46 1.065e-42 3.4763e-39 1.7848e-39 1.5539e-42 1.9118e-45 1.0264e-33 1.9628e-23 7.5911e-15 3.0614e-08 3.9663e-19 1.0356e-16 2.5366e-17 6.3292e-20 1.995e-20 2.5245e-32 1.0341e-45 1.5165e-48 5.8899e-37 3.6407e-27 1.9561e-19 5.9323e-21 1.662e-10 2.5311e-18 2.1093e-27 8.8371e-05 1.1629e-05
5.2556e-15 2.3565 1.1562e-05 1.5309e-12 1.1309e-12 8.0328e-18 1.8302e-22 3.4297e-23 3.8273e-22 3.5877e-20 3.6411e-45 7.3321e-42 2.3818e-38 1.2171e-38 1.0545e-41 2.7636e-46 1.4909e-34 2.8647e-24 1.1133e-15 4.5113e-09 3.9854e-19 1.0356e-16 2.5244e-17 1.6647e-19 5.222e-20 6.5763e-32 2.681e-45 2.1922e-49 8.5552e-38 5.3137e-28 2.8686e-20 8.7418e-22 6.3529e-11 9.6288e-19 7.9857e-28 8.842e-05 1.158e-05
7.5973e-16 2.3566 1.157e-05 1.5298e-12 2.9745e-12 2.1112e-17 4.8068e-22 1.304e-23 1.4562e-22 1.366e-20 2.5188e-44 5.0685e-41 1.6454e-37 8.4013e-38 7.274e-41 3.995e-47 2.1567e-35 4.147e-25 1.6127e-16 6.5399e-10 3.9882e-19 1.0356e-16 2.5226e-17 4.3784e-19 1.3725e-19 1.7272e-31 7.0363e-45 3.169e-50 1.2376e-38 7.6922e-29 4.1556e-21 1.2673e-22 2.4173e-11 3.6612e-19 3.0343e-28 8.8427e-05 1.1573e-05
1.0982e-16 2.3566 1.1571e-05 1.5296e-12 7.8234e-12 5.5523e-17 1.264e-21 4.9579e-24 5.5371e-23 5.1947e-21 1.7425e-43 3.5059e-40 1.138e-36 5.81e-37 5.0299e-40 5.775e-48 3.118e-36 5.996e-26 2.332e-17 9.4577e-11 3.9886e-19 1.0356e-16 2.5224e-17 1.1516e-18 3.6095e-19 4.5419e-31 1.8501e-44 4.5809e-51 1.7892e-39 1.1122e-29 6.009e-22 1.8327e-23 9.1919e-12 1.392e-19 1.1536e-28 8.8428e-05 1.1572e-05
1.5876e-17 2.3566 1.1571e-05 1.5296e-12 2.0577e-11 1.4603e-16 3.3244e-21 1.885e-24 2.1053e-23 1.9751e-21 1.2054e-42 2.4252e-39 7.872e-36 4.019e-36 3.4793e-39 8.3481e-49 4.5074e-37 8.6679e-27 3.3712e-18 1.3673e-11 3.9887e-19 1.0356e-16 2.5223e-17 3.0288e-18 9.4935e-19 1.1946e-30 4.8658e-44 6.622e-52 2.5864e-40 1.6078e-30 8.6868e-23 2.6494e-24 3.4949e-12 5.2926e-20 4.3858e-29 8.8429e-05 1.1571e-05
2.2949e-18 2.3566 1.1571e-05 1.5296e-12 5.412e-11 3.8409e-16 8.7438e-21 7.167e-25 8.0043e-24 7.5095e-22 8.3385e-42 1.6777e-38 5.4456e-35 2.7802e-35 2.4069e-38 1.2068e-49 6.5157e-38 1.253e-27 4.8733e-19 1.9765e-12 3.9887e-19 1.0356e-16 2.5223e-17 7.9663e-18 2.4969e-18 3.1419e-30 1.2798e-43 9.5725e-53 3.7388e-41 2.3241e-31 1.2557e-23 3.8299e-25 1.3288e-12 2.0123e-20 1.6675e-29 8.8429e-05 1.1571e-05
3.3175e-19 2.3566 1.1571e-05 1.5296e-12 1.4234e-10 1.0102e-15 2.2997e-20 2.7249e-25 3.0433e-24 2.8552e-22 5.7684e-41 1.1606e-37 3.7671e-34 1.9233e-34 1.665e-37 1.7445e-50 9.4189e-39 1.8113e-28 7.0447e-20 2.8571e-13 3.9887e-19 1.0356e-16 2.5223e-17 2.0953e-17 6.5673e-18 8.2636e-30 3.366e-43 1.3838e-53 5.4047e-42 3.3597e-32 1.8152e-24 5.5364e-26 5.0521e-13 7.6508e-21 6.34e-30 8.8429e-05 1.1571e-05
4.7956e-20 2.3566 1.1571e-05 1.5296e-12 3.7439e-10 2.657e-15 6.0487e-20 1.036e-25 1.1571e-24 1.0856e-22 3.9904e-40 8.0287e-37 2.606e-33 1.3305e-33 1.1518e-36 2.5217e-51 1.3616e-39 2.6183e-29 1.0183e-20 4.1301e-14 3.9887e-19 1.0356e-16 2.5223e-17 5.5109e-17 1.7273e-17 2.1734e-29 8.8531e-43 2.0003e-54 7.8128e-43 4.8567e-33 2.624e-25 8.0032e-27 1.9208e-13 2.9089e-21 2.4105e-30 8.8429e-05 1.1571e-05
6.9323e-21 2.3566 1.1571e-05 1.5296e-12 9.847e-10 6.9884e-15 1.5909e-19 3.939e-26 4.3992e-25 4.1273e-23 2.7605e-39 5.554e-36 1.8027e-32 9.2038e-33 7.9679e-36 3.6453e-52 1.9682e-40 3.785e-30 1.4721e-21 5.9703e-15 3.9887e-19 1.0356e-16 2.5223e-17 1.4494e-16 4.5431e-17 5.7165e-29 2.3285e-42 2.8916e-55 1.1294e-43 7.0206e-34 3.7932e-26 1.1569e-27 7.3031e-14 1.106e-21 9.1648e-31 8.8429e-05 1.1571e-05
1.0021e-21 2.3566 1.1571e-05 1.5296e-12 2.5899e-09 1.838e-14 4.1843e-19 1.4976e-26 1.6726e-25 1.5692e-23 1.9096e-38 3.8421e-35 1.2471e-31 6.367e-32 5.5119e-35 5.2695e-53 2.8452e-41 5.4714e-31 2.128e-22 8.6305e-16 3.9887e-19 1.0356e-16 2.5223e-17 3.8123e-16 1.1949e-16 1.5035e-28 6.1244e-42 4.18e-56 1.6326e-44 1.0149e-34 5.4833e-27 1.6724e-28 2.7767e-14 4.2049e-22 3.4845e-31 8.8429e-05 1.1571e-05
1.4486e-22 2.3566 1.1571e-05 1.5296e-12 6.8119e-09 4.8344e-14 1.1005e-18 5.6941e-27 6.3594e-26 5.9663e-24 1.321e-37 2.6579e-34 8.627e-31 4.4045e-31 3.813e-34 7.6175e-54 4.1129e-42 7.9093e-32 3.0761e-23 1.2476e-16 3.9887e-19 1.0356e-16 2.5223e-17 1.0027e-15 3.1428e-16 3.9545e-28 1.6108e-41 6.0424e-57 2.36e-45 1.4671e-35 7.9265e-28 2.4175e-29 1.0557e-14 1.5987e-22 1.3248e-31 8.8429e-05 1.1571e-05
2.0941e-23 2.3566 1.1571e-05 1.5296e-12 1.7916e-08 1.2715e-13 2.8946e-18 2.1649e-27 2.4179e-26 2.2684e-24 9.1384e-37 1.8386e-33 5.968e-30 3.0469e-30 2.6377e-33 1.1012e-54 5.9454e-43 1.1433e-32 4.4468e-24 1.8035e-17 3.9887e-19 1.0356e-16 2.5223e-17 2.6372e-15 8.266e-16 1.0401e-27 4.2367e-41 8.7347e-58 3.4116e-46 2.1207e-36 1.1458e-28 3.4947e-30 4.0138e-15 6.0785e-23 5.0371e-32 8.8429e-05 1.1571e-05
3.0271e-24 2.3566 1.1571e-05 1.5296e-12 4.7123e-08 3.3443e-13 7.6133e-18 8.2312e-28 9.1929e-27 8.6247e-25 6.3217e-36 1.2719e-32 4.1285e-29 2.1078e-29 1.8247e-32 1.5918e-55 8.5945e-44 1.6528e-33 6.4281e-25 2.607e-18 3.9887e-19 1.0356e-16 2.5223e-17 6.9363e-15 2.1741e-15 2.7356e-27 1.1143e-40 1.2626e-58 4.9317e-47 3.0656e-37 1.6564e-29 5.0518e-31 1.5261e-15 2.3111e-23 1.9151e-32 8.8429e-05 1.1571e-05
4.3759e-25 2.3566 1.1571e-05 1.5296e-12 1.2394e-07 8.796e-13 2.0024e-17 3.1295e-28 3.4952e-27 3.2791e-25 4.3732e-35 8.7988e-32 2.856e-28 1.4581e-28 1.2623e-31 2.301e-56 1.2424e-44 2.3892e-34 9.2922e-26 3.7686e-19 3.9887e-19 1.0356e-16 2.5223e-17 1.8244e-14 5.7182e-15 7.1951e-27 2.9308e-40 1.8252e-59 7.129e-48 4.4316e-38 2.3944e-30 7.3027e-32 5.8023e-16 8.7869e-24 7.2814e-33 8.8429e-05 1.1571e-05
6.3256e-26 2.3566 1.1571e-05 1.5296e-12 3.2598e-07 2.3135e-12 5.2666e-17 1.1899e-28 1.3289e-27 1.2467e-25 3.0252e-34 6.0868e-31 1.9757e-27 1.0087e-27 8.7321e-31 3.3263e-57 1.7959e-45 3.4537e-35 1.3432e-26 5.4478e-20 3.9887e-19 1.0356e-16 2.5223e-17 4.7984e-14 1.504e-14 1.8924e-26 7.7085e-40 2.6385e-60 1.0305e-48 6.4061e-39 3.4612e-31 1.0556e-32 2.2061e-16 3.3408e-24 2.7684e-33 8.8429e-05 1.1571e-05
9.144e-27 2.3566 1.1571e-05 1.5296e-12 8.5739e-07 6.0848e-12 1.3852e-16 4.524e-29 5.0525e-28 4.7402e-26 2.0928e-33 4.2107e-30 1.3667e-26 6.9777e-27 6.0407e-30 4.8083e-58 2.5961e-46 4.9925e-36 1.9417e-27 7.8751e-21 3.9887e-19 1.0356e-16 2.5223e-17 1.262e-13 3.9557e-14 4.9774e-26 2.0275e-39 3.8141e-61 1.4897e-49 9.2604e-40 5.0034e-32 1.526e-33 8.3875e-17 1.2702e-24 1.0526e-33 8.8429e-05 1.1571e-05
1.3218e-27 2.3566 1.1571e-05 1.5296e-12 2.2551e-06 1.6004e-11 3.6433e-16 1.72e-29 1.921e-28 1.8023e-26 1.4477e-32 2.9128e-29 9.4546e-26 4.827e-26 4.1788e-29 6.9507e-59 3.7529e-47 7.217e-37 2.8069e-28 1.1384e-21 3.9887e-19 1.0356e-16 2.5223e-17 3.3194e-13 1.0404e-13 1.3091e-25 5.3325e-39 5.5135e-62 2.1535e-50 1.3387e-40 7.2327e-33 2.2059e-34 3.189e-17 4.8294e-25 4.0019e-34 8.8429e-05 1.1571e-05
1.9108e-28 2.3566 1.1571e-05 1.5296e-12 5.9312e-06 4.2093e-11 9.5825e-16 6.5397e-30 7.3037e-29 6.8523e-27 1.0015e-31 2.015e-28 6.5404e-25 3.3392e-25 2.8907e-28 1.0048e-59 5.425e-48 1.0433e-37 4.0576e-29 1.6456e-22 3.9887e-19 1.0356e-16 2.5223e-17 8.7305e-13 2.7364e-13 3.4432e-25 1.4025e-38 7.9701e-63 3.113e-51 1.9351e-41 1.0455e-33 3.1888e-35 1.2125e-17 1.8361e-25 1.5216e-34 8.8429e-05 1.1571e-05
2.7621e-29 2.3566 1.1571e-05 1.5296e-12 1.56e-05 1.1071e-10 2.5203e-15 2.4864e-30 2.7769e-29 2.6053e-27 6.9281e-31 1.3939e-27 4.5244e-24 2.3099e-24 1.9997e-27 1.4525e-60 7.8423e-49 1.5081e-38 5.8655e-30 2.3789e-23 3.9887e-19 1.0356e-16 2.5223e-17 2.2962e-12 7.1972e-13 9.0561e-25 3.6888e-38 1.1521e-63 4.5e-52 2.7973e-42 1.5114e-34 4.6097e-36 4.6099e-18 6.9811e-26 5.785e-35 8.8429e-05 1.1571e-05
3.9929e-30 2.3566 1.1572e-05 1.5296e-12 4.103e-05 2.9118e-10 6.6287e-15 9.4535e-31 1.0558e-29 9.9056e-28 4.7927e-30 9.6427e-27 3.1298e-23 1.5979e-23 1.3833e-26 2.0996e-61 1.1337e-49 2.1801e-39 8.4792e-31 3.439e-24 3.9888e-19 1.0356e-16 2.5223e-17 6.0395e-12 1.893e-12 2.3819e-24 9.702e-38 1.6655e-64 6.5051e-53 4.0438e-43 2.1849e-35 6.6639e-37 1.7527e-18 2.6543e-26 2.1995e-35 8.8429e-05 1.1571e-05
5.7719e-31 2.3566 1.1572e-05 1.5296e-12 0.00010792 7.6584e-10 1.7434e-14 3.5943e-31 4.0143e-30 3.7663e-28 3.3154e-29 6.6704e-26 2.165e-22 1.1053e-22 9.5684e-26 3.0351e-62 1.6388e-50 3.1516e-40 1.2258e-31 4.9717e-25 3.9888e-19 1.0356e-16 2.5222e-17 1.5885e-11 4.9787e-12 6.2644e-24 2.5516e-37 2.4076e-65 9.4038e-54 5.8458e-44 3.1586e-36 9.6339e-38 6.6641e-19 1.0092e-26 8.3624e-36 8.8429e-05 1.1571e-05
