$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $V_{i}^{\times}$ $V_{i}^{\bullet}$ $V_{i}^{\bullet\bullet}$ $V_{i}^{\bullet\bullet\bullet}$ $V_{i}^{\bullet\bullet\bullet\bullet}$ $V_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{\bullet}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$
1 1.3913 6.8696e-17 7.6594e-15 3.3609e-39 2.1736e-41 1.4464e-42 1.1191e-31 1.0871e-37 7.452e-42 1.831e-118 9.5175e-104 1.2875e-88 4.3092e-81 4.1468e-79 2.7651e-63 6.2778e-48 1.8081e-35 2.13e-26 2.7286e-21 6.1952e-46 5.3623e-33 4.0846e-26 7.2821e-53 9.186e-46 1.8675e-61 3.9787e-80 1.7398e-69 2.0671e-54 6.2206e-43 1.4143e-35 1.0246e-46 3.0358e-95 5.2234e-82 5.7572e-73 4.4718e-69 4.5661e-78 3.2137e-91 9.987e-05 6.478e-08 6.478e-08 1.7809e-18 1.3954e-34 2.4055e-56
0.020896 1.3913 6.8696e-17 7.6594e-15 2.325e-38 1.5036e-40 1.0006e-41 1.6177e-32 1.5715e-38 1.0772e-42 8.7623e-117 4.5546e-102 6.1614e-87 2.0622e-79 1.9845e-77 5.7781e-65 1.3118e-49 3.7782e-37 4.4509e-28 5.7017e-23 6.1952e-46 5.3623e-33 4.0846e-26 5.0375e-52 6.3546e-45 1.2919e-60 2.7523e-79 3.6357e-71 4.3195e-56 1.2999e-44 2.9553e-37 2.141e-48 1.4528e-93 2.4997e-80 2.7551e-71 2.14e-67 2.1851e-76 1.5379e-89 9.987e-05 6.478e-08 6.478e-08 1.7809e-18 1.3954e-34 2.4055e-56
0.00043666 1.3913 6.8696e-17 7.6594e-15 1.6084e-37 1.0402e-39 6.9217e-41 2.3385e-33 2.2717e-39 1.5572e-43 4.1932e-115 2.1796e-100 2.9485e-85 9.8684e-78 9.4966e-76 1.2074e-66 2.7413e-51 7.8951e-39 9.3009e-30 1.1915e-24 6.1952e-46 5.3623e-33 4.0846e-26 3.4848e-51 4.396e-44 8.937e-60 1.904e-78 7.5973e-73 9.0261e-58 2.7163e-46 6.1755e-39 4.4738e-50 6.9523e-92 1.1962e-78 1.3185e-69 1.0241e-65 1.0457e-74 7.3596e-88 9.987e-05 6.478e-08 6.478e-08 1.7809e-18 1.3954e-34 2.4055e-56
9.1247e-06 1.3913 6.8696e-17 7.6594e-15 1.1126e-36 7.1956e-39 4.7883e-40 3.3805e-34 3.2838e-40 2.251e-44 2.0066e-113 1.043e-98 1.411e-83 4.7225e-76 4.5446e-74 2.5231e-68 5.7283e-53 1.6498e-40 1.9436e-31 2.4897e-26 6.1952e-46 5.3623e-33 4.0846e-26 2.4107e-50 3.041e-43 6.1824e-59 1.3171e-77 1.5876e-74 1.8861e-59 5.6762e-48 1.2905e-40 9.3488e-52 3.327e-90 5.7245e-77 6.3095e-68 4.9008e-64 5.0041e-73 3.5219e-86 9.987e-05 6.478e-08 6.478e-08 1.7809e-18 1.3954e-34 2.4055e-56
1.9067e-07 1.3913 6.8696e-17 7.6594e-15 7.6969e-36 4.9777e-38 3.3124e-39 4.8867e-35 4.747e-41 3.254e-45 9.6028e-112 4.9915e-97 6.7524e-82 2.26e-74 2.1748e-72 5.2724e-70 1.197e-54 3.4475e-42 4.0614e-33 5.2027e-28 6.1952e-46 5.3623e-33 4.0846e-26 1.6677e-49 2.1037e-42 4.2768e-58 9.1115e-77 3.3174e-76 3.9414e-61 1.1861e-49 2.6966e-42 1.9536e-53 1.5922e-88 2.7394e-75 3.0194e-66 2.3453e-62 2.3947e-71 1.6854e-84 9.987e-05 6.478e-08 6.478e-08 1.7809e-18 1.3954e-34 2.4055e-56
3.9844e-09 1.3913 6.8696e-17 7.6594e-15 5.3245e-35 3.4434e-37 2.2914e-38 7.064e-36 6.862e-42 4.7039e-46 4.5954e-110 2.3887e-95 3.2314e-80 1.0815e-72 1.0408e-70 1.1017e-71 2.5013e-56 7.2041e-44 8.4868e-35 1.0872e-29 6.1952e-46 5.3623e-33 4.0846e-26 1.1536e-48 1.4553e-41 2.9586e-57 6.3031e-76 6.9323e-78 8.2361e-63 2.4786e-51 5.635e-44 4.0823e-55 7.6192e-87 1.311e-73 1.4449e-64 1.1223e-60 1.146e-69 8.0655e-83 9.987e-05 6.478e-08 6.478e-08 1.7809e-18 1.3954e-34 2.4055e-56
8.3261e-11 1.3913 6.8696e-17 7.6594e-15 3.6833e-34 2.3821e-36 1.5851e-37 1.0212e-36 9.9195e-43 6.7998e-47 2.1991e-108 1.1431e-93 1.5464e-78 5.1755e-71 4.9805e-69 2.3023e-73 5.2269e-58 1.5054e-45 1.7735e-36 2.2718e-31 6.1952e-46 5.3623e-33 4.0846e-26 7.9806e-48 1.0067e-40 2.0467e-56 4.3603e-75 1.4486e-79 1.7211e-64 5.1794e-53 1.1775e-45 8.5305e-57 3.6462e-85 6.2736e-72 6.9147e-63 5.3709e-59 5.4841e-68 3.8598e-81 9.987e-05 6.478e-08 6.478e-08 1.7809e-18 1.3954e-34 2.4055e-56
1.7399e-12 1.3913 6.8696e-17 7.6594e-15 2.548e-33 1.6479e-35 1.0966e-36 1.4761e-37 1.4339e-43 9.8295e-48 1.0524e-106 5.4703e-92 7.4001e-77 2.4767e-69 2.3834e-67 4.8109e-75 1.0922e-59 3.1458e-47 3.7059e-38 4.7473e-33 6.1952e-46 5.3623e-33 4.0846e-26 5.5207e-47 6.9642e-40 1.4158e-55 3.0163e-74 3.0271e-81 3.5964e-66 1.0823e-54 2.4606e-47 1.7826e-58 1.7449e-83 3.0022e-70 3.309e-61 2.5702e-57 2.6244e-66 1.8471e-79 9.987e-05 6.478e-08 6.478e-08 1.7809e-18 1.3954e-34 2.4055e-56
3.6357e-14 1.3913 6.8696e-17 7.6594e-15 1.7627e-32 1.1399e-34 7.5857e-36 2.1338e-38 2.0728e-44 1.4209e-48 5.0362e-105 2.6178e-90 3.5413e-75 1.1852e-67 1.1406e-65 1.0053e-76 2.2824e-61 6.5735e-49 7.744e-40 9.9202e-35 6.1952e-46 5.3623e-33 4.0846e-26 3.8191e-46 4.8176e-39 9.7942e-55 2.0866e-73 6.3255e-83 7.5152e-68 2.2616e-56 5.1418e-49 3.725e-60 8.3501e-82 1.4367e-68 1.5835e-59 1.23e-55 1.2559e-64 8.8392e-78 9.987e-05 6.478e-08 6.478e-08 1.7809e-18 1.3954e-34 2.4055e-56
7.5973e-16 1.3913 6.8696e-17 7.6594e-15 1.2194e-31 7.8858e-34 5.2476e-35 3.0846e-39 2.9964e-45 2.054e-49 2.4101e-103 1.2527e-88 1.6947e-73 5.672e-66 5.4583e-64 2.1007e-78 4.7694e-63 1.3736e-50 1.6182e-41 2.073e-36 6.1952e-46 5.3623e-33 4.0846e-26 2.6419e-45 3.3327e-38 6.7754e-54 1.4435e-72 1.3218e-84 1.5704e-69 4.726e-58 1.0745e-50 7.7839e-62 3.9959e-80 6.8753e-67 7.578e-58 5.8861e-54 6.0102e-63 4.23e-76 9.987e-05 6.478e-08 6.478e-08 1.7809e-18 1.3954e-34 2.4055e-56
