$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Mn_{i}^{\times}$ $Mn_{i}^{\bullet}$ $Mn_{i}^{\bullet\bullet}$ $Mn_{i}^{\bullet\bullet\bullet}$ $Mn_{i}^{\bullet\bullet\bullet\bullet}$ $Mn_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Mn_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $Mn_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet\bullet}$ $Mn_{Sn}^{\times}$ $Mn_{Sn}^{\bullet}$ $Mn_{Sn}^{\bullet\bullet}$ $Mn_{Sn}^{\bullet\bullet\bullet}$ $Mn_{Sn}^{'}$ $Mn_{Sn}^{''}$ $Mn_{Sn}^{'''}$ $Mn_{Sn}^{''''}$
1 0.73858 1.8549e-12 9.5474e-06 8.1987e-20 3.6326e-18 5.163e-16 4.731e-16 8.4631e-22 1.2718e-26 1.9136e-59 2.4038e-49 4.8711e-39 1.5526e-32 8.3917e-29 5.2584e-32 4.5476e-27 1.4008e-23 8.7263e-22 5.6688e-22 6.3889e-26 1.0356e-16 1.5747e-10 1.2068e-26 2.3616e-20 1.8552e-25 4.7178e-32 4.1711e-35 2.6095e-30 2.5982e-27 2.2486e-26 1.0985e-34 5.1215e-37 3.2862e-29 9.5392e-24 5.4225e-22 4.3916e-27 6.0581e-34 1.9824e-41 1.9634e-50 8.906e-05 6.9641e-07 3.1256e-12 2.1716e-19 1.0244e-05 2.639e-13 1.4221e-23 3.8176e-36
0.14456 0.73858 1.8549e-12 9.5474e-06 2.1564e-19 9.5544e-18 1.3579e-15 1.7987e-16 3.2177e-22 4.8354e-27 1.3238e-58 1.6629e-48 3.3697e-38 1.0741e-31 5.8052e-28 7.6014e-33 6.5739e-28 2.0249e-24 1.2614e-22 8.1946e-23 6.3889e-26 1.0356e-16 1.5747e-10 3.1741e-26 6.2113e-20 4.8794e-25 1.2409e-31 6.0296e-36 3.7722e-31 3.7559e-28 3.2504e-27 1.5879e-35 3.5429e-36 2.2733e-28 6.5989e-23 3.7511e-21 3.038e-26 4.1908e-33 1.3714e-40 1.3582e-49 8.906e-05 6.9641e-07 3.1256e-12 2.1716e-19 1.0244e-05 2.639e-13 1.4221e-23 3.8176e-36
0.020896 0.73858 1.8549e-12 9.5474e-06 5.6716e-19 2.513e-17 3.5716e-15 6.8389e-17 1.2234e-22 1.8384e-27 9.1577e-58 1.1503e-47 2.3311e-37 7.4301e-31 4.0158e-27 1.0988e-33 9.5029e-29 2.9271e-25 1.8235e-23 1.1846e-23 6.3889e-26 1.0356e-16 1.5747e-10 8.3484e-26 1.6337e-19 1.2834e-24 3.2637e-31 8.7162e-37 5.453e-32 5.4294e-29 4.6987e-28 2.2954e-36 2.4509e-35 1.5726e-27 4.565e-22 2.5949e-20 2.1016e-25 2.8991e-32 9.4868e-40 9.3956e-49 8.906e-05 6.9641e-07 3.1256e-12 2.1716e-19 1.0244e-05 2.639e-13 1.4221e-23 3.8176e-36
0.0030207 0.73858 1.8549e-12 9.5474e-06 1.4917e-18 6.6095e-17 9.3938e-15 2.6002e-17 4.6514e-23 6.9899e-28 6.3351e-57 7.9577e-47 1.6126e-36 5.14e-30 2.7781e-26 1.5884e-34 1.3737e-29 4.2313e-26 2.636e-24 1.7124e-24 6.3889e-26 1.0356e-16 1.5747e-10 2.1958e-25 4.2968e-19 3.3754e-24 8.5839e-31 1.26e-37 7.8826e-33 7.8485e-30 6.7923e-29 3.3182e-37 1.6955e-34 1.0879e-26 3.1579e-21 1.7951e-19 1.4538e-24 2.0055e-31 6.5627e-39 6.4996e-48 8.906e-05 6.9641e-07 3.1256e-12 2.1716e-19 1.0244e-05 2.639e-13 1.4221e-23 3.8176e-36
0.00043666 0.73858 1.8549e-12 9.5474e-06 3.9235e-18 1.7384e-16 2.4707e-14 9.8861e-18 1.7685e-23 2.6576e-28 4.3824e-56 5.5049e-46 1.1155e-35 3.5557e-29 1.9218e-25 2.2962e-35 1.9858e-30 6.1167e-27 3.8105e-25 2.4754e-25 6.3889e-26 1.0356e-16 1.5747e-10 5.7752e-25 1.1301e-18 8.8779e-24 2.2577e-30 1.8214e-38 1.1395e-33 1.1346e-30 9.8187e-30 4.7966e-38 1.1729e-33 7.5258e-26 2.1846e-20 1.2418e-18 1.0057e-23 1.3874e-30 4.5399e-38 4.4963e-47 8.906e-05 6.9641e-07 3.1256e-12 2.1716e-19 1.0244e-05 2.639e-13 1.4221e-23 3.8176e-36
6.3122e-05 0.73858 1.8549e-12 9.5474e-06 1.0319e-17 4.5723e-16 6.4984e-14 3.7587e-18 6.7239e-24 1.0104e-28 3.0316e-55 3.8081e-45 7.717e-35 2.4597e-28 1.3294e-24 3.3192e-36 2.8706e-31 8.842e-28 5.5083e-26 3.5783e-26 6.3889e-26 1.0356e-16 1.5747e-10 1.519e-24 2.9724e-18 2.335e-23 5.9381e-30 2.6329e-39 1.6472e-34 1.6401e-31 1.4194e-30 6.9338e-39 8.1137e-33 5.2061e-25 1.5112e-19 8.5904e-18 6.9573e-23 9.5974e-30 3.1406e-37 3.1104e-46 8.906e-05 6.9641e-07 3.1256e-12 2.1716e-19 1.0244e-05 2.639e-13 1.4221e-23 3.8176e-36
9.1247e-06 0.73858 1.8549e-12 9.5474e-06 2.7142e-17 1.2026e-15 1.7092e-13 1.4291e-18 2.5565e-24 3.8417e-29 2.0972e-54 2.6344e-44 5.3384e-34 1.7016e-27 9.1967e-24 4.7982e-37 4.1496e-32 1.2782e-28 7.9625e-27 5.1726e-27 6.3889e-26 1.0356e-16 1.5747e-10 3.9951e-24 7.8179e-18 6.1415e-23 1.5618e-29 3.8061e-40 2.3811e-35 2.3708e-32 2.0518e-31 1.0023e-39 5.6128e-32 3.6014e-24 1.0454e-18 5.9426e-17 4.8129e-22 6.6392e-29 2.1726e-36 2.1517e-45 8.906e-05 6.9641e-07 3.1256e-12 2.1716e-19 1.0244e-05 2.639e-13 1.4221e-23 3.8176e-36
1.319e-06 0.73858 1.8549e-12 9.5474e-06 7.1387e-17 3.163e-15 4.4954e-13 5.4335e-19 9.7198e-25 1.4606e-29 1.4508e-53 1.8224e-43 3.6929e-33 1.1771e-26 6.362e-23 6.9361e-38 5.9985e-33 1.8477e-29 1.151e-27 7.4773e-28 6.3889e-26 1.0356e-16 1.5747e-10 1.0508e-23 2.0562e-17 1.6153e-22 4.1078e-29 5.5019e-41 3.442e-36 3.4272e-33 2.9659e-32 1.4489e-40 3.8828e-31 2.4914e-23 7.2319e-18 4.111e-16 3.3294e-21 4.5928e-28 1.5029e-35 1.4885e-44 8.906e-05 6.9641e-07 3.1256e-12 2.1716e-19 1.0244e-05 2.639e-13 1.4221e-23 3.8176e-36
1.9067e-07 0.73858 1.8549e-12 9.5474e-06 1.8776e-16 8.3191e-15 1.1824e-12 2.0658e-19 3.6955e-25 5.5534e-30 1.0036e-52 1.2607e-42 2.5547e-32 8.1429e-26 4.4011e-22 1.0027e-38 8.6712e-34 2.6709e-30 1.6639e-28 1.0809e-28 6.3889e-26 1.0356e-16 1.5747e-10 2.7637e-23 5.4082e-17 4.2485e-22 1.0804e-28 7.9533e-42 4.9757e-37 4.9542e-34 4.2875e-33 2.0945e-41 2.686e-30 1.7235e-22 5.0029e-17 2.8438e-15 2.3032e-20 3.1772e-27 1.0397e-34 1.0297e-43 8.906e-05 6.9641e-07 3.1256e-12 2.1716e-19 1.0244e-05 2.639e-13 1.4221e-23 3.8176e-36
2.7563e-08 0.73858 1.8549e-12 9.5474e-06 4.9383e-16 2.1881e-14 3.1098e-12 7.8544e-20 1.4051e-25 2.1114e-30 6.9427e-52 8.721e-42 1.7673e-31 5.633e-25 3.0445e-21 1.4494e-39 1.2535e-34 3.861e-31 2.4053e-29 1.5625e-29 6.3889e-26 1.0356e-16 1.5747e-10 7.269e-23 1.4224e-16 1.1174e-21 2.8417e-28 1.1497e-42 7.1926e-38 7.1616e-35 6.1978e-34 3.0278e-42 1.8581e-29 1.1922e-21 3.4608e-16 1.9673e-14 1.5933e-19 2.1979e-26 7.1922e-34 7.1231e-43 8.906e-05 6.9641e-07 3.1256e-12 2.1716e-19 1.0244e-05 2.639e-13 1.4221e-23 3.8176e-36
3.9844e-09 0.73858 1.8549e-12 9.5474e-06 1.2989e-15 5.7549e-14 8.1793e-12 2.9863e-20 5.3421e-26 8.0278e-31 4.8028e-51 6.0329e-41 1.2225e-30 3.8968e-24 2.1061e-20 2.0952e-40 1.812e-35 5.5813e-32 3.477e-30 2.2587e-30 6.3889e-26 1.0356e-16 1.5747e-10 1.9119e-22 3.7412e-16 2.939e-21 7.4741e-28 1.662e-43 1.0397e-38 1.0353e-35 8.9593e-35 4.3768e-43 1.2854e-28 8.2476e-21 2.3941e-15 1.3609e-13 1.1022e-18 1.5204e-25 4.9754e-33 4.9275e-42 8.906e-05 6.9641e-07 3.1256e-12 2.1716e-19 1.0244e-05 2.639e-13 1.4221e-23 3.8176e-36
5.7597e-10 0.73858 1.8549e-12 9.5474e-06 3.4162e-15 1.5136e-13 2.1513e-11 1.1354e-20 2.0311e-26 3.0522e-31 3.3224e-50 4.1734e-40 8.4572e-30 2.6957e-23 1.4569e-19 3.0287e-41 2.6193e-36 8.0681e-33 5.0262e-31 3.2651e-31 6.3889e-26 1.0356e-16 1.5747e-10 5.0285e-22 9.84e-16 7.73e-21 1.9658e-27 2.4025e-44 1.503e-39 1.4965e-36 1.2951e-35 6.327e-44 8.8919e-28 5.7055e-20 1.6562e-14 9.4144e-13 7.6246e-18 1.0518e-24 3.4418e-32 3.4087e-41 8.906e-05 6.9641e-07 3.1256e-12 2.1716e-19 1.0244e-05 2.639e-13 1.4221e-23 3.8176e-36
8.3261e-11 0.73858 1.8549e-12 9.5473e-06 8.9852e-15 3.9811e-13 5.6581e-11 4.3169e-21 7.7224e-27 1.1605e-31 2.2984e-49 2.887e-39 5.8504e-29 1.8648e-22 1.0079e-18 4.3782e-42 3.7864e-37 1.1663e-33 7.2658e-32 4.72e-32 6.3889e-26 1.0356e-16 1.5747e-10 1.3226e-21 2.5881e-15 2.0331e-20 5.1703e-27 3.4729e-45 2.1727e-40 2.1633e-37 1.8722e-36 9.1462e-45 6.1512e-27 3.9469e-19 1.1457e-13 6.5125e-12 5.2744e-17 7.2758e-24 2.3809e-31 2.358e-40 8.906e-05 6.964e-07 3.1256e-12 2.1716e-19 1.0244e-05 2.6391e-13 1.4221e-23 3.8177e-36
