$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Ni_{i}^{\times}$ $Ni_{i}^{\bullet}$ $Ni_{i}^{\bullet\bullet}$ $Ni_{i}^{\bullet\bullet\bullet}$ $Ni_{i}^{\bullet\bullet\bullet\bullet}$ $Ni_{Sn}^{\times}$ $Ni_{Sn}^{'}$ $Ni_{Sn}^{''}$ $Ni_{Sn}^{'''}$ $Ni_{Sn}^{''''}$
1 0.51041 2.7429e-24 1.9182e-07 3.3609e-39 5.4437e-34 9.0724e-28 1.1191e-31 4.3406e-45 1.1881e-56 1.831e-118 2.3836e-96 8.0758e-74 6.7693e-59 1.6315e-49 2.7651e-63 2.5066e-55 2.8826e-50 1.3559e-48 6.9354e-51 2.4737e-53 5.3623e-33 1.023e-18 7.2821e-53 2.3006e-38 1.1714e-46 6.2501e-58 1.7398e-69 8.2535e-62 9.9175e-58 9.0029e-58 2.6042e-76 8.6008e-45 3.8088e-30 6.5819e-21 3.0283e-23 1.8457e-31 0.0099998 1.9182e-07 2.6316e-20 1.3117e-39 1.0516e-63
0.020896 0.51041 2.7429e-24 1.9182e-07 2.325e-38 3.7658e-33 6.276e-27 1.6177e-32 6.2747e-46 1.7174e-57 8.7623e-117 1.1407e-94 3.8647e-72 3.2394e-57 7.8074e-48 5.7781e-65 5.238e-57 6.0236e-52 2.8334e-50 1.4493e-52 2.4737e-53 5.3623e-33 1.023e-18 5.0375e-52 1.5915e-37 8.1033e-46 4.3236e-57 3.6357e-71 1.7247e-63 2.0724e-59 1.8813e-59 5.4418e-78 4.1159e-43 1.8227e-28 3.1498e-19 1.4492e-21 8.8325e-30 0.0099998 1.9182e-07 2.6316e-20 1.3117e-39 1.0516e-63
0.00043666 0.51041 2.7429e-24 1.9182e-07 1.6084e-37 2.6051e-32 4.3416e-26 2.3385e-33 9.0704e-47 2.4827e-58 4.1932e-115 5.4587e-93 1.8494e-70 1.5502e-55 3.7362e-46 1.2074e-66 1.0946e-58 1.2587e-53 5.9208e-52 3.0284e-54 2.4737e-53 5.3623e-33 1.023e-18 3.4848e-51 1.101e-36 5.6056e-45 2.991e-56 7.5973e-73 3.604e-65 4.3306e-61 3.9312e-61 1.1371e-79 1.9697e-41 8.7225e-27 1.5073e-17 6.9352e-20 4.2268e-28 0.0099998 1.9182e-07 2.6316e-20 1.3117e-39 1.0516e-63
9.1247e-06 0.51041 2.7429e-24 1.9182e-07 1.1126e-36 1.8021e-31 3.0034e-25 3.3805e-34 1.3112e-47 3.5888e-59 2.0066e-113 2.6123e-91 8.8504e-69 7.4186e-54 1.788e-44 2.5231e-68 2.2872e-60 2.6303e-55 1.2372e-53 6.3284e-56 2.4737e-53 5.3623e-33 1.023e-18 2.4107e-50 7.6161e-36 3.8778e-44 2.0691e-55 1.5876e-74 7.5311e-67 9.0495e-63 8.2149e-63 2.3762e-81 9.4258e-40 4.1741e-25 7.2133e-16 3.3188e-18 2.0227e-26 0.0099998 1.9182e-07 2.6316e-20 1.3117e-39 1.0516e-63
1.9067e-07 0.51041 2.7429e-24 1.9182e-07 7.6969e-36 1.2467e-30 2.0777e-24 4.8867e-35 1.8954e-48 5.1879e-60 9.6028e-112 1.2501e-89 4.2354e-67 3.5502e-52 8.5563e-43 5.2724e-70 4.7795e-62 5.4963e-57 2.5854e-55 1.3224e-57 2.4737e-53 5.3623e-33 1.023e-18 1.6677e-49 5.2686e-35 2.6826e-43 1.4313e-54 3.3174e-76 1.5737e-68 1.891e-64 1.7166e-64 4.9655e-83 4.5107e-38 1.9975e-23 3.4519e-14 1.5882e-16 9.6798e-25 0.0099998 1.9182e-07 2.6316e-20 1.3117e-39 1.0516e-63
3.9844e-09 0.51042 2.743e-24 1.9182e-07 5.3245e-35 8.6239e-30 1.4372e-23 7.064e-36 2.7399e-49 7.4995e-61 4.5954e-110 5.9823e-88 2.0268e-65 1.6989e-50 4.0945e-41 1.1017e-71 9.9876e-64 1.1486e-58 5.4027e-57 2.7635e-59 2.4737e-53 5.3623e-33 1.023e-18 1.1536e-48 3.6447e-34 1.8557e-42 9.9012e-54 6.9323e-78 3.2886e-70 3.9516e-66 3.5872e-66 1.0377e-84 2.1586e-36 9.5591e-22 1.6519e-12 7.6002e-15 4.6321e-23 0.0099998 1.9183e-07 2.6316e-20 1.3117e-39 1.0517e-63
8.3261e-11 0.51044 2.7441e-24 1.9174e-07 3.6833e-34 5.9634e-29 9.9344e-23 1.0212e-36 3.9624e-50 1.085e-61 2.1991e-108 2.8617e-86 9.6914e-64 8.1201e-49 1.9562e-39 2.3023e-73 2.0879e-65 2.402e-60 1.1303e-58 5.784e-61 2.4747e-53 5.3623e-33 1.0226e-18 7.9806e-48 2.5202e-33 1.2827e-41 6.8411e-53 1.4486e-79 6.8748e-72 8.2643e-68 7.5052e-68 2.1719e-86 1.033e-34 4.5726e-20 7.8987e-11 3.6326e-13 2.2131e-21 0.0099998 1.919e-07 2.6337e-20 1.3133e-39 1.0534e-63
1.7399e-12 0.5114 2.7959e-24 1.8819e-07 2.548e-33 4.0489e-28 6.6201e-22 1.4761e-37 5.8359e-51 1.6282e-62 1.0524e-106 1.3441e-84 4.4676e-62 3.6739e-47 8.687e-38 4.8109e-75 4.4453e-67 5.2106e-62 2.4983e-60 1.3025e-62 2.5214e-53 5.3623e-33 1.0036e-18 5.5207e-47 1.7111e-32 8.5475e-41 4.4743e-52 3.0271e-81 1.4637e-73 1.7927e-69 1.6588e-69 4.8908e-88 4.9434e-33 2.1477e-18 3.6412e-09 1.6436e-11 9.8276e-20 0.0099998 1.9552e-07 2.7341e-20 1.3891e-39 1.1352e-63
3.6357e-14 0.53151 4.1245e-24 1.2757e-07 1.7627e-32 1.8986e-27 2.1043e-21 2.1338e-38 1.2445e-51 5.1221e-63 5.0362e-105 4.3601e-83 9.8239e-61 5.4763e-46 8.7775e-37 1.0053e-76 1.3704e-68 2.3696e-63 1.676e-61 1.2891e-63 3.7196e-53 5.3623e-33 6.8031e-19 3.8191e-46 8.0241e-32 2.717e-40 9.641e-52 6.3255e-83 4.5121e-75 8.1527e-71 1.1128e-70 4.8404e-89 2.3656e-31 6.9669e-17 8.0066e-08 2.4499e-10 9.9298e-19 0.0099996 2.8844e-07 5.95e-20 4.4595e-39 5.3763e-63
7.5973e-16 0.5889 1.2517e-23 4.2036e-08 1.2194e-31 4.3279e-27 1.5806e-21 3.0846e-39 5.4597e-52 6.8193e-63 2.4101e-103 6.8753e-82 5.1045e-60 9.3763e-46 4.952e-37 2.1007e-78 8.6903e-70 4.5605e-64 9.7891e-62 2.2849e-63 1.1288e-52 5.3623e-33 2.2417e-19 2.6419e-45 1.8291e-31 2.0408e-40 2.3862e-52 1.3218e-84 2.8614e-76 1.569e-71 6.4997e-71 8.5796e-89 1.132e-29 1.0985e-15 4.1598e-07 4.1941e-10 5.6016e-19 0.0099987 8.7526e-07 5.4794e-19 1.2463e-37 4.5599e-61
1.5876e-17 0.65477 4.4744e-23 1.1759e-08 8.4352e-31 8.3754e-27 8.5568e-22 4.459e-40 2.8213e-52 1.2597e-62 1.1533e-101 9.2041e-81 1.9116e-59 9.823e-46 1.4513e-37 4.3898e-80 6.4915e-71 1.2178e-64 9.344e-62 7.7964e-63 4.0352e-52 5.3623e-33 6.2711e-20 1.8276e-44 3.5396e-31 1.1048e-40 3.6137e-53 2.7621e-86 2.1375e-77 4.1897e-72 6.2042e-71 2.9275e-88 5.4151e-28 1.4701e-14 1.5573e-06 4.3924e-10 1.6411e-19 0.0099953 3.1277e-06 6.9995e-18 5.6911e-36 7.4432e-59
3.3175e-19 0.72137 1.6224e-22 3.2431e-09 5.8352e-30 1.5979e-26 4.5021e-22 6.4457e-41 1.4788e-52 2.3941e-62 5.5193e-100 1.2147e-79 6.9579e-59 9.8602e-46 4.0177e-38 9.1732e-82 4.9187e-72 3.3457e-65 9.3087e-62 2.8163e-62 1.4632e-51 5.3623e-33 1.7295e-20 1.2643e-43 6.7529e-31 5.8129e-41 5.2436e-54 5.7719e-88 1.6196e-78 1.1511e-72 6.1807e-71 1.0575e-87 2.5882e-26 1.9378e-13 5.6613e-06 4.4037e-10 4.5375e-20 0.009983 1.1327e-05 9.1914e-17 2.7098e-34 1.2851e-56
6.9323e-21 0.78803 5.8897e-22 8.9338e-10 4.0367e-29 3.0449e-26 2.3634e-22 9.3177e-42 7.7601e-53 4.5607e-62 2.6413e-98 1.6013e-78 2.5267e-58 9.8637e-46 1.1071e-38 1.9169e-83 3.7312e-73 9.2132e-66 9.3054e-62 1.022e-61 5.3115e-51 5.3623e-33 4.7642e-21 8.7461e-43 1.2869e-30 3.0514e-41 7.5826e-55 1.2061e-89 1.2286e-79 3.1698e-73 6.1785e-71 3.8375e-87 1.2331e-24 2.5431e-12 2.0467e-05 4.3856e-10 1.2448e-20 0.0099386 4.0937e-05 1.2059e-15 1.2906e-32 2.2218e-54
1.4486e-22 0.8547 2.1383e-21 2.4607e-10 2.7924e-28 5.8019e-26 1.2404e-22 1.3469e-42 4.0726e-53 8.6898e-62 1.264e-96 2.1108e-77 9.1737e-58 9.8641e-46 3.0496e-39 4.0056e-85 2.8307e-74 2.5376e-66 9.305e-62 3.7102e-61 1.9284e-50 5.3623e-33 1.3123e-21 6.0503e-42 2.452e-30 1.6015e-41 1.0962e-55 2.5204e-91 9.3205e-81 8.7306e-74 6.1783e-71 1.3932e-86 5.8071e-23 3.2989e-11 7.3128e-05 4.3161e-10 3.3744e-21 0.0097806 0.00014626 1.5641e-14 6.0776e-31 3.7985e-52
3.0271e-24 0.92136 7.7631e-21 6.7778e-11 1.9317e-27 1.1055e-25 6.5098e-23 1.9471e-43 2.1374e-53 1.6557e-61 6.0487e-95 2.7822e-76 3.3306e-57 9.8642e-46 8.4e-40 8.3703e-87 2.1475e-75 6.9895e-67 9.305e-62 1.347e-60 7.001e-50 5.3623e-33 3.6145e-22 4.1854e-41 4.6721e-30 8.4051e-42 1.5846e-56 5.2667e-93 7.0711e-82 2.4047e-74 6.1782e-71 5.0579e-86 2.6273e-21 4.111e-10 0.00025101 4.0806e-10 8.7875e-22 0.009247 0.00050203 1.9492e-13 2.7497e-29 6.2394e-50
6.3256e-26 0.98803 2.8185e-20 1.8669e-11 1.3363e-26 2.1064e-25 3.4165e-23 2.8146e-44 1.1218e-53 3.1549e-61 2.8946e-93 3.6673e-75 1.2092e-56 9.8642e-46 2.3137e-40 1.7491e-88 1.6292e-76 1.9252e-67 9.305e-62 4.8904e-60 2.5418e-49 5.3623e-33 9.9557e-23 2.8954e-40 8.9022e-30 4.4112e-42 2.2906e-57 1.1006e-94 5.3646e-83 6.6236e-75 6.1782e-71 1.8363e-85 1.0494e-19 4.5228e-09 0.00076064 3.4059e-10 2.0202e-22 0.0077181 0.0015213 2.1445e-12 1.0983e-27 9.0481e-48
1.3218e-27 1.0547 1.0233e-19 5.1421e-12 9.2443e-26 4.0136e-25 1.793e-23 4.0687e-45 5.8872e-54 6.0113e-61 1.3852e-91 4.8339e-74 4.39e-56 9.8641e-46 6.3727e-41 3.655e-90 1.2361e-77 5.3027e-68 9.305e-62 1.7755e-59 9.2281e-49 5.3623e-33 2.7422e-23 2.0029e-39 1.6962e-29 2.3151e-42 3.3112e-58 2.2998e-96 4.0699e-84 1.8244e-75 6.1783e-71 6.667e-85 3.1382e-18 3.7253e-08 0.0017257 2.1283e-10 3.4771e-23 0.0048229 0.0034514 1.7663e-11 3.2844e-26 9.8235e-46
2.7621e-29 1.1214 3.7151e-19 1.4163e-12 6.395e-25 7.6475e-25 9.4101e-24 5.8816e-46 3.0898e-54 1.1454e-60 6.6289e-90 6.3715e-73 1.5938e-55 9.8638e-46 1.7552e-41 7.6377e-92 9.3775e-79 1.4606e-68 9.3053e-62 6.4464e-59 3.3504e-48 5.3623e-33 7.5529e-24 1.3856e-38 3.232e-29 1.215e-42 4.7864e-59 4.8057e-98 3.0877e-85 5.0252e-76 6.1785e-71 2.4206e-84 6.3585e-17 2.079e-07 0.0026526 9.0109e-11 4.0548e-24 0.002042 0.0053054 9.8578e-11 6.6549e-25 7.2266e-44
5.7719e-31 1.188 1.3488e-18 3.9009e-13 4.4239e-24 1.4571e-24 4.9383e-24 8.5022e-47 1.6216e-54 2.1827e-60 3.1723e-88 8.398e-72 5.7861e-55 9.8628e-46 4.8339e-42 1.596e-93 7.1146e-80 4.0233e-69 9.3062e-62 2.3408e-58 1.2164e-47 5.3623e-33 2.0803e-24 9.5851e-38 6.158e-29 6.3761e-43 6.9183e-60 1.0042e-99 2.3426e-86 1.3842e-76 6.1791e-71 8.7893e-84 9.8366e-16 8.8584e-07 0.003113 2.9126e-11 3.6099e-25 0.00066011 0.0062269 4.2007e-10 1.0296e-23 4.0593e-42
