$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Zn_{i}^{\times}$ $Zn_{i}^{\bullet}$ $Zn_{i}^{\bullet\bullet}$ $Zn_{Sn}^{''}$ $Zn_{Sn}^{'''}$ $Zn_{Sn}^{''''}$
1 0.19737 9.8934e-15 0.0017145 8.1987e-20 6.8106e-16 1.8148e-11 4.731e-16 4.5141e-24 3.6182e-31 1.9136e-59 4.5067e-47 1.7122e-34 1.0232e-25 1.0368e-19 5.2584e-32 2.4256e-29 3.9851e-28 1.3242e-28 4.5882e-31 3.4077e-28 1.0356e-16 2.9524e-08 1.2068e-26 4.4275e-18 6.5209e-21 3.109e-25 4.1711e-35 1.3919e-32 7.3919e-32 3.4121e-33 8.8908e-44 1.4265e-21 8.4227e-11 0.0045714 0.0054286 2.1769e-13 7.6707e-27
0.14456 0.24575 1.5795e-14 0.0010908 2.1564e-19 1.122e-15 1.8726e-11 1.7987e-16 2.7401e-24 3.5065e-31 1.3238e-58 1.9527e-46 4.6467e-34 1.7393e-25 1.1039e-19 7.6014e-33 5.5981e-30 1.4684e-28 7.79e-29 4.3094e-31 5.4406e-28 1.0356e-16 1.8492e-08 3.1741e-26 7.2938e-18 6.7286e-21 2.0093e-25 6.0296e-36 3.2123e-33 2.7237e-32 2.0073e-33 8.3506e-44 3.7603e-21 1.3906e-10 0.0047273 0.0052727 3.3758e-13 1.8991e-26
0.020896 0.2947 2.5358e-14 0.00068644 5.6716e-19 1.8381e-15 1.9109e-11 6.8389e-17 1.6726e-24 3.4362e-31 9.1577e-58 8.4141e-46 1.2472e-33 2.9077e-25 1.1495e-19 1.0988e-33 1.2992e-30 5.471e-29 4.6596e-29 4.1383e-31 8.7345e-28 1.0356e-16 1.1518e-08 8.3484e-26 1.1949e-17 6.8663e-21 1.2772e-25 8.7162e-37 7.455e-34 1.0148e-32 1.2007e-33 8.019e-44 9.899e-21 2.2803e-10 0.0048284 0.0051716 5.3157e-13 4.8009e-26
0.0030207 0.34404 4.0862e-14 0.00042879 1.4917e-18 3.0003e-15 1.9357e-11 2.6002e-17 1.0247e-24 3.3922e-31 6.3351e-57 3.6123e-45 3.3228e-33 4.8078e-25 1.1796e-19 1.5884e-34 3.0262e-31 2.0535e-29 2.8181e-29 4.0329e-31 1.4074e-27 1.0356e-16 7.1483e-09 2.1958e-25 1.9505e-17 6.9554e-21 8.0292e-26 1.26e-37 1.7365e-34 3.8089e-33 7.2616e-34 7.8149e-44 2.6045e-20 3.7233e-10 0.0048928 0.0051072 8.4588e-13 1.231e-25
0.00043666 0.39362 6.6e-14 0.00026657 3.9235e-18 4.8856e-15 1.9514e-11 9.8861e-18 6.2927e-25 3.3648e-31 4.3824e-56 1.5471e-44 8.8108e-33 7.8926e-25 1.1989e-19 2.2962e-35 7.0659e-32 7.7443e-30 1.7166e-29 3.968e-31 2.2733e-27 1.0356e-16 4.4256e-09 5.7752e-25 3.1761e-17 7.012e-21 5.0115e-26 1.8214e-38 4.0545e-35 1.4365e-33 4.4234e-34 7.6891e-44 6.8513e-20 6.0638e-10 0.0049334 0.0050666 1.3554e-12 3.1861e-25
6.3122e-05 0.44336 1.0677e-13 0.00016521 1.0319e-17 7.9434e-15 1.9614e-11 3.7587e-18 3.8703e-25 3.3478e-31 3.0316e-55 6.6159e-44 2.3292e-32 1.2898e-24 1.2111e-19 3.3192e-36 1.6523e-32 2.9295e-30 1.0505e-29 3.928e-31 3.6775e-27 1.0356e-16 2.7358e-09 1.519e-24 5.1639e-17 7.0477e-21 3.1137e-26 2.6329e-39 9.4813e-36 5.4339e-34 2.7068e-34 7.6115e-44 1.8021e-19 9.8597e-10 0.0049587 0.0050413 2.1817e-12 8.2958e-25
9.1247e-06 0.49319 1.7288e-13 0.00010219 2.7142e-17 1.2903e-14 1.9676e-11 1.4291e-18 2.3827e-25 3.3372e-31 2.0972e-54 2.8265e-43 6.1454e-32 2.1016e-24 1.2187e-19 4.7982e-37 3.8675e-33 1.1103e-30 6.4468e-30 3.9033e-31 5.9546e-27 1.0356e-16 1.6896e-09 3.9951e-24 8.388e-17 7.0699e-21 1.929e-26 3.8061e-40 2.2193e-36 2.0595e-34 1.6612e-34 7.5637e-44 4.7399e-19 1.6016e-09 0.0049744 0.0050255 3.5215e-12 2.1683e-24
1.319e-06 0.54309 2.801e-13 6.3138e-05 7.1387e-17 2.0946e-14 1.9714e-11 5.4335e-19 1.4678e-25 3.3307e-31 1.4508e-53 1.2068e-42 1.6195e-31 3.4184e-24 1.2235e-19 6.9361e-38 9.0581e-34 4.2133e-31 3.9635e-30 3.8881e-31 9.6477e-27 1.0356e-16 1.0428e-09 1.0508e-23 1.3617e-16 7.0837e-21 1.1929e-26 5.5019e-41 5.1977e-37 7.815e-35 1.0213e-34 7.5342e-44 1.2467e-18 2.5999e-09 0.0049842 0.0050158 5.6945e-12 5.6807e-24
1.9067e-07 0.59303 4.5398e-13 3.8979e-05 1.8776e-16 3.399e-14 1.9738e-11 2.0658e-19 9.0449e-26 3.3267e-31 1.0036e-52 5.1508e-42 4.2647e-31 5.5539e-24 1.2265e-19 1.0027e-38 2.1223e-34 1.6e-31 2.4395e-30 3.8787e-31 1.5637e-26 1.0356e-16 6.434e-10 2.7637e-23 2.2097e-16 7.0923e-21 7.3691e-27 7.9533e-42 1.2178e-37 2.9677e-35 6.2861e-35 7.516e-44 3.279e-18 4.2191e-09 0.0049903 0.0050097 9.2185e-12 1.4905e-23
2.7563e-08 0.64299 7.3598e-13 2.4053e-05 4.9383e-16 5.5145e-14 1.9753e-11 7.8544e-20 5.5751e-26 3.3242e-31 6.9427e-52 2.1979e-41 1.1225e-30 9.0173e-24 1.2283e-19 1.4494e-39 4.9736e-35 6.0787e-32 1.5025e-30 3.8729e-31 2.535e-26 1.0356e-16 3.9688e-10 7.269e-23 3.5849e-16 7.0976e-21 4.5489e-27 1.1497e-42 2.8539e-38 1.1275e-35 3.8717e-35 7.5048e-44 8.6242e-18 6.845e-09 0.004994 0.005006 1.4934e-11 3.9145e-23
3.9844e-09 0.69297 1.1933e-12 1.4838e-05 1.2989e-15 8.9453e-14 1.9762e-11 2.9863e-20 3.4368e-26 3.3227e-31 4.8028e-51 9.3774e-41 2.9537e-30 1.4634e-23 1.2294e-19 2.0952e-40 1.1657e-35 2.3101e-32 9.2584e-31 3.8694e-31 4.1103e-26 1.0356e-16 2.4477e-10 1.9119e-22 5.8153e-16 7.1008e-21 2.8069e-27 1.662e-43 6.6892e-39 4.2849e-36 2.3857e-35 7.4979e-44 2.2683e-17 1.1104e-08 0.0049963 0.0050037 2.4202e-11 1.0286e-22
5.7597e-10 0.74295 1.935e-12 9.152e-06 3.4162e-15 1.4509e-13 1.9767e-11 1.1354e-20 2.1189e-26 3.3217e-31 3.3224e-50 4.0005e-40 7.771e-30 2.3743e-23 1.2301e-19 3.0287e-41 2.7325e-36 8.7805e-33 5.7064e-31 3.8672e-31 6.665e-26 1.0356e-16 1.5095e-10 5.0285e-22 9.4324e-16 7.1029e-21 1.7315e-27 2.4025e-44 1.568e-39 1.6287e-36 1.4704e-35 7.4937e-44 5.966e-17 1.801e-08 0.0049977 0.0050023 3.9234e-11 2.7039e-22
8.3261e-11 0.79294 3.1379e-12 5.6442e-06 8.9852e-15 2.3533e-13 1.9771e-11 4.3169e-21 1.3064e-26 3.3212e-31 2.2984e-49 1.7066e-39 2.0442e-29 3.8516e-23 1.2305e-19 4.3782e-42 6.4055e-37 3.3378e-33 3.5177e-31 3.8658e-31 1.0808e-25 1.0356e-16 9.3085e-11 1.3226e-21 1.5299e-15 7.1041e-21 1.0679e-27 3.4729e-45 3.6756e-40 6.1912e-37 9.0642e-36 7.491e-44 1.5691e-16 2.9211e-08 0.0049986 0.0050014 6.3612e-11 7.1091e-22
1.2036e-11 0.84294 5.0887e-12 3.4806e-06 2.3632e-14 3.8167e-13 1.9773e-11 1.6413e-21 8.055e-27 3.3208e-31 1.59e-48 7.2799e-39 5.3773e-29 6.2475e-23 1.2308e-19 6.329e-43 1.5016e-37 1.2689e-33 2.1687e-31 3.865e-31 1.7528e-25 1.0356e-16 5.74e-11 3.4786e-21 2.4812e-15 7.1049e-21 6.5859e-28 5.0203e-46 8.6165e-41 2.3537e-37 5.5882e-36 7.4894e-44 4.1271e-16 4.7376e-08 0.0049991 0.0050009 1.0315e-10 1.8694e-21
