$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Cr_{i}^{\times}$ $Cr_{i}^{\bullet}$ $Cr_{i}^{\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Cr_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $Cr_{Sn}^{\times}$ $Cr_{Sn}^{\bullet}$ $Cr_{Sn}^{\bullet\bullet}$ $Cr_{Sn}^{'}$ $Cr_{Sn}^{''}$ $Cr_{Sn}^{'''}$ $Cr_{Sn}^{''''}$
1 0.9374 1.2686e-11 1.3963e-06 8.1987e-20 5.3115e-19 1.1038e-17 4.731e-16 5.7882e-21 5.9488e-25 1.9136e-59 3.5147e-50 1.0414e-40 4.8534e-35 3.8354e-32 5.2584e-32 3.1102e-26 6.5522e-22 2.7916e-19 1.2403e-18 4.3695e-25 1.0356e-16 2.3025e-11 1.2068e-26 3.4529e-21 3.9661e-27 1.4747e-34 4.1711e-35 1.7847e-29 1.2153e-25 7.1934e-24 2.4034e-31 6.8553e-41 6.1173e-33 5.9533e-28 1.0713e-27 2.5128e-30 1.8109e-37 2.3556e-48 0.0099977 4.3208e-07 5.8298e-13 1.8284e-06 4.9233e-15 4.7256e-22 3.6894e-33
0.14456 0.9374 1.2686e-11 1.3963e-06 2.1564e-19 1.397e-18 2.9031e-17 1.7987e-16 2.2007e-21 2.2618e-25 1.3238e-58 2.4314e-49 7.204e-40 3.3574e-34 2.6532e-31 7.6014e-33 4.496e-27 9.4716e-23 4.0355e-20 1.7929e-19 4.3695e-25 1.0356e-16 2.3025e-11 3.1741e-26 9.0818e-21 1.0432e-26 3.8788e-34 6.0296e-36 2.5799e-30 1.7568e-26 1.0399e-24 3.4743e-32 4.7423e-40 4.2318e-32 4.1183e-27 7.4113e-27 1.7383e-29 1.2528e-36 1.6296e-47 0.0099977 4.3208e-07 5.8298e-13 1.8284e-06 4.9233e-15 4.7256e-22 3.6894e-33
0.020896 0.9374 1.2686e-11 1.3963e-06 5.6716e-19 3.6743e-18 7.6356e-17 6.8389e-17 8.3671e-22 8.5994e-26 9.1577e-58 1.682e-48 4.9835e-39 2.3226e-33 1.8354e-30 1.0988e-33 6.4993e-28 1.3692e-23 5.8335e-21 2.5918e-20 4.3695e-25 1.0356e-16 2.3025e-11 8.3484e-26 2.3886e-20 2.7437e-26 1.0202e-33 8.7162e-37 3.7294e-31 2.5396e-27 1.5032e-25 5.0223e-33 3.2806e-39 2.9274e-31 2.8489e-26 5.1269e-26 1.2025e-28 8.6662e-36 1.1273e-46 0.0099977 4.3208e-07 5.8298e-13 1.8284e-06 4.9233e-15 4.7256e-22 3.6894e-33
0.0030207 0.9374 1.2686e-11 1.3963e-06 1.4917e-18 9.664e-18 2.0083e-16 2.6002e-17 3.1812e-22 3.2695e-26 6.3351e-57 1.1635e-47 3.4475e-38 1.6067e-32 1.2697e-29 1.5884e-34 9.3951e-29 1.9792e-24 8.4327e-22 3.7466e-21 4.3695e-25 1.0356e-16 2.3025e-11 2.1958e-25 6.2825e-20 7.2163e-26 2.6832e-33 1.26e-37 5.3911e-32 3.6712e-28 2.1729e-26 7.26e-34 2.2694e-38 2.0251e-30 1.9708e-25 3.5467e-25 8.3187e-28 5.9951e-35 7.7983e-46 0.0099977 4.3208e-07 5.8298e-13 1.8284e-06 4.9233e-15 4.7256e-22 3.6894e-33
0.00043666 0.9374 1.2686e-11 1.3963e-06 3.9235e-18 2.5418e-17 5.2821e-16 9.8861e-18 1.2095e-22 1.2431e-26 4.3824e-56 8.049e-47 2.3849e-37 1.1115e-31 8.7835e-29 2.2962e-35 1.3581e-29 2.8611e-25 1.219e-22 5.4159e-22 4.3695e-25 1.0356e-16 2.3025e-11 5.7752e-25 1.6524e-19 1.898e-25 7.0573e-33 1.8214e-38 7.7932e-33 5.3069e-29 3.1411e-27 1.0495e-34 1.5699e-37 1.4009e-29 1.3634e-24 2.4535e-24 5.7546e-27 4.1472e-34 5.3946e-45 0.0099977 4.3208e-07 5.8298e-13 1.8284e-06 4.9233e-15 4.7256e-22 3.6894e-33
6.3122e-05 0.9374 1.2686e-11 1.3963e-06 1.0319e-17 6.6853e-17 1.3893e-15 3.7587e-18 4.5987e-23 4.7263e-27 3.0316e-55 5.568e-46 1.6498e-36 7.6888e-31 6.0762e-28 3.3192e-36 1.9633e-30 4.1359e-26 1.7621e-23 7.8291e-23 4.3695e-25 1.0356e-16 2.3025e-11 1.519e-24 4.3461e-19 4.992e-25 1.8562e-32 2.6329e-39 1.1266e-33 7.6715e-30 4.5406e-28 1.5171e-35 1.086e-36 9.6912e-29 9.4313e-24 1.6973e-23 3.9809e-26 2.8689e-33 3.7319e-44 0.0099977 4.3208e-07 5.8298e-13 1.8284e-06 4.9233e-15 4.7256e-22 3.6894e-33
9.1247e-06 0.9374 1.2686e-11 1.3963e-06 2.7142e-17 1.7583e-16 3.654e-15 1.4291e-18 1.7484e-23 1.797e-27 2.0972e-54 3.8518e-45 1.1413e-35 5.3189e-30 4.2033e-27 4.7982e-37 2.838e-31 5.9787e-27 2.5473e-24 1.1317e-23 4.3695e-25 1.0356e-16 2.3025e-11 3.9951e-24 1.1431e-18 1.313e-24 4.8821e-32 3.8061e-40 1.6285e-34 1.109e-30 6.5638e-29 2.193e-36 7.5129e-36 6.7041e-28 6.5243e-23 1.1741e-22 2.7539e-25 1.9846e-32 2.5816e-43 0.0099977 4.3208e-07 5.8298e-13 1.8284e-06 4.9233e-15 4.7256e-22 3.6894e-33
1.319e-06 0.9374 1.2686e-11 1.3963e-06 7.1387e-17 4.6247e-16 9.6106e-15 5.4335e-19 6.6477e-24 6.8322e-28 1.4508e-53 2.6646e-44 7.8951e-35 3.6795e-29 2.9078e-26 6.9361e-38 4.1025e-32 8.6426e-28 3.6823e-25 1.636e-24 4.3695e-25 1.0356e-16 2.3025e-11 1.0508e-23 3.0065e-18 3.4533e-24 1.2841e-31 5.5019e-41 2.3541e-35 1.6031e-31 9.4884e-30 3.1702e-37 5.1972e-35 4.6377e-27 4.5133e-22 8.1222e-22 1.9051e-24 1.3729e-31 1.7859e-42 0.0099977 4.3208e-07 5.8298e-13 1.8284e-06 4.9233e-15 4.7256e-22 3.6894e-33
1.9067e-07 0.9374 1.2686e-11 1.3963e-06 1.8776e-16 1.2164e-15 2.5277e-14 2.0658e-19 2.5275e-24 2.5976e-28 1.0036e-52 1.8433e-43 5.4616e-34 2.5454e-28 2.0115e-25 1.0027e-38 5.9304e-33 1.2493e-28 5.323e-26 2.3649e-25 4.3695e-25 1.0356e-16 2.3025e-11 2.7637e-23 7.9076e-18 9.0828e-24 3.3773e-31 7.9533e-42 3.403e-36 2.3173e-32 1.3716e-30 4.5827e-38 3.5953e-34 3.2083e-26 3.1222e-21 5.6187e-21 1.3179e-23 9.4975e-31 1.2354e-41 0.0099977 4.3208e-07 5.8298e-13 1.8284e-06 4.9233e-15 4.7256e-22 3.6894e-33
2.7563e-08 0.9374 1.2686e-11 1.3963e-06 4.9383e-16 3.1993e-15 6.6484e-14 7.8544e-20 9.6096e-25 9.8764e-29 6.9427e-52 1.2751e-42 3.7782e-33 1.7608e-27 1.3915e-24 1.4494e-39 8.5728e-34 1.806e-29 7.6947e-27 3.4187e-26 4.3695e-25 1.0356e-16 2.3025e-11 7.269e-23 2.0798e-17 2.3889e-23 8.8828e-31 1.1497e-42 4.9192e-37 3.3499e-33 1.9827e-31 6.6246e-39 2.4871e-33 2.2194e-25 2.1599e-20 3.8869e-20 9.1166e-23 6.5701e-30 8.5463e-41 0.0099977 4.3208e-07 5.8298e-13 1.8284e-06 4.9233e-15 4.7256e-22 3.6894e-33
