$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Rh_{i}^{\times}$ $Rh_{i}^{\bullet}$ $Rh_{i}^{\bullet\bullet}$ $Rh_{i}^{\bullet\bullet\bullet}$ $Rh_{i}^{\bullet\bullet\bullet\bullet}$ $Rh_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Rh_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $Rh_{Sn}^{\times}$ $Rh_{Sn}^{\bullet}$ $Rh_{Sn}^{\bullet\bullet}$ $Rh_{Sn}^{'}$ $Rh_{Sn}^{''}$ $Rh_{Sn}^{'''}$ $Rh_{Sn}^{''''}$
1 0.56077 3.323e-13 5.3232e-05 8.1987e-20 2.0277e-17 1.6086e-14 4.731e-16 1.5162e-22 4.0819e-28 1.9136e-59 1.3417e-48 1.5177e-37 2.7002e-30 8.1461e-26 5.2584e-32 8.1472e-28 4.4959e-25 5.0177e-24 5.8397e-25 1.1446e-26 1.0356e-16 8.7899e-10 1.2068e-26 1.3182e-19 5.7801e-24 8.2048e-30 4.1711e-35 4.675e-31 8.3393e-29 1.2929e-28 1.1316e-37 2.3082e-36 5.5833e-29 8.2574e-24 1.2371e-18 2.2843e-23 1.0299e-29 1.611e-37 4.6488e-05 1.3955e-07 3.6735e-12 5.3373e-05 1.2828e-13 3.2421e-25 1.3149e-39
0.14456 0.56077 3.323e-13 5.3232e-05 2.1564e-19 5.3331e-17 4.2309e-14 1.7987e-16 5.7647e-23 1.552e-28 1.3238e-58 9.2818e-48 1.0499e-36 1.8679e-29 5.6353e-25 7.6014e-33 1.1777e-28 6.4991e-26 7.2534e-25 8.4416e-26 1.1446e-26 1.0356e-16 8.7899e-10 3.1741e-26 3.467e-19 1.5203e-23 2.158e-29 6.0296e-36 6.758e-32 1.2055e-29 1.869e-29 1.6358e-38 1.5967e-35 3.8624e-28 5.7122e-23 8.558e-18 1.5802e-22 7.1245e-29 1.1145e-36 4.6488e-05 1.3955e-07 3.6735e-12 5.3373e-05 1.2828e-13 3.2421e-25 1.3149e-39
0.020896 0.56077 3.323e-13 5.3232e-05 5.6716e-19 1.4027e-16 1.1128e-13 6.8389e-17 2.1918e-23 5.9007e-29 9.1577e-58 6.4209e-47 7.2628e-36 1.2922e-28 3.8983e-24 1.0988e-33 1.7025e-29 9.3949e-27 1.0485e-25 1.2203e-26 1.1446e-26 1.0356e-16 8.7899e-10 8.3484e-26 9.1188e-19 3.9985e-23 5.6758e-29 8.7162e-37 9.7692e-33 1.7426e-30 2.7018e-30 2.3646e-39 1.1046e-34 2.6719e-27 3.9516e-22 5.9202e-17 1.0931e-21 4.9285e-28 7.7097e-36 4.6488e-05 1.3955e-07 3.6735e-12 5.3373e-05 1.2828e-13 3.2421e-25 1.3149e-39
0.0030207 0.56077 3.323e-13 5.3232e-05 1.4917e-18 3.6893e-16 2.9268e-13 2.6002e-17 8.3332e-24 2.2435e-29 6.3351e-57 4.4418e-46 5.0242e-35 8.9389e-28 2.6968e-23 1.5884e-34 2.461e-30 1.3581e-27 1.5157e-26 1.764e-27 1.1446e-26 1.0356e-16 8.7899e-10 2.1958e-25 2.3984e-18 1.0517e-22 1.4928e-28 1.26e-37 1.4122e-33 2.5191e-31 3.9056e-31 3.4182e-40 7.6412e-34 1.8483e-26 2.7336e-21 4.0954e-16 7.5621e-21 3.4094e-27 5.3333e-35 4.6488e-05 1.3955e-07 3.6735e-12 5.3373e-05 1.2828e-13 3.2421e-25 1.3149e-39
0.00043666 0.56077 3.323e-13 5.3232e-05 3.9235e-18 9.7034e-16 7.6979e-13 9.8861e-18 3.1683e-24 8.5298e-30 4.3824e-56 3.0727e-45 3.4756e-34 6.1837e-27 1.8655e-22 2.2962e-35 3.5576e-31 1.9632e-28 2.1911e-27 2.55e-28 1.1446e-26 1.0356e-16 8.7899e-10 5.7752e-25 6.3081e-18 2.7661e-22 3.9264e-28 1.8214e-38 2.0414e-34 3.6415e-32 5.6458e-32 4.9412e-41 5.2859e-33 1.2786e-25 1.891e-20 2.8331e-15 5.2312e-20 2.3586e-26 3.6894e-34 4.6488e-05 1.3955e-07 3.6735e-12 5.3373e-05 1.2828e-13 3.2421e-25 1.3149e-39
6.3122e-05 0.56077 3.323e-13 5.3232e-05 1.0319e-17 2.5521e-15 2.0247e-12 3.7587e-18 1.2046e-24 3.2431e-30 3.0316e-55 2.1256e-44 2.4043e-33 4.2777e-26 1.2905e-21 3.3192e-36 5.1427e-32 2.8379e-29 3.1673e-28 3.6862e-29 1.1446e-26 1.0356e-16 8.7899e-10 1.519e-24 1.6591e-17 7.2752e-22 1.0327e-27 2.6329e-39 2.951e-35 5.264e-33 8.1614e-33 7.1429e-42 3.6567e-32 8.8452e-25 1.3082e-19 1.9599e-14 3.6188e-19 1.6316e-25 2.5523e-33 4.6488e-05 1.3955e-07 3.6735e-12 5.3373e-05 1.2828e-13 3.2421e-25 1.3149e-39
9.1247e-06 0.56077 3.323e-13 5.3232e-05 2.7142e-17 6.7126e-15 5.3252e-12 1.4291e-18 4.58e-25 1.233e-30 2.0972e-54 1.4705e-43 1.6633e-32 2.9592e-25 8.9275e-21 4.7982e-37 7.4341e-33 4.1024e-30 4.5785e-29 5.3286e-30 1.1446e-26 1.0356e-16 8.7899e-10 3.9951e-24 4.3638e-17 1.9135e-21 2.7162e-27 3.8061e-40 4.2658e-36 7.6094e-34 1.1798e-33 1.0325e-42 2.5296e-31 6.1188e-24 9.0495e-19 1.3558e-13 2.5034e-18 1.1287e-24 1.7656e-32 4.6488e-05 1.3955e-07 3.6735e-12 5.3373e-05 1.2828e-13 3.2421e-25 1.3149e-39
1.319e-06 0.56077 3.323e-13 5.3232e-05 7.1387e-17 1.7655e-14 1.4006e-11 5.4335e-19 1.7413e-25 4.6881e-31 1.4508e-53 1.0172e-42 1.1506e-31 2.0471e-24 6.1758e-20 6.9361e-38 1.0746e-33 5.9303e-31 6.6186e-30 7.7028e-31 1.1446e-26 1.0356e-16 8.7899e-10 1.0508e-23 1.1477e-16 5.0328e-21 7.1439e-27 5.5019e-41 6.1665e-37 1.1e-34 1.7054e-34 1.4926e-43 1.7499e-30 4.2328e-23 6.2602e-18 9.3789e-13 1.7318e-17 7.8079e-24 1.2214e-31 4.6488e-05 1.3955e-07 3.6735e-12 5.3373e-05 1.2828e-13 3.2421e-25 1.3149e-39
1.9067e-07 0.56077 3.323e-13 5.3232e-05 1.8776e-16 4.6436e-14 3.6838e-11 2.0658e-19 6.6207e-26 1.7824e-31 1.0036e-52 7.0368e-42 7.9595e-31 1.4161e-23 4.2722e-19 1.0027e-38 1.5535e-34 8.5726e-32 9.5676e-31 1.1135e-31 1.1446e-26 1.0356e-16 8.7899e-10 2.7637e-23 3.0187e-16 1.3237e-20 1.879e-26 7.9533e-42 8.9141e-38 1.5901e-35 2.4653e-35 2.1577e-44 1.2105e-29 2.9282e-22 4.3306e-17 6.488e-12 1.198e-16 5.4013e-23 8.4491e-31 4.6488e-05 1.3955e-07 3.6734e-12 5.3373e-05 1.2828e-13 3.2421e-25 1.3149e-39
2.7563e-08 0.56077 3.323e-13 5.3232e-05 4.9383e-16 1.2213e-13 9.689e-11 7.8544e-20 2.5172e-26 6.7769e-32 6.9427e-52 4.8679e-41 5.5061e-30 9.7963e-23 2.9554e-18 1.4494e-39 2.2456e-35 1.2392e-32 1.3831e-31 1.6096e-32 1.1446e-26 1.0356e-16 8.7899e-10 7.269e-23 7.9397e-16 3.4815e-20 4.9419e-26 1.1497e-42 1.2886e-38 2.2986e-36 3.5638e-36 3.1191e-45 8.3741e-29 2.0256e-21 2.9958e-16 4.4882e-11 8.2873e-16 3.7364e-22 5.8448e-30 4.6487e-05 1.3955e-07 3.6734e-12 5.3373e-05 1.2828e-13 3.2421e-25 1.3149e-39
