$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Co_{i}^{\times}$ $Co_{i}^{\bullet}$ $Co_{i}^{\bullet\bullet}$ $Co_{i}^{\bullet\bullet\bullet}$ $Co_{i}^{\bullet\bullet\bullet\bullet}$ $Co_{Sn}^{\times}$ $Co_{Sn}^{'}$ $Co_{Sn}^{''}$ $Co_{Sn}^{'''}$ $Co_{Sn}^{''''}$
1 0.19576 6.2413e-27 8.368e-05 3.3609e-39 2.3924e-31 1.7523e-22 1.1191e-31 9.8767e-48 6.1511e-62 1.831e-118 1.0476e-93 1.5598e-68 5.7461e-51 6.0863e-39 2.7651e-63 5.7036e-58 1.4924e-55 1.5974e-56 1.8591e-61 5.6286e-56 5.3623e-33 4.4958e-16 7.2821e-53 1.0111e-35 2.2625e-41 5.3054e-50 1.7398e-69 1.878e-64 5.1347e-63 1.0606e-65 6.9807e-87 7.1933e-59 2.8047e-38 1.7698e-22 1.8846e-11 5.3786e-19 1.632e-05 8.368e-05 1.9915e-24 2.2946e-49 9.2746e-78
0.020896 0.19577 6.2415e-27 8.3677e-05 2.325e-38 1.6549e-30 1.2121e-21 1.6177e-32 1.4278e-48 8.8925e-63 8.7623e-117 5.013e-92 7.4639e-67 2.7495e-49 2.9122e-37 5.7781e-65 1.1919e-59 3.1189e-57 3.3383e-58 3.8854e-63 5.6288e-56 5.3623e-33 4.4957e-16 5.0375e-52 6.9941e-35 1.565e-40 3.6697e-49 3.6357e-71 3.9245e-66 1.0731e-64 2.2165e-67 1.4589e-88 3.4422e-57 1.3421e-36 8.4687e-21 9.0176e-10 2.5734e-17 1.6319e-05 8.368e-05 1.9915e-24 2.2947e-49 9.2756e-78
0.00043666 0.19585 6.2519e-27 8.3539e-05 1.6084e-37 1.1429e-29 8.3571e-21 2.3385e-33 2.0674e-49 1.2898e-63 4.1932e-115 2.395e-90 3.56e-65 1.3092e-47 1.3844e-35 1.2074e-66 2.4948e-61 6.5391e-59 7.0107e-60 8.1733e-65 5.6382e-56 5.3623e-33 4.4882e-16 3.4848e-51 4.8303e-34 1.079e-39 2.5259e-48 7.5973e-73 8.2145e-68 2.2498e-66 4.6549e-69 3.069e-90 1.6443e-55 6.4003e-35 4.0319e-19 4.2861e-08 1.2211e-15 1.629e-05 8.3668e-05 1.9946e-24 2.3021e-49 9.3207e-78
9.1247e-06 0.19912 6.6599e-27 7.8456e-05 1.1126e-36 7.4221e-29 5.0945e-20 3.3805e-34 3.1836e-50 2.1157e-64 2.0066e-113 1.0759e-88 1.5013e-63 5.1828e-46 5.1446e-34 2.5231e-68 5.5535e-63 1.5506e-60 1.771e-61 2.1994e-66 6.0061e-56 5.3623e-33 4.2132e-16 2.4107e-50 3.1368e-33 6.5778e-39 1.4455e-47 1.5876e-74 1.8286e-69 5.3349e-68 1.1759e-70 8.2585e-92 7.3461e-54 2.6842e-33 1.5873e-17 1.584e-06 4.2365e-14 1.5208e-05 8.3208e-05 2.1131e-24 2.598e-49 1.1205e-77
1.9067e-07 0.22409 1.0795e-26 4.8531e-05 7.6969e-36 3.1676e-28 1.3414e-19 4.8867e-35 7.4596e-51 8.0356e-65 9.6028e-112 3.1764e-87 2.7344e-62 5.8238e-45 3.5664e-33 5.2724e-70 1.881e-64 8.5133e-62 1.576e-62 3.1726e-67 9.7354e-56 5.3623e-33 2.5993e-16 1.6677e-49 1.3387e-32 1.7319e-38 2.348e-47 3.3174e-76 6.1937e-71 2.929e-69 1.0464e-71 1.1913e-92 2.094e-52 4.7205e-32 1.7222e-16 1.0603e-05 1.7494e-13 9.0586e-06 8.0339e-05 3.307e-24 6.5906e-49 4.6075e-77
3.9844e-09 0.26632 2.4429e-26 2.1498e-05 5.3245e-35 9.6834e-28 1.8121e-19 7.064e-36 2.4402e-51 5.9483e-65 4.5954e-110 6.7172e-86 2.5554e-61 2.4051e-44 6.5086e-33 1.1017e-71 8.8949e-66 9.1098e-63 3.8163e-63 1.7385e-67 2.203e-55 5.3623e-33 1.1486e-16 1.1536e-48 4.0924e-32 2.3396e-38 1.4017e-47 6.9323e-78 2.9288e-72 3.1343e-70 2.5339e-72 6.5278e-93 4.2707e-51 4.2544e-31 6.8589e-16 1.866e-05 1.3606e-13 3.8606e-06 7.7479e-05 7.2171e-24 3.2547e-48 5.1491e-76
8.3261e-11 0.31367 6.1045e-26 8.6128e-06 3.6833e-34 2.6806e-27 2.0074e-19 1.0212e-36 8.8147e-52 5.3695e-65 2.1991e-108 1.2864e-84 1.9583e-60 7.3757e-44 7.9874e-33 2.3023e-73 4.6448e-67 1.1887e-63 1.2444e-63 1.4166e-67 5.5052e-55 5.3623e-33 4.5965e-17 7.9806e-48 1.1329e-31 2.5918e-38 6.2139e-48 1.4486e-79 1.5294e-73 4.0899e-71 8.2627e-73 5.3192e-93 8.0241e-50 3.1987e-30 2.0637e-15 2.2468e-05 6.5558e-14 1.5157e-06 7.6016e-05 1.7695e-23 1.9941e-47 7.8834e-75
1.7399e-12 0.3627 1.5758e-25 3.3381e-06 2.548e-33 7.1839e-27 2.0841e-19 1.4761e-37 3.2892e-52 5.1719e-65 1.0524e-106 2.3848e-83 1.4064e-59 2.0521e-43 8.6092e-33 4.8109e-75 2.5054e-68 1.6552e-64 4.4727e-64 1.3143e-67 1.4211e-54 5.3623e-33 1.7807e-17 5.5207e-47 3.0361e-31 2.6908e-38 2.4992e-48 3.0271e-81 8.2495e-75 5.6947e-72 2.9698e-73 4.935e-93 1.4755e-48 2.2786e-29 5.6951e-15 2.402e-05 2.7151e-14 5.8241e-07 7.5398e-05 4.5304e-23 1.3179e-46 1.3449e-73
3.6357e-14 0.41234 4.1155e-25 1.2784e-06 1.7627e-32 1.9028e-26 2.1136e-19 2.1338e-38 1.2418e-52 5.0997e-65 5.0362e-105 4.3697e-82 9.8671e-59 5.5124e-43 8.8548e-33 1.0053e-76 1.3674e-69 2.3593e-65 1.6651e-64 1.2778e-67 3.7115e-54 5.3623e-33 6.8181e-18 3.8191e-46 8.0417e-31 2.7289e-38 9.7046e-49 6.3255e-83 4.5023e-76 8.1171e-73 1.1056e-73 4.7981e-93 2.6947e-47 1.5934e-28 1.5249e-14 2.4625e-05 1.0658e-14 2.2228e-07 7.5153e-05 1.1794e-22 8.9603e-46 2.3881e-72
7.5973e-16 0.4622 1.0796e-24 4.8737e-07 1.2194e-31 5.018e-26 2.1249e-19 3.0846e-39 4.7088e-53 5.0726e-65 2.4101e-103 7.9716e-81 6.8622e-58 1.4615e-42 8.9495e-33 2.1007e-78 7.4952e-71 3.3923e-66 6.2803e-65 1.2643e-67 9.7358e-54 5.3623e-33 2.5992e-18 2.6419e-45 2.1207e-30 2.7435e-38 3.7193e-49 1.3218e-84 2.4679e-77 1.1671e-73 4.17e-74 4.7474e-93 4.9099e-46 1.1068e-27 4.0377e-14 2.4857e-05 4.1012e-15 8.4629e-08 7.5058e-05 3.0898e-22 6.1578e-45 4.3052e-71
1.5876e-17 0.51215 2.8365e-24 1.8549e-07 8.4352e-31 1.3212e-25 2.1292e-19 4.459e-40 1.7885e-53 5.0624e-65 1.1533e-101 1.4519e-79 4.7567e-57 3.8556e-42 8.9857e-33 4.3898e-80 4.1153e-72 4.894e-67 2.3806e-65 1.2592e-67 2.5581e-53 5.3623e-33 9.8922e-19 1.8276e-44 5.5835e-30 2.749e-38 1.4184e-49 2.7621e-86 1.355e-78 1.6838e-74 1.5806e-74 4.7282e-93 8.9381e-45 7.6682e-27 1.0647e-13 2.4946e-05 1.5664e-15 3.2193e-08 7.5022e-05 8.1145e-22 4.2492e-44 7.8057e-70
3.3175e-19 0.56213 7.4577e-24 7.0553e-08 5.8352e-30 3.4762e-25 2.1308e-19 6.4457e-41 6.7975e-54 5.0585e-65 5.5193e-100 2.6427e-78 3.2931e-56 1.0152e-41 8.9995e-33 9.1732e-82 2.2609e-73 7.0691e-68 9.0407e-66 1.2573e-67 6.7256e-53 5.3623e-33 3.7625e-19 1.2643e-43 1.4691e-29 2.7512e-38 5.399e-50 5.7719e-88 7.4445e-80 2.4321e-75 6.0028e-75 4.721e-93 1.6266e-43 5.3077e-26 2.803e-13 2.4979e-05 5.9661e-16 1.2243e-08 7.5008e-05 2.133e-21 2.9367e-43 1.4183e-68
6.9323e-21 0.61212 1.9612e-23 2.6829e-08 4.0367e-29 9.1442e-25 2.1314e-19 9.3177e-42 2.5841e-54 5.057e-65 2.6413e-98 4.809e-77 2.2787e-55 2.6714e-41 9.0048e-33 1.9169e-83 1.2424e-74 1.0216e-68 3.4358e-66 1.2565e-67 1.7687e-52 5.3623e-33 1.4307e-19 8.7461e-43 3.8645e-29 2.752e-38 2.0536e-50 1.2061e-89 4.091e-81 3.5148e-76 2.2813e-75 4.7182e-93 2.9597e-42 3.6725e-25 7.375e-13 2.4992e-05 2.2698e-16 4.655e-09 7.5003e-05 5.609e-21 2.0308e-42 2.5793e-67
