$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $W_{i}^{\times}$ $W_{i}^{\bullet}$ $W_{i}^{\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $W_{Sn}^{\times}$ $W_{Sn}^{\bullet}$ $W_{Sn}^{\bullet\bullet}$ $W_{Sn}^{'}$ $W_{Sn}^{''}$ $W_{Sn}^{'''}$ $W_{Sn}^{''''}$
1 1.8657 6.6378e-13 7.9269e-19 3.3609e-39 2.2495e-45 1.5492e-50 1.1191e-31 1.0504e-33 6.9576e-34 1.831e-118 9.8499e-108 1.379e-96 4.7766e-93 4.7571e-95 2.7651e-63 6.066e-44 1.6881e-27 1.9216e-14 2.3785e-05 5.9862e-42 5.3623e-33 4.2272e-30 7.2821e-53 9.5068e-50 2.0002e-69 4.4102e-92 1.7398e-69 1.9973e-50 5.8079e-35 1.2759e-23 8.9311e-31 1.8021e-119 1.1912e-110 2.162e-105 1.7451e-104 3.4756e-109 4.1742e-119 1.1569e-132 4.8594e-06 9.5141e-05 6.9841e-11 1.2982e-12 1.9612e-23 1.1859e-38 7.2608e-58
0.020896 1.9147 1.7138e-12 3.0702e-19 2.325e-38 6.0271e-45 1.6076e-50 1.6177e-32 3.9205e-34 6.7047e-34 8.7623e-117 1.8256e-106 9.8995e-96 1.3281e-92 5.1228e-95 5.7781e-65 3.2728e-45 2.3515e-28 6.9112e-15 2.2087e-05 1.5456e-41 5.3623e-33 1.6373e-30 5.0375e-52 2.5472e-49 2.0757e-69 1.7726e-92 3.6357e-71 1.0776e-51 8.0905e-36 4.5888e-24 8.2936e-31 2.0677e-117 5.2935e-109 3.7211e-104 1.1633e-103 8.9737e-109 4.1742e-119 4.4808e-133 1.1651e-05 8.8349e-05 2.5119e-11 8.0363e-12 3.1345e-22 4.8937e-37 7.7361e-56
0.00043666 1.9626 4.3271e-12 1.216e-19 1.6084e-37 1.6514e-44 1.7446e-50 2.3385e-33 1.4309e-34 6.1783e-34 4.1932e-115 3.4603e-105 7.4316e-95 3.9488e-92 6.0329e-95 1.2074e-66 1.7267e-46 3.1324e-29 2.3244e-15 1.8755e-05 3.9023e-41 5.3623e-33 6.4847e-31 3.4848e-51 6.979e-49 2.2525e-69 7.6187e-93 7.5973e-73 5.6854e-53 1.0777e-36 1.5433e-24 7.0425e-31 2.1214e-115 2.151e-107 5.989e-103 7.4159e-103 2.2657e-108 4.1742e-119 1.7747e-133 2.4979e-05 7.5021e-05 8.4481e-12 4.35e-11 4.2838e-21 1.6886e-35 6.7397e-54
9.1247e-06 2.0087 1.0541e-11 4.9915e-20 1.1126e-36 4.6893e-44 2.0336e-50 3.3805e-34 5.0389e-35 5.3003e-34 2.0066e-113 6.7974e-104 5.9926e-94 1.3071e-91 8.1971e-95 2.5231e-68 8.79e-48 3.8846e-30 7.0223e-16 1.3804e-05 9.5064e-41 5.3623e-33 2.6619e-31 2.4107e-50 1.9818e-48 2.6256e-69 3.6454e-93 1.5876e-74 2.8942e-54 1.3365e-37 4.6626e-25 5.1831e-31 1.8202e-113 7.5761e-106 8.6587e-102 4.4011e-102 5.5195e-108 4.1742e-119 7.285e-134 4.4785e-05 5.5214e-05 2.5523e-12 1.9e-10 4.5582e-20 4.3772e-34 4.256e-52
1.9067e-07 2.0526 2.4653e-11 2.1343e-20 7.6969e-36 1.387e-43 2.572e-50 4.8867e-35 1.7036e-35 4.1908e-34 9.6028e-112 1.3909e-102 5.243e-93 4.8897e-91 1.3112e-94 5.2724e-70 4.2958e-49 4.44e-31 1.8771e-16 8.6294e-06 2.2233e-40 5.3623e-33 1.1382e-31 1.6677e-49 5.8619e-48 3.3208e-69 1.9714e-93 3.3174e-76 1.4145e-55 1.5276e-38 1.2463e-25 3.2403e-31 1.2736e-111 2.2666e-104 1.1076e-100 2.4073e-101 1.2909e-107 4.1742e-119 3.115e-134 6.5481e-05 3.4518e-05 6.8226e-13 6.497e-10 3.6453e-19 8.1868e-33 1.8617e-50
3.9844e-09 2.0948 5.5774e-11 9.434e-21 5.3245e-35 4.2413e-43 3.4762e-50 7.064e-36 5.5713e-36 3.1007e-34 4.5954e-110 2.9421e-101 4.9022e-92 2.0208e-90 2.3953e-94 1.1017e-71 2.0308e-50 4.7487e-32 4.542e-17 4.7239e-06 5.0299e-40 5.3623e-33 5.031e-32 1.1536e-48 1.7924e-47 4.4883e-69 1.1778e-93 6.9323e-78 6.6869e-57 1.6338e-39 3.0157e-26 1.7738e-31 7.5485e-110 5.9381e-103 1.2827e-99 1.2322e-100 2.9207e-107 4.1746e-119 1.377e-134 8.1101e-05 1.8897e-05 1.651e-13 1.8205e-09 2.3108e-18 1.1741e-31 6.0402e-49
8.3261e-11 2.1359 1.2356e-10 4.2583e-21 3.6833e-34 1.3243e-42 4.8996e-50 1.0212e-36 1.7842e-36 2.1999e-34 2.1991e-108 6.3552e-100 4.7797e-91 8.8938e-90 4.7583e-94 2.3023e-73 9.4016e-52 4.8704e-33 1.032e-17 2.3779e-06 1.1143e-39 5.3623e-33 2.2709e-32 7.9806e-48 5.597e-47 6.3261e-69 7.4929e-94 1.4486e-79 3.0956e-58 1.6757e-40 6.8523e-27 8.9289e-32 4.03e-108 1.431e-101 1.3952e-98 6.0501e-100 6.473e-107 4.1762e-119 6.2179e-135 9.0479e-05 9.5163e-06 3.7527e-14 4.4995e-09 1.2653e-17 1.4243e-30 1.6233e-47
1.7399e-12 2.1765 2.7059e-10 1.9445e-21 2.548e-33 4.1834e-42 7.0674e-50 1.4761e-37 5.6483e-37 1.5251e-34 1.0524e-106 1.3887e-98 4.7694e-90 4.0525e-89 9.9004e-94 4.8109e-75 4.3024e-53 4.8809e-34 2.2649e-18 1.1429e-06 2.4403e-39 5.3623e-33 1.037e-32 5.5207e-47 1.768e-46 9.125e-69 4.9353e-94 3.0271e-81 1.4166e-59 1.6793e-41 1.5039e-27 4.2914e-32 2.0336e-106 3.2974e-100 1.4681e-97 2.9069e-99 1.4202e-106 4.1839e-119 2.8445e-135 9.5407e-05 4.5822e-06 8.2512e-15 1.039e-08 6.3988e-17 1.5773e-29 3.937e-46
3.6357e-14 2.2166 5.8845e-10 8.9416e-22 1.7627e-32 1.3308e-41 1.0338e-49 2.1338e-38 1.7756e-37 1.0426e-34 5.0362e-105 3.056e-97 4.8262e-89 1.8857e-88 2.1184e-93 1.0053e-76 1.9551e-54 4.8235e-35 4.8675e-19 5.3413e-07 5.3069e-39 5.3623e-33 4.7684e-33 3.8191e-46 5.6241e-46 1.3348e-68 3.3197e-94 6.3255e-83 6.4376e-61 1.6595e-42 3.2319e-28 2.0056e-32 9.9776e-105 7.4393e-99 1.5231e-96 1.3868e-98 3.1155e-106 4.2206e-119 1.3195e-135 9.7817e-05 2.1603e-06 1.7888e-15 2.3166e-08 3.1025e-16 1.6632e-28 9.0274e-45
7.5973e-16 2.2563 1.2679e-09 4.1498e-22 1.2194e-31 4.2725e-41 1.5404e-49 3.0846e-39 5.5305e-38 6.9974e-35 2.4101e-103 6.7873e-96 4.9747e-88 9.0207e-88 4.7033e-93 2.1007e-78 8.803e-56 4.6795e-36 1.0175e-19 2.4058e-07 1.1435e-38 5.3623e-33 2.213e-33 2.6419e-45 1.8056e-45 1.9889e-68 2.2957e-94 1.3218e-84 2.8985e-62 1.61e-43 6.7559e-29 9.0334e-33 4.8294e-103 1.6711e-97 1.5879e-95 6.71e-98 6.9961e-106 4.3987e-119 6.3823e-136 9.8935e-05 1.0141e-06 3.897e-16 5.0487e-08 1.4569e-15 1.6828e-27 1.9681e-43
