$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Co_{i}^{\times}$ $Co_{i}^{\bullet}$ $Co_{i}^{\bullet\bullet}$ $Co_{i}^{\bullet\bullet\bullet}$ $Co_{i}^{\bullet\bullet\bullet\bullet}$ $Co_{Sn}^{\times}$ $Co_{Sn}^{'}$ $Co_{Sn}^{''}$ $Co_{Sn}^{'''}$ $Co_{Sn}^{''''}$
1 0.09808 3.7874e-15 0.0042113 8.1987e-20 1.7791e-15 1.2383e-10 4.731e-16 1.7281e-24 5.3025e-32 1.9136e-59 1.1772e-46 1.1683e-33 1.8238e-24 4.8275e-18 5.2584e-32 9.2857e-30 5.8403e-29 7.429e-30 9.8542e-33 1.3045e-28 1.0356e-16 7.7122e-08 1.2068e-26 1.1566e-17 4.4496e-20 5.5417e-24 4.1711e-35 5.3283e-33 1.0833e-32 1.9143e-34 1.9095e-45 1.5575e-29 7.9099e-19 1.616e-10 0.00013563 5.8929e-08 0.0052458 0.0046185 2.7703e-13 3.6562e-26 9.038e-41
0.14456 0.11797 4.5907e-15 0.0035324 2.1564e-19 3.8604e-15 2.2169e-10 1.7987e-16 7.9638e-25 2.9619e-32 1.3238e-58 6.7187e-46 5.5011e-33 7.0847e-24 1.5471e-17 7.6014e-33 1.627e-30 1.2404e-29 1.9124e-30 3.0747e-33 1.5812e-28 1.0356e-16 6.3627e-08 3.1741e-26 2.5096e-17 7.9657e-20 8.1848e-24 6.0296e-36 9.3361e-34 2.3007e-33 4.9278e-35 5.9581e-46 9.4754e-29 3.9701e-18 6.6917e-10 0.00046334 1.6609e-07 0.0046133 0.0049232 3.5794e-13 5.726e-26 1.7156e-40
0.020896 0.15217 6.3901e-15 0.0025969 5.6716e-19 7.2943e-15 3.0093e-10 6.8389e-17 4.2147e-25 2.182e-32 9.1577e-58 3.339e-45 1.9641e-32 1.8172e-23 2.8509e-17 1.0988e-33 3.2738e-31 3.4741e-30 7.456e-31 1.6686e-33 2.201e-28 1.0356e-16 4.571e-08 8.3484e-26 4.742e-17 1.0813e-19 7.9818e-24 8.7162e-37 1.8786e-34 6.444e-34 1.9212e-35 3.2334e-46 5.1796e-28 1.5591e-17 1.8879e-09 0.00093911 2.4184e-07 0.0036454 0.0054152 5.4803e-13 1.2203e-25 5.0896e-40
0.0030207 0.19438 9.611e-15 0.0017628 1.4917e-18 1.2756e-14 3.4989e-10 2.6002e-17 2.4102e-25 1.8767e-32 6.3351e-57 1.5358e-44 6.0062e-32 3.6947e-23 3.8539e-17 1.5884e-34 7.1179e-32 1.136e-30 3.6671e-31 1.2343e-33 3.3104e-28 1.0356e-16 3.0391e-08 2.1958e-25 8.2925e-17 1.2572e-19 6.1703e-24 1.26e-37 4.0844e-35 2.1072e-34 9.4492e-36 2.3919e-46 2.6154e-27 5.2343e-17 4.2142e-09 0.0013938 2.3864e-07 0.0026609 0.0059451 9.0491e-13 3.0307e-25 1.9011e-39
0.00043666 0.24038 1.4996e-14 0.0011473 3.9235e-18 2.1502e-14 3.7799e-10 9.8861e-18 1.4298e-25 1.7371e-32 4.3824e-56 6.8089e-44 1.7066e-31 6.7282e-23 4.4979e-17 2.2962e-35 1.6055e-32 3.9982e-31 2.0137e-31 1.0576e-33 5.1653e-28 1.0356e-16 1.9478e-08 5.7752e-25 1.3978e-16 1.3582e-19 4.2721e-24 1.8214e-38 9.2125e-36 7.4161e-35 5.1889e-36 2.0494e-46 1.2499e-26 1.6031e-16 8.272e-09 0.0017534 1.924e-07 0.0018382 0.0064082 1.5219e-12 7.9533e-25 7.7844e-39
6.3122e-05 0.28823 2.382e-14 0.00072997 1.0319e-17 3.5604e-14 3.9404e-10 3.7587e-18 8.6349e-26 1.6664e-32 3.0316e-55 2.9654e-43 4.6793e-31 1.1614e-22 4.888e-17 3.3192e-36 3.6864e-33 1.4582e-31 1.1666e-31 9.7322e-34 8.2046e-28 1.0356e-16 1.2262e-08 1.519e-24 2.3146e-16 1.4159e-19 2.8038e-24 2.6329e-39 2.1153e-36 2.7048e-35 3.006e-36 1.8859e-46 5.7475e-26 4.641e-16 1.5076e-08 0.0020118 1.3899e-07 0.0012219 0.0067661 2.5525e-12 2.1187e-24 3.2939e-38
9.1247e-06 0.33703 3.8183e-14 0.00045853 2.7142e-17 5.8419e-14 4.0334e-10 1.4291e-18 5.2626e-26 1.628e-32 2.0972e-54 1.2797e-42 1.2598e-30 1.9506e-22 5.1215e-17 4.7982e-37 8.5421e-34 5.4163e-32 6.9459e-32 9.2885e-34 1.3152e-27 1.0356e-16 7.6498e-09 3.9951e-24 3.7978e-16 1.4493e-19 1.7904e-24 3.8061e-40 4.9016e-37 1.0047e-35 1.7898e-36 1.7999e-46 2.5739e-25 1.2966e-15 2.6276e-08 0.0021875 9.4274e-08 0.00079104 0.0070214 4.2459e-12 5.6494e-24 1.4079e-37
1.319e-06 0.38633 6.1507e-14 0.0002859 7.1387e-17 9.5384e-14 4.0882e-10 5.4335e-19 3.2231e-26 1.6061e-32 1.4508e-53 5.4957e-42 3.3584e-30 3.2282e-22 5.2616e-17 6.9361e-38 1.9891e-34 2.0317e-32 4.197e-32 9.0411e-34 2.1186e-27 1.0356e-16 4.7489e-09 1.0508e-23 6.2009e-16 1.469e-19 1.1266e-24 5.5019e-41 1.1414e-37 3.7685e-36 1.0815e-36 1.7519e-46 1.1326e-24 3.5417e-15 4.4556e-08 0.0023026 6.1605e-08 0.00050315 0.0071941 7.0078e-12 1.502e-23 6.0298e-37
1.9067e-07 0.43591 9.9354e-14 0.00017748 1.8776e-16 1.5531e-13 4.121e-10 2.0658e-19 1.9795e-26 1.5933e-32 1.0036e-52 2.3536e-41 8.904e-30 5.2985e-22 5.3463e-17 1.0027e-38 4.6447e-35 7.6632e-33 2.5571e-32 8.8978e-34 3.4222e-27 1.0356e-16 2.9399e-09 2.7637e-23 1.0097e-15 1.4808e-19 7.0302e-25 7.9533e-42 2.6652e-38 1.4214e-36 6.5891e-37 1.7242e-46 4.9264e-24 9.5374e-15 7.4279e-08 0.0023764 3.936e-08 0.00031638 0.0073071 1.1498e-11 3.9807e-23 2.5813e-36
2.7563e-08 0.48567 1.6074e-13 0.00010989 4.9383e-16 2.5248e-13 4.1408e-10 7.8544e-20 1.2176e-26 1.5857e-32 6.9427e-52 1.0063e-40 2.3531e-29 8.6549e-22 5.3978e-17 1.4494e-39 1.0863e-35 2.8997e-33 1.5655e-32 8.813e-34 5.5367e-27 1.0356e-16 1.8171e-09 7.269e-23 1.6414e-15 1.4879e-19 4.3661e-25 1.1497e-42 6.2333e-39 5.3785e-37 4.0338e-37 1.7077e-46 2.1273e-23 2.5454e-14 1.2253e-07 0.002423 2.4805e-08 0.00019748 0.0073793 1.8786e-11 1.0523e-22 1.104e-35
