$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Co_{i}^{\times}$ $Co_{i}^{\bullet}$ $Co_{i}^{\bullet\bullet}$ $Co_{i}^{\bullet\bullet\bullet}$ $Co_{i}^{\bullet\bullet\bullet\bullet}$ $Co_{Sn}^{\times}$ $Co_{Sn}^{'}$ $Co_{Sn}^{''}$ $Co_{Sn}^{'''}$ $Co_{Sn}^{''''}$
1 0.036398 2.8619e-28 0.0015972 3.3609e-39 5.2174e-30 8.3339e-20 1.1191e-31 4.5289e-49 1.2933e-64 1.831e-118 2.2846e-92 7.4184e-66 5.9598e-47 1.3767e-33 2.7651e-63 2.6153e-59 3.138e-58 1.5401e-60 8.219e-67 2.5809e-57 5.3623e-33 9.8046e-15 7.2821e-53 2.205e-34 1.076e-38 5.5027e-46 1.7398e-69 8.6114e-66 1.0796e-65 1.0226e-69 3.0861e-92 3.5344e-56 3.0054e-34 4.1358e-17 9.6044e-05 5.9777e-11 0.0080186 0.0018853 2.0574e-24 1.087e-50 2.0147e-80
0.020896 0.067324 5.205e-28 0.00093101 2.325e-38 1.9845e-29 1.7429e-19 1.6177e-32 1.1907e-49 6.1843e-65 8.7623e-117 6.0112e-91 1.0733e-64 4.7408e-46 6.0212e-33 5.7781e-65 9.9396e-61 2.169e-59 1.9361e-61 1.8792e-67 4.694e-57 5.3623e-33 5.3909e-15 5.0375e-52 8.3869e-34 2.2503e-38 6.3275e-46 3.6357e-71 3.2728e-67 7.4626e-67 1.2855e-70 7.0561e-93 1.3851e-54 6.4756e-33 4.8998e-16 0.00062564 2.141e-10 0.0065664 0.0028079 5.573e-24 5.3551e-50 1.8051e-79
0.00043666 0.11335 1.2676e-27 0.0004006 1.6084e-37 5.637e-29 2.0329e-19 2.3385e-33 4.1918e-50 5.3022e-65 4.1932e-115 1.1812e-89 8.6596e-64 1.5707e-45 8.1913e-33 1.2074e-66 5.0584e-62 2.6882e-60 5.8437e-62 1.3813e-67 1.1432e-56 5.3623e-33 2.2136e-15 3.4848e-51 2.3823e-33 2.6247e-38 3.0304e-46 7.5973e-73 1.6655e-68 9.2489e-68 3.8801e-71 5.1868e-93 4.2825e-53 8.2213e-32 2.5543e-15 0.0013392 1.8818e-10 0.0042426 0.0044182 2.1356e-23 4.9976e-49 4.1027e-78
9.1247e-06 0.16247 3.278e-27 0.00015828 1.1126e-36 1.508e-28 2.103e-19 3.3805e-34 1.5669e-50 5.1254e-65 2.0066e-113 2.1859e-88 6.1971e-63 4.3467e-45 8.7662e-33 2.5231e-68 2.7334e-63 3.7564e-61 2.1116e-62 1.2907e-67 2.9562e-56 5.3623e-33 8.5601e-16 2.4107e-50 6.373e-33 2.7153e-38 1.2123e-46 1.5876e-74 9.0001e-70 1.2924e-68 1.402e-71 4.8466e-93 1.0578e-51 7.853e-31 9.4351e-15 0.001913 1.0395e-10 0.0021898 0.0058972 7.3711e-23 4.4606e-48 9.4691e-77
1.9067e-07 0.21223 8.5824e-27 6.0976e-05 7.6969e-36 3.9843e-28 2.1222e-19 4.8867e-35 5.9305e-51 5.079e-65 9.6028e-112 3.9953e-87 4.3262e-62 1.159e-44 8.9271e-33 5.2724e-70 1.4955e-64 5.381e-62 7.9196e-63 1.2675e-67 7.7399e-56 5.3623e-33 3.2694e-16 1.6677e-49 1.6838e-32 2.7401e-38 4.6726e-47 3.3174e-76 4.9241e-71 1.8513e-69 5.2584e-72 4.7593e-93 2.227e-50 6.3146e-30 2.8977e-14 0.0022439 4.657e-11 0.00096338 0.0067927 2.223e-22 3.5221e-47 1.9576e-75
3.9844e-09 0.26216 2.254e-26 2.3295e-05 5.3245e-35 1.0495e-27 2.1283e-19 7.064e-36 2.2516e-51 5.0643e-65 4.5954e-110 7.2799e-86 3.0014e-61 3.0615e-44 8.9789e-33 1.1017e-71 8.2074e-66 7.7561e-63 2.9981e-63 1.2602e-67 2.0328e-55 5.3623e-33 1.2449e-16 1.1536e-48 4.4352e-32 2.748e-38 1.7843e-47 6.9323e-78 2.7024e-72 2.6685e-70 1.9906e-72 4.7318e-93 4.3093e-49 4.6524e-29 8.1288e-14 0.0023968 1.894e-11 0.00038955 0.0072137 6.2001e-22 2.58e-46 3.7662e-74
8.3261e-11 0.31213 5.9255e-26 8.8728e-06 3.6833e-34 2.7616e-27 2.1305e-19 1.0212e-36 8.5562e-52 5.0592e-65 2.1991e-108 1.3252e-84 2.0784e-60 8.0645e-44 8.9972e-33 2.3023e-73 4.5086e-67 1.12e-63 1.1381e-63 1.2576e-67 5.3438e-55 5.3623e-33 4.7354e-17 7.9806e-48 1.1671e-31 2.7508e-38 6.7942e-48 1.4486e-79 1.4845e-73 3.8535e-71 7.5569e-73 4.7222e-93 8.0346e-48 3.2997e-28 2.1931e-13 0.0024598 7.3942e-12 0.00015177 0.0073884 1.6694e-21 1.8261e-45 7.0078e-73
1.7399e-12 0.36212 1.5582e-25 3.3758e-06 2.548e-33 7.2649e-27 2.1313e-19 1.4761e-37 3.2525e-52 5.0573e-65 1.0524e-106 2.4117e-83 1.4383e-59 2.1223e-43 9.0039e-33 4.8109e-75 2.4775e-68 1.6185e-64 4.3248e-64 1.2567e-67 1.4052e-54 5.3623e-33 1.8008e-17 5.5207e-47 3.0703e-31 2.7518e-38 2.5846e-48 3.0271e-81 8.1576e-75 5.5685e-72 2.8716e-73 4.7187e-93 1.4757e-46 2.3047e-27 5.8253e-13 0.0024846 2.8402e-12 5.8252e-05 0.0074572 4.4308e-21 1.2746e-44 1.2862e-71
3.6357e-14 0.41212 4.098e-25 1.2838e-06 1.7627e-32 1.9109e-26 2.1316e-19 2.1338e-38 1.2365e-52 5.0566e-65 5.0362e-105 4.3883e-82 9.9513e-59 5.5831e-43 9.0065e-33 1.0053e-76 1.3616e-69 2.3393e-65 1.644e-64 1.2563e-67 3.6957e-54 5.3623e-33 6.8471e-18 3.8191e-46 8.0759e-31 2.7522e-38 9.829e-49 6.3255e-83 4.4832e-76 8.0484e-73 1.0916e-73 4.7173e-93 2.6948e-45 1.6002e-26 1.5379e-12 0.0024941 1.0841e-12 2.2228e-05 0.0074836 1.1694e-20 8.8471e-44 2.348e-70
7.5973e-16 0.46212 1.0778e-24 4.8816e-07 1.2194e-31 5.0261e-26 2.1317e-19 3.0846e-39 4.7013e-53 5.0563e-65 2.4101e-103 7.9845e-81 6.8844e-58 1.4686e-42 9.0074e-33 2.1007e-78 7.4831e-71 3.3814e-66 6.25e-65 1.2562e-67 9.7201e-54 5.3623e-33 2.6034e-18 2.6419e-45 2.1241e-30 2.7524e-38 3.7374e-49 1.3218e-84 2.4639e-77 1.1634e-73 4.1498e-74 4.7168e-93 4.9099e-44 1.1086e-25 4.0507e-12 0.0024978 4.1278e-13 8.4629e-06 0.0074938 3.0798e-20 6.1282e-43 4.2775e-69
