$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Mo_{i}^{\times}$ $Mo_{i}^{\bullet}$ $Mo_{i}^{\bullet\bullet}$ $Mo_{i}^{\bullet\bullet\bullet}$ $Mo_{i}^{\bullet\bullet\bullet\bullet}$ $Mo_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Mo_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $Mo_{Sn}^{\times}$ $Mo_{Sn}^{\bullet}$ $Mo_{Sn}^{\bullet\bullet}$ $Mo_{Sn}^{'}$ $Mo_{Sn}^{''}$ $Mo_{Sn}^{'''}$ $Mo_{Sn}^{''''}$
1 1.6151 8.9046e-09 1.9892e-09 8.1987e-20 7.5669e-22 2.2402e-23 4.731e-16 4.0629e-18 2.9311e-19 1.9136e-59 5.0071e-53 2.1136e-46 1.4033e-43 1.5799e-43 5.2584e-32 2.1832e-23 3.2283e-16 9.655e-11 3.011e-07 3.0671e-22 1.0356e-16 3.2802e-14 1.2068e-26 4.9192e-24 8.0496e-33 4.2641e-43 4.1711e-35 1.2528e-26 5.9881e-20 2.4879e-15 5.8346e-20 9.0492e-53 1.8769e-47 5.2893e-45 7.432e-47 4.7776e-48 1.5949e-56 1.059e-64 0.0099934 3.8869e-06 6.7603e-10 2.6766e-06 7.672e-13 1.9814e-21 2.1768e-31
0.14456 1.6294 1.0227e-08 1.7321e-09 2.1564e-19 1.7329e-21 4.4672e-23 1.7987e-16 1.7741e-18 1.4699e-19 1.3238e-58 3.016e-52 1.1085e-45 6.4086e-43 6.2823e-43 7.6014e-33 3.6245e-24 6.1553e-17 2.1142e-11 7.5722e-08 3.5225e-22 1.0356e-16 2.8562e-14 3.1741e-26 1.1266e-23 1.6052e-32 7.4038e-43 6.0296e-36 2.0798e-27 1.1417e-20 5.4477e-16 1.4673e-20 6.26e-52 1.1306e-46 2.7742e-44 3.3941e-46 1.8998e-47 5.5223e-56 3.1927e-64 0.0099935 3.3845e-06 5.1255e-10 3.074e-06 1.0119e-12 3.0014e-21 3.7869e-31
0.020896 1.6335 1.0633e-08 1.6659e-09 5.6716e-19 4.3839e-21 1.0869e-22 6.8389e-17 7.0129e-19 6.041e-20 9.1577e-58 2.0068e-51 7.0941e-45 3.9447e-42 3.7193e-42 1.0988e-33 5.4474e-25 9.6183e-18 3.4347e-12 1.279e-08 3.6623e-22 1.0356e-16 2.7471e-14 8.3484e-26 2.8499e-23 3.9056e-32 1.7327e-42 8.7162e-37 3.1258e-28 1.7841e-21 8.8505e-17 2.4784e-21 4.3305e-51 7.5223e-46 1.7754e-43 2.0892e-45 1.1247e-46 3.1445e-55 1.7486e-63 0.0099935 3.2552e-06 4.7416e-10 3.1961e-06 1.0939e-12 3.3732e-21 4.4249e-31
0.0030207 1.6342 1.0704e-08 1.6548e-09 1.4917e-18 1.1453e-20 2.8205e-22 2.6002e-17 2.6844e-19 2.328e-20 6.3351e-57 1.3789e-50 4.8418e-44 2.6742e-41 2.5045e-41 1.5884e-34 7.9278e-26 1.4093e-18 5.0665e-13 1.8994e-09 3.6871e-22 1.0356e-16 2.7287e-14 2.1958e-25 7.4454e-23 1.0135e-31 4.466e-42 1.26e-37 4.5491e-29 2.614e-22 1.3055e-17 3.6806e-22 2.9957e-50 5.1688e-45 1.2117e-42 1.4163e-44 7.5737e-46 2.1032e-54 1.1617e-62 0.0099935 3.2334e-06 4.6781e-10 3.2177e-06 1.1087e-12 3.4421e-21 4.5458e-31
0.00043666 1.6343 1.0715e-08 1.6531e-09 3.9235e-18 3.0092e-20 7.4036e-22 9.8861e-18 1.0216e-19 8.8689e-21 4.3824e-56 9.5292e-50 3.3427e-43 1.8444e-40 1.7256e-40 2.2962e-35 1.1472e-26 2.0413e-19 7.3461e-14 2.7568e-10 3.6908e-22 1.0356e-16 2.7259e-14 5.7752e-25 1.9563e-22 2.6603e-31 1.1711e-41 1.8214e-38 6.5826e-30 3.7863e-23 1.8929e-18 5.342e-23 2.0724e-49 3.572e-44 8.3654e-42 9.768e-44 5.2183e-45 1.4477e-53 7.9881e-62 0.0099935 3.2301e-06 4.6687e-10 3.2209e-06 1.1109e-12 3.4525e-21 4.5641e-31
6.3122e-05 1.6343 1.0717e-08 1.6529e-09 1.0319e-17 7.9136e-20 1.9467e-21 3.7587e-18 3.8849e-20 3.373e-21 3.0316e-55 6.5911e-49 2.3117e-42 1.2753e-39 1.193e-39 3.3192e-36 1.6585e-27 2.9516e-20 1.0624e-14 3.9875e-11 3.6913e-22 1.0356e-16 2.7255e-14 1.519e-24 5.1446e-22 6.9949e-31 3.0788e-41 2.6329e-39 9.5169e-31 5.4749e-24 2.7375e-19 7.7267e-24 1.4336e-48 2.4707e-43 5.7853e-41 6.7543e-43 3.6078e-44 1.0007e-52 5.5211e-61 0.0099935 3.2297e-06 4.6674e-10 3.2214e-06 1.1113e-12 3.454e-21 4.5668e-31
9.1247e-06 1.6343 1.0717e-08 1.6528e-09 2.7142e-17 2.0814e-19 5.1199e-21 1.4291e-18 1.4771e-20 1.2825e-21 2.0972e-54 4.5594e-48 1.5991e-41 8.8218e-39 8.2522e-39 4.7982e-37 2.3976e-28 4.2669e-21 1.5358e-15 5.7646e-12 3.6914e-22 1.0356e-16 2.7255e-14 3.9951e-24 1.3531e-21 1.8397e-30 8.0972e-41 3.8061e-40 1.3758e-31 7.9146e-25 3.9575e-20 1.117e-24 9.9173e-48 1.7091e-42 4.0019e-40 4.6721e-42 2.4955e-43 6.922e-52 3.8188e-60 0.0099935 3.2296e-06 4.6672e-10 3.2214e-06 1.1113e-12 3.4542e-21 4.5672e-31
1.319e-06 1.6343 1.0717e-08 1.6528e-09 7.1387e-17 5.4743e-19 1.3466e-20 5.4335e-19 5.616e-21 4.8761e-22 1.4508e-53 3.1541e-47 1.1062e-40 6.1026e-38 5.7086e-38 6.9361e-38 3.4658e-29 6.1682e-22 2.2202e-16 8.3332e-13 3.6914e-22 1.0356e-16 2.7255e-14 1.0508e-23 3.5588e-21 4.8387e-30 2.1297e-40 5.5019e-41 1.9888e-32 1.1441e-25 5.7209e-21 1.6148e-25 6.8605e-47 1.1823e-41 2.7684e-39 3.232e-41 1.7263e-42 4.7884e-51 2.6417e-59 0.0099935 3.2296e-06 4.6671e-10 3.2214e-06 1.1113e-12 3.4542e-21 4.5672e-31
1.9067e-07 1.6343 1.0717e-08 1.6528e-09 1.8776e-16 1.4398e-18 3.5418e-20 2.0658e-19 2.1352e-21 1.8539e-22 1.0036e-52 2.1819e-46 7.6525e-40 4.2216e-37 3.949e-37 1.0027e-38 5.0101e-30 8.9165e-23 3.2094e-17 1.2046e-13 3.6914e-22 1.0356e-16 2.7255e-14 2.7637e-23 9.3602e-21 1.2726e-29 5.6014e-40 7.9533e-42 2.8749e-33 1.6539e-26 8.2699e-22 2.3343e-26 4.7459e-46 8.1789e-41 1.9151e-38 2.2358e-40 1.1942e-41 3.3125e-50 1.8275e-58 0.0099935 3.2296e-06 4.6671e-10 3.2215e-06 1.1113e-12 3.4542e-21 4.5673e-31
2.7563e-08 1.6343 1.0717e-08 1.6528e-09 4.9383e-16 3.787e-18 9.3154e-20 7.8544e-20 8.1182e-22 7.0487e-23 6.9427e-52 1.5094e-45 5.2938e-39 2.9204e-36 2.7318e-36 1.4494e-39 7.2424e-31 1.2889e-23 4.6394e-18 1.7413e-14 3.6914e-22 1.0356e-16 2.7255e-14 7.269e-23 2.4619e-20 3.3473e-29 1.4733e-39 1.1497e-42 4.1558e-34 2.3908e-27 1.1955e-22 3.3743e-27 3.2831e-45 5.6579e-40 1.3248e-37 1.5467e-39 8.2613e-41 2.2915e-49 1.2642e-57 0.0099935 3.2296e-06 4.6671e-10 3.2215e-06 1.1113e-12 3.4542e-21 4.5673e-31
