$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $F_{i}^{'}$ $F_{i}^{\times}$ $F_{i}^{\bullet}$ $F_{O}^{\times}$ $F_{O}^{\bullet}$
1 1.9257 2.1176e-12 2.4847e-19 3.3609e-39 7.0511e-46 1.5221e-51 1.1191e-31 3.3511e-33 7.0813e-33 1.831e-118 3.0875e-108 1.3549e-97 1.4711e-94 4.5924e-97 2.7651e-63 1.9352e-43 1.7181e-26 6.2393e-13 0.0024638 1.9097e-41 5.3623e-33 1.325e-30 7.2821e-53 2.98e-50 1.9653e-70 1.3583e-93 1.7398e-69 6.372e-50 5.9112e-34 4.1427e-22 9.2514e-29 3.2648e-06 3.1188e-18 8.9209e-33 0.00013822 0.0098585
0.020896 1.9754 5.539e-12 9.4993e-20 2.325e-38 1.8648e-45 1.539e-51 1.6177e-32 1.2671e-33 7.0035e-33 8.7623e-117 5.6487e-107 9.4771e-97 3.9338e-94 4.695e-97 5.7781e-65 1.0578e-44 2.4564e-27 2.3332e-13 0.00241 4.9953e-41 5.3623e-33 5.0658e-31 5.0375e-52 7.8811e-50 1.9871e-70 5.2504e-94 3.6357e-71 3.4828e-51 8.4511e-35 1.5492e-22 9.0494e-29 3.1584e-06 1.1535e-18 1.2614e-33 0.00035364 0.0096432
0.00043666 2.0247 1.437e-11 3.6615e-20 1.6084e-37 4.9725e-45 1.5818e-51 2.3385e-33 4.752e-34 6.8141e-33 4.1932e-115 1.0419e-105 6.7382e-96 1.0781e-93 4.9596e-97 1.2074e-66 5.7344e-46 3.4548e-28 8.5137e-14 0.0022814 1.296e-40 5.3623e-33 1.9526e-31 3.4848e-51 2.1015e-49 2.0423e-70 2.08e-94 7.5973e-73 1.8881e-52 1.1886e-35 5.6529e-23 8.5665e-29 2.909e-06 4.0951e-19 1.7261e-34 0.00086851 0.0091286
9.1247e-06 2.073 3.6623e-11 1.4367e-20 1.1126e-36 1.3497e-44 1.6848e-51 3.3805e-34 1.7506e-34 6.3976e-33 2.0066e-113 1.9565e-104 4.9648e-95 3.1169e-93 5.6264e-97 2.5231e-68 3.0538e-47 4.6888e-29 2.9447e-14 0.002011 3.3027e-40 5.3623e-33 7.6618e-32 2.4107e-50 5.7043e-49 2.1753e-70 8.6931e-95 1.5876e-74 1.0055e-53 1.6132e-36 1.9552e-23 7.5513e-29 2.4075e-06 1.3298e-19 2.1995e-35 0.001951 0.0080466
1.9067e-07 2.1198 9.0441e-11 5.8178e-21 7.6969e-36 3.7809e-44 1.9111e-51 4.8867e-35 6.2496e-35 5.6401e-33 9.6028e-112 3.7914e-103 3.8958e-94 9.9038e-93 7.2392e-97 5.2724e-70 1.5759e-48 5.9755e-30 9.2677e-15 0.001563 8.1563e-40 5.3623e-33 3.1025e-32 1.6677e-49 1.5979e-48 2.4675e-70 3.9929e-95 3.3174e-76 5.189e-55 2.0559e-37 6.1535e-24 5.869e-29 1.6495e-06 3.6896e-20 2.4711e-36 0.0037446 0.0062537
3.9844e-09 2.1644 2.1447e-10 2.4534e-21 5.3245e-35 1.103e-43 2.351e-51 7.064e-36 2.1423e-35 4.5847e-33 4.5954e-110 7.6512e-102 3.3154e-93 3.5543e-92 1.0956e-96 1.1017e-71 7.8091e-50 7.0215e-31 2.5824e-15 0.0010328 1.9341e-39 5.3623e-33 1.3083e-32 1.1536e-48 4.6614e-48 3.0355e-70 2.0714e-95 6.9323e-78 2.5713e-56 2.4158e-38 1.7146e-24 3.878e-29 8.8594e-07 8.3565e-21 2.3602e-37 0.0058671 0.004132
8.3261e-11 2.2072 4.9015e-10 1.0735e-21 3.6833e-34 3.3386e-43 3.1137e-51 1.0212e-36 7.0776e-36 3.4617e-33 2.1991e-108 1.6021e-100 3.0375e-92 1.4248e-91 1.9217e-96 2.3023e-73 3.7294e-51 7.6638e-32 6.4418e-16 0.00058879 4.4203e-39 5.3623e-33 5.7247e-33 7.9806e-48 1.4109e-47 4.0202e-70 1.2004e-95 1.4486e-79 1.228e-57 2.6367e-39 4.2772e-25 2.2109e-29 3.8134e-07 1.5739e-21 1.9449e-38 0.0076441 0.0023555
1.7399e-12 2.2486 1.0925e-09 4.8164e-22 2.548e-33 1.0362e-42 4.336e-51 1.4761e-37 2.2803e-36 2.4858e-33 1.0524e-106 3.4398e-99 2.9262e-91 6.1584e-91 3.7267e-96 4.8109e-75 1.737e-52 7.9555e-33 1.4904e-16 0.00030362 9.8521e-39 5.3623e-33 2.5685e-33 5.5207e-47 4.3792e-47 5.5984e-70 7.5001e-96 3.0271e-81 5.7193e-59 2.7371e-40 9.8959e-26 1.1401e-29 1.4121e-07 2.6147e-22 1.4498e-39 0.0087852 0.0012146
3.6357e-14 2.2893 2.4007e-09 2.1917e-22 1.7627e-32 3.2619e-42 6.2112e-51 2.1338e-38 7.2439e-37 1.7353e-33 5.0362e-105 7.4908e-98 2.8997e-90 2.777e-90 7.6471e-96 1.0053e-76 7.9763e-54 8.0282e-34 3.3052e-17 0.00014796 2.165e-38 5.3623e-33 1.1688e-33 3.8191e-46 1.3786e-46 8.0196e-70 4.889e-96 6.3255e-83 2.6263e-60 2.7621e-41 2.1945e-26 5.5559e-30 4.8036e-08 4.0477e-23 1.0213e-40 0.009408 0.00059191
7.5973e-16 2.3297 5.2379e-09 1.0045e-22 1.2194e-31 1.0342e-41 9.0263e-51 3.0846e-39 2.2847e-37 1.1941e-33 2.4101e-103 1.643e-96 2.915e-89 1.2796e-89 1.6149e-95 2.1007e-78 3.6366e-55 7.9859e-35 7.1732e-18 7.0064e-05 4.7237e-38 5.3623e-33 5.357e-34 2.6419e-45 4.3709e-46 1.1654e-69 3.2563e-96 1.3218e-84 1.1974e-61 2.7476e-42 4.7628e-27 2.6309e-30 1.5652e-08 6.0451e-24 6.9906e-42 0.0097197 0.00028028
