$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Ti_{i}^{\times}$ $Ti_{i}^{\bullet}$ $Ti_{i}^{\bullet\bullet}$ $Ti_{i}^{\bullet\bullet\bullet}$ $Ti_{i}^{\bullet\bullet\bullet\bullet}$ $Ti_{Sn}^{\times}$ $Ti_{Sn}^{'}$ $Ti_{Sn}^{''}$ $Ti_{Sn}^{'''}$ $Ti_{Sn}^{''''}$
1 1.3071 1.3497e-17 3.8983e-14 3.3609e-39 1.1063e-40 3.7468e-41 1.1191e-31 2.1359e-38 2.8768e-43 1.831e-118 4.844e-103 3.3352e-87 5.6814e-79 2.7827e-76 2.7651e-63 1.2335e-48 6.9798e-37 1.6156e-28 4.0662e-24 1.2172e-46 5.3623e-33 2.0789e-25 7.2821e-53 4.6753e-45 4.8377e-60 5.2456e-78 1.7398e-69 4.0613e-55 2.4014e-44 1.0727e-37 1.5268e-49 8.1375e-108 8.7322e-94 1.4435e-84 2.0288e-80 1.3311e-78 0.0001 3.897e-14 4.1892e-29 3.8269e-48 3.1984e-71
0.020896 1.3071 1.3497e-17 3.8983e-14 2.325e-38 7.6529e-40 2.5919e-40 1.6177e-32 3.0876e-39 4.1585e-44 8.7623e-117 2.3181e-101 1.5961e-85 2.7188e-77 1.3316e-74 5.7781e-65 2.5775e-50 1.4585e-38 3.3759e-30 8.497e-26 1.2172e-46 5.3623e-33 2.0789e-25 5.0375e-52 3.2343e-44 3.3466e-59 3.6287e-77 3.6357e-71 8.4868e-57 5.0181e-46 2.2415e-39 3.1905e-51 3.8942e-106 4.1788e-92 6.9078e-83 9.7089e-79 6.3698e-77 0.0001 3.897e-14 4.1892e-29 3.8269e-48 3.1984e-71
0.00043666 1.3071 1.3497e-17 3.8983e-14 1.6084e-37 5.2941e-39 1.793e-39 2.3385e-33 4.4633e-40 6.0114e-45 4.1932e-115 1.1093e-99 7.638e-84 1.3011e-75 6.3725e-73 1.2074e-66 5.386e-52 3.0478e-40 7.0545e-32 1.7756e-27 1.2172e-46 5.3623e-33 2.0789e-25 3.4848e-51 2.2374e-43 2.3151e-58 2.5103e-76 7.5973e-73 1.7734e-58 1.0486e-47 4.684e-41 6.6671e-53 1.8636e-104 1.9998e-90 3.3057e-81 4.6462e-77 3.0483e-75 0.0001 3.897e-14 4.1892e-29 3.8269e-48 3.1984e-71
9.1247e-06 1.3071 1.3497e-17 3.8983e-14 1.1126e-36 3.6623e-38 1.2404e-38 3.3805e-34 6.452e-41 8.6899e-46 2.0066e-113 5.3087e-98 3.6551e-82 6.2263e-74 3.0496e-71 2.5231e-68 1.1255e-53 6.3688e-42 1.4742e-33 3.7103e-29 1.2172e-46 5.3623e-33 2.0789e-25 2.4107e-50 1.5478e-42 1.6015e-57 1.7365e-75 1.5876e-74 3.7059e-60 2.1912e-49 9.7879e-43 1.3932e-54 8.918e-103 9.5699e-89 1.5819e-79 2.2234e-75 1.4587e-73 0.0001 3.897e-14 4.1892e-29 3.8269e-48 3.1984e-71
1.9067e-07 1.3071 1.3497e-17 3.8983e-14 7.6969e-36 2.5335e-37 8.5805e-38 4.8867e-35 9.3268e-42 1.2562e-46 9.6028e-112 2.5405e-96 1.7492e-80 2.9796e-72 1.4594e-69 5.2724e-70 2.3519e-55 1.3309e-43 3.0805e-35 7.7533e-31 1.2172e-46 5.3623e-33 2.0789e-25 1.6677e-49 1.0707e-41 1.1079e-56 1.2013e-74 3.3174e-76 7.744e-62 4.5789e-51 2.0453e-44 2.9113e-56 4.2677e-101 4.5796e-87 7.5704e-78 1.064e-73 6.9808e-72 0.0001 3.897e-14 4.1892e-29 3.8269e-48 3.1984e-71
3.9844e-09 1.3071 1.3497e-17 3.8983e-14 5.3245e-35 1.7526e-36 5.9358e-37 7.064e-36 1.3482e-42 1.8159e-47 4.5954e-110 1.2157e-94 8.3706e-79 1.4259e-70 6.9838e-68 1.1017e-71 4.9146e-57 2.781e-45 6.4371e-37 1.6202e-32 1.2172e-46 5.3623e-33 2.0789e-25 1.1536e-48 7.4068e-41 7.6639e-56 8.3102e-74 6.9323e-78 1.6182e-63 9.5682e-53 4.274e-46 6.0836e-58 2.0423e-99 2.1916e-85 3.6228e-76 5.0919e-72 3.3406e-70 0.0001 3.897e-14 4.1892e-29 3.8269e-48 3.1984e-71
8.3261e-11 1.3071 1.3497e-17 3.8983e-14 3.6833e-34 1.2124e-35 4.1062e-36 1.0212e-36 1.949e-43 2.625e-48 2.1991e-108 5.8179e-93 4.0058e-77 6.8236e-69 3.3421e-66 2.3023e-73 1.027e-58 5.8114e-47 1.3451e-38 3.3856e-34 1.2172e-46 5.3623e-33 2.0789e-25 7.9806e-48 5.1238e-40 5.3017e-55 5.7487e-73 1.4486e-79 3.3815e-65 1.9994e-54 8.9312e-48 1.2713e-59 9.7735e-98 1.0488e-83 1.7337e-74 2.4367e-70 1.5987e-68 0.0001 3.897e-14 4.1892e-29 3.8269e-48 3.1984e-71
1.7399e-12 1.3071 1.3497e-17 3.8983e-14 2.548e-33 8.387e-35 2.8406e-35 1.4761e-37 2.8174e-44 3.7945e-49 1.0524e-106 2.7842e-91 1.917e-75 3.2654e-67 1.5994e-64 4.8109e-75 2.146e-60 1.2144e-48 2.8108e-40 7.0747e-36 1.2172e-46 5.3623e-33 2.0789e-25 5.5207e-47 3.5445e-39 3.6676e-54 3.9768e-72 3.0271e-81 7.0662e-67 4.1781e-56 1.8663e-49 2.6565e-61 4.6771e-96 5.0189e-82 8.2965e-73 1.1661e-68 7.6504e-67 0.0001 3.897e-14 4.1892e-29 3.8269e-48 3.1984e-71
3.6357e-14 1.3071 1.3497e-17 3.8983e-14 1.7627e-32 5.8019e-34 1.965e-34 2.1338e-38 4.0727e-45 5.4853e-50 5.0362e-105 1.3324e-89 9.1736e-74 1.5627e-65 7.6537e-63 1.0053e-76 4.4844e-62 2.5376e-50 5.8737e-42 1.4784e-37 1.2172e-46 5.3623e-33 2.0789e-25 3.8191e-46 2.452e-38 2.5371e-53 2.7511e-71 6.3255e-83 1.4766e-68 8.7307e-58 3.8999e-51 5.5511e-63 2.2382e-94 2.4018e-80 3.9703e-71 5.5803e-67 3.6611e-65 0.0001 3.897e-14 4.1892e-29 3.8269e-48 3.1984e-71
7.5973e-16 1.3071 1.3497e-17 3.8983e-14 1.2194e-31 4.0136e-33 1.3593e-33 3.0846e-39 5.8873e-46 7.9293e-51 2.4101e-103 6.376e-88 4.39e-72 7.4781e-64 3.6627e-61 2.1007e-78 9.3709e-64 5.3027e-52 1.2274e-43 3.0892e-39 1.2172e-46 5.3623e-33 2.0789e-25 2.6419e-45 1.6962e-37 1.7551e-52 1.9031e-70 1.3218e-84 3.0855e-70 1.8244e-59 8.1495e-53 1.16e-64 1.0711e-92 1.1494e-78 1.9e-69 2.6704e-65 1.752e-63 0.0001 3.897e-14 4.1892e-29 3.8269e-48 3.1984e-71
