$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Pd_{i}^{\times}$ $Pd_{i}^{\bullet}$ $Pd_{i}^{\bullet\bullet}$ $Pd_{i}^{\bullet\bullet\bullet}$ $Pd_{i}^{\bullet\bullet\bullet\bullet}$ $Pd_{Sn}^{\times}$ $Pd_{Sn}^{'}$ $Pd_{Sn}^{''}$ $Pd_{Sn}^{'''}$ $Pd_{Sn}^{''''}$
1 1.0416 7.9367e-20 6.6296e-12 3.3609e-39 1.8813e-38 1.0836e-36 1.1191e-31 1.256e-40 9.947e-48 1.831e-118 8.2378e-101 9.6457e-83 2.7943e-72 2.3275e-67 2.7651e-63 7.253e-51 2.4134e-41 3.2848e-35 4.8615e-33 7.1576e-49 5.3623e-33 3.5354e-23 7.2821e-53 7.9509e-43 1.3991e-55 2.5799e-71 1.7398e-69 2.3882e-57 8.3034e-49 2.181e-44 1.8255e-58 9.256e-59 1.8457e-51 7.9209e-48 7.8822e-53 6.9463e-61 0.0001 6.6296e-12 3.5229e-24 8.7063e-41 1.9408e-61
0.020896 1.0416 7.9367e-20 6.6296e-12 2.325e-38 1.3015e-37 7.4961e-36 1.6177e-32 1.8156e-41 1.4379e-48 8.7623e-117 3.9422e-99 4.616e-81 1.3372e-70 1.1138e-65 5.7781e-65 1.5156e-52 5.0432e-43 6.864e-37 1.0159e-34 7.1576e-49 5.3623e-33 3.5354e-23 5.0375e-52 5.5002e-42 9.6785e-55 1.7847e-70 3.6357e-71 4.9904e-59 1.7351e-50 4.5575e-46 3.8146e-60 4.4295e-57 8.8324e-50 3.7906e-46 3.772e-51 3.3241e-59 0.0001 6.6296e-12 3.5229e-24 8.7063e-41 1.9408e-61
0.00043666 1.0416 7.9367e-20 6.6296e-12 1.6084e-37 9.0031e-37 5.1856e-35 2.3385e-33 2.6245e-42 2.0786e-49 4.1932e-115 1.8865e-97 2.209e-79 6.3991e-69 5.3301e-64 1.2074e-66 3.1671e-54 1.0538e-44 1.4343e-38 2.1228e-36 7.1576e-49 5.3623e-33 3.5354e-23 3.4848e-51 3.8049e-41 6.6953e-54 1.2346e-69 7.5973e-73 1.0428e-60 3.6258e-52 9.5236e-48 7.9711e-62 2.1197e-55 4.2268e-48 1.814e-44 1.8051e-49 1.5908e-57 0.0001 6.6296e-12 3.5229e-24 8.7063e-41 1.9408e-61
9.1247e-06 1.0416 7.9367e-20 6.6296e-12 1.1126e-36 6.2281e-36 3.5872e-34 3.3805e-34 3.7939e-43 3.0047e-50 2.0066e-113 9.028e-96 1.0571e-77 3.0623e-67 2.5507e-62 2.5231e-68 6.6182e-56 2.2022e-46 2.9973e-40 4.436e-38 7.1576e-49 5.3623e-33 3.5354e-23 2.4107e-50 2.6321e-40 4.6317e-53 8.5408e-69 1.5876e-74 2.1791e-62 7.5766e-54 1.9901e-49 1.6657e-63 1.0144e-53 2.0227e-46 8.6807e-43 8.6383e-48 7.6126e-56 0.0001 6.6296e-12 3.5229e-24 8.7063e-41 1.9408e-61
1.9067e-07 1.0416 7.9367e-20 6.6296e-12 7.6969e-36 4.3085e-35 2.4816e-33 4.8867e-35 5.4844e-44 4.3435e-51 9.6028e-112 4.3204e-94 5.0587e-76 1.4655e-65 1.2206e-60 5.2724e-70 1.383e-57 4.6018e-48 6.2632e-42 9.2697e-40 7.1576e-49 5.3623e-33 3.5354e-23 1.6677e-49 1.8208e-39 3.2041e-52 5.9083e-68 3.3174e-76 4.5536e-64 1.5832e-55 4.1586e-51 3.4807e-65 4.8544e-52 9.6797e-45 4.1542e-41 4.1338e-46 3.643e-54 0.0001 6.6296e-12 3.5229e-24 8.7063e-41 1.9408e-61
3.9844e-09 1.0416 7.9367e-20 6.6296e-12 5.3245e-35 2.9805e-34 1.7167e-32 7.064e-36 7.928e-45 6.2788e-52 4.5954e-110 2.0675e-92 2.4209e-74 7.013e-64 5.8414e-59 1.1017e-71 2.8899e-59 9.616e-50 1.3088e-43 1.937e-41 7.1576e-49 5.3623e-33 3.5354e-23 1.1536e-48 1.2596e-38 2.2165e-51 4.0872e-67 6.9323e-78 9.5155e-66 3.3084e-57 8.6901e-53 7.2734e-67 2.323e-50 4.6322e-43 1.988e-39 1.9782e-44 1.7433e-52 0.0001 6.6296e-12 3.5229e-24 8.7063e-41 1.9408e-61
8.3261e-11 1.0416 7.9367e-20 6.6296e-12 3.6833e-34 2.0618e-33 1.1875e-31 1.0212e-36 1.146e-45 9.0764e-53 2.1991e-108 9.894e-91 1.1585e-72 3.356e-62 2.7954e-57 2.3023e-73 6.0389e-61 2.0094e-51 2.7349e-45 4.0477e-43 7.1576e-49 5.3623e-33 3.5354e-23 7.9806e-48 8.7136e-38 1.5333e-50 2.8274e-66 1.4486e-79 1.9884e-67 6.9134e-59 1.8159e-54 1.5199e-68 1.1117e-48 2.2167e-41 9.5134e-38 9.4669e-43 8.3428e-51 0.0001 6.6296e-12 3.5229e-24 8.7063e-41 1.9408e-61
1.7399e-12 1.0416 7.9367e-20 6.6296e-12 2.548e-33 1.4263e-32 8.2151e-31 1.4761e-37 1.6567e-46 1.312e-53 1.0524e-106 4.7348e-89 5.544e-71 1.606e-60 1.3377e-55 4.8109e-75 1.2619e-62 4.199e-53 5.715e-47 8.4583e-45 7.1576e-49 5.3623e-33 3.5354e-23 5.5207e-47 6.0278e-37 1.0607e-49 1.9559e-65 3.0271e-81 4.1551e-69 1.4447e-60 3.7946e-56 3.176e-70 5.32e-47 1.0608e-39 4.5526e-36 4.5304e-41 3.9924e-49 0.0001 6.6296e-12 3.5229e-24 8.7063e-41 1.9408e-61
3.6357e-14 1.0416 7.9367e-20 6.6296e-12 1.7627e-32 9.8668e-32 5.683e-30 2.1338e-38 2.3948e-47 1.8966e-54 5.0362e-105 2.2658e-87 2.6531e-69 7.6857e-59 6.4017e-54 1.0053e-76 2.637e-64 8.7744e-55 1.1942e-48 1.7675e-46 7.1576e-49 5.3623e-33 3.5354e-23 3.8191e-46 4.1699e-36 7.3376e-49 1.3531e-64 6.3255e-83 8.6826e-71 3.0188e-62 7.9294e-58 6.6368e-72 2.5459e-45 5.0765e-38 2.1787e-34 2.168e-39 1.9106e-47 0.0001 6.6296e-12 3.5229e-24 8.7063e-41 1.9408e-61
7.5973e-16 1.0416 7.9367e-20 6.6296e-12 1.2194e-31 6.8256e-31 3.9313e-29 3.0846e-39 3.4619e-48 2.7417e-55 2.4101e-103 1.0843e-85 1.2696e-67 3.678e-57 3.0635e-52 2.1007e-78 5.5103e-66 1.8335e-56 2.4956e-50 3.6934e-48 7.1576e-49 5.3623e-33 3.5354e-23 2.6419e-45 2.8846e-35 5.0759e-48 9.3601e-64 1.3218e-84 1.8144e-72 6.3083e-64 1.657e-59 1.3869e-73 1.2183e-43 2.4294e-36 1.0426e-32 1.0375e-37 9.143e-46 0.0001 6.6296e-12 3.5229e-24 8.7063e-41 1.9408e-61
