$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Zn_{i}^{\times}$ $Zn_{i}^{\bullet}$ $Zn_{i}^{\bullet\bullet}$ $Zn_{Sn}^{''}$ $Zn_{Sn}^{'''}$ $Zn_{Sn}^{''''}$
1 0.42353 8.8142e-14 0.00019994 8.1987e-20 7.6445e-17 2.2864e-13 4.731e-16 4.0216e-23 2.8718e-29 1.9136e-59 5.0585e-48 2.1572e-36 1.4469e-28 1.6457e-23 5.2584e-32 2.161e-28 3.1631e-26 9.3637e-26 2.8905e-27 3.036e-27 1.0356e-16 3.3139e-09 1.2068e-26 4.9696e-19 8.2156e-23 4.3967e-28 4.1711e-35 1.24e-31 5.8671e-30 2.4128e-30 5.6012e-40 3.3103e-25 2.1938e-15 1.3365e-08 9.9987e-05 3.5722e-14 1.1214e-26
0.14456 0.4237 8.8281e-14 0.00019963 2.1564e-19 2.0075e-16 5.9946e-13 1.7987e-16 1.5315e-23 1.0953e-29 1.3238e-58 3.4938e-47 1.4876e-35 9.9623e-28 1.1313e-22 7.6014e-33 3.1288e-29 4.5869e-27 1.36e-26 4.2049e-28 3.0408e-27 1.0356e-16 3.3087e-09 3.1741e-26 1.305e-18 2.154e-22 1.1509e-27 6.0296e-36 1.7954e-32 8.5081e-31 3.5044e-31 8.1481e-41 2.281e-24 1.5093e-14 9.1799e-08 9.9908e-05 3.575e-14 1.1241e-26
0.020896 0.42477 8.9205e-14 0.00019757 5.6716e-19 5.2253e-16 1.5442e-12 6.8389e-17 5.8836e-24 4.2521e-30 9.1577e-58 2.3919e-46 1.0079e-34 6.6798e-27 7.5069e-22 1.0988e-33 4.5702e-30 6.7701e-28 2.0283e-27 6.3369e-29 3.0726e-27 1.0356e-16 3.2744e-09 8.3484e-26 3.3969e-18 5.5487e-22 2.9341e-27 8.7162e-37 2.6225e-33 1.2558e-31 5.2266e-32 1.2279e-41 1.5374e-23 1.0068e-13 6.0601e-07 9.9394e-05 3.5938e-14 1.1418e-26
0.0030207 0.43052 9.4308e-14 0.00018693 1.4917e-18 1.3e-15 3.6339e-12 2.6002e-17 2.365e-24 1.8069e-30 6.3351e-57 1.5651e-45 6.238e-34 3.9106e-26 4.1571e-21 1.5884e-34 6.9845e-31 1.0938e-28 3.4646e-28 1.1443e-29 3.2483e-27 1.0356e-16 3.0972e-09 2.1958e-25 8.4509e-18 1.3057e-21 6.5309e-27 1.26e-37 4.0078e-34 2.0289e-32 8.9275e-33 2.2174e-42 9.2611e-23 5.7363e-13 3.2661e-06 9.6734e-05 3.6977e-14 1.242e-26
0.00043666 0.44815 1.1184e-13 0.00015775 3.9235e-18 2.8832e-15 6.7962e-12 9.8861e-18 1.0663e-24 9.6616e-31 4.3824e-56 9.1299e-45 3.0685e-33 1.6221e-25 1.4541e-20 2.2962e-35 1.1973e-31 2.2237e-29 8.3526e-29 3.2716e-30 3.8522e-27 1.0356e-16 2.6117e-09 5.7752e-25 1.8743e-17 2.442e-21 1.03e-26 1.8214e-38 6.8705e-35 4.1247e-33 2.1523e-33 6.3396e-43 4.2119e-22 2.1999e-12 1.0562e-05 8.9438e-05 4.0543e-14 1.6149e-26
6.3122e-05 0.47806 1.4935e-13 0.00011825 1.0319e-17 5.6785e-15 1.0023e-11 3.7587e-18 5.414e-25 6.5509e-31 3.0316e-55 4.7295e-44 1.1903e-32 4.7119e-25 3.1629e-20 3.3192e-36 2.3113e-32 5.7325e-30 2.8754e-29 1.504e-30 5.1442e-27 1.0356e-16 1.9557e-09 1.519e-24 3.6916e-17 3.6016e-21 1.1375e-26 2.6329e-39 1.3263e-35 1.0633e-33 7.4094e-34 2.9145e-43 1.4534e-21 5.6847e-12 2.0438e-05 7.9562e-05 4.8164e-14 2.5619e-26
9.1247e-06 0.51556 2.1463e-13 8.2357e-05 2.7142e-17 1.0393e-14 1.2765e-11 1.4291e-18 2.9582e-25 5.1438e-31 2.0972e-54 2.2766e-43 3.987e-32 1.0983e-24 5.1299e-20 4.7982e-37 4.8016e-33 1.7114e-30 1.2337e-29 9.2733e-31 7.3927e-27 1.0356e-16 1.3609e-09 3.9951e-24 6.7563e-17 4.5868e-21 1.0081e-26 3.8061e-40 2.7552e-36 3.1744e-34 3.1788e-34 1.7969e-43 4.3194e-21 1.1756e-11 2.941e-05 7.0589e-05 6.141e-14 4.6943e-26
1.319e-06 0.5575 3.2199e-13 5.4935e-05 7.1387e-17 1.8221e-14 1.4918e-11 5.4335e-19 1.6873e-25 4.4015e-31 1.4508e-53 1.0498e-42 1.2255e-31 2.2502e-24 7.006e-20 6.9361e-38 1.0413e-33 5.5678e-31 6.0212e-30 6.79e-31 1.1091e-26 1.0356e-16 9.0715e-10 1.0508e-23 1.1845e-16 5.3604e-21 7.8527e-27 5.5019e-41 5.9751e-37 1.0328e-34 1.5515e-34 1.3157e-43 1.1987e-20 2.1747e-11 3.6266e-05 6.3734e-05 8.318e-14 9.539e-26
1.9067e-07 0.60225 4.963e-13 3.5658e-05 1.8776e-16 3.1091e-14 1.6515e-11 2.0658e-19 9.8881e-26 3.9759e-31 1.0036e-52 4.7116e-42 3.5683e-31 4.2507e-24 8.5863e-20 1.0027e-38 2.3201e-34 1.9122e-31 3.1874e-30 5.5403e-31 1.7095e-26 1.0356e-16 5.8853e-10 2.7637e-23 2.0212e-16 5.9342e-21 5.64e-27 7.9533e-42 1.3313e-37 3.5469e-35 8.2132e-35 1.0736e-43 3.2264e-20 3.7975e-11 4.1085e-05 5.8915e-05 1.1852e-13 2.0949e-25
2.7563e-08 0.64883 7.7874e-13 2.2733e-05 4.9383e-16 5.2116e-14 1.7643e-11 7.8544e-20 5.899e-26 3.7217e-31 6.9427e-52 2.0772e-41 1.0026e-30 7.6118e-24 9.7991e-20 1.4494e-39 5.2626e-35 6.8056e-32 1.78e-30 4.8546e-31 2.6823e-26 1.0356e-16 3.7508e-10 7.269e-23 3.388e-16 6.3395e-21 3.8399e-27 1.1497e-42 3.0198e-38 1.2623e-35 4.5866e-35 9.4071e-44 8.5683e-20 6.4272e-11 4.4317e-05 5.5683e-05 1.7576e-13 4.8749e-25
