$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Zr_{i}^{\times}$ $Zr_{i}^{\bullet}$ $Zr_{i}^{\bullet\bullet}$ $Zr_{i}^{\bullet\bullet\bullet}$ $Zr_{i}^{\bullet\bullet\bullet\bullet}$ $Zr_{Sn}^{\times}$ $Zr_{Sn}^{'}$ $Zr_{Sn}^{''}$ $Zr_{Sn}^{'''}$ $Zr_{Sn}^{''''}$
1 1.357 3.543e-17 1.4851e-14 3.3609e-39 4.2144e-41 5.4375e-42 1.1191e-31 5.6068e-38 1.9823e-42 1.831e-118 1.8454e-103 4.8402e-88 3.141e-80 5.8606e-78 2.7651e-63 3.2378e-48 4.8095e-36 2.9222e-27 1.9307e-22 3.1952e-46 5.3623e-33 7.9197e-26 7.2821e-53 1.7811e-45 7.0207e-61 2.9001e-79 1.7398e-69 1.0661e-54 1.6547e-43 1.9403e-36 7.2495e-48 1.6208e-122 1.9376e-109 2.1043e-98 6.9084e-92 1.9414e-89 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
0.020896 1.357 3.543e-17 1.4851e-14 2.325e-38 2.9154e-40 3.7615e-41 1.6177e-32 8.1049e-39 2.8655e-43 8.7623e-117 8.8309e-102 2.3163e-86 1.5031e-78 2.8046e-76 5.7781e-65 6.7659e-50 1.005e-37 6.1064e-29 4.0344e-24 3.1952e-46 5.3623e-33 7.9197e-26 5.0375e-52 1.2321e-44 4.8567e-60 2.0062e-78 3.6357e-71 2.2278e-56 3.4578e-45 4.0545e-38 1.5149e-49 7.7561e-121 9.2722e-108 1.007e-96 3.306e-90 9.2908e-88 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
0.00043666 1.357 3.543e-17 1.4851e-14 1.6084e-37 2.0168e-39 2.6021e-40 2.3385e-33 1.1716e-39 4.1422e-44 4.1932e-115 4.226e-100 1.1085e-84 7.1931e-77 1.3421e-74 1.2074e-66 1.4138e-51 2.1001e-39 1.276e-30 8.4305e-26 3.1952e-46 5.3623e-33 7.9197e-26 3.4848e-51 8.5234e-44 3.3597e-59 1.3878e-77 7.5973e-73 4.6553e-58 7.2255e-47 8.4724e-40 3.1656e-51 3.7117e-119 4.4372e-106 4.8189e-95 1.5821e-88 4.4461e-86 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
9.1247e-06 1.357 3.543e-17 1.4851e-14 1.1126e-36 1.3952e-38 1.8001e-39 3.3805e-34 1.6936e-40 5.9879e-45 2.0066e-113 2.0224e-98 5.3045e-83 3.4423e-75 6.4228e-73 2.5231e-68 2.9544e-53 4.3885e-41 2.6664e-32 1.7617e-27 3.1952e-46 5.3623e-33 7.9197e-26 2.4107e-50 5.8962e-43 2.3242e-58 9.6006e-77 1.5876e-74 9.7279e-60 1.5099e-48 1.7704e-41 6.615e-53 1.7762e-117 2.1234e-104 2.3061e-93 7.571e-87 2.1277e-84 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
1.9067e-07 1.357 3.543e-17 1.4851e-14 7.6969e-36 9.6513e-38 1.2452e-38 4.8867e-35 2.4483e-41 8.6558e-46 9.6028e-112 9.678e-97 2.5385e-81 1.6473e-73 3.0736e-71 5.2724e-70 6.1737e-55 9.1705e-43 5.5719e-34 3.6813e-29 3.1952e-46 5.3623e-33 7.9197e-26 1.6677e-49 4.0788e-42 1.6078e-57 6.6414e-76 3.3174e-76 2.0328e-61 3.1551e-50 3.6996e-43 1.3823e-54 8.5001e-116 1.0162e-102 1.1036e-91 3.6231e-85 1.0182e-82 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
3.9844e-09 1.357 3.543e-17 1.4851e-14 5.3245e-35 6.6765e-37 8.6143e-38 7.064e-36 3.5391e-42 1.2513e-46 4.5954e-110 4.6314e-95 1.2148e-79 7.8831e-72 1.4709e-69 1.1017e-71 1.2901e-56 1.9163e-44 1.1643e-35 7.6926e-31 3.1952e-46 5.3623e-33 7.9197e-26 1.1536e-48 2.8216e-41 1.1122e-56 4.5943e-75 6.9323e-78 4.2478e-63 6.5931e-52 7.7308e-45 2.8885e-56 4.0677e-114 4.8629e-101 5.2812e-90 1.7338e-83 4.8726e-81 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
8.3261e-11 1.357 3.543e-17 1.4851e-14 3.6833e-34 4.6186e-36 5.9591e-37 1.0212e-36 5.116e-43 1.8088e-47 2.1991e-108 2.2164e-93 5.8133e-78 3.7725e-70 7.0389e-68 2.3023e-73 2.6958e-58 4.0044e-46 2.433e-37 1.6075e-32 3.1952e-46 5.3623e-33 7.9197e-26 7.9806e-48 1.9519e-40 7.6941e-56 3.1782e-74 1.4486e-79 8.8764e-65 1.3777e-53 1.6155e-46 6.036e-58 1.9466e-112 2.3271e-99 2.5273e-88 8.2972e-82 2.3318e-79 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
1.7399e-12 1.357 3.543e-17 1.4851e-14 2.548e-33 3.195e-35 4.1224e-36 1.4761e-37 7.3955e-44 2.6147e-48 1.0524e-106 1.0606e-91 2.782e-76 1.8053e-68 3.3685e-66 4.8109e-75 5.6333e-60 8.3678e-48 5.0842e-39 3.3591e-34 3.1952e-46 5.3623e-33 7.9197e-26 5.5207e-47 1.3503e-39 5.3226e-55 2.1986e-73 3.0271e-81 1.8549e-66 2.879e-55 3.3758e-48 1.2613e-59 9.3154e-111 1.1136e-97 1.2094e-86 3.9706e-80 1.1159e-77 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
3.6357e-14 1.357 3.543e-17 1.4851e-14 1.7627e-32 2.2102e-34 2.8517e-35 2.1338e-38 1.0691e-44 3.7797e-49 5.0362e-105 5.0757e-90 1.3313e-74 8.6393e-67 1.612e-64 1.0053e-76 1.1772e-61 1.7486e-49 1.0624e-40 7.0193e-36 3.1952e-46 5.3623e-33 7.9197e-26 3.8191e-46 9.3409e-39 3.682e-54 1.5209e-72 6.3255e-83 3.876e-68 6.016e-57 7.0542e-50 2.6357e-61 4.4579e-109 5.3293e-96 5.7878e-85 1.9001e-78 5.34e-76 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
7.5973e-16 1.357 3.543e-17 1.4851e-14 1.2194e-31 1.529e-33 1.9728e-34 3.0846e-39 1.5454e-45 5.4638e-50 2.4101e-103 2.429e-88 6.371e-73 4.1343e-65 7.7141e-63 2.1007e-78 2.4599e-63 3.6539e-51 2.2201e-42 1.4668e-37 3.1952e-46 5.3623e-33 7.9197e-26 2.6419e-45 6.4618e-38 2.5471e-53 1.0521e-71 1.3218e-84 8.0995e-70 1.2571e-58 1.4741e-51 5.5077e-63 2.1333e-107 2.5503e-94 2.7697e-83 9.0931e-77 2.5554e-74 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
1.5876e-17 1.357 3.543e-17 1.4851e-14 8.4352e-31 1.0577e-32 1.3647e-33 4.459e-40 2.234e-46 7.8982e-51 1.1533e-101 1.1624e-86 3.0488e-71 1.9785e-63 3.6916e-61 4.3898e-80 5.1403e-65 7.6354e-53 4.6392e-44 3.0651e-39 3.1952e-46 5.3623e-33 7.9197e-26 1.8276e-44 4.4701e-37 1.762e-52 7.2785e-71 2.7621e-86 1.6925e-71 2.627e-60 3.0803e-53 1.1509e-64 1.0209e-105 1.2205e-92 1.3255e-81 4.3515e-75 1.2229e-72 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
3.3175e-19 1.357 3.543e-17 1.4851e-14 5.8352e-30 7.317e-32 9.4406e-33 6.4457e-41 3.2294e-47 1.1417e-51 5.5193e-100 5.5625e-85 1.459e-69 9.468e-62 1.7666e-59 9.1732e-82 1.0741e-66 1.5955e-54 9.6943e-46 6.4049e-41 3.1952e-46 5.3623e-33 7.9197e-26 1.2643e-43 3.0923e-36 1.2189e-51 5.035e-70 5.7719e-88 3.5368e-73 5.4895e-62 6.4367e-55 2.405e-66 4.8855e-104 5.8405e-91 6.343e-80 2.0824e-73 5.8522e-71 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
6.9323e-21 1.357 3.543e-17 1.4851e-14 4.0367e-29 5.0617e-31 6.5307e-32 9.3177e-42 4.6682e-48 1.6504e-52 2.6413e-98 2.6619e-83 6.9821e-68 4.5309e-60 8.454e-58 1.9169e-83 2.2446e-68 3.3341e-56 2.0258e-47 1.3384e-42 3.1952e-46 5.3623e-33 7.9197e-26 8.7461e-43 2.1392e-35 8.4321e-51 3.4831e-69 1.2061e-89 7.3906e-75 1.1471e-63 1.3451e-56 5.0256e-68 2.338e-102 2.795e-89 3.0354e-78 9.9654e-72 2.8006e-69 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
1.4486e-22 1.357 3.543e-17 1.4851e-14 2.7924e-28 3.5015e-30 4.5178e-31 1.3469e-42 6.7482e-49 2.3858e-53 1.264e-96 1.2739e-81 3.3413e-66 2.1683e-58 4.0457e-56 4.0056e-85 4.6903e-70 6.9671e-58 4.2331e-49 2.7968e-44 3.1952e-46 5.3623e-33 7.9197e-26 6.0503e-42 1.4798e-34 5.8331e-50 2.4095e-68 2.5204e-91 1.5444e-76 2.397e-65 2.8107e-58 1.0502e-69 1.1188e-100 1.3375e-87 1.4526e-76 4.7689e-70 1.3402e-67 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
3.0271e-24 1.357 3.543e-17 1.4851e-14 1.9317e-27 2.4223e-29 3.1253e-30 1.9471e-43 9.755e-50 3.4489e-54 6.0487e-95 6.0961e-80 1.599e-64 1.0376e-56 1.9361e-54 8.3703e-87 9.8012e-72 1.4559e-59 8.8458e-51 5.8443e-46 3.1952e-46 5.3623e-33 7.9197e-26 4.1854e-41 1.0237e-33 4.0352e-49 1.6668e-67 5.2667e-93 3.2272e-78 5.009e-67 5.8733e-60 2.1945e-71 5.3541e-99 6.4008e-86 6.9514e-75 2.2822e-68 6.4136e-66 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
6.3256e-26 1.357 3.543e-17 1.4851e-14 1.3363e-26 1.6757e-28 2.162e-29 2.8146e-44 1.4101e-50 4.9855e-55 2.8946e-93 2.9173e-78 7.6518e-63 4.9655e-55 9.265e-53 1.7491e-88 2.0481e-73 3.0423e-61 1.8485e-52 1.2213e-47 3.1952e-46 5.3623e-33 7.9197e-26 2.8954e-40 7.0816e-33 2.7914e-48 1.1531e-66 1.1006e-94 6.7437e-80 1.0467e-68 1.2273e-61 4.5857e-73 2.5622e-97 3.0631e-84 3.3266e-73 1.0921e-66 3.0692e-64 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
1.3218e-27 1.357 3.543e-17 1.4851e-14 9.2443e-26 1.1592e-27 1.4956e-28 4.0687e-45 2.0385e-51 7.2069e-56 1.3852e-91 1.3961e-76 3.6618e-61 2.3762e-53 4.4337e-51 3.655e-90 4.2798e-75 6.3573e-63 3.8626e-54 2.552e-49 3.1952e-46 5.3623e-33 7.9197e-26 2.0029e-39 4.8989e-32 1.931e-47 7.9766e-66 2.2998e-96 1.4092e-81 2.1872e-70 2.5647e-63 9.5826e-75 1.2261e-95 1.4658e-82 1.5919e-71 5.2264e-65 1.4688e-62 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
2.7621e-29 1.357 3.543e-17 1.4851e-14 6.395e-25 8.0188e-27 1.0346e-27 5.8816e-46 2.9467e-52 1.0418e-56 6.6289e-90 6.6809e-75 1.7523e-59 1.1372e-51 2.1218e-49 7.6377e-92 8.9433e-77 1.3285e-64 8.0715e-56 5.3328e-51 3.1952e-46 5.3623e-33 7.9197e-26 1.3856e-38 3.3889e-31 1.3358e-46 5.518e-65 4.8057e-98 2.9447e-83 4.5706e-72 5.3593e-65 2.0024e-76 5.8677e-94 7.0147e-81 7.6182e-70 2.5011e-63 7.0288e-61 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
5.7719e-31 1.357 3.543e-17 1.4851e-14 4.4239e-24 5.5472e-26 7.1572e-27 8.5022e-47 4.2596e-53 1.506e-57 3.1723e-88 3.1971e-73 8.3858e-58 5.4418e-50 1.0154e-47 1.596e-93 1.8688e-78 2.776e-66 1.6867e-57 1.1144e-52 3.1952e-46 5.3623e-33 7.9197e-26 9.5851e-38 2.3444e-30 9.241e-46 3.8172e-64 1.0042e-99 6.1535e-85 9.5509e-74 1.1199e-66 4.1843e-78 2.808e-92 3.3569e-79 3.6457e-68 1.1969e-61 3.3636e-59 0.0001 1.4815e-14 2.2992e-30 7.9991e-52 3.3859e-77
