$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Zr_{i}^{\times}$ $Zr_{i}^{\bullet}$ $Zr_{i}^{\bullet\bullet}$ $Zr_{i}^{\bullet\bullet\bullet}$ $Zr_{i}^{\bullet\bullet\bullet\bullet}$ $Zr_{Sn}^{\times}$ $Zr_{Sn}^{'}$ $Zr_{Sn}^{''}$ $Zr_{Sn}^{'''}$ $Zr_{Sn}^{''''}$
1 1.273 3.2583e-10 5.4364e-08 8.1987e-20 2.068e-20 1.6732e-20 4.731e-16 1.4867e-19 3.9244e-22 1.9136e-59 1.3684e-51 1.5786e-43 2.8644e-39 8.8133e-38 5.2584e-32 7.9884e-25 4.3224e-19 4.73e-15 5.3976e-13 1.1223e-23 1.0356e-16 8.9646e-13 1.2068e-26 1.3444e-22 6.0122e-30 8.7038e-39 4.1711e-35 4.5839e-28 8.0174e-23 1.2188e-19 1.0459e-25 1.8004e-61 1.4022e-54 1.0408e-48 4.248e-45 1.6041e-43 0.0099999 5.4037e-08 2.9885e-16 2.4747e-27 2.2604e-40
0.14456 1.273 3.2583e-10 5.4363e-08 2.1564e-19 5.439e-20 4.4006e-20 1.7987e-16 5.6524e-20 1.4921e-22 1.3238e-58 9.4662e-51 1.092e-42 1.9814e-38 6.0964e-37 7.6014e-33 1.1548e-25 6.2485e-20 6.8379e-16 7.8031e-14 1.1223e-23 1.0356e-16 8.9645e-13 3.1741e-26 3.5359e-22 1.5812e-29 2.2891e-38 6.0296e-36 6.6264e-29 1.159e-23 1.762e-20 1.5121e-26 1.2455e-60 9.6998e-54 7.2001e-48 2.9385e-44 1.1096e-42 0.0099999 5.4038e-08 2.9886e-16 2.4749e-27 2.2605e-40
0.020896 1.273 3.2583e-10 5.4363e-08 5.6716e-19 1.4305e-19 1.1574e-19 6.8389e-17 2.1491e-20 5.6731e-23 9.1577e-58 6.5484e-50 7.5541e-42 1.3707e-37 4.2173e-36 1.0988e-33 1.6693e-26 9.0326e-21 9.8847e-17 1.128e-14 1.1223e-23 1.0356e-16 8.9644e-13 8.3484e-26 9.2998e-22 4.1589e-29 6.0207e-38 8.7162e-37 9.579e-30 1.6754e-24 2.5471e-21 2.1858e-27 8.6158e-60 6.71e-53 4.9808e-47 2.0328e-43 7.6757e-42 0.0099999 5.4038e-08 2.9886e-16 2.4749e-27 2.2606e-40
0.0030207 1.273 3.2583e-10 5.4363e-08 1.4917e-18 3.7625e-19 3.0442e-19 2.6002e-17 8.1709e-21 2.157e-23 6.3351e-57 4.53e-49 5.2257e-41 9.482e-37 2.9174e-35 1.5884e-34 2.4131e-27 1.3057e-21 1.4289e-17 1.6306e-15 1.1223e-23 1.0356e-16 8.9644e-13 2.1958e-25 2.446e-21 1.0938e-28 1.5835e-37 1.26e-37 1.3847e-30 2.4219e-25 3.6819e-22 3.1597e-28 5.9602e-59 4.6418e-52 3.4456e-46 1.4062e-42 5.3099e-41 0.0099999 5.4038e-08 2.9886e-16 2.4749e-27 2.2606e-40
0.00043666 1.273 3.2583e-10 5.4363e-08 3.9235e-18 9.8961e-19 8.0067e-19 9.8861e-18 3.1066e-21 8.2009e-24 4.3824e-56 3.1337e-48 3.615e-40 6.5594e-36 2.0182e-34 2.2962e-35 3.4883e-28 1.8875e-22 2.0656e-18 2.3571e-16 1.1223e-23 1.0356e-16 8.9644e-13 5.7752e-25 6.4334e-21 2.877e-28 4.1649e-37 1.8214e-38 2.0017e-31 3.5011e-26 5.3225e-23 4.5675e-29 4.1231e-58 3.2111e-51 2.3835e-45 9.7278e-42 3.6732e-40 0.0099999 5.4038e-08 2.9886e-16 2.4749e-27 2.2606e-40
6.3122e-05 1.273 3.2583e-10 5.4363e-08 1.0319e-17 2.6028e-18 2.1059e-18 3.7587e-18 1.1812e-21 3.118e-24 3.0316e-55 2.1678e-47 2.5008e-39 4.5376e-35 1.3961e-33 3.3192e-36 5.0426e-29 2.7285e-23 2.9859e-19 3.4074e-17 1.1223e-23 1.0356e-16 8.9644e-13 1.519e-24 1.6921e-20 7.567e-28 1.0954e-36 2.6329e-39 2.8935e-32 5.061e-27 7.694e-24 6.6027e-30 2.8522e-57 2.2213e-50 1.6489e-44 6.7294e-41 2.541e-39 0.0099999 5.4038e-08 2.9886e-16 2.4749e-27 2.2606e-40
9.1247e-06 1.273 3.2583e-10 5.4363e-08 2.7142e-17 6.8458e-18 5.5388e-18 1.4291e-18 4.4908e-22 1.1855e-24 2.0972e-54 1.4996e-46 1.73e-38 3.139e-34 9.6579e-33 4.7982e-37 7.2894e-30 3.9442e-24 4.3163e-20 4.9256e-18 1.1223e-23 1.0356e-16 8.9644e-13 3.9951e-24 4.4504e-20 1.9902e-27 2.8812e-36 3.8061e-40 4.1828e-33 7.316e-28 1.1122e-24 9.5446e-31 1.9731e-56 1.5367e-49 1.1406e-43 4.6552e-40 1.7578e-38 0.0099999 5.4038e-08 2.9886e-16 2.4749e-27 2.2606e-40
1.319e-06 1.273 3.2583e-10 5.4363e-08 7.1387e-17 1.8006e-17 1.4568e-17 5.4335e-19 1.7074e-22 4.5073e-25 1.4508e-53 1.0374e-45 1.1967e-37 2.1715e-33 6.6811e-32 6.9361e-38 1.0537e-30 5.7016e-25 6.2395e-21 7.1202e-19 1.1223e-23 1.0356e-16 8.9644e-13 1.0508e-23 1.1705e-19 5.2346e-27 7.578e-36 5.5019e-41 6.0465e-34 1.0576e-28 1.6078e-25 1.3797e-31 1.3649e-55 1.063e-48 7.8907e-43 3.2204e-39 1.216e-37 0.0099999 5.4038e-08 2.9886e-16 2.4749e-27 2.2606e-40
1.9067e-07 1.273 3.2583e-10 5.4363e-08 1.8776e-16 4.7358e-17 3.8316e-17 2.0658e-19 6.4918e-23 1.7137e-25 1.0036e-52 7.1765e-45 8.2787e-37 1.5022e-32 4.6218e-31 1.0027e-38 1.5232e-31 8.242e-26 9.0195e-22 1.0293e-19 1.1223e-23 1.0356e-16 8.9644e-13 2.7637e-23 3.0787e-19 1.3768e-26 1.9931e-35 7.9533e-42 8.7405e-35 1.5288e-29 2.3241e-26 1.9945e-32 9.4423e-55 7.3536e-48 5.4585e-42 2.2278e-38 8.412e-37 0.0099999 5.4038e-08 2.9886e-16 2.4749e-27 2.2606e-40
2.7563e-08 1.273 3.2583e-10 5.4363e-08 4.9383e-16 1.2456e-16 1.0078e-16 7.8544e-20 2.4682e-23 6.5156e-26 6.9427e-52 4.9645e-44 5.727e-36 1.0392e-31 3.1972e-30 1.4494e-39 2.2019e-32 1.1914e-26 1.3038e-22 1.4879e-20 1.1223e-23 1.0356e-16 8.9644e-13 7.269e-23 8.0974e-19 3.6212e-26 5.2422e-35 1.1497e-42 1.2635e-35 2.21e-30 3.3597e-27 2.8831e-33 6.5319e-54 5.087e-47 3.7761e-41 1.5411e-37 5.8192e-36 0.0099999 5.4038e-08 2.9886e-16 2.4749e-27 2.2606e-40
