$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $F_{i}^{'}$ $F_{i}^{\times}$ $F_{i}^{\bullet}$ $F_{O}^{\times}$ $F_{O}^{\bullet}$
1 1.8468 8.3703e-08 2.1162e-10 8.1987e-20 8.0499e-23 2.5353e-25 4.731e-16 3.8191e-17 2.5899e-17 1.9136e-59 5.3267e-54 2.392e-48 1.6895e-46 2.0236e-47 5.2584e-32 2.0522e-22 2.8526e-14 8.0192e-08 0.0023508 2.8831e-21 1.0356e-16 3.4896e-15 1.2068e-26 5.2332e-25 9.11e-35 5.1338e-46 4.1711e-35 1.1776e-25 5.2911e-18 2.0664e-12 4.5554e-16 3.739e-05 7.8337e-11 8.9809e-18 0.0005215 0.0094411
0.14456 1.896 1.3469e-07 1.3151e-10 2.1564e-19 1.3157e-22 2.5751e-25 1.7987e-16 2.3366e-17 2.5499e-17 1.3238e-58 2.2899e-53 6.3901e-48 2.8048e-46 2.0876e-47 7.6014e-33 4.7738e-23 1.0678e-14 4.8305e-08 0.0022787 4.6394e-21 1.0356e-16 2.1685e-15 3.1741e-26 8.5534e-25 9.253e-35 3.2404e-46 6.0296e-36 2.7393e-26 1.9806e-18 1.2447e-12 4.4156e-16 3.5681e-05 4.6455e-11 3.3096e-18 0.0008134 0.0091509
0.020896 1.9448 2.1585e-07 8.2061e-11 5.6716e-19 2.1594e-22 2.6372e-25 6.8389e-17 1.4237e-17 2.4898e-17 9.1577e-58 9.8848e-53 1.7213e-47 4.7144e-46 2.1895e-47 1.0988e-33 1.1059e-23 3.9642e-15 2.8739e-08 0.0021726 7.435e-21 1.0356e-16 1.3532e-15 8.3484e-26 1.4038e-24 9.4763e-35 2.0708e-46 8.7162e-37 6.3458e-27 7.353e-19 7.4054e-13 4.21e-16 3.3215e-05 2.6985e-11 1.1996e-18 0.0012427 0.0087241
0.0030207 1.993 3.4391e-07 5.1504e-11 1.4917e-18 3.5647e-22 2.7324e-25 2.6002e-17 8.6245e-18 2.4031e-17 6.3351e-57 4.2918e-52 4.6906e-47 8.0634e-46 2.3504e-47 1.5884e-34 2.5471e-24 1.4547e-15 1.6803e-08 0.0020239 1.1846e-20 1.0356e-16 8.493e-16 2.1958e-25 2.3174e-24 9.8183e-35 1.3466e-46 1.26e-37 1.4616e-27 2.6983e-19 4.3297e-13 3.9219e-16 2.986e-05 1.5226e-11 4.2484e-19 0.0018442 0.0081259
0.00043666 2.0403 5.4376e-07 3.2574e-11 3.9235e-18 5.9297e-22 2.8747e-25 9.8861e-18 5.1847e-18 2.2841e-17 4.3824e-56 1.8777e-51 1.2979e-46 1.4112e-45 2.6016e-47 2.2962e-35 5.8217e-25 5.2571e-16 9.6012e-09 0.0018285 1.873e-20 1.0356e-16 5.3715e-16 5.7752e-25 3.8549e-24 1.033e-34 8.9603e-47 1.8214e-38 3.3406e-28 9.7512e-20 2.474e-13 3.5432e-16 2.5638e-05 8.2682e-12 1.4591e-19 0.0026341 0.0073403
6.3122e-05 2.0867 8.5178e-07 2.0795e-11 1.0319e-17 9.9561e-22 3.0812e-25 3.7587e-18 3.0879e-18 2.131e-17 3.0316e-55 8.2922e-51 3.659e-46 2.5396e-45 2.9888e-47 3.3192e-36 1.3183e-25 1.8648e-16 5.3351e-09 0.0015916 2.934e-20 1.0356e-16 3.429e-16 1.519e-24 6.4724e-24 1.1072e-34 6.1309e-47 2.6329e-39 7.5646e-29 3.459e-20 1.3747e-13 3.0842e-16 2.0817e-05 4.2857e-12 4.828e-20 0.003591 0.0063882
9.1247e-06 2.1321 1.3206e-06 1.3412e-11 2.7142e-17 1.689e-21 3.3715e-25 1.4291e-18 1.8202e-18 1.9476e-17 2.0972e-54 3.6999e-50 1.053e-45 4.7141e-45 3.5784e-47 4.7982e-37 2.9545e-26 6.4797e-17 2.8741e-09 0.0013294 4.5489e-20 1.0356e-16 2.2117e-16 3.9951e-24 1.098e-23 1.2115e-34 4.3269e-47 3.8061e-40 1.6954e-29 1.2019e-20 7.4059e-14 2.576e-16 1.5888e-05 2.1097e-12 1.5329e-20 0.0046494 0.0053347
1.319e-06 2.1764 2.0261e-06 8.7414e-12 7.1387e-17 2.8953e-21 3.7666e-25 5.4335e-19 1.0619e-18 1.7432e-17 1.4508e-53 1.6681e-49 3.0943e-45 9.028e-45 4.4665e-47 6.9361e-38 6.5531e-27 2.2052e-17 1.5008e-09 0.0010651 6.9796e-20 1.0356e-16 1.4415e-16 1.0508e-23 1.8822e-23 1.3535e-34 3.1506e-47 5.5019e-41 3.7603e-30 4.0903e-21 3.8671e-14 2.0638e-16 1.1392e-05 9.8593e-13 4.6691e-21 0.0057149 0.0042737
1.9067e-07 2.2196 3.0788e-06 5.7521e-12 1.8776e-16 5.0109e-21 4.2897e-25 2.0658e-19 6.1353e-19 1.5307e-17 1.0036e-52 7.5935e-49 9.2686e-45 1.7795e-44 5.7931e-47 1.0027e-38 1.4396e-27 7.3618e-18 7.6139e-10 0.00082116 1.0607e-19 1.0356e-16 9.4852e-17 2.7637e-23 3.2575e-23 1.5414e-34 2.3611e-47 7.9533e-42 8.2606e-31 1.3655e-21 1.9619e-14 1.5912e-16 7.7134e-06 4.3927e-13 1.3689e-21 0.0066969 0.0032954
2.7563e-08 2.2621 4.64e-06 3.8164e-12 4.9383e-16 8.7441e-21 4.9665e-25 7.8544e-20 3.5159e-19 1.3221e-17 6.9427e-52 3.4852e-48 2.8224e-44 3.5952e-44 7.7653e-47 1.4494e-39 3.1366e-28 2.4176e-18 3.7686e-10 0.00061261 1.5987e-19 1.0356e-16 6.2932e-17 7.269e-23 5.6845e-23 1.7846e-34 1.8137e-47 1.1497e-42 1.7998e-31 4.4843e-22 9.7109e-15 1.1871e-16 4.9734e-06 1.8791e-13 3.8851e-22 0.007535 0.00246
