$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $W_{i}^{\times}$ $W_{i}^{\bullet}$ $W_{i}^{\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $W_{i}^{\bullet\bullet\bullet\bullet\bullet\bullet}$ $W_{Sn}^{\times}$ $W_{Sn}^{\bullet}$ $W_{Sn}^{\bullet\bullet}$ $W_{Sn}^{'}$ $W_{Sn}^{''}$ $W_{Sn}^{'''}$ $W_{Sn}^{''''}$
1 1.7279 2.6513e-08 6.6809e-10 8.1987e-20 2.5414e-22 2.5269e-24 4.731e-16 1.2097e-17 2.5985e-18 1.9136e-59 1.6817e-53 2.3841e-47 5.3163e-45 2.0102e-45 5.2584e-32 6.5004e-23 2.862e-15 2.5485e-09 2.3665e-05 9.1322e-22 1.0356e-16 1.1017e-14 1.2068e-26 1.6521e-24 9.0799e-34 1.6154e-44 4.1711e-35 3.73e-26 5.3087e-19 6.567e-14 4.5856e-18 1.5283e-62 1.4888e-57 2.4031e-54 2.5869e-53 4.3742e-55 1.8163e-59 1.1457e-65 5.6118e-06 9.4082e-05 3.0542e-07 7.6554e-10 7.8531e-16 5.0967e-24 3.3285e-34
0.14456 1.777 4.2623e-08 4.1558e-10 2.1564e-19 4.1578e-22 2.5716e-24 1.7987e-16 7.3942e-18 2.5534e-18 1.3238e-58 7.2364e-53 6.3814e-47 8.8515e-45 2.0819e-45 7.6014e-33 1.5106e-23 1.0693e-15 1.5307e-09 2.285e-05 1.4681e-21 1.0356e-16 6.8528e-15 3.1741e-26 2.703e-24 9.2404e-34 1.0226e-44 6.0296e-36 8.6683e-27 1.9833e-19 3.9442e-14 4.4278e-18 1.6455e-61 9.9703e-57 1.0011e-53 6.7033e-53 7.0504e-55 1.821e-59 7.145e-66 8.7339e-06 9.108e-05 1.8392e-07 1.9154e-09 3.1588e-15 3.2958e-23 3.4602e-33
0.020896 1.8257 6.8227e-08 2.5962e-10 5.6716e-19 6.8319e-22 2.6398e-24 6.8389e-17 4.5e-18 2.4874e-18 9.1577e-58 3.1273e-52 1.7229e-46 1.493e-44 2.1938e-45 1.0988e-33 3.4955e-24 3.9603e-16 9.0749e-10 2.1684e-05 2.35e-21 1.0356e-16 4.2812e-15 8.3484e-26 4.4414e-24 9.4854e-34 6.5579e-45 8.7162e-37 2.0058e-27 7.3459e-20 2.3384e-14 4.2019e-18 1.7323e-60 6.5575e-56 4.1133e-53 1.7207e-52 1.1306e-54 1.8244e-59 4.4719e-66 1.3292e-05 8.6594e-05 1.0924e-07 4.6659e-09 1.2317e-14 2.0571e-22 3.457e-32
0.0030207 1.8737 1.0854e-07 1.6319e-10 1.4917e-18 1.1295e-21 2.7432e-24 2.6002e-17 2.7219e-18 2.3936e-18 6.3351e-57 1.3599e-51 4.7091e-46 2.565e-44 2.3691e-45 1.5884e-34 8.0387e-25 1.449e-16 5.2822e-10 2.008e-05 3.7387e-21 1.0356e-16 2.691e-15 2.1958e-25 7.3426e-24 9.8571e-34 4.2837e-45 1.26e-37 4.6127e-28 2.6876e-20 1.3611e-14 3.891e-18 1.7682e-59 4.2073e-55 1.6589e-52 4.3619e-52 1.8016e-54 1.8272e-59 2.8154e-66 1.9612e-05 8.0313e-05 6.3685e-08 1.0953e-08 4.5998e-14 1.2222e-21 3.2675e-31
0.00043666 1.9209 1.7129e-07 1.0341e-10 3.9235e-18 1.8824e-21 2.8971e-24 9.8861e-18 1.6332e-18 2.2665e-18 4.3824e-56 5.961e-51 1.308e-45 4.5147e-44 2.6423e-45 2.2962e-35 1.8338e-25 5.2165e-17 3.0011e-10 1.8004e-05 5.9001e-21 1.0356e-16 1.7052e-15 5.7752e-25 1.2238e-23 1.041e-33 2.8666e-45 1.8214e-38 1.0523e-28 9.6759e-21 7.733e-15 3.4887e-18 1.7339e-58 2.6142e-54 6.5315e-52 1.0883e-51 2.8482e-54 1.8305e-59 1.7872e-66 2.78e-05 7.2139e-05 3.6247e-08 2.4501e-08 1.6238e-13 6.8088e-21 2.8728e-30
6.3122e-05 1.967 2.6768e-07 6.6172e-11 1.0319e-17 3.1682e-21 3.1201e-24 3.7587e-18 9.7038e-19 2.1045e-18 3.0316e-55 2.6387e-50 3.7052e-45 8.1833e-44 3.0647e-45 3.3192e-36 4.1427e-26 1.8416e-17 1.6557e-10 1.5522e-05 9.2203e-21 1.0356e-16 1.0912e-15 1.519e-24 2.0596e-23 1.1211e-33 1.9756e-45 2.6329e-39 2.3772e-29 3.4159e-21 4.2663e-15 3.0078e-18 1.6205e-57 1.5635e-53 2.4997e-51 2.6651e-51 4.4634e-54 1.8356e-59 1.1468e-66 3.756e-05 6.2368e-05 2.0053e-08 5.1732e-08 5.3579e-13 3.5109e-20 2.3149e-29
9.1247e-06 2.0121 4.1376e-07 4.2809e-11 2.7142e-17 5.3909e-21 3.4347e-24 1.4291e-18 5.7029e-19 1.9117e-18 2.0972e-54 1.1809e-49 1.0728e-44 1.5328e-43 3.7138e-45 4.7982e-37 9.2567e-27 6.3605e-18 8.8391e-11 1.2809e-05 1.4252e-20 1.0356e-16 7.0592e-16 3.9951e-24 3.5046e-23 1.2342e-33 1.4069e-45 3.8061e-40 5.3117e-30 1.1798e-21 2.2776e-15 2.4821e-18 1.4373e-56 8.9712e-53 9.279e-51 6.4004e-51 6.9346e-54 1.845e-59 7.4573e-67 4.8156e-05 5.1731e-05 1.0761e-08 1.0252e-07 1.6413e-12 1.6624e-19 1.6943e-28
1.319e-06 2.0559 6.3227e-07 2.8014e-11 7.1387e-17 9.2787e-21 3.8686e-24 5.4335e-19 3.3134e-19 1.6973e-18 1.4508e-53 5.346e-49 3.178e-44 2.9716e-43 4.7115e-45 6.9361e-38 2.0448e-27 2.147e-18 4.5595e-11 1.0097e-05 2.1779e-20 1.0356e-16 4.6196e-16 1.0508e-23 6.032e-23 1.3901e-33 1.037e-45 5.5019e-41 1.1733e-30 3.9825e-22 1.1749e-15 1.9565e-18 1.21e-55 4.9425e-52 3.3453e-50 1.51e-50 1.0706e-53 1.8641e-59 4.9305e-67 5.8605e-05 4.1199e-05 5.6081e-09 1.9066e-07 4.6643e-12 7.2193e-19 1.1244e-27
1.9067e-07 2.0986 9.5486e-07 1.8549e-11 1.8776e-16 1.6159e-20 4.461e-24 2.0658e-19 1.9026e-19 1.4719e-18 1.0036e-52 2.4487e-48 9.6387e-44 5.9676e-43 6.265e-45 1.0027e-38 4.4641e-28 7.0791e-19 2.2704e-11 7.5931e-06 3.2891e-20 1.0356e-16 3.0588e-16 2.7637e-23 1.0505e-22 1.603e-33 7.918e-46 7.9533e-42 2.5616e-31 1.3131e-22 5.8503e-16 1.4714e-18 9.7135e-55 2.6271e-51 1.1774e-49 3.519e-50 1.6521e-53 1.9046e-59 3.3356e-67 6.8007e-05 3.1656e-05 2.8532e-09 3.3414e-07 1.2345e-11 2.8858e-18 6.7878e-27
2.7563e-08 2.1398 1.4235e-06 1.2443e-11 4.9383e-16 2.8509e-20 5.2794e-24 7.8544e-20 1.0784e-19 1.2437e-18 6.9427e-52 1.1363e-47 3.0002e-43 1.246e-42 8.7745e-45 1.4494e-39 9.6203e-29 2.2743e-19 1.0874e-11 5.4215e-06 4.9034e-20 1.0356e-16 2.0518e-16 7.269e-23 1.8534e-22 1.897e-33 6.2857e-46 1.1497e-42 5.5203e-32 4.2185e-23 2.802e-16 1.0506e-18 7.4877e-54 1.3584e-50 4.0838e-49 8.1874e-50 2.5783e-53 1.9939e-59 2.3423e-67 7.5782e-05 2.3662e-05 1.4306e-09 5.5507e-07 3.0574e-11 1.0654e-17 3.7359e-26
