00001       &       .6003                 &      .5759                  &     .7470                   &        .7047                &          .6640              &         0.651                    &        .8592               &         .2114               &       .5161                \\
10000       &       .8590                 &      .5832                  &     .6289                   &        .9339                &          .7499              &         0.651                    &        .5908               &         .9055               &       .5797                \\
00010       &       .5741                 &      .7062                  &     .6722                   &        .5642                &          .6341              &         0.651                    &        .7641               &         .4692               &       .6292                \\
00011       &       .7653                 &      .5750                  &     .8232                   &        .6483                &          .6383              &         0.651                    &        .5456               &         .3100               &       .5332                \\
11000       &       .8270                 &      .6215                  &     .4584                   &        .8272                &          .7271              &         0.651                    &        1.005               &         1.045               &       .5614                \\
00100       &       .5723                 &      .7859                  &     .7158                   &        .3356                &          .5597              &         0.651                    &        .3951               &         .3041               &       .6761                \\
00101       &       .5328                 &      .7065                  &     .7641                   &        .3878                &          .6016              &         0.651                    &        .7580               &         .1170               &       .5355                \\
10100       &       .7648                 &      .5883                  &     .7043                   &        .7274                &          .7268              &         0.651                    &        .8598               &         .4720               &       .4874                \\
00110       &       .4635                 &      .8204                  &     .6795                   &        .2659                &          .5604              &         0.651                    &        .7146               &         .3460               &       .6877                \\
01100       &       .6094                 &      .6919                  &     .6395                   &        .4359                &          .5954              &         0.651                    &        .7961               &         .4699               &       .6823                \\
00111       &       .5253                 &      .6911                  &     .7377                   &        .3488                &          .5751              &         0.651                    &        .7541               &         .1352               &       .5839                \\
11100       &       .6581                 &      .5965                  &     .4776                   &        .6273                &          .6780              &         0.651                    &        .9156               &         .4528               &       .4770                \\
01000       &       .9608                 &      .6632                  &     .5942                   &        .8911                &          .5935              &         0.651                    &        .5677               &         1.111               &       .6496                \\
01001       &       .8831                 &      .5852                  &     .7022                   &        .9353                &          .7267              &         0.651                    &        .7919               &         .6590               &       .5186                \\
10010       &       .7468                 &      .6606                  &     .6812                   &        .7959                &          .6929              &         0.651                    &        .6590               &         .6551               &       .5909                  \\
01010       &       .6143                 &      .7132                  &     .6235                   &        .4915                &          .7119              &         0.651                    &        .7304               &         .6464               &       .7277                  \\
01011       &       1.025                 &      .5780                  &     .7337                   &        .8603                &          .7018              &         0.651                    &        .7716               &         .6614               &       .5359                  \\
11010       &       .7526                 &      .7084                  &     .4670                   &        .6984                &          .6705              &         0.651                    &        .4879               &         .8013               &       .5755                  \\
01101       &       .8082                 &      .7058                  &     .7020                   &        .5703                &          .6346              &         0.651                    &        .8349               &         .4119               &       .5279                  \\
10110       &       .8091                 &      .6495                  &     .6590                   &        .5948                &          .6609              &         0.651                    &        .7105               &         .4722               &       .5083                  \\
01110       &       .7105                 &      .8185                  &     .6808                   &        .3189                &          .5942              &         0.651                    &        .7830               &         .4554               &       .6978                  \\
01111       &       .7874                 &      .6815                  &     .6633                   &        .5079                &          .6019              &         0.651                    &        .9195               &         .3941               &       .5716                  \\
11110       &       .7442                 &      .6660                  &     .4288                   &        .5024                &          .6075              &         0.651                    &        .5993               &         .4507               &       .4999                  \\
10001       &       .8479                 &      .5521                  &     .7771                   &        .9197                &          .7090              &         0.651                    &        .8294               &         .5935               &       .5095                  \\
10011       &       .9969                 &      .5619                  &     .7829                   &        .8791                &          .6912              &         0.651                    &        .7439               &         .5518               &       .5365                  \\
11001       &       .7754                 &      .6131                  &     .5274                   &        .8033                &          .7040              &         0.651                    &        .6279               &         .6810               &       .5016                  \\
10101       &       .9199                 &      .6892                  &     .7103                   &        .5168                &          .6361              &         0.651                    &        1.243               &         .3779               &       .5203                  \\
10111       &       .6724                 &      .6854                  &     .6247                   &        .4869                &          .6291              &         0.651                    &        .9173               &         .3484               &       .5221                  \\
11101       &       .7742                 &      .5216                  &     .6375                   &        .6156                &          .6369              &         0.651                    &        .7919               &         .3189               &       .4946                  \\
11011       &       1.261                 &      .5530                  &     .7002                   &        1.073                &          .7524              &         0.651                    &        .5285               &         .6418               &       .5114                  \\
11111       &       .9046                 &      .6572                  &     .5784                   &        .6495                &          .6524              &         0.651                    &        1.378               &         .3253               &       .4723                  \\
00000		&       0.651                 &      0.651                  &     0.651                   &        0.651                &          0.651              &         0.651                    &        0.651              &          0.651              &        0.651                 
